Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.491,13.738,13.16,13.268,1233545,0
2017-01-04,13.376,13.396,13.209,13.308,631747,0
2017-01-05,13.396,13.55,13.209,13.259,842576,0
2017-01-06,13.298,13.367,13.036,13.141,554609,0
2017-01-09,12.956,12.956,12.59,12.616,1024935,0
2017-01-10,12.675,12.76,12.408,12.497,692467,0
2017-01-11,12.557,12.733,12.398,12.557,849340,0
2017-01-12,12.77,12.77,12.284,12.371,712999,0
2017-01-13,12.322,12.398,12.255,12.361,912878,0
2017-01-17,12.487,12.497,12.226,12.255,1085479,0
2017-01-18,12.097,12.097,11.717,11.766,920502,0
2017-01-19,11.766,11.805,11.609,11.658,822526,0
2017-01-20,11.815,11.874,11.551,11.59,1068052,0
2017-01-23,11.503,11.561,11.287,11.327,784199,0
2017-01-24,11.434,12.039,11.434,11.97,1361356,0
2017-01-25,11.98,12.126,11.835,11.931,1239986,0
2017-01-26,12.039,12.206,11.911,11.951,904916,0
2017-01-27,11.858,11.934,11.602,11.65,576485,0
2017-01-30,11.582,11.582,11.274,11.329,862040,0
2017-01-31,11.387,11.456,11.241,11.407,977252,0
2017-02-01,11.397,11.417,11.164,11.289,1044441,0
2017-02-02,11.319,11.4,11.066,11.201,1603193,0
2017-02-03,11.211,11.231,11.017,11.085,1183353,0
2017-02-06,11.085,11.102,10.488,10.488,1571894,0
2017-02-07,10.4,10.699,10.244,10.693,1446100,0
2017-02-08,10.605,10.81,10.39,10.731,1595643,0
2017-02-09,10.87,10.997,10.664,10.78,1512600,0
2017-02-10,10.977,11.289,10.947,11.279,1230706,0
2017-02-13,11.221,11.299,11.102,11.241,750354,0
2017-02-14,11.319,11.369,11.121,11.299,1163020,0
2017-02-15,11.241,11.344,11.171,11.309,809288,0
2017-02-16,11.329,11.417,11.211,11.26,744473,0
2017-02-17,11.141,12.139,11.097,12.129,4875210,0
2017-02-21,12.345,12.375,11.944,12.129,1976838,0
2017-02-22,12.032,12.071,11.378,11.592,1434245,0
2017-02-23,12.012,12.149,11.387,11.71,3056519,0
2017-02-24,11.535,11.643,11.178,11.213,1132450,0
2017-02-27,11.163,11.271,11.057,11.193,1315569,0
2017-02-28,11.018,11.076,10.762,10.781,1136928,0
2017-03-01,10.938,11.173,10.861,11.173,1088570,0
2017-03-02,11.028,11.095,10.881,10.881,717387,0
2017-03-03,10.919,11.052,10.89,11.018,544979,0
2017-03-06,10.968,11.095,10.89,11.076,645662,0
2017-03-07,11.114,11.133,10.948,11.086,588002,0
2017-03-08,10.988,11.028,10.458,10.478,1104103,0
2017-03-09,10.429,10.577,10.018,10.322,1579569,0
2017-03-10,10.409,10.478,10.254,10.4,1049083,0
2017-03-13,10.36,10.616,10.287,10.577,856108,0
2017-03-14,10.36,10.429,10.165,10.351,992336,0
2017-03-15,10.468,10.988,10.409,10.909,1053528,0
2017-03-16,10.968,11.047,10.694,10.732,720261,0
2017-03-17,10.771,10.881,10.429,10.518,912435,0
