Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15.357,15.446,15.337,15.377,322564,0
2017-01-04,15.546,15.625,15.516,15.585,271585,0
2017-01-05,15.635,15.675,15.585,15.615,225828,0
2017-01-06,15.595,15.64,15.506,15.506,196444,0
2017-01-09,15.615,15.67,15.556,15.595,210029,0
2017-01-10,15.714,15.734,15.62,15.645,188459,0
2017-01-11,15.546,15.794,15.476,15.784,350122,0
2017-01-12,15.784,15.878,15.744,15.824,319068,0
2017-01-13,15.63,15.74,15.56,15.7,391360,0
2017-01-17,15.65,15.75,15.61,15.68,419739,0
2017-01-18,15.64,15.74,15.58,15.62,290054,0
2017-01-19,15.78,15.84,15.72,15.79,192560,0
2017-01-20,15.88,15.98,15.83,15.98,221264,0
2017-01-23,16.04,16.415,15.95,16.06,743247,0
2017-01-24,16.03,16.06,15.95,16.01,471263,0
2017-01-25,16.05,16.16,16.05,16.09,336225,0
2017-01-26,15.96,15.96,15.81,15.94,336148,0
2017-01-27,16.08,16.13,16.05,16.12,169898,0
2017-01-30,16.25,16.25,16.15,16.2,273612,0
2017-01-31,16.21,16.22,16.035,16.06,241369,0
2017-02-01,16.08,16.18,16.01,16.15,182023,0
2017-02-02,16.23,16.27,16.16,16.27,176588,0
2017-02-03,16.31,16.38,16.25,16.31,178856,0
2017-02-06,16.24,16.28,16.17,16.22,230338,0
2017-02-07,16.19,16.25,16.15,16.18,367487,0
2017-02-08,16.2,16.32,16.19,16.27,180092,0
2017-02-09,16.29,16.3,16.19,16.22,235564,0
2017-02-10,16.28,16.36,16.28,16.34,158567,0
2017-02-13,16.34,16.37,16.3,16.33,146195,0
2017-02-14,16.4,16.475,16.24,16.45,180522,0
2017-02-15,16.5,16.669,16.48,16.64,238980,0
2017-02-16,16.75,16.755,16.535,16.56,204787,0
2017-02-17,16.46,16.55,16.42,16.51,180300,0
2017-02-21,16.51,16.53,16.47,16.48,549490,0
2017-02-22,16.52,16.62,16.5,16.62,296415,0
2017-02-23,16.7,16.71,16.61,16.64,160493,0
2017-02-24,16.46,16.48,16.365,16.39,197530,0
2017-02-27,16.39,16.55,16.355,16.39,178666,0
2017-02-28,16.42,16.44,16.26,16.27,285408,0
2017-03-01,16.25,16.45,16.25,16.43,852491,0
2017-03-02,16.3,16.35,16.11,16.11,310877,0
2017-03-03,16.22,16.36,16.14,16.33,175758,0
2017-03-06,16.4,16.41,16.26,16.28,173595,0
2017-03-07,16.38,16.385,16.32,16.33,201913,0
2017-03-08,16.18,16.24,16.04,16.05,316703,0
2017-03-09,16.04,16.1,15.93,15.93,194752,0
2017-03-10,16.12,16.23,16.08,16.2,186008,0
2017-03-13,16.14,16.2,16.125,16.2,151383,0
2017-03-14,16.1,16.14,16.04,16.08,205806,0
2017-03-15,16.14,16.4625,16.12,16.39,369812,0
2017-03-16,16.46,16.46,16.33,16.4,383412,0
2017-03-17,16.43,16.45,16.365,16.42,463323,0
2017-03-20,16.41,16.67,16.41,16.67,745250,0
2017-03-21,16.65,16.67,16.5,16.51,234370,0
2017-03-22,16.45,16.63,16.43,16.53,267894,0
2017-03-23,16.39,16.43,16.3,16.3,293905,0
2017-03-24,16.37,16.53,16.325,16.51,148834,0
2017-03-27,16.37,16.45,16.325,16.4,214507,0
2017-03-28,16.4,16.46,16.355,16.45,398985,0
2017-03-29,16.46,16.58,16.45,16.55,199315,0
2017-03-30,16.46,16.53,16.36,16.38,245781,0
2017-03-31,16.27,16.455,16.2,16.39,358731,0
2017-04-03,16.46,16.54,16.432,16.54,134459,0
2017-04-04,16.43,16.65,16.42,16.64,141293,0
2017-04-05,16.6,16.69,16.54,16.58,257059,0
2017-04-06,16.48,16.575,16.38,16.39,240819,0
2017-04-07,16.46,16.545,16.33,16.36,236110,0
2017-04-10,16.44,16.44,16.33,16.41,291046,0
2017-04-11,16.39,16.43,16.28,16.35,198446,0
2017-04-12,16.34,16.4,16.28,16.4,233128,0
2017-04-13,16.43,16.5,16.27,16.27,209992,0
2017-04-17,16.54,16.63,16.52,16.6,271109,0
2017-04-18,16.58,16.645,16.48,16.5,160347,0
2017-04-19,16.5,16.52,16.35,16.36,255731,0
2017-04-20,16.36,16.42,16.225,16.3,199609,0
2017-04-21,16.25,16.35,16.22,16.22,123354,0
2017-04-24,16.48,16.53,16.42,16.52,261761,0
2017-04-25,16.32,16.38,16.29,16.36,323531,0
2017-04-26,16.23,16.29,16.11,16.27,392373,0
2017-04-27,16.31,16.31,16.18,16.24,266830,0
2017-04-28,16.13,16.28,16.07,16.25,386522,0
2017-05-01,16.28,16.35,16.24,16.3,201529,0
2017-05-02,16.25,16.48,16.25,16.43,386965,0
2017-05-03,16.42,16.5,16.355,16.4,277259,0
2017-05-04,16.32,16.32,16.195,16.24,291534,0
2017-05-05,16.28,16.335,16.26,16.32,148578,0
2017-05-08,16.25,16.25,16.13,16.19,229035,0
2017-05-09,16.22,16.29,16.215,16.27,265510,0
2017-05-10,16.41,16.44,16.36,16.38,172934,0
2017-05-11,16.42,16.46,16.37,16.45,1442835,0
2017-05-12,16.56,16.64,16.52,16.63,203082,0
