Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,36.594,36.663,35.625,35.922,47440,0
2017-01-04,35.912,36.544,35.902,36.109,47434,0
2017-01-05,36.06,36.169,35.496,35.546,24375,0
2017-01-06,35.733,35.733,34.202,34.272,56884,0
2017-01-09,34.34,34.34,33.945,34.025,50346,0
2017-01-10,34.162,34.409,34.093,34.242,34535,0
2017-01-11,34.33,35.082,34.143,34.993,39930,0
2017-01-12,35.131,35.131,34.514,34.577,24911,0
2017-01-13,34.884,35.319,34.716,34.884,38533,0
2017-01-17,34.825,34.963,33.876,33.885,20177,0
2017-01-18,32.862,34.301,32.858,33.521,29041,0
2017-01-19,32.78,34.015,32.78,32.967,19006,0
2017-01-20,32.877,33.386,32.809,33.214,29605,0
2017-01-23,33.104,33.362,32.839,33.076,43450,0
2017-01-24,33.154,33.733,32.947,33.481,38694,0
2017-01-25,33.798,34.577,33.638,34.103,37348,0
2017-01-26,33.995,34.083,33.619,33.807,24079,0
2017-01-27,33.678,33.975,33.124,33.895,18623,0
2017-01-30,33.56,33.56,32.887,32.997,19971,0
2017-01-31,33.007,33.037,32.256,32.839,29613,0
2017-02-01,33.027,33.698,32.877,33.531,84530,0
2017-02-02,33.481,33.481,32.393,32.581,63892,0
2017-02-03,31.535,32.997,31.535,32.987,14882,0
2017-02-06,32.513,33.491,32.513,32.867,33066,0
2017-02-07,32.982,33.501,32.907,33.313,34419,0
2017-02-08,33.174,33.688,32.493,32.987,29196,0
2017-02-09,32.858,33.541,32.858,33.164,21262,0
2017-02-10,32.907,33.748,32.907,33.313,49212,0
2017-02-13,33.599,34.736,33.401,34.577,47844,0
2017-02-14,34.519,34.869,33.945,34.123,30873,0
2017-02-15,33.995,34.963,33.668,34.538,69824,0
2017-02-16,36.119,39.529,36.07,37.957,144986,0
2017-02-17,38.324,38.688,36.801,36.841,48329,0
2017-02-21,36.307,36.939,35.833,36.357,43754,0
2017-02-22,36.357,37.018,36.189,36.633,42173,0
2017-02-23,36.871,37.541,36.346,36.852,52373,0
2017-02-24,36.842,37.04,36.137,36.683,27093,0
2017-02-27,36.584,37.04,36.127,36.216,24508,0
2017-02-28,36.346,36.514,35.056,35.582,53893,0
2017-03-01,35.879,36.871,35.879,36.712,76742,0
2017-03-02,36.187,37.05,35.245,35.334,115811,0
2017-03-03,35.155,36.812,35.155,35.998,56235,0
2017-03-06,36.266,36.266,35.245,35.572,58307,0
2017-03-07,35.522,35.8,35.135,35.235,38618,0
2017-03-08,35.353,36.216,35.165,35.383,63323,0
2017-03-09,34.579,35.745,34.579,35.066,80919,0
2017-03-10,35.453,35.453,34.501,34.907,56751,0
2017-03-13,34.957,35.007,34.163,34.759,43529,0
2017-03-14,34.421,35.453,34.421,35.304,28889,0
2017-03-15,35.393,35.978,34.967,35.691,30843,0
2017-03-16,35.235,36.157,35.235,35.82,38746,0
2017-03-17,35.77,36.772,35.76,35.84,58931,0
2017-03-20,35.592,35.74,34.629,34.927,49378,0
2017-03-21,35.115,35.641,34.501,34.788,33633,0
2017-03-22,34.778,35.007,33.578,33.975,40042,0
2017-03-23,33.379,34.837,33.359,34.451,30666,0
2017-03-24,34.609,34.857,34.045,34.073,26474,0
2017-03-27,33.687,34.491,33.558,34.371,19067,0
2017-03-28,34.223,34.749,32.845,33.935,20362,0
2017-03-29,33.995,34.719,33.667,34.421,34574,0
2017-03-30,34.253,35.066,34.233,34.599,22163,0
2017-03-31,34.589,35.373,34.461,35.046,27710,0
2017-04-03,35.056,35.095,34.431,34.639,36836,0
2017-04-04,34.521,34.907,34.411,34.827,30982,0
2017-04-05,34.619,35.24,34.391,34.54,41161,0
2017-04-06,34.531,35.046,34.263,34.827,26939,0
2017-04-07,34.818,35.274,34.609,35.095,31951,0
2017-04-10,35.264,35.711,35.115,35.264,53440,0
2017-04-11,35.115,36.167,34.832,35.949,40137,0
2017-04-12,35.75,36.296,35.309,35.899,44699,0
2017-04-13,35.802,36.177,35.73,35.998,26484,0
2017-04-17,36.246,36.494,36.048,36.356,24790,0
2017-04-18,36.276,37.129,36.107,37.03,33302,0
2017-04-19,36.98,37.406,36.415,36.564,61079,0
2017-04-20,36.534,37.704,36.534,37.586,41431,0
2017-04-21,37.486,37.714,37.353,37.606,39985,0
2017-04-24,37.724,37.809,37.278,37.596,37805,0
2017-04-25,37.644,38.548,37.466,37.694,36991,0
2017-04-26,37.854,38.796,37.854,38.498,39866,0
2017-04-27,38.478,39.202,37.228,37.268,16526,0
