Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.89,11.07,10.31,10.84,655692,0
2017-01-04,10.88,11,10.715,10.99,539777,0
2017-01-05,11.02,11.15,10.78,10.95,513971,0
2017-01-06,11,11.07,10.7,10.83,368858,0
2017-01-09,10.67,10.699,10.41,10.42,335019,0
2017-01-10,10.51,10.55,10.21,10.38,418795,0
2017-01-11,10.44,10.83,10.32,10.71,331436,0
2017-01-12,10.86,10.86,10.26,10.54,354362,0
2017-01-13,10.41,10.49,10.26,10.3,268881,0
2017-01-17,10.57,10.87,10.4,10.74,413520,0
2017-01-18,10.57,10.68,10.32,10.5,622327,0
2017-01-19,10.61,10.77,10.5,10.76,521941,0
2017-01-20,11,11.11,10.44,10.47,664436,0
2017-01-23,10.55,10.65,9.95,10.26,867536,0
2017-01-24,10.29,10.63,9.77,10.45,941034,0
2017-01-25,10.56,11.03,10.45,10.68,950611,0
2017-01-26,12.3,14.38,12.2705,13.8,7451388,0
2017-01-27,14.13,14.68,13.71,14.39,3049444,0
2017-01-30,14.17,14.18,13.28,14.02,1388348,0
2017-01-31,14.02,15.49,13.72,14.2,970174,0
2017-02-01,14.5,14.71,14.15,14.31,720360,0
2017-02-02,14.47,14.51,13.97,14.3,638589,0
2017-02-03,14.35,15.42,14.26,15.32,1084896,0
2017-02-06,15.92,16.65,15.47,15.87,1470944,0
2017-02-07,15.76,16.465,15.57,16.06,1094355,0
2017-02-08,16.1,16.1,14.95,15.6,1051792,0
2017-02-09,15.73,15.92,15.61,15.74,602744,0
2017-02-10,16.06,16.7,15.91,16.28,954586,0
2017-02-13,16.25,16.42,15.71,15.89,672333,0
2017-02-14,15.98,16.25,15.71,16.22,532063,0
2017-02-15,16,16.0465,15.63,15.82,430326,0
2017-02-16,15.9,15.9,15.12,15.49,601664,0
2017-02-17,15.18,15.68,15.061,15.19,682511,0
2017-02-21,15.52,15.62,14.98,15,924473,0
2017-02-22,14.87,15.0928,14.65,14.78,821945,0
2017-02-23,15.28,15.5,14.28,14.33,917561,0
2017-02-24,14,14.08,13.12,13.34,1242507,0
2017-02-27,13.38,13.94,13.28,13.64,776412,0
2017-02-28,13.5,13.59,12.805,12.83,824600,0
2017-03-01,13.03,13.87,12.72,13.55,965562,0
2017-03-02,13.21,13.5854,13.14,13.41,643598,0
2017-03-03,13.17,13.74,12.96,13.12,906545,0
2017-03-06,13.09,13.09,12.67,12.83,600597,0
2017-03-07,12.97,13.36,12.65,12.71,483992,0
2017-03-08,12.5,12.815,11.79,11.9,1020386,0
2017-03-09,11.68,11.7,11.15,11.35,984671,0
2017-03-10,11.25,11.48,10.58,11.04,1214945,0
2017-03-13,10.97,11.57,10.93,11.16,603321,0
2017-03-14,10.9,11.0971,10.31,10.69,560272,0
2017-03-15,11,11.855,10.92,11.8,1109593,0
2017-03-16,11.9,12.1365,11.61,11.79,650474,0
2017-03-17,11.9,12.09,11.77,12.03,664791,0
2017-03-20,12.05,12.14,11.78,12.05,524460,0
2017-03-21,12.13,12.34,11.74,11.89,633667,0
2017-03-22,11.7,11.975,11.42,11.71,415606,0
2017-03-23,11.47,11.9,11.05,11.73,375416,0
2017-03-24,11.85,12.35,11.76,11.9,372060,0
2017-03-27,11.63,11.89,11.5,11.83,326986,0
2017-03-28,11.93,12.42,11.7201,12.41,626895,0
2017-03-29,12.42,13.63,12.42,13.32,1045187,0
2017-03-30,13.45,13.7,12.92,13.1,809157,0
2017-03-31,13.04,13.21,12.71,13.04,724696,0
2017-04-03,12.96,13.1096,12.47,12.61,786056,0
2017-04-04,12.73,12.73,12.09,12.15,773305,0
2017-04-05,12.33,12.455,11.13,11.28,1088980,0
2017-04-06,11.4,11.59,11.17,11.29,744452,0
2017-04-07,11.25,11.3,10.83,10.89,672667,0
2017-04-10,10.95,11.28,10.83,11.25,687858,0
2017-04-11,11.23,11.27,10.99,11.16,600586,0
2017-04-12,11.17,11.26,10.49,10.6,553997,0
2017-04-13,10.43,10.61,10.02,10.17,917305,0
2017-04-17,10.2,10.503,9.78,9.97,711092,0
2017-04-18,9.88,10.14,9.68,9.96,506746,0
2017-04-19,9.97,10.2,9.42,9.51,792595,0
2017-04-20,9.55,9.71,9.3814,9.42,776039,0
2017-04-21,9.32,9.46,8.62,8.89,960249,0
2017-04-24,9.04,9.07,8.76,8.88,741249,0
2017-04-25,8.9,9.21,8.78,9.18,697765,0
2017-04-26,9.06,9.259,8.8601,9.11,1066606,0
2017-04-27,8.59,8.59,6.56,6.71,4998576,0
2017-04-28,6.97,7.1552,6.7205,6.87,2374248,0
2017-05-01,6.85,6.95,6.56,6.57,1336772,0
2017-05-02,6.52,6.66,6.21,6.35,1937273,0
2017-05-03,6.35,7.09,6.22,6.94,2595070,0
2017-05-04,6.85,7.119,6.63,6.92,1817225,0
2017-05-05,6.94,7.96,6.83,7.57,2310401,0
2017-05-08,7.59,7.86,7.48,7.55,1139271,0
2017-05-09,7.81,7.84,7.39,7.72,942350,0
2017-05-10,7.8,8.77,7.75,8.38,1558287,0
2017-05-11,8.5,8.68,7.91,8.08,1128065,0
2017-05-12,8.06,8.37,7.92,8.22,747626,0
2017-05-15,8.62,8.8,8.44,8.58,820616,0
2017-05-16,8.87,8.955,8.52,8.9,763029,0
2017-05-17,8.77,9.26,8.75,9.14,984158,0
2017-05-18,9.09,9.36,8.995,9.13,940116,0
2017-05-19,9.25,9.358,8.95,8.99,698198,0
2017-05-22,9.08,9.08,8.545,8.72,850876,0
2017-05-23,8.54,8.68,8.17,8.26,727795,0
2017-05-24,8.16,8.5362,8.11,8.34,902326,0
2017-05-25,8.27,8.63,7.95,8.1,1087472,0
2017-05-26,8.12,8.26,8.02,8.18,618932,0
2017-05-30,8.1,8.1,7.47,7.53,1082732,0
2017-05-31,7.35,7.73,7.2835,7.57,893245,0
2017-06-01,7.46,7.98,7.44,7.87,646570,0
2017-06-02,7.77,7.81,7.49,7.69,703281,0
2017-06-05,7.61,7.73,7.45,7.59,585389,0
2017-06-06,7.51,7.64,7.085,7.62,946598,0
2017-06-07,7.54,7.67,6.85,6.97,970737,0
2017-06-08,6.88,7.215,6.85,6.88,690662,0
2017-06-09,6.94,7.47,6.78,7.26,1083119,0
2017-06-12,7.42,7.5852,7.03,7.11,1202101,0
2017-06-13,7.14,7.776,7.04,7.68,700160,0
2017-06-14,7.66,7.7,6.87,7,886391,0
2017-06-15,6.92,7.189,6.58,6.6,839631,0
2017-06-16,6.6,6.6799,6.32,6.56,1805694,0
2017-06-19,6.59,6.7099,6.28,6.37,864452,0
2017-06-20,6.27,6.58,5.95,6.56,1403636,0
2017-06-21,6.55,6.587,5.8301,6.02,1268519,0
2017-06-22,6.08,6.24,6,6.03,472226,0
2017-06-23,6.03,6.29,5.94,6.21,1039220,0
2017-06-26,6.26,6.53,6.075,6.37,536214,0
2017-06-27,6.43,7.1272,6.43,6.92,1328528,0
2017-06-28,6.91,7.33,6.86,6.87,1282483,0
2017-06-29,6.91,7.31,6.78,6.85,1172294,0
2017-06-30,6.92,7.0299,6.64,6.85,598141,0
2017-07-03,6.97,7.45,6.91,7.13,913172,0
2017-07-05,6.99,7.08,6.65,6.83,799044,0
2017-07-06,6.91,6.93,6.45,6.51,714590,0
2017-07-07,6.44,6.5258,6.13,6.48,899255,0
2017-07-10,6.25,6.69,6.24,6.59,605970,0
2017-07-11,6.61,6.76,6.32,6.49,622542,0
2017-07-12,6.64,6.92,6.48,6.53,497150,0
2017-07-13,6.51,7.1,6.5,7.07,673921,0
2017-07-14,7.11,7.3,6.99,7.08,615448,0
2017-07-17,7,7.49,7,7.28,721091,0
2017-07-18,7.36,7.51,6.97,7.08,549669,0
2017-07-19,7.05,7.8,7.03,7.7,865332,0
2017-07-20,7.65,7.8546,7.15,7.22,897022,0
2017-07-21,7.26,7.33,6.74,6.83,704931,0
2017-07-24,6.88,7.01,6.16,6.21,1433256,0
2017-07-25,6.46,6.79,6.35,6.71,942925,0
2017-07-26,6.77,7.2,6.43,7.08,1316006,0
2017-07-27,7.43,7.69,6.3502,6.55,2406745,0
2017-07-28,6.53,6.95,6.3574,6.55,1487935,0
2017-07-31,6.51,7.09,6.38,7.07,1517849,0
2017-08-01,7,7.07,6.69,6.88,959570,0
2017-08-02,6.76,7.1311,6.64,6.95,785210,0
2017-08-03,7.01,7.23,6.795,6.88,768901,0
2017-08-04,6.8939,7.73,6.8939,7.51,2046596,0
2017-08-07,7.45,7.59,7.03,7.2,1075031,0
2017-08-08,7.15,7.2842,6.62,6.72,1101058,0
2017-08-09,6.75,7.11,6.65,7.09,1325386,0
2017-08-10,7.16,7.47,6.91,6.96,1286665,0
2017-08-11,6.72,7.0784,6.63,6.76,852148,0
2017-08-14,6.78,6.7954,6.4,6.45,614096,0
2017-08-15,6.4,6.4999,6.05,6.37,1304413,0
2017-08-16,6.41,6.46,6.07,6.12,594671,0
2017-08-17,6.1,6.36,6.09,6.15,590555,0
2017-08-18,6.11,6.595,6.1,6.36,700481,0
2017-08-21,6.33,6.45,6.11,6.13,347561,0
2017-08-22,6.16,6.41,6.1,6.29,747727,0
2017-08-23,6.24,6.68,6.16,6.45,724044,0
2017-08-24,6.42,6.63,6.39,6.48,743046,0
2017-08-25,6.52,7.042,6.41,7.02,895246,0
2017-08-28,7.04,7.0599,6.43,6.64,688578,0
2017-08-29,6.56,7.0688,6.4,6.87,1551961,0
2017-08-30,6.77,7.14,6.735,6.96,743106,0
2017-08-31,7.05,7.1,6.54,6.56,963880,0
2017-09-01,6.56,6.73,6.33,6.35,1155294,0
2017-09-05,6.57,6.77,6.5,6.76,1001320,0
2017-09-06,6.82,7.02,6.82,6.94,857994,0
2017-09-07,6.93,7.38,6.881,7.35,864133,0
2017-09-08,7.29,7.42,6.89,6.96,736896,0
2017-09-11,6.96,7.37,6.905,7.16,448895,0
2017-09-12,7.17,7.87,7.17,7.6,974480,0
2017-09-13,7.64,8.14,7.64,7.76,1246724,0
2017-09-14,7.84,8.23,7.45,7.53,1175730,0
2017-09-15,7.57,7.64,7.22,7.45,979139,0
