Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,36.197,36.946,35.411,35.932,291080,0
2017-01-04,36.129,37.624,36.129,37.565,261595,0
2017-01-05,37.368,37.998,36.807,37.152,239466,0
2017-01-06,36.946,37.26,36.384,36.384,300935,0
2017-01-09,36.463,36.552,35.619,35.835,377136,0
2017-01-10,36.247,37.28,36.187,37.27,574207,0
2017-01-11,37.22,38.587,36.926,38.547,509382,0
2017-01-12,38.214,38.234,36.926,37.565,307478,0
2017-01-13,37.565,38.676,37.516,37.801,251526,0
2017-01-17,37.624,37.821,36.995,37.211,239811,0
2017-01-18,37.26,38.311,37.033,37.998,539101,0
2017-01-19,37.672,37.998,36.408,37.318,257058,0
2017-01-20,37.28,37.928,37.152,37.348,289910,0
2017-01-23,37.535,37.84,36.836,37.298,225185,0
2017-01-24,37.988,39.914,37.878,39.52,490989,0
2017-01-25,39.59,40.264,39.078,40.14,290566,0
2017-01-26,39.767,40.759,39.324,39.737,263626,0
2017-01-27,39.885,40.179,39.216,39.294,340130,0
2017-01-30,38.733,39.078,37.948,39.049,280073,0
2017-01-31,39.245,39.53,38.214,39.344,310946,0
2017-02-01,39.777,40.72,38.508,39.55,543319,0
2017-02-02,41.025,44.569,40.975,42.893,881309,0
2017-02-03,43.367,43.367,41.966,42.518,598540,0
2017-02-06,42.36,42.902,42.053,42.439,428935,0
2017-02-07,42.459,43.012,41.412,41.609,335901,0
2017-02-08,41.58,41.729,40.652,41.117,292738,0
2017-02-09,41.244,42.005,41.146,41.452,414893,0
2017-02-10,41.995,42.508,41.362,41.422,297317,0
2017-02-13,42.073,42.775,41.719,41.906,355638,0
2017-02-14,41.649,41.916,41.224,41.669,262794,0
2017-02-15,41.204,41.787,41.204,41.432,190154,0
2017-02-16,41.461,42.261,41.155,41.274,542675,0
2017-02-17,41.067,41.264,40.326,40.583,225584,0
2017-02-21,40.919,41.304,40.662,41.067,231549,0
2017-02-22,40.642,42.123,40.178,42.093,686932,0
2017-02-23,42.35,42.421,40.158,40.375,588375,0
2017-02-24,39.596,40.514,39.062,39.921,247056,0
2017-02-27,39.911,40.77,39.764,40.494,263974,0
2017-02-28,40.287,40.75,39.645,40.041,319102,0
2017-03-01,41.194,42.005,41.077,41.461,359290,0
2017-03-02,41.097,41.184,38.649,38.727,353234,0
2017-03-03,38.756,39.206,37.72,38.085,290320,0
2017-03-06,37.078,37.71,36.921,37.414,284730,0
2017-03-07,37.405,37.685,36.131,36.229,246067,0
2017-03-08,36.447,36.614,35.815,35.913,310714,0
2017-03-09,35.716,36.209,34.847,34.917,289025,0
2017-03-10,35.292,35.499,34.334,34.936,330632,0
2017-03-13,35.163,35.469,34.62,34.867,272533,0
2017-03-14,34.551,34.946,34.058,34.837,203207,0
2017-03-15,34.827,36.131,34.7,36.082,432945,0
2017-03-16,36.961,38.619,36.961,37.857,672874,0
2017-03-17,37.927,38.5,37.523,37.78,1375046,0
2017-03-20,37.582,37.582,36.821,37.226,447836,0
2017-03-21,37.7,37.947,36.229,36.299,481737,0
2017-03-22,36.338,36.654,35.85,36.378,226724,0
2017-03-23,36.417,36.634,35.894,36.141,210686,0
2017-03-24,36.318,36.486,35.568,35.676,160749,0
2017-03-27,34.69,35.845,34.156,35.696,202199,0
2017-03-28,35.588,36.407,35.282,36.259,184068,0
2017-03-29,36.229,36.594,36.092,36.259,246410,0
2017-03-30,36.249,36.59,35.982,36.338,238576,0
2017-03-31,36.417,37.197,36.027,36.821,420193,0
2017-04-03,37.216,37.375,35.835,36.496,269810,0
2017-04-04,36.457,37.295,36.279,37.246,272234,0
2017-04-05,37.75,37.957,35.805,35.835,335335,0
2017-04-06,35.982,36.486,35.598,35.992,178254,0
2017-04-07,35.598,36.821,35.598,36.397,176373,0
2017-04-10,36.457,36.659,35.568,36.171,147329,0
2017-04-11,36.189,37.335,35.568,37.078,261437,0
2017-04-12,36.457,36.565,35.173,35.38,240629,0
2017-04-13,35.342,35.746,34.146,34.216,259705,0
2017-04-17,34.57,34.917,33.871,34.493,356480,0
2017-04-18,34.117,34.907,33.803,34.503,197973,0
2017-04-19,34.867,35.269,34.343,34.493,252358,0
2017-04-20,35.193,36.338,35.193,36.072,297582,0
2017-04-21,36.131,36.516,35.686,36.101,206116,0
2017-04-24,37.028,37.197,36.417,36.782,183215,0
2017-04-25,37.483,39.063,37.315,38.629,574297,0
2017-04-26,38.144,39.398,37.325,39.369,626139,0
2017-04-27,39.813,40.967,38.565,39.497,586053,0
2017-04-28,39.676,40.568,39.666,40.261,493673,0
2017-05-01,40.657,40.707,39.505,40.033,249170,0
2017-05-02,39.745,40.369,38.833,39.041,288239,0
2017-05-03,38.515,38.912,36.919,37.246,349286,0
2017-05-04,37.117,37.117,36.156,36.859,346380,0
2017-05-05,37.067,37.484,36.537,36.929,278135,0
2017-05-08,36.552,37.037,36.156,36.582,190619,0
2017-05-09,36.661,37.117,35.999,36.234,228766,0
2017-05-10,36.989,36.989,36.161,36.364,236752,0
2017-05-11,36.423,36.423,35.491,35.551,204397,0
2017-05-12,34.995,35.63,34.826,35.143,181112,0
2017-05-15,36.383,36.383,35.411,36.066,241586,0
2017-05-16,36.542,36.691,35.927,36.472,215991,0
2017-05-17,35.739,36.194,35.065,35.343,310187,0
2017-05-18,34.955,35.328,34.658,34.896,255534,0
2017-05-19,35.223,35.996,34.985,35.441,269667,0
2017-05-22,35.778,36.026,35.233,35.62,254411,0
2017-05-23,35.739,36.949,35.441,36.681,216055,0
2017-05-24,36.661,37.315,36.204,36.244,252912,0
2017-05-25,36.443,36.979,36.116,36.304,183909,0
2017-05-26,36.542,36.542,35.778,36.204,194233,0
2017-05-30,36.026,36.731,35.778,36.611,144788,0
2017-05-31,36.572,36.591,35.193,36.166,230871,0
2017-06-01,36.284,37.137,35.888,37.137,184530,0
2017-06-02,37.077,37.692,36.799,36.969,206909,0
2017-06-05,37.137,38.127,36.919,37.762,224764,0
2017-06-06,37.564,37.772,36.929,37.564,170757,0
2017-06-07,37.623,37.682,36.462,36.492,232910,0
2017-06-08,36.621,38.605,36.264,38.426,479499,0
2017-06-09,38.465,38.674,37.682,38.238,414364,0
2017-06-12,38.277,39.656,38.257,38.932,227839,0
2017-06-13,39.259,39.616,38.858,39.021,239396,0
2017-06-14,39.09,39.09,37.732,38.238,227690,0
2017-06-15,37.415,37.752,36.166,36.462,256975,0
2017-06-16,35.461,36.163,34.718,35.699,670622,0
2017-06-19,36.166,36.711,35.768,36.354,316461,0
2017-06-20,36.056,36.374,35.491,35.709,255280,0
2017-06-21,35.986,36.309,35.283,35.381,223887,0
2017-06-22,35.59,36.344,35.328,36.046,157313,0
2017-06-23,36.413,36.819,35.858,36.522,317993,0
2017-06-26,36.78,37.012,35.986,36.621,192197,0
