Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,37.91,38.95,37.38,38.095,925377,0
2017-01-04,37.73,38.38,37.28,38.16,872441,0
2017-01-05,38.39,38.702,37.65,38.55,826301,0
2017-01-06,39.37,39.48,38.56,38.8,931488,0
2017-01-09,38.4,38.4,36.51,36.53,883441,0
2017-01-10,36.84,36.9,36.005,36.18,1260297,0
2017-01-11,36.49,36.89,35.72,36.77,880015,0
2017-01-12,37.35,37.425,36.05,36.46,919920,0
2017-01-13,36.48,36.7,35.99,36.41,693080,0
2017-01-17,36.81,36.95,36.02,36.34,949501,0
2017-01-18,35.79,36.315,35.28,35.54,1250818,0
2017-01-19,35.62,36.08,35.21,35.88,910541,0
2017-01-20,36.45,36.62,36.08,36.36,1107995,0
2017-01-23,35.82,36.37,35.65,36.21,799194,0
2017-01-24,36.44,37.08,36.135,36.52,664009,0
2017-01-25,36.46,37.18,36.41,36.48,606628,0
2017-01-26,36.72,37.47,36.55,37.14,1056147,0
2017-01-27,36.79,37,35.9886,36.37,556210,0
2017-01-30,36.07,36.37,34.52,35.29,1257388,0
2017-01-31,35.55,35.85,34.83,35.34,782411,0
2017-02-01,35.7,36.23,34.54,34.72,996795,0
2017-02-02,34.61,35.02,33.72,34.79,1639891,0
2017-02-03,35.02,35.68,34.5,35.43,985619,0
2017-02-06,35.48,35.55,33.91,34.47,1097264,0
2017-02-07,34.11,34.2,32.8,33.3,1828371,0
2017-02-08,32.96,34.08,32.28,32.94,1293814,0
2017-02-09,33.21,33.61,32.53,32.66,1687101,0
2017-02-10,33.24,34.13,32.92,34.13,1120966,0
2017-02-13,33.84,34.38,33.47,34.01,844905,0
2017-02-14,34.05,34.35,33.37,34.34,924238,0
2017-02-15,34,34.54,33.88,34.31,941906,0
2017-02-16,34.48,34.779,33.31,33.37,775869,0
2017-02-17,33.17,33.654,32.25,33.09,755409,0
2017-02-21,33.77,34.42,33.43,34.37,1019745,0
2017-02-22,33.89,34.31,33.22,33.24,1565847,0
2017-02-23,33.96,34.62,31.58,33.03,2567633,0
2017-02-24,32.44,32.93,31.202,31.73,2562432,0
2017-02-27,31.78,32.86,31.72,32.68,1344954,0
2017-02-28,32.5,33.3,32.31,32.55,1170461,0
2017-03-01,32.62,33.09,32.45,33.07,1469651,0
2017-03-02,32.63,33.05,30.94,30.96,1497911,0
2017-03-03,31.22,31.53,30.96,31.18,1053868,0
2017-03-06,31.18,31.85,30.945,31.78,1394055,0
2017-03-07,31.94,31.95,30.52,30.57,1300225,0
2017-03-08,30.32,30.53,28.35,28.46,2905093,0
2017-03-09,28.17,28.454,26.5,27.82,4339552,0
2017-03-10,28.08,28.32,27.78,28.11,2101065,0
2017-03-13,28.5,28.79,28.047,28.485,1226889,0
2017-03-14,27.86,28.27,26.87,28.12,1743491,0
2017-03-15,28.53,29.07,28.34,28.95,1641315,0
2017-03-16,29.1,29.16,28.25,28.52,979586,0
2017-03-17,28.63,29.25,28.29,28.43,1575762,0
2017-03-20,28.21,28.76,27.64,28.71,1781195,0
2017-03-21,28.76,28.76,27.35,27.38,1556903,0
2017-03-22,27.13,27.48,26.6,26.95,1436824,0
2017-03-23,26.7,27.38,26.5,26.8,1573186,0
2017-03-24,26.88,27.26,26.73,26.9,845150,0
2017-03-27,26.12,27.37,26.08,27.33,1065169,0
2017-03-28,27.35,28.6,27.18,28.53,1405834,0
2017-03-29,28.25,29.02,28.2,28.43,1918125,0
2017-03-30,28.68,28.89,27.585,27.62,1781157,0
2017-03-31,27.63,28.7,27.38,28.66,2275499,0
2017-04-03,28.67,28.88,28,28.73,1251013,0
2017-04-04,28.75,29.405,28.45,29.24,910850,0
2017-04-05,29.61,30.19,27.81,27.92,1703086,0
2017-04-06,28.25,28.815,28.055,28.52,1199631,0
2017-04-07,28.6,28.6,27.91,28.13,1008619,0
2017-04-10,28.43,29.045,28.2875,28.85,829346,0
2017-04-11,28.6,29.05,28.26,28.9,1007945,0
2017-04-12,28.82,29.1,27.98,28.37,1329012,0
2017-04-13,28.3,28.7,27.85,28,1750640,0
2017-04-17,28.06,28.25,27.72,28.09,1509637,0
2017-04-18,27.71,28.295,27.1,27.16,1338158,0
2017-04-19,27.21,27.39,25.73,25.73,1569193,0
2017-04-20,25.95,26.15,25.26,25.33,1357441,0
2017-04-21,25.22,25.851,25.06,25.49,1242563,0
2017-04-24,25.71,25.77,25.35,25.36,969565,0
2017-04-25,25.42,26.52,25.21,26.49,1146489,0
2017-04-26,26.19,27.06,26.025,26.51,1501638,0
2017-04-27,26.2,26.46,25.1,25.75,1782433,0
2017-04-28,26.08,26.2185,25.09,25.15,1186492,0
2017-05-01,25.07,25.815,25.07,25.45,1395789,0
2017-05-02,25.62,26.19,25.11,25.19,2340932,0
2017-05-03,25.19,25.91,25.01,25.49,1449568,0
2017-05-04,25.12,25.1787,23.98,24.12,2494062,0
2017-05-05,24.2,25.34,24.01,25.18,1984535,0
2017-05-08,25.18,25.925,24.97,25.64,2334968,0
2017-05-09,26.44,26.66,23.86,23.92,4494868,0
2017-05-10,24.25,24.89,24.1,24.41,3493750,0
2017-05-11,24.69,24.77,24.14,24.24,1722319,0
2017-05-12,24.26,24.56,23.72,23.84,1530871,0
2017-05-15,24.63,24.98,24.26,24.58,1679014,0
2017-05-16,24.76,24.9,24.095,24.19,1281838,0
2017-05-17,23.87,24.47,23.82,23.91,1472949,0
2017-05-18,23.66,24.16,23.49,23.65,1068418,0
2017-05-19,23.85,24.46,23.75,24.29,1194614,0
2017-05-22,24.45,24.75,24.02,24.29,1225178,0
2017-05-23,24.38,24.59,24.06,24.57,1270417,0
2017-05-24,24.5,24.88,24.1,24.39,1623924,0
2017-05-25,24.28,25.45,23.25,23.62,2063647,0
2017-05-26,23.66,23.94,23.28,23.54,1632180,0
2017-05-30,23.13,23.2,22.46,22.52,1527029,0
2017-05-31,22.11,22.38,21.48,21.94,1752022,0
2017-06-01,22.06,22.69,21.8,21.96,1635487,0
2017-06-02,21.76,21.85,20.86,21.38,1747802,0
2017-06-05,21.08,21.435,20.8801,21.13,989517,0
2017-06-06,21.09,21.47,20.76,21.37,2200980,0
2017-06-07,21.11,21.46,19.8,19.85,2392032,0
2017-06-08,19.77,20.18,19.14,19.22,2343111,0
2017-06-09,19.26,20.63,18.95,20.54,3818693,0
2017-06-12,20.9,21.42,20.71,21,2438455,0
2017-06-13,20.96,22.3,20.92,22.18,2991037,0
2017-06-14,22,22.0675,20.39,20.43,2353579,0
2017-06-15,20.28,20.65,18.38,18.56,3825644,0
2017-06-16,18.7,19.05,18.31,18.715,2877850,0
2017-06-19,18.76,18.9,17.996,18.07,1874311,0
2017-06-20,17.74,18.021,16.87,17.88,3139497,0
2017-06-21,17.49,17.68,16.09,16.3,4002610,0
2017-06-22,16.45,16.82,15.855,16.03,2328503,0
2017-06-23,16.09,16.57,15.86,16.49,2517820,0
2017-06-26,16.59,16.72,16.1,16.15,1777810,0
2017-06-27,16.3,16.67,16.02,16.08,2270075,0
2017-06-28,16.05,16.21,15.4,15.61,2848441,0
2017-06-29,15.2,16.96,15.05,16.4,22629877,0
2017-06-30,16.53,17.94,16.26,17.42,8864840,0
2017-07-03,17.49,18.46,17.49,18.4,3314408,0
2017-07-05,18.1,18.19,16.4,16.545,5267175,0
2017-07-06,16.7,17.05,15.47,15.54,5478590,0
2017-07-07,15.36,15.415,14.58,15.31,8306442,0
2017-07-10,15.12,15.97,15.1,15.63,5755741,0
2017-07-11,15.65,16.51,15.44,16.1,4216814,0
2017-07-12,16.58,17.02,16.05,16.2,4363971,0
2017-07-13,16.23,16.55,16.04,16.42,3154777,0
2017-07-14,16.44,16.76,16.08,16.35,2149315,0
2017-07-17,16.33,16.72,16.16,16.37,2365884,0
2017-07-18,16.61,16.7038,15.845,15.94,3405838,0
2017-07-19,15.92,17.19,15.92,17.15,2865994,0
2017-07-20,17.09,17.41,15.82,15.85,4124554,0
2017-07-21,15.92,16.01,15.1,15.37,3518635,0
2017-07-24,15.53,15.565,14.66,14.94,3814557,0
2017-07-25,15.25,15.8,15.12,15.54,3173265,0
2017-07-26,15.72,16.18,15.28,15.55,3270038,0
2017-07-27,15.55,16.31,15.45,15.89,3677380,0
2017-07-28,15.8,16.74,15.76,16.1,3528922,0
2017-07-31,16.12,16.5,15.37,15.76,2816829,0
2017-08-01,15.7,15.89,15.35,15.51,2144514,0
2017-08-02,15.37,15.44,14.88,15.26,3193150,0
2017-08-03,15.33,15.7625,14.32,14.37,3937874,0
2017-08-04,14.5,14.95,14.29,14.79,2628386,0
2017-08-07,14.64,14.64,14.07,14.12,2778170,0
2017-08-08,14.12,14.2,12.73,13.56,9720514,0
2017-08-09,13.7,13.71,13.18,13.46,4261261,0
2017-08-10,13.55,14.4,13.47,13.81,4532991,0
2017-08-11,13.73,14.05,13.6371,13.86,2185610,0
2017-08-14,13.91,14.16,13.66,13.71,2334177,0
2017-08-15,13.6,13.64,13.1,13.35,2334122,0
2017-08-16,13.41,13.66,12.84,13.21,2697231,0
2017-08-17,13.21,14.1662,13.19,13.4,3480437,0
2017-08-18,13.38,14.05,13.25,13.72,2493572,0
2017-08-21,13.52,13.61,13.34,13.44,1499007,0
2017-08-22,13.5,13.84,13.5,13.53,1389936,0
2017-08-23,13.52,13.94,13.38,13.56,2350300,0
2017-08-24,13.43,13.66,13.39,13.47,1860571,0
2017-08-25,13.53,13.61,13.1701,13.35,2555055,0
2017-08-28,13.35,13.38,12.05,12.48,5515864,0
2017-08-29,12.21,12.53,11.73,12.46,3770051,0
2017-08-30,12.38,13.23,12.12,12.77,3691416,0
2017-08-31,12.96,13.9901,12.93,13.44,5371582,0
2017-09-01,13.5,13.91,13.26,13.68,3539978,0
2017-09-05,13.77,14.31,12.8899,12.99,4252080,0
2017-09-06,13.13,13.54,13.13,13.26,2547473,0
2017-09-07,12.82,13.13,12.005,12.02,5939956,0
2017-09-08,11.96,12.02,11.1,11.38,7075547,0
2017-09-11,11.44,11.89,11.38,11.66,3147521,0
2017-09-12,11.79,12.68,11.77,12.37,5853279,0
2017-09-13,12.5,13.93,12.5,13.72,7240213,0
2017-09-14,13.84,14.655,13.76,14.1,6098079,0
2017-09-15,14.05,14.25,13.6,13.78,6081945,0
2017-09-18,13.69,13.94,13.27,13.76,3238706,0
2017-09-19,13.88,14.15,13.74,14.09,3494495,0
2017-09-20,14.19,15.015,14.16,14.67,4572992,0
2017-09-21,14.59,14.72,14.31,14.7,2524608,0
2017-09-22,14.66,14.8898,14.35,14.44,3852709,0
2017-09-25,14.63,15.72,14.63,15.71,4048553,0
2017-09-26,15.48,17.12,15.36,16.915,7769126,0
2017-09-27,16.98,17.32,16.459,17.25,5420002,0
2017-09-28,17.33,17.7,16.83,17.27,4154567,0
2017-09-29,17.13,17.3868,16.8,17.13,2821742,0
2017-10-02,16.75,17.44,16.28,17.36,3172811,0
2017-10-03,17.24,17.41,16.89,17.24,5031705,0
2017-10-04,17.33,17.61,16.42,16.56,3107453,0
2017-10-05,16.76,17.49,16.6201,17.2,4040640,0
2017-10-06,16.9,17.09,16.7,16.82,4185304,0
2017-10-09,16.8,17,16.27,16.51,2607101,0
2017-10-10,16.62,16.95,16.4,16.44,3191073,0
2017-10-11,16.46,16.755,15.73,16.67,5076993,0
2017-10-12,16.31,16.7,15.78,16.28,4568941,0
2017-10-13,16.55,16.85,16.19,16.24,2160928,0
2017-10-16,16.37,16.54,16.1,16.16,2040106,0
2017-10-17,16.23,16.66,16.02,16.5,2768599,0
2017-10-18,16.48,16.7845,15.81,15.85,2968214,0
2017-10-19,15.59,15.79,15.12,15.52,1931971,0
2017-10-20,15.59,16,15.21,15.94,2688247,0
2017-10-23,15.97,16.06,14.93,14.94,3673402,0
2017-10-24,15,15.57,14.665,14.86,4198411,0
2017-10-25,14.72,15.21,14.66,15.1,3491506,0
2017-10-26,15.18,15.34,14.36,15.3,2990452,0
2017-10-27,15.13,16.1859,14.67,16,3537161,0
2017-10-30,15.895,16.93,15.895,16.71,2701322,0
2017-10-31,16.74,17.8653,16.53,17.69,3401603,0
2017-11-01,17.95,18.68,17.89,18.17,3982508,0
2017-11-02,18.2,18.63,17.61,17.98,2410954,0
2017-11-03,17.97,19.47,17.8,19.04,3358497,0
2017-11-06,19.07,20.36,18.955,19.97,5105555,0
2017-11-07,19.97,20.29,19.28,19.49,5236698,0
2017-11-08,20.26,20.72,18.65,18.79,5865914,0
2017-11-09,18.99,20.26,18.93,19.97,6199023,0
2017-11-10,19.98,20.62,19.76,20.06,5306857,0
