Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,73.247,73.791,72.614,73.15,1255644,0
2017-01-04,73.215,73.466,73.036,73.255,1242425,0
2017-01-05,73.093,73.539,72.76,73.239,688159,0
2017-01-06,73.458,74.213,73.069,73.864,1142705,0
2017-01-09,73.669,74.079,73.052,73.685,1198820,0
2017-01-10,73.767,74.262,73.434,73.572,901875,0
2017-01-11,73.466,74.464,73.466,74.318,1526668,0
2017-01-12,74.091,74.284,72.926,73.937,873275,0
2017-01-13,74.042,74.765,73.994,74.505,1585762,0
2017-01-17,74.489,74.887,73.466,73.775,1827266,0
2017-01-18,73.961,75.99,73.693,75.933,1908364,0
2017-01-19,75.812,75.885,74.903,75.179,1130593,0
2017-01-20,75.52,76.356,75.236,75.471,1260897,0
2017-01-23,75.447,75.852,74.18,75.033,1494288,0
2017-01-24,75.325,76.891,75.122,76.591,1396572,0
2017-01-25,77.102,77.833,76.331,77.703,3170666,0
2017-01-26,73.596,74.538,71.9,72.655,5640117,0
2017-01-27,72.801,73.596,72.76,73.255,2941999,0
2017-01-30,72.971,74.132,72.419,73.961,3595148,0
2017-01-31,73.896,74.067,72.874,74.01,2472195,0
2017-02-01,74.27,75,70.24,71.24,5190424,0
2017-02-02,71,75.57,71,74.95,4521068,0
2017-02-03,75.65,76.945,75.22,76.7,3980322,0
2017-02-06,76.39,76.73,75.54,76.3,2363726,0
2017-02-07,76.57,78.49,76.32,77.65,2985243,0
2017-02-08,77.24,78.165,76.875,77.69,2468636,0
2017-02-09,77.91,79.375,77.64,78.42,2859330,0
2017-02-10,78.47,79.01,77.83,78.55,1912688,0
2017-02-13,78.55,79.365,78.55,78.78,2855840,0
2017-02-14,78.6,79.36,78.05,78.93,2054977,0
2017-02-15,78.72,80.54,78.14,80.16,2383945,0
2017-02-16,80.43,80.74,79.46,79.96,2102862,0
2017-02-17,79.75,80.77,79.68,80.5,1932142,0
2017-02-21,80.52,81.1,80.18,80.77,1824372,0
2017-02-22,80.43,80.89,79.81,80.17,1630944,0
2017-02-23,80.32,80.47,79.31,79.93,1238946,0
2017-02-24,79.73,80.19,78.9293,80.18,1031219,0
2017-02-27,80.13,80.34,79.555,80.16,755694,0
2017-02-28,79.47,79.82,78.91,78.95,1711456,0
2017-03-01,79.72,80.97,79.23,80.77,1495949,0
2017-03-02,80.4,80.4,79.19,79.33,1741771,0
2017-03-03,79.51,80.11,78.88,79.95,1268911,0
2017-03-06,79.9,80,79.1058,79.66,1673101,0
2017-03-07,79.72,80.39,79.39,79.9,1307628,0
2017-03-08,79.92,80.58,79.42,79.92,1101963,0
2017-03-09,79.91,80.07,78.49,79.03,1487105,0
2017-03-10,79.36,79.79,79.06,79.53,1073227,0
2017-03-13,79.56,87.99,79.05,84.93,5459013,0
2017-03-14,84.51,84.7733,81.04,82.02,5427900,0
2017-03-15,81.65,83.22,81.45,82.51,3211466,0
2017-03-16,82.77,82.99,81.91,82.57,1546801,0
2017-03-17,83.03,83.07,82.1,82.72,2238142,0
2017-03-20,82.81,82.96,81.95,82.49,1246785,0
2017-03-21,82.74,82.83,81.46,81.51,2175844,0
2017-03-22,81.81,82.68,81.33,82.2,1106184,0
2017-03-23,82.07,84.14,81.73,83.39,3846168,0
2017-03-24,83.67,84.75,82.94,83.14,1416863,0
2017-03-27,82.7,84.35,81.88,83.57,1802972,0
2017-03-28,83.97,84.2,83.23,83.99,1451980,0
2017-03-29,83.55,83.83,82.33,83.59,1038463,0
2017-03-30,83.46,84.25,83.46,84.11,935599,0
2017-03-31,83.55,84.1184,83.37,83.39,1357406,0
2017-04-03,83.54,84.08,82.79,83.44,1901826,0
2017-04-04,83.42,83.98,82.67,83.3,901073,0
2017-04-05,83.7,84.27,82.695,82.96,933018,0
2017-04-06,83.1,83.34,82.51,83.05,723975,0
2017-04-07,83,83.5713,82.74,83.15,2021201,0
2017-04-10,83.2,83.68,82.94,83.44,643423,0
2017-04-11,83.24,83.83,82.76,83.68,1329414,0
2017-04-12,83.7,83.89,82.8,83,576076,0
2017-04-13,83.06,83.68,82.77,82.96,705040,0
2017-04-17,83.37,83.7299,83,83.44,1125437,0
2017-04-18,83.35,83.63,82.55,83.12,816421,0
2017-04-19,83.53,84.11,83.08,83.23,1695202,0
2017-04-20,83.69,83.93,83.19,83.67,1699763,0
2017-04-21,83.64,83.77,82.86,83.09,1267379,0
2017-04-24,84.43,84.5,83.31,84.37,1613717,0
2017-04-25,84.73,84.73,83.8,84.05,1463842,0
2017-04-26,84.65,84.66,83.5,84.12,1579736,0
2017-04-27,84.6,84.82,80.53,81.44,3705931,0
2017-04-28,81.48,81.64,80.1,80.94,2528427,0
2017-05-01,81.24,81.9,81.01,81.75,1349524,0
2017-05-02,82.03,82.03,81.03,81.29,1553143,0
2017-05-03,87.52,87.95,86.06,87.05,4006118,0
2017-05-04,86.98,87.15,85.93,86.55,3313421,0
2017-05-05,86.62,87.5,86.33,87.48,1634890,0
2017-05-08,87.19,87.48,86.34,87.19,1043762,0
2017-05-09,86.98,87.1799,86.5,86.82,2242692,0
2017-05-10,86.86,87.28,86.5,86.99,877023,0
2017-05-11,86.39,87.17,86.21,87.11,1236620,0
2017-05-12,87.08,87.08,85.9,85.92,1522265,0
