Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.9,6.9,6.77,6.81,32422,0
2017-01-04,6.82,6.9,6.51,6.87,45309,0
2017-01-05,6.79,6.88,6.71,6.85,22431,0
2017-01-06,6.72,6.7675,6.5901,6.65,14686,0
2017-01-09,6.66,6.66,6.4908,6.59,20666,0
2017-01-10,6.55,6.67,6.5,6.66,26289,0
2017-01-11,6.66,6.66,6.39,6.39,13379,0
2017-01-12,6.42,6.73,6.27,6.64,185553,0
2017-01-13,6.7,6.88,6.57,6.71,15137,0
2017-01-17,6.74,6.74,6.5,6.58,38328,0
2017-01-18,6.53,6.755,6.45,6.68,23537,0
2017-01-19,6.72,6.72,6.23,6.34,26901,0
2017-01-20,6.37,6.53,6.32,6.43,7534,0
2017-01-23,6.43,6.5,6.34,6.45,14036,0
2017-01-24,6.51,6.52,6.35,6.47,32537,0
2017-01-25,6.47,6.6,6.46,6.59,10263,0
2017-01-26,6.69,6.73,6.59,6.59,18481,0
2017-01-27,6.56,6.719,6.56,6.65,8402,0
2017-01-30,6.59,6.6,6.45,6.54,14991,0
2017-01-31,6.54,6.57,6.31,6.5,18031,0
2017-02-01,6.58,6.58,6.26,6.35,5988,0
2017-02-02,6.27,6.32,5.92,6.16,28686,0
2017-02-03,6.14,6.35,5.99,6.01,20512,0
2017-02-06,5.99,6.325,5.732,6.3,23610,0
2017-02-07,6.24,6.3,6.14,6.26,15492,0
2017-02-08,6.24,6.26,6.16,6.22,14207,0
2017-02-09,6.25,6.25,6.13,6.14,10117,0
2017-02-10,6.15,6.16,6.02,6.16,12062,0
2017-02-13,6.09,6.25,5.98,5.98,11155,0
2017-02-14,6.01,6.3,6.01,6.29,28346,0
2017-02-15,6.22,6.3,5.935,6.065,43221,0
2017-02-16,6.05,6.16,6,6.06,25359,0
2017-02-17,5.99,6.1,5.99,6.1,42294,0
2017-02-21,6.0999,6.11,6.05,6.09,52639,0
2017-02-22,5.7382,6.45,5.7382,6.36,73045,0
2017-02-23,6.3,6.41,6.18,6.41,87606,0
2017-02-24,6.34,6.51,6.13,6.5,43651,0
2017-02-27,6.45,6.45,6.3,6.37,23373,0
2017-02-28,6.2573,6.39,6.25,6.32,20832,0
2017-03-01,6.3792,6.53,6.37,6.49,40134,0
2017-03-02,6.4692,6.7,6.4692,6.54,30904,0
2017-03-03,6.42,6.68,6.26,6.34,11229,0
2017-03-06,6.364,6.7,6.26,6.33,15126,0
2017-03-07,6.27,6.3,6.06,6.19,53886,0
2017-03-08,6.1501,6.1501,5.94,6.08,24241,0
2017-03-09,5.9601,6.25,5.94,6.08,16751,0
2017-03-10,6.27,6.27,5.95,5.96,21894,0
2017-03-13,6.09,6.09,5.73,5.97,33853,0
2017-03-14,5.5,5.5,4.9,5.03,198047,0
2017-03-15,5.09,5.15,4.93,4.93,60756,0
2017-03-16,5,5.06,4.9261,4.95,90220,0
2017-03-17,4.9523,5.65,4.93,5,163971,0
2017-03-20,5,5.285,4.85,4.85,44725,0
2017-03-21,4.8,4.95,4.55,4.61,67794,0
2017-03-22,4.55,4.62,4.39,4.41,43569,0
2017-03-23,4.44,4.5223,4.355,4.37,124240,0
2017-03-24,4.4,4.52,4.4,4.44,41673,0
