Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,26.826,26.947,25.863,26.05,14009,0
2017-01-04,26.059,26.279,25.546,25.949,17537,0
2017-01-05,25.818,25.93,25.154,25.379,20227,0
2017-01-06,25.462,25.844,24.921,25.818,17145,0
2017-01-09,25.612,25.724,24.186,25.667,8134,0
2017-01-10,25.565,25.667,24.318,25.658,11672,0
2017-01-11,24.384,26.331,24.384,25.686,22162,0
2017-01-12,24.71,26.555,23.937,25.302,15823,0
2017-01-13,23.4,25.22,23.373,25.032,9570,0
2017-01-17,23.473,25.265,23.472,24.996,17455,0
2017-01-18,25.069,25.22,23.691,24.519,10474,0
2017-01-19,24.696,25.042,24.286,24.295,10314,0
2017-01-20,23.849,24.562,23.792,23.811,9198,0
2017-01-23,23.624,23.932,23.492,23.492,3901,0
2017-01-24,23.661,24.468,23.661,24.468,4965,0
2017-01-25,24.834,24.871,24.398,24.843,3006,0
2017-01-26,25.201,25.351,25.003,25.303,7918,0
2017-01-27,25.632,25.632,24.163,24.909,2325,0
2017-01-30,25.303,25.303,24.619,24.76,5426,0
2017-01-31,25.068,25.116,24.047,24.534,11336,0
2017-02-01,24.829,24.834,24.262,24.646,4052,0
2017-02-02,24.976,24.976,24.308,24.308,2842,0
2017-02-03,24.623,24.684,24.345,24.6,8190,0
2017-02-06,24.496,25.436,24.496,25.322,24621,0
2017-02-07,25.436,25.436,24.626,25.21,7714,0
2017-02-08,25.192,25.192,24.327,24.788,10892,0
2017-02-09,24.56,25.006,24.525,24.881,4670,0
2017-02-10,25.125,25.154,24.001,24.881,5644,0
2017-02-13,25.106,25.257,24.919,25.22,4922,0
2017-02-14,25.239,25.436,24.928,25.284,7385,0
2017-02-15,25.303,25.386,24.345,25.125,4930,0
2017-02-16,24.788,25.436,24.788,25.275,6825,0
2017-02-17,25.388,25.436,24.881,25.303,11879,0
2017-02-21,25.22,25.303,24.816,25.303,3530,0
2017-02-22,25.144,25.257,24.788,24.976,5624,0
2017-02-23,24.834,24.957,24.769,24.806,2876,0
2017-02-24,24.418,24.928,24.418,24.9,3889,0
2017-02-27,25.182,25.21,24.609,24.797,4697,0
2017-02-28,24.914,25.166,24.412,24.422,10234,0
2017-03-01,24.816,25.05,24.422,24.797,4722,0
2017-03-02,24.985,24.985,24.412,24.571,3065,0
2017-03-03,24.29,24.431,24.244,24.412,2440,0
2017-03-06,24.488,24.703,24.412,24.544,5017,0
2017-03-07,24.656,24.693,24.412,24.422,12278,0
