Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,98.959,99.79,97.455,98.072,269603,0
2017-01-04,98.61,99.84,97.744,98.112,562459,0
2017-01-05,97.963,99.498,97.405,97.684,269971,0
2017-01-06,97.903,98.719,97.027,97.774,211864,0
2017-01-09,97.833,97.833,95.733,95.762,165947,0
2017-01-10,96.19,97.774,96.165,97.455,191011,0
2017-01-11,97.574,98.082,97.097,97.495,187905,0
2017-01-12,96.977,97.286,95.177,97.087,184574,0
2017-01-13,97.305,98.381,96.808,96.987,271319,0
2017-01-17,96.25,96.877,94.786,95.204,271786,0
2017-01-18,95.413,95.961,95.085,95.404,391173,0
2017-01-19,95.483,95.777,93.771,95.394,432092,0
2017-01-20,95.423,96.27,95.006,96.001,419040,0
2017-01-23,95.742,96.32,94.348,95.214,289922,0
2017-01-24,95.135,97.734,95.135,96.857,352854,0
2017-01-25,97.624,97.993,97.027,97.774,164203,0
2017-01-26,97.724,98.391,97.246,98.042,217852,0
2017-01-27,98.142,98.471,96.85,97.485,202356,0
2017-01-30,96.947,97.694,95.802,97.525,299860,0
2017-01-31,96.748,97.973,95.703,97.644,225231,0
2017-02-01,98.142,98.54,96.499,96.768,359190,0
2017-02-02,96.838,97.176,95.254,95.951,382539,0
2017-02-03,96.808,98.57,96.061,98.262,294053,0
2017-02-06,98.202,98.774,97.196,97.983,198661,0
2017-02-07,98.64,99.52,97.594,97.923,151098,0
2017-02-08,97.704,97.883,96.509,97.166,147360,0
2017-02-09,97.166,98.321,96.907,98.162,282396,0
2017-02-10,98.59,99.51,98.381,99.31,176689,0
2017-02-13,99.89,100.32,99.428,99.91,184386,0
2017-02-14,99.53,100.16,99.008,99.87,184606,0
2017-02-15,99.58,99.97,98.879,99.038,412296,0
2017-02-16,97.007,98.471,95.349,95.583,926004,0
2017-02-17,95.344,96.937,94.696,96.937,475825,0
2017-02-21,96.937,98.102,96.937,97.893,551363,0
2017-02-22,97.554,98.012,97.345,97.823,264956,0
2017-02-23,98.002,98.002,96.434,97.216,214171,0
2017-02-24,96.051,97.425,95.982,97.415,177313,0
2017-02-27,97.117,98.854,97.117,98.819,228022,0
2017-02-28,98.759,99.028,97.117,97.415,269387,0
2017-03-01,98.58,99.73,98.58,99.108,331449,0
2017-03-02,98.899,98.899,96.28,96.489,307764,0
2017-03-03,96.569,96.967,95.921,96.18,357636,0
2017-03-06,95.254,96.4,95.254,95.991,162408,0
2017-03-07,95.563,96.23,95.045,95.583,186521,0
2017-03-08,96.021,96.34,95.404,95.473,194411,0
2017-03-09,95.374,96.041,94.547,94.816,175960,0
2017-03-10,95.713,96.071,94.358,95.244,136044,0
2017-03-13,95.165,95.787,94.916,95.693,148574,0
2017-03-14,95.284,95.314,94.129,94.956,86098,0
2017-03-15,95.483,96.17,94.976,95.882,234851,0
2017-03-16,96.449,96.728,95.294,95.523,147702,0
2017-03-17,95.294,95.782,94.269,95.364,718187,0
2017-03-20,95.125,95.458,94.259,94.408,322468,0
2017-03-21,95.155,95.155,92.138,92.695,257033,0
2017-03-22,92.416,92.974,91.351,91.62,197123,0
2017-03-23,91.491,92.526,91.311,92.188,195036,0
2017-03-24,92.108,92.645,90.514,90.834,192863,0
2017-03-27,89.24,90.674,88.624,90.504,277126,0
2017-03-28,90.006,91.602,89.916,90.904,339276,0
2017-03-29,90.714,90.714,89.786,90.295,224265,0
