Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.25,3.25,3.06,3.17,33111,0
2017-01-04,3.22,3.3,3.13,3.13,28200,0
2017-01-05,3.09,3.14,3.09,3.14,12923,0
2017-01-06,3.12,3.25,3.1001,3.191,10571,0
2017-01-09,3.24,3.26,3.15,3.24,6433,0
2017-01-10,3.1226,3.31,3.1226,3.29,5790,0
2017-01-11,3.28,3.28,3.18,3.2166,7410,0
2017-01-12,3.18,3.2,3.1093,3.19,10725,0
2017-01-13,3.2,3.2,3.15,3.2,2031,0
2017-01-17,3.17,3.269,3.17,3.18,2449,0
2017-01-18,3.22,3.3599,3.2,3.27,14465,0
2017-01-19,3.32,3.32,3.13,3.15,29635,0
2017-01-20,3.1342,3.1499,3.09,3.09,12400,0
2017-01-23,3.09,3.28,3.05,3.2,32334,0
2017-01-24,3.23,3.306,3.23,3.27,5124,0
2017-01-25,3.21,3.21,3.1142,3.18,3666,0
2017-01-26,3.1609,3.382,3.1609,3.382,10114,0
2017-01-27,3.3,3.36,3.22,3.36,5495,0
2017-01-30,3.32,3.32,3.25,3.25,20534,0
2017-01-31,3.2828,3.2828,3.24,3.24,4984,0
2017-02-01,3.2401,3.25,3.15,3.19,9974,0
2017-02-02,3.239,3.36,3.1801,3.36,16483,0
2017-02-03,3.29,3.35,3.25,3.35,11738,0
2017-02-06,3.26,3.3418,3.2001,3.25,13491,0
2017-02-07,3.232,3.232,3.15,3.19,5344,0
2017-02-08,3.19,3.21,3.1832,3.21,2148,0
2017-02-09,3.18,3.2,3.18,3.2,3024,0
2017-02-10,3.2,3.21,3.18,3.185,18942,0
2017-02-13,3.21,3.24,3.16,3.23,3301,0
2017-02-14,3.29,3.32,3.19,3.28,10452,0
2017-02-15,3.24,3.3234,2.8201,3.23,39040,0
2017-02-16,3.29,3.3699,3.14,3.24,11770,0
2017-02-17,3.16,3.21,3.16,3.21,5868,0
2017-02-21,3.254,3.254,3.05,3.22,42057,0
2017-02-22,3.17,3.4,3.17,3.28,16790,0
2017-02-23,3.2,3.28,3.11,3.11,10686,0
2017-02-24,3.11,3.35,3.03,3.17,29067,0
2017-02-27,3.3,3.4,3.1799,3.4,45447,0
2017-02-28,3.5,3.57,3.3,3.56,33073,0
2017-03-01,3.59,3.87,3.4,3.72,40308,0
2017-03-02,3.62,3.8,3.1558,3.57,22214,0
2017-03-03,3.7,3.74,3.55,3.58,23964,0
2017-03-06,3.53,3.78,3.53,3.5401,18965,0
2017-03-07,3.6155,3.73,3.6155,3.7,33846,0
2017-03-08,3.6,3.7817,3.6,3.62,18080,0
2017-03-09,3.63,4.057,3.479,3.91,53541,0
2017-03-10,4.03,4.07,3.75,3.75,56515,0
2017-03-13,3.8973,3.9841,3.65,3.78,43959,0
2017-03-14,3.85,3.85,3.406,3.41,57874,0
2017-03-15,3.5,3.57,3.37,3.37,14040,0
2017-03-16,3.4772,3.79,3.35,3.6,26341,0
2017-03-17,3.69,3.76,3.53,3.58,44179,0
2017-03-20,3.62,3.62,3.4,3.57,53421,0
2017-03-21,3.51,3.7,3.42,3.55,55657,0
2017-03-22,3.5852,3.6999,3.48,3.5,17099,0
2017-03-23,3.67,3.68,3.48,3.5,27901,0
2017-03-24,3.45,3.57,3.35,3.53,24807,0
2017-03-27,3.47,3.7519,3.46,3.7519,14842,0
2017-03-28,2.08,2.18,1.96,2.01,5817714,0
2017-03-29,2.03,2.15,2.02,2.07,914537,0
2017-03-30,2.2,2.39,2.07,2.39,986094,0
2017-03-31,2.39,2.4,2.26,2.37,416778,0
2017-04-03,2.42,2.42,2.2221,2.34,333595,0
2017-04-04,2.3515,2.3515,2.15,2.15,256738,0
2017-04-05,2.17,2.17,2.01,2.14,356223,0
2017-04-06,2.16,2.2,2.07,2.11,141744,0
2017-04-07,2.09,2.15,2.07,2.15,45646,0
2017-04-10,2.15,2.22,2.15,2.19,132023,0
2017-04-11,2.16,2.29,2.16,2.22,162443,0
2017-04-12,2.24,2.27,2.2,2.26,114481,0
2017-04-13,2.23,2.35,2.2,2.21,306503,0
2017-04-17,2.19,2.31,2.19,2.31,90658,0
2017-04-18,2.3,2.3,2.21,2.3,82408,0
2017-04-19,2.3,2.35,2.2507,2.28,134993,0
2017-04-20,2.27,2.41,2.27,2.38,133778,0
2017-04-21,2.4,2.46,2.35,2.43,110925,0
2017-04-24,2.5,2.5,2.4,2.41,43265,0
2017-04-25,2.43,2.45,2.3,2.4,100827,0
2017-04-26,2.4,2.48,2.3,2.36,79538,0
2017-04-27,2.37,2.43,2.3,2.41,94736,0
2017-04-28,2.41,2.45,2.3886,2.41,51528,0
2017-05-01,2.45,2.46,2.4,2.4,69704,0
2017-05-02,2.42,2.45,2.335,2.37,45629,0
2017-05-03,2.39,2.45,2.39,2.45,125697,0
2017-05-04,2.44,2.444,2.32,2.36,65073,0
2017-05-05,2.45,2.65,2.4,2.65,258582,0
2017-05-08,2.63,2.83,2.5,2.76,285477,0
2017-05-09,2.7852,2.79,2.67,2.67,138713,0
2017-05-10,2.7,2.81,2.68,2.78,88433,0
2017-05-11,2.8,3.17,2.8,3.13,353445,0
2017-05-12,3.15,3.15,2.89,3.08,127657,0
2017-05-15,3.12,3.24,3.1001,3.2,118667,0
2017-05-16,3.22,3.2299,3.1601,3.2,45554,0
2017-05-17,3.16,3.2,3.05,3.19,73263,0
2017-05-18,3.19,3.26,3.05,3.205,82223,0
2017-05-19,3.24,3.42,3.23,3.42,121900,0
2017-05-22,3.42,3.43,3.36,3.38,45123,0
2017-05-23,3.43,3.45,3.25,3.44,44112,0
2017-05-24,3.3924,3.4352,3.26,3.31,45998,0
2017-05-25,3.33,3.36,3.27,3.34,24047,0
2017-05-26,3.32,3.3485,3.2838,3.32,25965,0
2017-05-30,3.32,3.32,3.0801,3.18,69361,0
2017-05-31,3.2,3.2,3.1201,3.2,45047,0
2017-06-01,3.21,3.4,3.21,3.36,53139,0
2017-06-02,3.39,3.63,3.39,3.6,114558,0
2017-06-05,3.6,3.6,3.52,3.57,25172,0
2017-06-06,3.6,3.89,3.5851,3.89,158815,0
2017-06-07,3.99,4.1,3.71,3.93,268364,0
2017-06-08,3.91,4.05,3.91,4.01,44190,0
2017-06-09,4.09,4.15,3.98,4.06,154647,0
2017-06-12,4.48,4.48,4.006,4.33,235686,0
2017-06-13,4.33,4.3799,4.2,4.35,128182,0
2017-06-14,4.36,4.53,4.25,4.51,109929,0
2017-06-15,4.57,4.75,4.55,4.67,183680,0
2017-06-16,4.65,4.71,4.26,4.68,309540,0
2017-06-19,4.65,4.65,4.33,4.54,123589,0
2017-06-20,4.5,4.54,4.442,4.54,103953,0
2017-06-21,4.51,4.94,4.42,4.92,299096,0
2017-06-22,4.92,4.92,4.7,4.73,96358,0
2017-06-23,4.7,4.8,4.5,4.8,141474,0
2017-06-26,4.72,4.85,4.543,4.543,70496,0
2017-06-27,4.52,4.589,4.25,4.53,54505,0
2017-06-28,4.59,4.78,4.56,4.78,79175,0
