Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.157,17.901,17.157,17.355,6069,0
2017-01-04,17.469,17.495,17.355,17.355,13275,0
2017-01-06,17.456,17.456,17.456,17.456,716,0
2017-01-09,17.445,17.445,17.405,17.405,2017,0
2017-01-10,17.831,17.861,17.455,17.505,8704,0
2017-01-11,17.733,17.851,17.733,17.851,219,0
2017-01-13,17.801,17.801,17.801,17.801,151,0
2017-01-17,17.801,17.851,17.713,17.851,3457,0
2017-01-18,17.851,18.099,17.801,18.099,4645,0
2017-01-19,17.901,18.605,17.901,18.347,4721,0
2017-01-20,18.377,18.471,18.377,18.471,617,0
2017-01-23,18.505,18.505,18.505,18.505,100,0
2017-01-24,18.545,19.835,18.341,19.835,4348,0
2017-01-25,19.487,19.487,18.852,18.852,308,0
2017-01-27,18.843,19.041,18.843,19.001,1521,0
2017-01-30,18.763,19.497,18.763,19.041,2148,0
2017-01-31,19.339,19.339,19.339,19.339,284,0
2017-02-01,19.191,19.191,18.843,18.843,1809,0
2017-02-02,19.111,19.239,19.091,19.239,5904,0
2017-02-03,19.239,20.083,18.856,19.091,14838,0
2017-02-06,19.09,19.09,19.09,19.09,405,0
2017-02-07,18.645,19.785,18.645,19.546,2613,0
2017-02-08,18.933,18.933,18.893,18.893,1930,0
2017-02-10,19.914,20.4,19.914,20.4,2388,0
2017-02-15,19.239,19.239,19.239,19.239,100,0
2017-02-16,19.527,19.657,19.527,19.537,1138,0
2017-02-21,19.477,19.507,19.477,19.507,820,0
2017-02-22,19.15,19.607,19.141,19.429,4875,0
2017-02-24,19.557,19.557,19.557,19.557,164,0
2017-02-28,19.141,19.141,19.141,19.141,541,0
2017-03-01,19.329,19.777,19.239,19.777,2322,0
2017-03-02,19.497,19.497,19.497,19.497,100,0
2017-03-06,19.462,19.462,19.462,19.462,100,0
2017-03-08,19.091,19.091,19.091,19.091,404,0
2017-03-09,19.628,19.779,19.209,19.637,1381,0
2017-03-10,19.597,19.597,19.597,19.597,302,0
2017-03-14,19.299,19.448,19.299,19.448,202,0
2017-03-17,19.517,19.517,19.339,19.339,356,0
2017-03-20,19.319,19.319,19.319,19.319,257,0
2017-03-21,19.349,19.349,19.349,19.349,212,0
2017-03-22,19.134,19.136,18.159,18.297,3275,0
2017-03-23,18.347,18.347,18.347,18.347,1025,0
2017-03-27,17.891,18,17.851,17.91,5975,0
2017-03-28,17.851,17.851,17.851,17.851,2112,0
2017-03-29,17.901,17.901,17.901,17.901,425,0
2017-04-03,18.356,18.356,17.901,18.347,808,0
2017-04-04,18.348,18.348,18.348,18.348,291,0
2017-04-05,18.397,18.397,18.397,18.397,224,0
2017-04-06,18.397,19.279,18.397,18.843,2201,0
2017-04-07,19.487,19.487,19.487,19.487,324,0
2017-04-12,19.458,19.458,19.458,19.458,510,0
2017-04-13,18.347,18.429,18.297,18.389,1531,0
2017-04-18,18.347,18.347,18.347,18.347,1258,0
2017-04-19,18.347,18.347,18.347,18.347,1196,0
2017-04-21,18.347,18.595,18.347,18.545,3029,0
2017-04-24,18.743,19.289,18.743,19.285,2077,0
2017-04-25,19.239,19.587,19.191,19.587,5316,0
2017-04-26,19.658,20.443,19.658,20.284,8991,0
2017-04-27,20.314,20.314,20.125,20.125,553,0
2017-05-01,20.254,20.4,20.164,20.365,3958,0
2017-05-02,20.364,20.598,20.364,20.598,3854,0
2017-05-03,20.626,20.642,20.48,20.506,2134,0
2017-05-04,20.642,20.971,20.541,20.901,3619,0
2017-05-05,20.728,21.598,20.728,21.598,1363,0
2017-05-09,21.22,21.738,20.943,21.738,6851,0
2017-05-10,21.663,21.738,21.658,21.658,1657,0
2017-05-11,21.675,21.675,21.675,21.675,1380,0
2017-05-12,21.728,21.728,21.7,21.728,2751,0
2017-05-15,21.807,21.842,21.708,21.797,10914,0
2017-05-17,21.708,21.907,21.698,21.708,9878,0
2017-05-18,20.66,20.66,20.66,20.66,252,0
2017-05-22,20.702,21.2,20.662,21.2,2708,0
2017-05-23,21.409,22.085,21.409,22.066,5004,0
2017-05-24,22.227,22.475,22.227,22.415,5212,0
2017-05-25,22.534,22.534,22.485,22.485,1663,0
2017-05-26,22.523,22.524,22.365,22.405,4673,0
2017-05-30,22.355,22.355,22.355,22.355,100,0
2017-05-31,20.812,21.21,20.812,21.21,1048,0
2017-06-01,22.405,22.405,20.991,20.991,303,0
2017-06-07,20.812,20.812,20.812,20.812,6854,0
2017-06-09,21.011,21.011,21.011,21.011,219,0
2017-06-14,21.564,21.564,21.409,21.509,678,0
2017-06-15,22.385,22.385,22.385,22.385,122,0
2017-06-16,22.156,22.405,22.156,22.405,867,0
2017-06-22,22.405,22.405,22.395,22.395,335,0
2017-06-23,21.549,22.405,21.459,21.459,1142,0
2017-06-26,21.628,22.385,21.628,22.365,1411,0
2017-06-29,22.405,22.405,22.046,22.046,5228,0
2017-07-05,21.972,21.972,21.608,21.608,638,0
2017-07-06,21.608,21.608,21.582,21.608,5476,0
2017-07-07,21.608,21.867,21.559,21.857,7043,0
2017-07-10,21.787,21.807,21.643,21.648,3597,0
2017-07-11,21.558,22.126,21.558,21.628,7220,0
2017-07-12,21.608,21.624,21.519,21.608,6629,0
2017-07-13,21.608,21.897,21.548,21.608,12666,0
2017-07-14,21.957,21.957,21.755,21.807,1613,0
2017-07-17,22.206,22.395,22.056,22.056,2695,0
2017-07-18,22.156,22.395,21.807,22.395,4028,0
2017-07-19,21.907,21.907,21.907,21.907,653,0
2017-07-21,22.395,22.704,22.362,22.704,2847,0
2017-07-24,22.714,22.803,22.455,22.803,2031,0
2017-07-25,22.763,22.803,22.724,22.783,7952,0
2017-07-26,22.405,22.654,22.405,22.654,723,0
2017-07-27,22.355,22.355,22.155,22.155,791,0
2017-07-28,22.072,22.072,22.072,22.072,215,0
2017-07-31,21.91,22.231,21.807,21.807,8622,0
2017-08-01,21.977,22.026,21.907,21.907,6327,0
2017-08-02,21.907,21.907,21.907,21.907,1117,0
2017-08-03,21.907,21.907,21.907,21.907,605,0
2017-08-04,21.957,21.957,21.957,21.957,2008,0
2017-08-07,21.758,22.504,21.758,21.807,11090,0
2017-08-08,22.051,22.051,21.41,21.608,10916,0
2017-08-09,21.658,21.658,21.608,21.608,1744,0
2017-08-10,21.608,21.608,21.16,21.16,10789,0
2017-08-11,20.911,21.608,20.911,20.961,16082,0
2017-08-14,21.16,21.16,20.911,20.911,1512,0
2017-08-15,20.832,20.832,20.563,20.682,2410,0
2017-08-16,20.065,21.16,20.065,20.861,16177,0
2017-08-18,20.911,20.926,20.901,20.911,41127,0
2017-08-21,20.911,20.951,20.911,20.951,22288,0
2017-08-22,20.911,20.921,20.812,20.921,12134,0
2017-08-23,20.911,20.996,20.911,20.911,13735,0
2017-08-24,20.911,20.921,20.911,20.911,13059,0
2017-08-25,20.812,20.911,20.812,20.812,4186,0
2017-08-28,20.911,21.16,20.164,20.812,9757,0
2017-08-29,21.01,21.608,20.812,20.812,10154,0
2017-08-30,20.911,21.16,20.812,20.911,117229,0
2017-08-31,20.911,21.409,20.822,20.822,136209,0
2017-09-01,21.018,21.21,21.018,21.21,597,0
2017-09-05,21.21,22.504,21.2,22.355,23410,0
2017-09-06,22.285,22.803,22.285,22.773,16389,0
2017-09-07,22.026,22.753,21.967,22.554,12704,0
2017-09-08,22.684,23.55,22.504,22.853,10282,0
2017-09-11,23.162,24.147,23.102,23.401,14186,0
2017-09-12,23.401,23.57,23.152,23.192,7139,0
2017-09-13,23.122,23.769,23.122,23.321,9121,0
2017-09-14,23.401,23.769,23.281,23.58,15397,0
2017-09-15,23.53,23.739,22.803,23.281,38610,0
2017-09-18,23.301,23.739,23.182,23.6,10206,0
2017-09-19,23.401,23.739,23.211,23.54,6005,0
2017-09-20,23.889,23.899,23.889,23.899,2768,0
2017-09-21,23.889,23.978,23.351,23.978,3081,0
2017-09-22,23.152,23.829,23.132,23.65,4607,0
2017-09-25,23.6,23.6,22.355,22.355,3454,0
2017-09-27,23.002,23.002,22.813,22.853,973,0
2017-09-28,22.813,22.992,22.803,22.992,2294,0
2017-09-29,22.953,23.739,22.943,23.739,8668,0
2017-10-02,23.908,23.908,23.431,23.739,1403,0
2017-10-03,23.739,23.739,23.311,23.311,3375,0
2017-10-04,23.45,23.739,23.45,23.719,1613,0
2017-10-05,23.749,23.978,23.699,23.859,4443,0
2017-10-06,23.849,23.849,23.849,23.849,442,0
2017-10-09,23.799,23.859,23.799,23.829,1185,0
2017-10-11,23.978,23.978,23.739,23.799,4511,0
2017-10-12,23.799,23.799,23.799,23.799,149,0
2017-10-16,23.799,23.809,23.5,23.6,11141,0
2017-10-20,23.66,23.699,23.65,23.65,8878,0
2017-10-23,23.201,23.709,23.172,23.5,4925,0
2017-10-24,23.55,23.928,23.55,23.55,2358,0
2017-10-26,23.7,23.7,23.6,23.6,1553,0
2017-10-30,23.75,23.75,23.55,23.55,492,0
2017-10-31,23.5,23.5,23.46,23.46,1177,0
2017-11-01,23.5,23.5,23.5,23.5,246,0
2017-11-02,23.68,23.7,23.5,23.5585,2616,0
2017-11-03,23.5798,23.685,23.56,23.685,1914,0
2017-11-06,23.61,23.989,23.6,23.63,837,0
2017-11-08,23.6,23.6001,23.5,23.6,15627,0
2017-11-09,23.5,23.6,23.3,23.3,4702,0
2017-11-10,23.92,23.92,23.11,23.2099,1221,0
