Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,41.995,42.202,41.312,41.758,726626,0
2017-01-04,41.768,42.222,41.728,42.005,641437,0
2017-01-05,41.915,42.034,41.164,41.648,952818,0
2017-01-06,41.787,41.915,41.421,41.471,658729,0
2017-01-09,41.204,41.332,40.789,40.799,404495,0
2017-01-10,41.075,41.421,41.012,41.381,580292,0
2017-01-11,41.421,41.95,41.391,41.935,514360,0
2017-01-12,41.777,41.777,41.007,41.401,540391,0
2017-01-13,41.471,41.965,41.471,41.758,353172,0
2017-01-17,41.569,41.628,40.987,41.184,521799,0
2017-01-18,41.284,41.777,41.134,41.411,438603,0
2017-01-19,41.531,41.826,41.244,41.461,391206,0
2017-01-20,41.569,41.688,41.352,41.688,422176,0
2017-01-23,41.441,41.638,41.105,41.401,412174,0
2017-01-24,41.648,42.311,41.471,42.162,571836,0
2017-01-25,42.488,42.943,42.192,42.854,678294,0
2017-01-26,42.854,42.874,42.133,42.261,692739,0
2017-01-27,42.172,42.399,41.995,42.321,611060,0
2017-01-30,42.073,42.073,41.54,42.005,446673,0
2017-01-31,41.846,41.846,41.184,41.748,1556209,0
2017-02-01,41.885,42.068,41.152,41.511,630717,0
2017-02-02,41.491,41.748,41.214,41.481,623304,0
2017-02-03,41.648,42.113,41.534,41.915,396159,0
2017-02-06,41.688,41.849,41.105,41.362,456183,0
2017-02-07,41.342,41.648,41.194,41.441,384551,0
2017-02-08,41.244,41.401,40.997,41.085,331415,0
2017-02-09,41.224,41.521,40.967,41.421,320634,0
2017-02-10,41.794,41.833,41.466,41.804,347757,0
2017-02-13,41.972,42.24,41.863,42.062,334971,0
2017-02-14,41.644,41.836,41.546,41.644,325965,0
2017-02-15,41.585,41.962,41.416,41.873,326050,0
2017-02-16,41.902,42.032,41.615,41.813,231050,0
2017-02-17,41.595,41.942,41.386,41.912,291871,0
2017-02-21,41.992,42.2,41.873,42.101,294631,0
2017-02-22,41.853,42.478,41.853,42.468,449098,0
2017-02-23,42.686,42.796,42.062,42.121,1187360,0
2017-02-24,41.813,42.796,41.436,42.776,353661,0
2017-02-27,42.776,43.272,42.776,43.272,616116,0
2017-02-28,43.074,43.332,42.528,42.617,958446,0
2017-03-01,45.018,47.31,44.988,45.564,1767961,0
2017-03-02,45.723,45.832,44.71,44.81,933890,0
2017-03-03,44.671,45.137,44.671,44.84,701954,0
2017-03-06,44.403,44.84,44.304,44.73,521665,0
2017-03-07,44.602,44.86,44.403,44.472,405591,0
2017-03-08,44.582,44.77,44.145,44.175,379035,0
2017-03-09,44.135,44.185,43.411,43.659,546027,0
2017-03-10,43.887,44.234,43.619,44.185,492146,0
2017-03-13,44.194,44.492,44.185,44.462,298719,0
2017-03-14,44.135,44.324,43.848,44.175,297862,0
2017-03-15,44.383,45.078,44.106,44.919,501540,0
2017-03-16,45.088,45.088,44.582,44.76,273260,0
2017-03-17,44.77,44.909,44.572,44.77,939075,0
2017-03-20,44.562,45.038,44.482,44.82,331584,0
2017-03-21,45.118,45.128,43.917,44.016,477713,0
2017-03-22,44.016,44.472,43.768,44.354,422982,0
2017-03-23,44.462,45.088,44.234,44.661,474306,0
