Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,9.619,9.649,9.3438,9.393,199668,0
2017-01-04,9.4029,9.535,9.3536,9.521,324024,0
2017-01-05,9.57,9.885,9.56,9.816,280335,0
2017-01-06,9.757,9.846,9.57,9.688,286987,0
2017-01-09,9.659,9.688,9.3241,9.3339,194881,0
2017-01-10,9.4324,9.669,9.4324,9.629,155777,0
2017-01-11,9.629,9.738,9.551,9.619,116429,0
2017-01-12,9.708,9.747,9.585,9.698,293665,0
2017-01-13,9.639,9.875,9.629,9.836,190458,0
2017-01-17,10.023,10.2,9.846,10.181,243478,0
2017-01-18,10.161,10.22,9.91,9.984,106847,0
2017-01-19,9.915,9.974,9.846,9.925,126146,0
2017-01-20,9.895,10.063,9.816,9.954,149245,0
2017-01-23,10.013,10.141,9.915,10.013,112961,0
2017-01-24,10.033,10.319,10.033,10.259,284893,0
2017-01-25,10.191,10.387,10.191,10.348,233184,0
2017-01-26,10.25,10.328,10.112,10.161,285061,0
2017-01-27,10.161,10.21,9.875,9.915,326103,0
2017-01-30,9.846,10.122,9.807,9.944,228794,0
2017-01-31,10.043,10.112,9.767,9.856,209703,0
2017-02-01,9.875,9.969,9.672,9.944,273617,0
2017-02-02,9.895,10.003,9.816,9.875,191634,0
2017-02-03,9.826,9.994,9.757,9.915,111652,0
2017-02-06,9.915,10.102,9.915,10.102,183145,0
2017-02-07,10.082,10.181,10.003,10.171,241279,0
2017-02-08,10.122,10.22,10.082,10.2,167082,0
2017-02-09,10.181,10.289,10.141,10.171,256306,0
2017-02-10,10.22,10.476,10.22,10.338,222648,0
2017-02-13,10.338,10.427,10.21,10.23,129824,0
2017-02-14,10.22,10.407,10.2,10.368,441995,0
2017-02-15,10.338,10.427,10.279,10.378,273014,0
2017-02-16,10.387,10.407,10.151,10.2,307989,0
2017-02-17,10.092,10.254,9.787,9.826,457744,0
2017-02-21,9.807,9.807,9.2158,9.3339,610757,0
2017-02-22,9.3536,9.3733,8.9401,9.0681,258998,0
2017-02-23,9.1567,9.1567,8.7629,8.8613,456844,0
2017-02-24,8.8121,8.8121,8.6152,8.6349,371116,0
2017-02-27,8.7136,8.7432,8.369,8.4084,480751,0
2017-02-28,8.369,8.4576,8.2706,8.3296,498286,0
2017-03-01,8.3296,8.438,8.2509,8.2804,430503,0
2017-03-02,8.3001,8.3001,8.1623,8.182,437551,0
2017-03-03,8.241,8.561,8.2213,8.5463,396744,0
2017-03-06,8.4773,8.5807,8.3395,8.438,320334,0
2017-03-07,8.4281,8.438,8.2509,8.2804,278840,0
2017-03-08,8.2706,8.3592,8.1623,8.2804,257513,0
2017-03-09,8.2607,8.4084,8.241,8.3493,334808,0
2017-03-10,8.3986,8.6053,8.369,8.5463,256188,0
2017-03-13,8.6152,8.6447,8.3936,8.4675,184030,0
2017-03-14,8.4872,8.5069,8.3149,8.3592,194318,0
2017-03-15,8.4084,8.6644,8.3395,8.6447,212369,0
2017-03-16,8.6644,8.7629,8.5659,8.6841,175831,0
2017-03-17,8.8613,9.797,8.8613,9.767,971767,0
2017-03-20,12.14,12.337,11.53,12.012,4720662,0
2017-03-21,12.061,12.386,12.012,12.219,2918291,0
2017-03-22,12.258,12.682,12.16,12.435,1431792,0
2017-03-23,12.366,12.475,12.248,12.435,1077413,0
2017-03-24,12.435,12.563,12.406,12.524,586533,0
2017-03-27,12.938,13.1,12.662,12.731,2310762,0
2017-03-28,12.701,12.75,12.426,12.494,849712,0
2017-03-29,12.504,12.652,12.445,12.534,1059780,0
2017-03-30,12.554,12.603,12.406,12.426,540524,0
2017-03-31,12.465,12.475,12.219,12.435,775952,0
2017-04-03,12.426,12.603,12.317,12.475,737894,0
2017-04-04,12.435,12.445,12.317,12.357,453949,0
2017-04-05,12.327,12.701,12.288,12.622,656502,0
2017-04-06,12.583,12.721,12.554,12.593,321442,0
2017-04-07,12.603,12.79,12.563,12.573,360151,0
2017-04-10,12.603,12.78,12.573,12.691,336969,0
2017-04-11,12.75,12.77,12.366,12.682,475798,0
2017-04-12,12.652,12.652,12.504,12.613,320959,0
2017-04-13,12.593,12.682,12.298,12.366,771007,0
2017-04-17,12.366,12.554,12.366,12.485,300033,0
2017-04-18,12.406,12.426,12.229,12.357,509761,0
2017-04-19,12.357,12.357,11.904,12.101,607363,0
2017-04-20,12.16,12.209,11.953,12.012,430373,0
2017-04-21,12.012,12.032,11.884,11.953,705095,0
2017-04-24,11.923,12.179,11.914,12.179,1262059,0
2017-04-25,12.101,12.17,11.973,12.12,1181634,0
2017-04-26,12.14,12.219,12.012,12.012,1055023,0
2017-04-27,12.012,12.071,11.904,12.022,1211276,0
2017-04-28,12.081,12.11,11.81,11.973,1232046,0
2017-05-01,12.051,12.593,12.051,12.504,1326228,0
2017-05-02,12.534,12.593,12.406,12.554,882248,0
2017-05-03,12.504,12.573,12.46,12.494,390694,0
2017-05-04,12.485,12.534,12.12,12.189,311131,0
2017-05-05,12.248,12.416,12.184,12.357,314973,0
2017-05-08,12.317,12.603,12.317,12.544,246863,0
2017-05-09,12.593,12.691,12.524,12.583,410777,0
2017-05-10,12.593,12.642,12.357,12.406,373751,0
2017-05-11,12.406,13.44,12.317,12.642,1346227,0
2017-05-12,12.672,12.839,12.642,12.78,262422,0
2017-05-15,12.98,13.23,12.94,13.21,781213,0
2017-05-16,13.22,13.23,13.12,13.18,426461,0
2017-05-17,13.19,13.19,12.85,13.11,585185,0
2017-05-18,13.01,13.01,12.67,12.81,701760,0
2017-05-19,12.9,12.935,12.81,12.85,340659,0
2017-05-22,12.87,12.87,12.68,12.69,186538,0
2017-05-23,12.74,13.02,12.68,13,579869,0
2017-05-24,12.85,13.03,12.84,12.98,474236,0
