Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.116,17.232,16.807,17.184,67120,0
2017-01-04,17.194,17.368,17.098,17.224,38451,0
2017-01-05,17.28,17.31,16.903,17.098,29974,0
2017-01-06,17.204,17.204,16.817,16.837,36100,0
2017-01-09,16.807,16.807,16.247,16.555,44127,0
2017-01-10,16.876,16.894,16.605,16.884,33223,0
2017-01-11,16.894,17.059,16.537,16.847,37480,0
2017-01-12,16.662,16.768,16.421,16.595,31736,0
2017-01-13,16.746,17.01,16.671,16.866,27530,0
2017-01-17,16.731,16.913,16.546,16.565,15677,0
2017-01-18,16.731,16.847,16.439,16.635,23623,0
2017-01-19,16.625,16.701,16.296,16.459,30519,0
2017-01-20,16.449,16.721,16.319,16.509,40625,0
2017-01-23,16.595,16.595,16.208,16.247,21822,0
2017-01-24,16.439,16.519,16.045,16.324,25324,0
2017-01-25,16.741,16.741,16.131,16.189,19868,0
2017-01-26,16.194,16.393,16.073,16.102,22100,0
2017-01-27,16.141,16.171,15.957,16.082,19666,0
2017-01-30,16.071,16.214,15.838,15.973,34021,0
2017-01-31,16.003,16.09,15.823,15.993,30164,0
2017-02-01,16.169,16.286,15.837,15.915,23177,0
2017-02-02,15.896,16.17,15.856,15.983,7993,0
2017-02-03,16.022,16.217,15.993,16.12,11943,0
2017-02-06,16.431,16.431,15.866,15.925,17667,0
2017-02-07,16.022,16.061,15.827,16.003,14089,0
2017-02-08,15.856,16.1,15.827,15.944,17392,0
2017-02-09,16.061,16.246,15.925,16.1,12154,0
2017-02-10,16.149,16.47,15.935,16.393,15382,0
2017-02-13,16.343,16.654,16.28,16.52,24220,0
2017-02-14,16.637,16.637,16.222,16.47,17404,0
2017-02-15,16.48,16.781,16.353,16.646,26452,0
2017-02-16,16.684,16.801,16.47,16.607,16140,0
2017-02-17,16.87,16.87,16.353,16.51,35508,0
2017-02-21,16.48,16.48,16.188,16.412,19766,0
2017-02-22,16.276,16.294,16.022,16.08,35280,0
2017-02-23,16.327,16.363,16.197,16.246,17150,0
2017-02-24,16.052,16.47,16.022,16.46,42972,0
2017-02-27,16.52,16.529,16.08,16.412,47034,0
2017-02-28,16.431,16.431,15.935,16.178,19450,0
2017-03-01,16.383,16.47,16.08,16.44,13433,0
2017-03-02,16.48,16.48,16.149,16.217,29226,0
2017-03-03,16.421,16.421,15.945,16.207,19350,0
2017-03-06,16.1,16.197,16.013,16.032,9438,0
2017-03-07,16.071,16.46,15.983,16.343,28184,0
2017-03-08,16.48,16.48,16.286,16.286,19278,0
2017-03-09,16.304,16.314,16.08,16.11,20743,0
2017-03-10,16.217,16.314,15.925,15.973,12679,0
2017-03-13,16.022,16.1,15.944,16.052,10350,0
2017-03-14,16.207,16.304,16.003,16.159,16330,0
2017-03-15,16.169,16.363,16.013,16.159,22250,0
2017-03-16,16.12,16.286,16.071,16.178,14793,0
2017-03-17,16.12,17.726,16.11,17.629,196965,0
2017-03-20,17.259,17.405,16.987,17.074,69389,0
2017-03-21,17.191,17.23,16.908,17.045,36376,0
2017-03-22,17.055,17.055,16.52,16.646,33901,0
2017-03-23,16.637,16.801,16.515,16.637,14814,0
2017-03-24,16.762,16.762,16.421,16.587,19485,0
2017-03-27,16.343,16.928,16.09,16.771,13476,0
2017-03-28,16.627,16.908,16.44,16.762,18211,0
2017-03-29,16.714,16.958,16.46,16.627,12826,0
2017-03-30,16.684,17.045,16.654,16.908,29083,0
2017-03-31,16.938,17.269,16.908,17.162,28938,0
2017-04-03,17.152,17.152,16.821,16.86,21774,0
2017-04-04,16.977,17.069,16.734,16.841,17229,0
2017-04-05,16.898,16.948,16.704,16.771,29114,0
2017-04-06,16.81,16.938,16.48,16.538,26680,0
2017-04-07,16.694,16.762,16.412,16.674,18483,0
2017-04-10,16.744,16.908,16.637,16.821,11032,0
2017-04-11,16.811,17.055,16.771,16.987,9277,0
2017-04-12,16.664,17.055,16.664,16.977,12228,0
2017-04-13,16.843,16.977,16.724,16.771,9992,0
2017-04-17,16.753,17.259,16.753,17.249,14376,0
2017-04-18,17.162,17.249,16.908,17.094,14386,0
2017-04-19,16.45,17.211,16.45,16.928,15997,0
2017-04-20,16.928,16.938,16.547,16.928,13345,0
2017-04-21,16.821,17.065,16.557,16.587,34815,0
2017-04-24,16.753,17.035,16.276,16.314,42112,0
2017-04-25,16.314,16.314,16.022,16.08,40343,0
2017-04-26,16.265,16.403,16.174,16.246,74077,0
2017-04-27,16.286,16.55,16.276,16.354,32888,0
2017-04-28,16.668,16.668,16.168,16.364,34247,0
2017-05-01,16.168,16.531,16.1,16.364,28552,0
2017-05-02,16.325,16.55,16.227,16.384,48861,0
2017-05-03,16.384,16.541,16.197,16.197,22966,0
2017-05-04,16.276,16.374,16.217,16.266,31208,0
2017-05-05,16.462,16.462,16.207,16.286,10783,0
2017-05-08,16.209,16.354,15.185,15.411,166738,0
2017-05-09,15.451,15.765,15.323,15.559,31243,0
2017-05-10,15.559,15.706,15.471,15.657,27904,0
2017-05-11,15.677,15.677,15.461,15.49,17888,0
2017-05-12,15.471,15.519,15.421,15.48,31959,0
2017-05-15,15.431,15.833,15.421,15.657,41354,0
2017-05-16,15.715,15.775,15.382,15.589,11355,0
2017-05-17,15.461,15.647,15.225,15.48,21607,0
2017-05-18,15.48,15.677,15.333,15.333,21825,0
2017-05-19,15.313,15.497,15.244,15.293,33004,0
2017-05-22,15.549,15.549,15.146,15.205,22481,0
2017-05-23,15.346,15.401,15.087,15.205,44583,0
2017-05-24,15.215,15.509,15.195,15.313,73020,0
2017-05-25,15.313,15.569,15.313,15.391,85504,0
2017-05-26,15.421,15.539,15.274,15.323,16795,0
2017-05-30,15.411,15.451,15.225,15.343,48177,0
2017-05-31,15.461,15.461,15.298,15.411,48258,0
2017-06-01,15.431,15.795,15.431,15.755,20310,0
2017-06-02,15.833,15.883,15.677,15.735,21817,0
2017-06-05,15.853,15.912,15.471,15.49,66108,0
2017-06-06,15.471,15.687,15.471,15.607,17846,0
2017-06-07,15.745,15.804,15.579,15.598,17173,0
2017-06-08,15.755,15.843,15.519,15.597,21765,0
2017-06-09,15.682,15.883,15.627,15.775,30430,0
2017-06-12,15.765,16.099,15.627,15.775,28412,0
2017-06-13,15.833,15.961,15.539,15.951,14811,0
2017-06-14,15.912,15.912,15.755,15.755,26733,0
2017-06-15,15.745,15.932,15.715,15.843,16411,0
2017-06-16,15.755,15.981,15.667,15.725,59557,0
2017-06-19,15.828,16.059,15.755,15.941,40150,0
2017-06-20,15.843,16.119,15.765,15.824,7434,0
2017-06-21,15.932,16.119,15.76,15.853,26736,0
2017-06-22,15.697,16.011,15.667,15.706,10915,0
2017-06-23,15.667,15.795,15.431,15.647,91699,0
2017-06-26,15.607,15.753,15.514,15.559,21533,0
2017-06-27,15.627,15.755,15.461,15.597,10559,0
2017-06-28,15.627,16.02,15.579,15.755,18498,0
2017-06-29,15.814,15.824,15.589,15.677,25842,0
2017-06-30,15.677,15.76,15.589,15.617,16381,0
2017-07-03,15.725,15.981,15.647,15.745,18992,0
2017-07-05,15.667,15.667,15.431,15.49,12520,0
2017-07-06,15.431,15.471,15.303,15.362,14062,0
2017-07-07,15.382,15.687,15.382,15.48,17715,0
2017-07-10,15.391,15.569,15.293,15.293,13935,0
2017-07-11,15.303,15.541,15.146,15.333,45748,0
2017-07-12,15.146,15.569,15.146,15.441,14717,0
2017-07-13,15.589,15.607,15.293,15.499,17411,0
2017-07-14,14.586,15.136,14.41,15.058,21078,0
2017-07-17,14.93,15.038,14.812,14.881,24648,0
2017-07-18,14.881,14.94,14.684,14.763,33421,0
2017-07-19,14.684,15.008,14.684,14.842,29951,0
2017-07-20,14.95,14.979,14.694,14.792,17590,0
2017-07-21,15.068,15.068,14.478,14.576,27978,0
2017-07-24,14.646,14.646,14.252,14.34,51972,0
2017-07-25,14.42,14.704,14.42,14.556,18800,0
2017-07-26,14.636,14.684,14.488,14.566,20483,0
2017-07-27,14.488,14.734,14.478,14.704,33667,0
2017-07-28,14.734,15.121,14.734,15.051,74627,0
2017-07-31,15.041,15.13,14.823,14.952,48202,0
2017-08-01,15.051,15.091,14.664,14.714,20231,0
2017-08-02,14.724,15.091,14.694,15.071,120352,0
2017-08-03,15.041,15.081,14.744,14.773,18698,0
2017-08-04,14.792,15.021,14.645,15.002,25364,0
2017-08-07,14.962,15.011,14.694,14.813,44226,0
2017-08-08,14.724,15.101,14.724,14.873,19686,0
2017-08-09,14.823,15.031,14.823,15.021,23361,0
2017-08-10,14.932,15.2,14.932,15.011,23422,0
2017-08-11,14.922,15.071,14.734,14.902,24102,0
2017-08-14,14.952,15.269,14.912,15.17,17492,0
2017-08-15,15.259,15.507,15.16,15.259,32788,0
2017-08-16,15.319,15.477,15.17,15.18,15497,0
2017-08-17,15.17,15.259,14.942,15.011,14712,0
2017-08-18,14.922,15.071,14.922,14.952,23695,0
2017-08-21,14.912,15.051,14.873,14.962,17924,0
2017-08-22,15.002,15.101,15.002,15.091,7630,0
2017-08-23,15.051,15.16,15.051,15.101,9501,0
2017-08-24,15.19,15.319,14.892,15.15,14869,0
2017-08-25,15.17,15.299,15.16,15.21,11999,0
2017-08-28,15.21,15.21,14.892,14.972,14465,0
