Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.25,4.25,3.7501,4.2,143826,0
2017-01-04,4.25,4.25,4,4.2,42078,0
2017-01-05,4.1,4.25,4.08,4.25,56822,0
2017-01-06,4.15,4.225,4.15,4.2,11368,0
2017-01-09,4.2,4.2,4.05,4.2,22979,0
2017-01-10,4.1557,4.2,4.125,4.1596,6867,0
2017-01-11,4.2,4.35,4.1123,4.35,147282,0
2017-01-12,4.35,4.35,4.05,4.1,40641,0
2017-01-13,4.2,4.2,4.1,4.1,31970,0
2017-01-17,4.25,4.35,4.15,4.25,75218,0
2017-01-18,4.3,4.3,4.2,4.225,9441,0
2017-01-19,4.25,4.8,4.25,4.7,328878,0
2017-01-20,4.8,5.35,4.8,5.15,323519,0
2017-01-23,5.2,5.2912,4.757,5.1,146246,0
2017-01-24,5.15,5.2,4.9,5,59174,0
2017-01-25,5,5,4.8,4.85,41174,0
2017-01-26,4.9,4.95,4.6,4.6,46834,0
2017-01-27,4.6,4.85,4.6,4.7,26464,0
2017-01-30,5,6,5,5.75,919646,0
2017-01-31,5.8,5.8,5.4,5.55,217920,0
2017-02-01,5.4,5.6838,5.05,5.15,196785,0
2017-02-02,5.2,5.3,5.05,5.05,76617,0
2017-02-03,5,5.2,5,5.1,28545,0
2017-02-06,5.1,5.1001,4.9,4.9,62176,0
2017-02-07,4.9,4.9999,4.55,4.6,91569,0
2017-02-08,4.7,4.8748,4.6,4.85,51468,0
2017-02-09,4.7748,5,4.75,4.95,53426,0
2017-02-10,5,5,4.75,4.8,49498,0
2017-02-13,4.95,4.95,4.65,4.7,52611,0
2017-02-14,4.7,4.7345,4.45,4.6,141156,0
2017-02-15,4.6,4.65,4.4,4.65,89104,0
2017-02-16,4.6,4.875,4.6,4.8,55973,0
2017-02-17,4.7,4.8478,4.6,4.7,32150,0
2017-02-21,4.65,4.9,4.6,4.85,76771,0
2017-02-22,4.75,5,4.6,4.8,71464,0
2017-02-23,4.7,4.8,4.6653,4.8,27807,0
2017-02-24,4.881,4.9392,4.65,4.65,31225,0
2017-02-27,4.9,4.9,4.65,4.75,20472,0
2017-02-28,4.75,4.8253,4.65,4.65,35855,0
2017-03-01,4.75,4.8,4.65,4.7,44055,0
2017-03-02,4.6,4.75,4.55,4.7,57947,0
2017-03-03,4.6,4.7,4.6,4.65,23678,0
2017-03-06,4.7,4.7,4.6,4.65,37510,0
2017-03-07,4.8,4.8,4.45,4.475,62985,0
2017-03-08,4.45,4.55,4.4,4.4,51249,0
2017-03-09,4.45,4.55,4.35,4.45,49123,0
2017-03-10,4.4,4.4,4.3,4.3,70151,0
2017-03-13,4.4,4.45,4.15,4.4,33056,0
2017-03-14,4.3,4.4,4.25,4.25,22073,0
2017-03-15,4.35,4.35,4.15,4.2,58948,0
2017-03-16,4.3,4.3,4.1,4.15,28680,0
2017-03-17,4.2,4.2999,4.1,4.2,45792,0
2017-03-20,4.25,4.3,4.1,4.1,70902,0
2017-03-21,4.1,4.1743,3.9,4,77595,0
2017-03-22,3.9,4.25,3.85,4.05,66265,0
2017-03-23,4.15,4.2,4.1,4.13,10889,0
2017-03-24,4.15,4.25,4.0459,4.11,23663,0
2017-03-27,4.15,4.7,4.15,4.6,152475,0
2017-03-28,4,4.4,3.9,4.2,201383,0
2017-03-29,4.1,4.3,4.1,4.2,45010,0
2017-03-30,4.1576,4.25,4.1576,4.25,47283,0
2017-03-31,4.15,4.3,4.15,4.3,34856,0
2017-04-03,4.25,4.3,4.25,4.25,33022,0
2017-04-04,4.1,4.3001,4.1,4.25,31347,0
2017-04-05,4.2,4.45,4.1,4.2,186177,0
2017-04-06,4.1,4.2499,3.95,4,104894,0
2017-04-07,4,4.1,3.95,3.95,87638,0
2017-04-10,3.9,3.975,3.85,3.85,26645,0
2017-04-11,3.9,4.05,3.85,3.95,40547,0
2017-04-12,4.0451,4.1,3.9,3.925,20787,0
2017-04-13,3.9,4,3.85,3.85,52183,0
2017-04-17,3.9,4,3.9,3.9,23954,0
2017-04-18,3.95,4.149,3.9,4.05,23641,0
2017-04-19,4,4.1,4,4.05,11314,0
2017-04-20,4.1,4.1,3.85,4.05,38035,0
2017-04-21,4,4.1,3.95,4.095,13274,0
2017-04-24,4.1,4.15,4.05,4.1,20785,0
2017-04-25,4.1,4.2,4,4,40524,0
2017-04-26,4.1,4.25,4.081,4.25,39776,0
2017-04-27,4.5,4.5,4.2,4.25,42481,0
2017-04-28,4.2,4.2,4,4.2,11886,0
2017-05-01,4.15,4.1595,4.1,4.15,10262,0
2017-05-02,4.15,4.3,4.1,4.15,15146,0
2017-05-03,4.15,4.2,4.05,4.05,17792,0
2017-05-04,4.1,4.1,3.975,4.0005,32894,0
2017-05-05,4,4.0818,3.95,4.05,13995,0
2017-05-08,4.0752,4.1,4,4,10008,0
2017-05-09,4.05,4.1,4,4,24617,0
2017-05-10,4.05,4.1,4,4.1,17356,0
2017-05-11,4.075,4.15,4,4.05,20461,0
2017-05-12,4.05,4.15,4,4.15,35043,0
2017-05-15,4.15,4.15,3.9,4,75685,0
2017-05-16,4,4.7,3.8,4.2595,741478,0
2017-05-17,4,4.15,3.85,3.9,170595,0
2017-05-18,3.95,3.95,3.85,3.9,38187,0
2017-05-19,3.85,4.0247,3.75,3.85,63896,0
2017-05-22,3.75,3.9,3.6,3.73,126428,0
2017-05-23,3.75,3.8,3.65,3.65,57927,0
2017-05-24,3.65,3.8,3.65,3.75,62428,0
2017-05-25,3.75,3.8,3.65,3.75,44771,0
2017-05-26,3.7,3.75,3.65,3.65,45319,0
2017-05-30,3.65,3.7,3.6,3.6464,45460,0
2017-05-31,3.65,3.702,3.6,3.7,29744,0
2017-06-01,3.75,3.85,3.688,3.7,50040,0
2017-06-02,3.7501,3.85,3.65,3.7,19849,0
2017-06-05,3.75,3.8,3.7,3.75,7512,0
2017-06-06,3.75,3.95,3.7,3.9,46454,0
2017-06-07,3.95,4,3.7,3.8465,37767,0
2017-06-08,3.8,3.85,3.7501,3.8,4216,0
2017-06-09,3.9,3.9116,3.8,3.8,29839,0
2017-06-12,3.85,3.93,3.7,3.7,24896,0
2017-06-13,3.85,3.95,3.7,3.85,21934,0
2017-06-14,3.85,3.85,3.75,3.85,13050,0
2017-06-15,3.9,3.9,3.75,3.85,15584,0
2017-06-16,3.8,3.85,3.7548,3.85,16952,0
2017-06-19,3.8,3.9,3.75,3.9,29258,0
2017-06-20,3.85,3.917,3.75,3.75,32109,0
2017-06-21,3.75,3.8,3.75,3.75,14859,0
2017-06-22,3.75,3.8,3.6,3.6118,32414,0
2017-06-23,3.6,3.6999,3.45,3.45,71890,0
2017-06-26,3.5,3.5108,3.25,3.35,86967,0
2017-06-27,3.35,3.35,2.95,3.025,177138,0
2017-06-28,3,3.2,3,3.15,67011,0
2017-06-29,3.15,3.25,3.15,3.1999,18057,0
2017-06-30,3.15,3.2,3,3.1,33758,0
2017-07-03,3.1,3.2,3.1,3.15,15910,0
2017-07-05,3.15,3.2,3.1,3.1,22398,0
2017-07-06,3.1,3.25,3.1,3.25,40886,0
2017-07-07,4.8,4.95,4.05,4.2,3519248,0
2017-07-10,4.05,4.2,3.65,3.85,395940,0
2017-07-11,3.8,4.1,3.8,4.05,184744,0
2017-07-12,4.1,4.1,3.75,3.9,84470,0
2017-07-13,3.9,3.9001,3.65,3.8,37841,0
2017-07-14,3.9,3.9,3.7,3.7,47117,0
2017-07-17,3.8,3.8,3.6,3.6,69109,0
2017-07-18,3.7,3.7,3.5,3.6,73965,0
2017-07-19,3.55,3.55,3.45,3.5,29004,0
2017-07-20,3.45,3.5375,3.45,3.5,25646,0
2017-07-21,3.45,3.5,3.35,3.45,19251,0
2017-07-24,3.4836,3.65,3.45,3.6,48670,0
2017-07-25,3.6,3.65,3.5,3.6,14623,0
2017-07-26,3.65,3.8,3.6108,3.75,53812,0
2017-07-27,3.7,3.8,3.55,3.6,26791,0
2017-07-28,3.6,3.6,3.5,3.55,21491,0
2017-07-31,3.55,3.5537,3.45,3.45,20945,0
2017-08-01,3.5,3.611,3.5,3.5501,7600,0
2017-08-02,3.56,3.6003,3.4,3.5,40672,0
2017-08-03,3.55,3.9,3.45,3.649,204818,0
2017-08-04,3.4,3.55,3.4,3.45,50560,0
2017-08-07,3.45,3.7,3.4,3.4,91186,0
2017-08-08,3.4,3.5,3.35,3.35,31971,0
2017-08-09,3.35,3.4,3.15,3.2,35564,0
2017-08-10,3.25,3.25,3.15,3.15,31367,0
2017-08-11,3.15,3.1934,2.9,2.95,62345,0
2017-08-14,3,3.15,2.95,3.05,64939,0
2017-08-15,2.7,3.0303,2.7,3,107525,0
2017-08-16,3.15,3.35,3.0712,3.35,92293,0
2017-08-17,3.35,3.483,3.1,3.4,38446,0
