Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,209.36,211.119,209.36,210.44,9625,0
2017-01-04,210.5,212.72,208.5,210.95,40498,0
2017-01-05,209,209.94,206,208.34,7729,0
2017-01-06,209.98,209.99,207.38,208.13,9978,0
2017-01-09,208.96,208.96,205.96,207.29,13962,0
2017-01-10,206.85,209.52,205.04,209.03,18109,0
2017-01-11,208.67,209.99,207.51,208.15,22708,0
2017-01-12,209.692,209.692,206.7,209.01,7175,0
2017-01-13,210,211.15,208.16,210.54,3930,0
2017-01-17,209.445,211.22,206.55,206.79,7993,0
2017-01-18,206.62,206.62,202.11,202.55,15353,0
2017-01-19,201.1,201.26,195,195.84,16718,0
2017-01-20,195.09,199.28,188.22,192.06,27094,0
2017-01-23,193.26,196.61,193.26,195.57,6247,0
2017-01-24,197.5,202.29,197,198.64,5830,0
2017-01-25,199.49,199.9,197.645,198.62,10771,0
2017-01-26,194.05,198.01,194.01,197.92,13577,0
2017-01-27,198.5,199.61,195.49,199.5,20966,0
2017-01-30,199.73,199.73,197.337,199,12626,0
2017-01-31,199.49,203,196.81,202.2,12714,0
2017-02-01,204.47,204.55,201.05,201.86,5451,0
2017-02-02,201.51,201.53,198.54,199.71,5221,0
2017-02-03,201,204,201,202.53,5830,0
2017-02-06,203,204.849,202.71,202.71,4950,0
2017-02-07,204.18,204.18,202,204,4252,0
2017-02-08,204.09,204.09,196.702,199.81,11762,0
2017-02-09,201.19,205.99,201.19,204.9,5989,0
2017-02-10,206,207.4,203.794,205.06,3062,0
2017-02-13,205.9,207.212,204,206.9,13077,0
2017-02-14,205.67,206.58,204.29,204.29,3137,0
2017-02-15,204.53,207.17,204.53,207.17,1391,0
2017-02-16,206.91,207.24,203.15,206.09,2393,0
2017-02-17,207.05,207.05,202.4,204.5,4635,0
2017-02-21,205.89,207.4,205.464,207.4,2424,0
2017-02-22,206.29,207.999,204.5,207.5,6380,0
2017-02-23,207.18,207.5,204.54,205.44,4303,0
2017-02-24,202.54,204.421,191.85,202.25,12957,0
2017-02-27,201.52,203,201.3,201.86,4197,0
2017-02-28,202.23,202.23,198.5,200.52,8095,0
2017-03-01,203,205.13,200.46,201.53,9090,0
2017-03-02,199.72,200.16,199.21,199.4,2306,0
2017-03-03,199,201.8,197.05,200,7726,0
2017-03-06,198.5,201.75,198.33,199.81,4386,0
2017-03-07,199.7,200.09,198.23,199.1,6806,0
2017-03-08,196,199.719,195.35,195.7,4200,0
2017-03-09,197.81,197.81,194.64,196.09,4359,0
2017-03-10,197.591,197.591,194.6,194.67,4324,0
2017-03-13,195.15,195.98,192.89,192.89,5778,0
2017-03-14,191.98,191.98,190,190.81,4228,0
2017-03-15,190.365,196.448,190.365,194.62,8033,0
2017-03-16,194.62,198.94,193.55,195.28,6279,0
2017-03-17,194.38,198,193.52,193.65,18284,0
2017-03-20,192.64,194.82,189.635,191.02,12572,0
2017-03-21,189.8,190,186.74,186.9,7026,0
2017-03-22,188.276,188.276,182.5,183.6,8387,0
2017-03-23,183.8,188.24,183.8,187.01,12049,0
2017-03-24,188.18,191.6,188.18,190.1,12470,0
2017-03-27,189.96,194.354,189.96,194,9938,0
2017-03-28,194,195.76,192,193.4,9967,0
2017-03-29,193.95,193.95,191.335,191.84,9583,0
2017-03-30,191.99,193,189.6,191.13,16354,0
2017-03-31,192.17,194.956,192.01,194.2,9313,0
2017-04-03,195,195,192.44,194.3,11462,0
2017-04-04,194.06,194.06,188.1,189.19,17294,0
2017-04-05,190.88,194.879,189.19,191.86,13977,0
2017-04-06,192.62,192.9,190,191.05,5769,0
2017-04-07,191.45,193,190.71,192.6,6012,0
2017-04-10,193,194.155,191.22,192.9,4551,0
2017-04-11,192.7,194.62,191.4,192,8307,0
2017-04-12,193.09,193.09,187.2,189.41,11645,0
2017-04-13,192.288,192.288,188,188.34,8442,0
2017-04-17,189.24,192.806,189.08,192.79,5888,0
2017-04-18,192.79,192.79,188.3,189.19,4876,0
2017-04-19,194.97,194.97,188.589,189.64,7073,0
2017-04-20,190,192.255,189.85,191.41,10249,0
2017-04-21,191.6,192.582,189.2,189.99,5937,0
2017-04-24,193.25,197.78,191.19,195.32,8976,0
2017-04-25,196.48,199.11,195.5,197.84,5093,0
2017-04-26,197.48,204.4,197.21,203.04,10762,0
2017-04-27,203,206.755,201.104,203.72,8446,0
2017-04-28,203,203,197.45,202.15,14860,0
2017-05-01,202.69,204.999,200.88,201.6,9334,0
2017-05-02,201.044,203.23,197.09,199.3,8376,0
2017-05-03,198.51,201.11,196,201,17466,0
2017-05-04,200.23,203.6,198.5,200.2,19513,0
2017-05-05,200.64,204,200,203.41,10840,0
2017-05-08,203.752,206.81,201.54,203.48,15511,0
2017-05-09,202.51,206.5,202.51,204.92,33800,0
2017-05-10,203.63,204.9,203.09,203.79,4600,0
2017-05-11,202.66,202.75,202.1,202.15,5235,0
2017-05-12,202.1,204.6,200.98,203.35,6934,0
2017-05-15,204.66,205.85,203.031,204.89,7135,0
2017-05-16,204.7,204.91,204.7,204.91,1390,0
2017-05-17,203.95,203.95,197.48,199.43,11073,0
2017-05-18,199.49,200.5,196.31,196.94,8010,0
2017-05-19,196.11,198.72,196.11,196.4,11582,0
2017-05-22,197.39,197.39,194.6,195.21,6564,0
2017-05-23,194,196.94,192.15,195.29,14367,0
2017-05-24,195.29,199.714,195.29,196.89,14691,0
2017-05-25,197.5,199,197.46,199,11710,0
2017-05-26,197.11,201.17,197.11,201.01,14225,0
2017-05-30,200.2,204.444,200.2,201.16,15757,0
2017-05-31,201.045,203.172,200.1,202.22,11684,0
2017-06-01,202.41,205.7,201.212,205.11,20261,0
2017-06-02,205.27,207.5,205.24,205.5,23631,0
2017-06-05,204.81,205.9,203.11,203.64,9006,0
2017-06-06,202.95,202.95,201.3,202.76,10230,0
2017-06-07,204.71,206.9,201.527,203.98,5036,0
2017-06-08,204.124,205.5,203,204.6,9837,0
2017-06-09,205.5,206,205.09,205.7,10451,0
2017-06-12,207.49,209.43,206.25,206.71,12279,0
2017-06-13,207.97,207.97,206.01,207.4,7432,0
2017-06-14,206.61,206.61,204.25,205.8,5900,0
2017-06-15,208.3,208.3,206.22,207.03,7051,0
2017-06-16,205.78,205.78,203.66,203.85,19178,0
2017-06-19,203.67,204.84,201.28,202.5,21861,0
2017-06-20,201.35,203.04,200.22,200.55,14138,0
2017-06-21,201.99,201.99,199.26,199.86,10591,0
2017-06-22,201.75,202,199.45,201.2,14720,0
2017-06-23,202.6,203.58,197.75,198.48,31592,0
2017-06-26,198.93,201.63,196.02,196.9,14312,0
2017-06-27,198.81,201.56,197.55,197.65,5879,0
2017-06-28,199.2,199.56,198.48,199.56,5771,0
2017-06-29,200.8,201.392,197.964,199.46,8874,0
2017-06-30,200.44,200.575,198.61,199.4,8879,0
2017-07-03,199.6,200.49,199.6,200.47,3397,0
2017-07-05,199.54,199.54,197.66,198.2,6088,0
2017-07-06,198.03,201.01,196.87,198.5,7048,0
2017-07-07,199.14,201.394,198.65,201.05,5620,0
2017-07-10,197.75,200.93,197.75,199.95,2997,0
2017-07-11,200,201.595,198.9,198.9,4917,0
2017-07-12,199.7,201.55,199.69,201.48,4349,0
2017-07-13,201.72,202.13,200.064,202.13,4550,0
2017-07-14,201.73,201.9,199,201.4,5205,0
2017-07-17,201.126,201.8,199.45,199.99,5042,0
2017-07-18,199.85,200.31,196.21,196.22,12729,0
2017-07-19,196.24,197.9,196.04,197.57,8564,0
2017-07-20,196.11,196.58,195.51,196.1,7189,0
2017-07-21,196.87,201.035,195.77,196.53,14451,0
2017-07-24,195.55,200.41,195.55,197.21,9956,0
2017-07-25,198.32,199.8,195.9,197.3,11443,0
2017-07-26,196.55,199.68,196.04,199.68,6983,0
2017-07-27,198.53,199.98,190.987,196.15,25729,0
2017-07-28,196,198.59,192.8,198.05,10215,0
2017-07-31,198,198.325,194.804,197.5,16252,0
2017-08-01,197.095,199,197,197.35,9583,0
2017-08-02,197,197.85,196.25,196.26,7488,0
2017-08-03,196.45,197.85,195.75,196.46,11989,0
2017-08-04,197,198.31,196.35,196.58,4352,0
2017-08-07,197.075,197.506,195.52,196.17,11731,0
2017-08-08,196.63,198.25,196,196.61,8921,0
