Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.35,6.35,6.05,6.25,143224,0
2017-01-04,6.3,6.5,6.15,6.45,197051,0
2017-01-05,6.45,6.45,6.1,6.15,146307,0
2017-01-06,6.15,6.175,5.85,6,239240,0
2017-01-09,6.1,6.15,5.9,6.05,161260,0
2017-01-10,6.1,6.2,5.95,6,182478,0
2017-01-11,6,6.025,5.9,6,167191,0
2017-01-12,6,6.05,5.75,5.85,102658,0
2017-01-13,5.85,5.975,5.75,5.85,247652,0
2017-01-17,5.8,6.3,5.8,6.15,231672,0
2017-01-18,6.2,6.2,5.75,5.9,186705,0
2017-01-19,5.95,5.95,5.6,5.6,154153,0
2017-01-20,5.6,5.9,5.6,5.75,194775,0
2017-01-23,5.8,5.9,5.6,5.7,152359,0
2017-01-24,5.7,5.85,5.3,5.75,301651,0
2017-01-25,5.85,6.1,5.75,6,99736,0
2017-01-26,6.05,6.05,5.8,5.9,64561,0
2017-01-27,5.85,6.05,5.575,5.65,174780,0
2017-01-30,5.6,5.6,5.423,5.55,138700,0
2017-01-31,5.55,5.75,5.5,5.7,216836,0
2017-02-01,5.75,5.85,5.525,5.6,116611,0
2017-02-02,5.6,5.65,5.45,5.5,102845,0
2017-02-03,5.6,5.7,5.5,5.65,122190,0
2017-02-06,5.65,5.65,5.2,5.4,230299,0
2017-02-07,5.8,5.9,5.3,5.35,312228,0
2017-02-08,5.35,5.35,5.1,5.35,187723,0
2017-02-09,5.4,5.45,5.1,5.2,291955,0
2017-02-10,5.1,5.2,4.8,4.85,194043,0
2017-02-13,4.8,4.9035,4.6,4.75,311088,0
2017-02-14,4.75,5.15,4.75,5.05,215242,0
2017-02-15,5,5.2,4.9,5.2,199418,0
2017-02-16,5.2,5.3,5.1,5.2,154279,0
2017-02-17,5.3,5.45,5.1,5.4,202667,0
2017-02-21,5.4,5.45,5.25,5.4,199912,0
2017-02-22,5.4,5.45,5.3,5.45,160877,0
2017-02-23,5.45,5.45,4.95,5,184588,0
2017-02-24,4.9,5.05,4.875,4.95,318037,0
2017-02-27,4.95,5.05,4.95,5,204202,0
2017-02-28,5,5.025,4.9,4.95,172323,0
2017-03-01,5.1,5.2,4.95,5.1,242730,0
2017-03-02,5.1,5.1,5,5.05,84225,0
2017-03-03,5.05,5.2,5,5.1,257198,0
2017-03-06,5.05,5.1,4.55,4.6,326621,0
2017-03-07,4.5,4.75,4.45,4.6,173422,0
2017-03-08,4.6,4.6,4.45,4.45,181538,0
2017-03-09,4.4,4.65,4.35,4.6,213698,0
2017-03-10,4.65,4.75,4.5,4.6,234459,0
2017-03-13,4.6,4.65,4.475,4.55,219145,0
2017-03-14,4.55,4.65,4.45,4.65,138430,0
2017-03-15,4.65,4.7,4.45,4.5,325809,0
2017-03-16,4.55,4.75,4.55,4.65,424673,0
2017-03-17,4.75,4.75,4.5,4.55,1312548,0
2017-03-20,4.6,4.7,4.2,4.45,601625,0
2017-03-21,4.45,4.5,4.2,4.3,310744,0
2017-03-22,4.25,4.35,4.15,4.25,279979,0
2017-03-23,4.25,4.35,4.15,4.15,294163,0
2017-03-24,4.2,4.3,4.05,4.25,531571,0
2017-03-27,4.1,4.35,3.95,3.99,607186,0
2017-03-28,3.95,4.05,3.925,3.95,315464,0
2017-03-29,3.95,4.35,3.95,4.3,453914,0
2017-03-30,4.35,4.45,4.1,4.15,429047,0
2017-03-31,4.2,4.2,3.9,3.95,455344,0
2017-04-03,3.95,4.2,3.9,4.05,453205,0
2017-04-04,4.05,4.1,3.95,4.05,355140,0
2017-04-05,4.1,4.575,4.05,4.4,414627,0
2017-04-06,4.4,4.45,4.15,4.25,487865,0
2017-04-07,4.25,4.65,4.25,4.5,234287,0
2017-04-10,4.55,4.65,4.4,4.4,195081,0
2017-04-11,4.45,4.7,4.4284,4.7,198253,0
2017-04-12,4.6,4.6,3.95,3.95,844214,0
2017-04-13,4,4.1,3.95,4.1,414639,0
2017-04-17,4.05,4.1,3.95,4,240940,0
2017-04-18,4,4.05,3.95,4,355703,0
2017-04-19,4,4.05,3.95,4,386171,0
2017-04-20,4,4.025,3.85,3.9,238909,0
2017-04-21,3.9,3.925,3.6,3.6,722347,0
2017-04-24,3.6,3.7,3.6,3.7,514845,0
2017-04-25,3.65,3.85,3.65,3.8,482086,0
2017-04-26,3.8,3.9,3.8,3.85,291609,0
2017-04-27,3.9,3.95,3.8,3.8,412492,0
2017-04-28,3.8,3.95,3.75,3.85,403534,0
2017-05-01,3.9,3.9,3.6,3.6,309639,0
2017-05-02,3.6,3.65,3.45,3.45,927464,0
2017-05-03,3.1,3.7,3.1,3.5,909005,0
2017-05-04,3.5,3.55,3.45,3.5,825782,0
2017-05-05,3.55,3.55,3.375,3.45,880548,0
2017-05-08,3.4,3.6,3.4,3.6,631857,0
2017-05-09,3.6,3.65,3.5,3.55,435959,0
2017-05-10,3.5,3.6,3.3,3.4,668319,0
2017-05-11,3.45,3.5,3.35,3.35,326891,0
2017-05-12,3.4,3.45,3.25,3.3,344958,0
2017-05-15,3.25,3.3,3.15,3.2,618756,0
2017-05-16,3.2,3.25,3.1,3.1,558666,0
2017-05-17,3.1,3.15,3,3.1,655580,0
2017-05-18,3.1,3.15,3.05,3.1,316388,0
2017-05-19,3.1,3.15,2.8,2.8,636944,0
2017-05-22,2.8,2.9,2.8,2.9,468883,0
2017-05-23,2.9,2.95,2.8,2.85,338001,0
2017-05-24,2.85,3.05,2.85,3,434263,0
2017-05-25,3,3.05,2.8,2.8,416619,0
2017-05-26,2.85,2.9,2.75,2.8,351505,0
2017-05-30,2.85,2.85,2.65,2.7,366063,0
2017-05-31,2.75,2.95,2.7499,2.85,627534,0
2017-06-01,2.9,3,2.85,2.95,180478,0
2017-06-02,2.95,3,2.8,2.8,340119,0
2017-06-05,2.8,2.95,2.65,2.7,329113,0
2017-06-06,2.7,2.75,2.6,2.7,425657,0
2017-06-07,2.7,2.75,2.675,2.75,254835,0
2017-06-08,2.75,2.85,2.675,2.8,287227,0
2017-06-09,2.75,2.825,2.65,2.7,355646,0
2017-06-12,2.7,2.8,2.65,2.75,328032,0
2017-06-13,2.8,2.8,2.6,2.6,281444,0
2017-06-14,2.6,2.75,2.525,2.6,572464,0
2017-06-15,2.6,2.7,2.55,2.7,236437,0
2017-06-16,2.65,2.65,2.5,2.55,1369253,0
2017-06-19,2.6,2.75,2.5,2.75,418152,0
2017-06-20,2.8,2.85,2.6,2.7,448251,0
2017-06-21,2.7,2.75,2.6,2.65,237132,0
2017-06-22,2.7,2.8,2.65,2.7,166014,0
2017-06-23,2.75,3,2.65,2.95,1385286,0
2017-06-26,3.05,3.05,2.85,2.85,183764,0
2017-06-27,2.85,2.85,2.8,2.85,449076,0
2017-06-28,2.85,2.9,2.8,2.85,178319,0
