Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,104.52,106.11,104.43,105.3,8947559,0
2017-01-04,105.85,106.71,105.47,106.65,8383205,0
2017-01-05,106.38,106.82,106,106.59,6348128,0
2017-01-06,107.22,108.54,106.95,108.18,9612938,0
2017-01-09,107.78,108.03,107.31,107.56,6240328,0
2017-01-10,107.1,108.02,106.56,107.58,7960261,0
2017-01-11,107.74,108.68,107.58,108.63,7672850,0
2017-01-12,107.32,108.2,106.64,106.74,8274247,0
2017-01-13,106.37,107.55,106.11,107.26,6535625,0
2017-01-17,107.11,108.13,106.86,107.17,7642515,0
2017-01-18,106.14,107.6,106.02,107.36,7215896,0
2017-01-19,107.12,107.21,106.29,106.49,5389351,0
2017-01-20,106.56,107.02,106.39,106.87,5687252,0
2017-01-23,106.55,106.88,105.78,106.33,5752816,0
2017-01-24,106.41,107.26,106.29,107.1,5496389,0
2017-01-25,107.43,107.62,107.2,107.24,6220889,0
2017-01-26,107.41,107.82,107.18,107.26,6124665,0
2017-01-27,107.69,108.59,107.35,108.49,5613686,0
2017-01-30,109.05,110.23,108.16,110.12,13890103,0
2017-01-31,109.77,109.98,109.17,109.83,8547240,0
2017-02-01,109.89,111.16,109.86,110.48,10568840,0
2017-02-02,110.39,110.72,109.73,109.79,6558914,0
2017-02-03,110.08,110.33,109.4,109.49,7982036,0
2017-02-06,109.11,109.34,108.49,108.76,6924193,0
2017-02-07,108.84,108.92,107.97,108.2,10125969,0
2017-02-08,108.75,110.6,108.18,108.2,13714120,0
2017-02-09,108.26,109.04,108.2,108.68,6416592,0
2017-02-10,108.54,108.99,107.78,108.45,6572998,0
2017-02-13,108.15,109.09,108.1,108.84,5695914,0
2017-02-14,108.99,109.52,108.72,109.52,4803615,0
2017-02-15,109.1,109.86,108.99,109.37,7125020,0
2017-02-16,109.53,110.05,109.28,109.89,7232452,0
2017-02-17,109.43,109.68,108.71,109.25,6334311,0
2017-02-21,109.13,109.4,108.99,109.2,5472146,0
2017-02-22,108.88,109.47,108.72,109.31,5518384,0
2017-02-23,109.49,109.67,108.78,108.92,5511301,0
2017-02-24,108.81,109.51,108.29,109.51,4821902,0
2017-02-27,109.12,109.65,109.02,109.42,3573738,0
2017-02-28,109.19,109.58,109.02,109.28,4801145,0
2017-03-01,109.84,110.97,109.84,110.22,7472732,0
2017-03-02,110.18,110.38,109.63,109.77,4750580,0
2017-03-03,109.53,110.68,109.23,110.42,5884870,0
2017-03-06,109.95,110.16,109.28,109.85,5020129,0
2017-03-07,109.88,110.11,109.35,110.04,5152416,0
2017-03-08,110.05,110.5,109.84,110.02,4965674,0
2017-03-09,110.08,110.5,109.87,110.21,4035284,0
