Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,27.04,27.61,27.04,27.37,1578211,0
2017-01-04,27.36,27.825,27.33,27.63,1361847,0
2017-01-05,27.43,27.49,26.52,26.6,1849577,0
2017-01-06,26.68,27.17,26.52,26.86,1206539,0
2017-01-09,26.82,26.88,26.24,26.25,1500891,0
2017-01-10,26.18,26.19,25.61,25.76,1650494,0
2017-01-11,25.7,26.015,25.56,25.99,2230474,0
2017-01-12,25.78,26.73,25.78,26.65,1443024,0
2017-01-13,26.75,26.92,26.54,26.82,1551728,0
2017-01-17,26.69,27.185,26.64,27.14,1058591,0
2017-01-18,27.21,27.54,27.1,27.4,921636,0
2017-01-19,27.36,27.57,27.11,27.35,701236,0
2017-01-20,27.47,27.58,27.21,27.31,855369,0
2017-01-23,27.25,27.67,27.25,27.58,1238882,0
2017-01-24,27.58,27.89,27.42,27.8,781366,0
2017-01-25,27.85,28.24,26.945,27.05,2418115,0
2017-01-26,27.11,27.545,26.97,27.28,1178933,0
2017-01-27,27.4,27.65,27.1,27.41,935866,0
2017-01-30,27.41,27.52,27.1,27.4,870795,0
2017-01-31,27.3,28.03,26.95,27.71,1459049,0
2017-02-01,27.71,27.92,27.11,27.4,1089773,0
2017-02-02,27.32,27.395,27.01,27.16,1047136,0
2017-02-03,27.24,27.52,27.22,27.44,590805,0
2017-02-06,27.42,27.58,27.22,27.24,785231,0
2017-02-07,27.23,27.37,26.89,27.25,871501,0
2017-02-08,27.14,27.25,26.62,26.78,1306298,0
2017-02-09,26.87,27.46,26.87,27.22,928430,0
2017-02-10,27.21,27.72,27.1372,27.65,856642,0
2017-02-13,27.7,28.25,27.67,28.1,1730009,0
2017-02-14,27.99,28.15,26.73,27.89,2073719,0
2017-02-15,27.85,28.25,27.68,27.89,1314556,0
2017-02-16,27.9,28.19,27.42,27.99,1091303,0
2017-02-17,27.92,28.28,27.9,28.09,679447,0
2017-02-21,28.05,29.07,27.98,28.87,1943498,0
2017-02-22,28.74,28.95,28.445,28.64,978797,0
2017-02-23,28.71,29.045,28.47,28.6,691098,0
2017-02-24,28.64,28.69,28.18,28.55,923578,0
2017-02-27,28.47,28.62,28.13,28.33,661489,0
2017-02-28,28.35,28.35,27.875,28.07,1164310,0
2017-03-01,28.26,28.33,27.85,27.87,1460219,0
2017-03-02,27.76,27.76,27.22,27.66,1663937,0
2017-03-03,27.71,27.75,27.155,27.2,1062032,0
2017-03-06,27.1,27.26,26.72,27.19,1535704,0
2017-03-07,27.19,27.535,26.97,27.2,1697836,0
2017-03-08,27.19,27.68,27.19,27.39,1603766,0
2017-03-09,27.29,27.59,27.075,27.29,1222317,0
2017-03-10,27.38,27.4,26.89,27.09,1563632,0
2017-03-13,26.97,27.08,26.61,26.77,1919769,0
2017-03-14,26.74,27.21,26.55,26.67,2046885,0
2017-03-15,26.75,27.31,26.56,27.21,1659553,0
2017-03-16,27.24,27.57,27.16,27.4,1196410,0
2017-03-17,27.48,27.55,27.11,27.35,1935807,0
2017-03-20,27.32,27.42,27.0184,27.16,869008,0
2017-03-21,27.29,27.29,26.79,26.83,1307880,0
2017-03-22,26.92,27.12,26.61,27,1216709,0
2017-03-23,26.94,27.24,26.88,27.15,1384681,0
2017-03-24,27.22,27.23,26.95,27.07,1480907,0
2017-03-27,26.96,27.15,26.81,27.11,1056857,0
2017-03-28,27.04,27.33,26.97,27.2,876278,0
2017-03-29,27.14,27.55,27.01,27.51,866080,0
2017-03-30,27.45,28.08,27.44,28.05,866466,0
2017-03-31,28.05,28.42,27.88,28.31,1524726,0
2017-04-03,28.37,28.5,27.84,28.2,2047713,0
2017-04-04,28.22,28.6,28.11,28.58,1329426,0
2017-04-05,28.6,29.115,28.56,28.56,1805628,0
2017-04-06,28.53,28.88,28.36,28.62,1814175,0
2017-04-07,28.65,28.72,28.479,28.57,1175357,0
2017-04-10,28.52,28.825,28.52,28.61,1194040,0
2017-04-11,28.56,28.61,28.26,28.48,1274944,0
2017-04-12,28.33,28.43,28.07,28.14,1372746,0
2017-04-13,28.12,28.18,27.68,27.73,1185131,0
2017-04-17,27.86,28.08,27.7,27.94,1115203,0
2017-04-18,27.88,28.1,27.79,28.02,991392,0
2017-04-19,28.08,28.54,28.08,28.37,983514,0
2017-04-20,28.56,28.85,28.48,28.72,1083760,0
2017-04-21,28.71,28.89,28.59,28.65,1009239,0
2017-04-24,29,29.18,28.81,28.9,1147836,0
2017-04-25,28.93,29.02,28.75,28.77,2492411,0
2017-04-26,28.68,28.965,28.65,28.785,1102153,0
2017-04-27,28.77,28.895,28.61,28.71,1450900,0
2017-04-28,28.72,28.72,27.67,27.98,2848586,0
2017-05-01,28.09,28.09,27.16,27.19,2735248,0
2017-05-02,27.15,27.3,26.67,27.21,1385007,0
2017-05-03,27.36,27.36,25.84,26.19,3326210,0
2017-05-04,26.14,26.32,25.48,26.08,2400311,0
2017-05-05,26.16,26.495,26.12,26.46,1786468,0
2017-05-08,26.41,26.62,25.98,26.51,1765555,0
2017-05-09,25.77,26.01,25.17,26,2230054,0
2017-05-10,25.87,25.89,25.34,25.45,3543903,0
2017-05-11,25.34,25.79,25.29,25.7,2688131,0
2017-05-12,25.7,25.79,25.395,25.45,1508886,0
2017-05-15,25.4,25.55,25.2,25.26,2732042,0
2017-05-16,25.21,25.3,24.55,24.81,2978833,0
2017-05-17,24.64,24.84,24.36,24.39,3159965,0
2017-05-18,24.47,24.69,24.18,24.53,1616323,0
2017-05-19,24.45,25.27,24.38,25.18,1572304,0
2017-05-22,25.07,25.555,25.07,25.46,1334367,0
2017-05-23,25.5,25.5,24.87,24.97,1238525,0
2017-05-24,25.06,25.13,24.69,24.87,1221163,0
2017-05-25,24.91,25.23,24.885,25,1443558,0
2017-05-26,25.04,25.26,24.98,25.25,1033580,0
2017-05-30,25.21,25.605,24.93,25.53,983685,0
2017-05-31,25.6,26.2,25.36,25.83,1834525,0
2017-06-01,25.92,26.13,25.67,26.06,1334709,0
2017-06-02,26.07,26.345,25.84,25.85,1416609,0
2017-06-05,25.9,25.9,25.33,25.63,1472246,0
2017-06-06,25.63,25.64,25.34,25.51,1176296,0
2017-06-07,25.56,25.66,25.42,25.63,2160125,0
2017-06-08,25.6,25.66,25.22,25.29,1418353,0
2017-06-09,25.35,25.46,24.77,25.27,2739284,0
2017-06-12,25.22,26.31,25.22,25.6,5573685,0
2017-06-13,25.51,25.68,25.22,25.54,1542306,0
2017-06-14,25.63,25.645,25.18,25.42,1126610,0
2017-06-15,25.31,25.575,25.24,25.52,1219934,0
2017-06-16,25.4,25.63,25.18,25.6,3185466,0
2017-06-19,25.69,25.73,25.45,25.55,1568705,0
2017-06-20,25.5,25.5,24.71,24.73,1371415,0
2017-06-21,24.71,24.86,24.315,24.8,1324035,0
2017-06-22,24.79,25.01,24.58,24.82,1533538,0
2017-06-23,24.89,25.11,24.7,25.06,5516040,0
2017-06-26,25.18,25.64,25.09,25.44,1099244,0
2017-06-27,25.44,25.55,25.28,25.39,1083294,0
2017-06-28,25.46,25.71,25.3,25.4,1319684,0
2017-06-29,25.33,25.57,24.99,25.24,1184011,0
2017-06-30,25.32,25.34,24.96,25.21,1926359,0
2017-07-03,25.38,26.03,25.38,25.51,860659,0
2017-07-05,25.57,25.72,25.37,25.45,1006516,0
2017-07-06,25.3,25.37,24.98,25.09,866496,0
2017-07-07,25.15,25.27,24.82,25.15,611748,0
2017-07-10,25.13,25.54,25.06,25.47,929808,0
2017-07-11,25.48,25.535,25.28,25.48,1671118,0
2017-07-12,25.72,25.72,25.35,25.49,928106,0
2017-07-13,25.55,25.61,25.3056,25.49,811969,0
2017-07-14,25.63,25.665,25.51,25.55,1540642,0
2017-07-17,25.56,25.72,25.41,25.56,1570807,0
2017-07-18,25.5,25.53,25.08,25.36,725387,0
2017-07-19,26.95,27.15,25.92,26.21,1897071,0
2017-07-20,26.2,26.67,25.69,25.71,2433907,0
2017-07-21,25.62,25.89,25.45,25.51,2669801,0
2017-07-24,25.53,25.6399,25.35,25.48,918021,0
2017-07-25,25.5,25.63,24.82,25.07,2018775,0
2017-07-26,25.06,25.8,25.06,25.54,1689350,0
2017-07-27,25.05,25.62,24.52,25.14,4301664,0
2017-07-28,25.11,25.59,24.92,25.5,4536761,0
2017-07-31,24.75,24.9,22.85,23.13,12336906,0
2017-08-01,23.25,23.62,22.835,22.98,5178515,0
2017-08-02,22.92,23.825,22.9,23.79,7744682,0
2017-08-03,23.84,23.84,23.47,23.59,2924708,0
2017-08-04,23.54,23.54,22.52,22.6,3185336,0
2017-08-07,22.69,23.03,22.6,23.02,2376253,0
2017-08-08,22.97,23.29,22.81,23.02,2145021,0
2017-08-09,22.91,22.93,22,22.39,2339221,0
2017-08-10,22.33,22.435,21.83,21.93,3097962,0
2017-08-11,21.94,22.11,21.75,21.87,2106473,0
2017-08-14,21.96,22.11,21.7,21.75,2505976,0
2017-08-15,21.75,21.8675,21.5,21.52,3395910,0
2017-08-16,21.66,21.94,21.24,21.35,4196866,0
2017-08-17,21.41,21.41,20.9,21.03,3550635,0
2017-08-18,21.02,21.48,20.99,21.25,2865659,0
2017-08-21,21.25,21.35,20.96,21.09,1602822,0
2017-08-22,21.09,21.25,21.06,21.22,1615573,0
2017-08-23,21.15,21.38,21.1,21.2,2180908,0
2017-08-24,21.18,21.4,21.1,21.25,1557958,0
2017-08-25,21.31,21.51,21.27,21.39,3199827,0
2017-08-28,21.45,21.99,21.45,21.52,2160897,0
2017-08-29,21.4,21.4,20.89,21.18,2844406,0
2017-08-30,21.12,21.205,20.85,20.85,2499469,0
2017-08-31,20.94,21.05,20.82,21.01,2055414,0
2017-09-01,21.05,21.28,20.88,20.92,1513071,0
2017-09-05,20.95,21.09,20.28,20.41,2781950,0
2017-09-06,20.43,20.75,20.315,20.63,2499125,0
2017-09-07,20.63,20.67,19.925,20.1,3969089,0
2017-09-08,20.07,20.12,19.52,20.06,3318131,0
2017-09-11,20.21,20.35,19.61,19.62,2219345,0
2017-09-12,19.62,19.98,19.36,19.77,4186087,0
2017-09-13,19.77,20.035,19.74,19.96,3025709,0
2017-09-14,19.87,20.27,19.82,20.2,3232093,0
2017-09-15,20.26,20.7,20.05,20.64,6136418,0
2017-09-18,20.63,20.64,20,20.14,3487945,0
2017-09-19,20.1,20.11,19.76,20.06,2123885,0
2017-09-20,20.15,20.22,19.95,20.07,2701909,0
2017-09-21,19.98,20.37,19.98,20.3,2471419,0
2017-09-22,20.23,20.5,20.17,20.42,1896092,0
2017-09-25,20.43,20.56,20.27,20.36,1762291,0
