Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,11.061,11.369,11.013,11.35,83152,0
2017-01-04,11.45,11.45,10.95,11.03,28990,0
2017-01-05,10.92,11.2,10.87,11,28318,0
2017-01-06,10.82,11.45,10.75,11.03,79554,0
2017-01-09,11.13,11.38,10.85,10.93,21232,0
2017-01-10,11.06,11.49,10.99,11.13,26559,0
2017-01-11,11.21,11.39,11.06,11.25,42999,0
2017-01-12,11.1,11.25,11.06,11.1,13270,0
2017-01-13,11.03,11.2505,10.8,10.87,29343,0
2017-01-17,10.87,10.9,10.62,10.69,63069,0
2017-01-18,10.65,10.77,10.6,10.62,15230,0
2017-01-19,10.61,10.66,9.94,9.94,92942,0
2017-01-20,10,10.164,9.97,10.04,50937,0
2017-01-23,10.1,10.49,10.0001,10.31,24551,0
2017-01-24,10.24,10.81,10.225,10.47,32893,0
2017-01-25,10.39,10.63,10.2,10.21,12117,0
2017-01-26,10.14,10.33,10.03,10.11,31319,0
2017-01-27,10.08,10.32,10.07,10.25,26186,0
2017-01-30,10.11,10.29,10.04,10.16,11216,0
2017-01-31,10.09,10.5,10.06,10.33,22085,0
2017-02-01,10.27,10.73,10.27,10.58,22153,0
2017-02-02,10.58,10.58,10.15,10.31,20485,0
2017-02-03,10.19,10.3,10.02,10.3,29789,0
2017-02-06,10.25,10.37,10.21,10.22,11829,0
2017-02-07,10.32,10.42,10.15,10.42,44706,0
2017-02-08,10.42,10.4851,10.21,10.44,47445,0
2017-02-09,10.45,10.45,10.3,10.39,34763,0
2017-02-10,10.43,10.73,10.364,10.48,47554,0
2017-02-13,10.6,10.61,10.35,10.54,17898,0
2017-02-14,10.44,10.44,10,10.29,74463,0
2017-02-15,10.31,10.35,10.22,10.24,10500,0
2017-02-16,10.24,10.28,10.05,10.06,17418,0
2017-02-17,10.29,10.29,10.08,10.08,23772,0
2017-02-21,10.06,10.285,10.03,10.15,51010,0
2017-02-22,10.62,10.8,10.3,10.4,84657,0
2017-02-23,10.49,10.49,10.021,10.17,34158,0
2017-02-24,10.16,10.172,10.03,10.03,50334,0
2017-02-27,10.01,10.15,9.93,10.08,66478,0
2017-02-28,10.17,10.17,10.01,10.05,10731,0
2017-03-01,10.08,10.09,9.8592,10.08,70826,0
2017-03-02,10.05,10.05,9.93,10.01,39952,0
2017-03-03,9.99,10.03,9.95,9.97,29611,0
2017-03-06,9.89,9.952,9.81,9.85,30942,0
2017-03-07,9.86,9.91,9.8,9.84,59280,0
2017-03-08,9.82,9.95,9.75,9.92,42471,0
2017-03-09,9.93,9.9353,9.76,9.8,19578,0
2017-03-10,9.82,9.92,9.781,9.85,15316,0
2017-03-13,9.88,10.2,9.88,10.07,32401,0
2017-03-14,10.01,10.09,9.91,10.04,37413,0
2017-03-15,10,10.25,10,10.22,59333,0
2017-03-16,10.3,10.38,10.06,10.19,50958,0
2017-03-17,10.12,10.26,9.945,10.11,102881,0
2017-03-20,10.1,10.28,9.96,10.2,47585,0
2017-03-21,10.15,10.28,10.02,10.13,59713,0
2017-03-22,10.12,10.23,10,10.15,62533,0
2017-03-23,10.22,10.23,10.01,10.05,28962,0
2017-03-24,10.02,10.29,10.02,10.21,15109,0
2017-03-27,10.07,10.1641,10.06,10.09,11641,0
2017-03-28,10.15,10.29,10.05,10.27,36393,0
2017-03-29,10.27,10.5318,10.2,10.28,121518,0
2017-03-30,10.35,10.3855,10.26,10.31,25689,0
2017-03-31,10.27,10.3288,10.11,10.2,16962,0
2017-04-03,10.19,10.334,10.14,10.15,17748,0
2017-04-04,10.18,10.36,10.11,10.21,19427,0
2017-04-05,10.25,10.485,10.15,10.16,58957,0
2017-04-06,10.15,10.42,10.15,10.16,24869,0
2017-04-07,10.16,10.39,10.16,10.35,37248,0
