Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,8.1751,8.2227,8.1368,8.2131,78017,0
2017-01-04,8.2131,8.2892,8.2034,8.2892,100300,0
2017-01-05,8.2892,8.3749,8.2712,8.3749,78621,0
2017-01-06,8.3749,8.3749,8.27,8.3084,70658,0
2017-01-09,8.3749,8.4033,8.3176,8.3843,87841,0
2017-01-10,8.3843,8.4223,8.3274,8.4223,65411,0
2017-01-11,8.4901,8.4901,8.3851,8.4617,99829,0
2017-01-12,8.452,8.5,8.4233,8.4617,103936,0
2017-01-13,8.4808,8.4901,8.4233,8.4901,93303,0
2017-01-17,8.5381,8.5381,8.452,8.4808,61859,0
2017-01-18,8.5094,8.5094,8.4233,8.4426,53095,0
2017-01-19,8.3948,8.4139,8.3469,8.3469,104141,0
2017-01-20,8.3948,8.3948,8.3279,8.3851,49219,0
2017-01-23,8.4233,8.4901,8.3851,8.4901,62652,0
2017-01-24,8.519,8.519,8.452,8.4901,21233,0
2017-01-25,8.4901,8.5,8.4617,8.5,23755,0
2017-01-26,8.4901,8.5285,8.4711,8.5285,57446,0
2017-01-27,8.519,8.5381,8.4617,8.4901,42504,0
2017-01-30,8.5,8.5381,8.4808,8.5285,22208,0
2017-01-31,8.5669,8.6337,8.519,8.6337,57163,0
2017-02-01,8.6241,8.6241,8.5571,8.6051,31179,0
2017-02-02,8.7006,8.7006,8.6145,8.6241,54234,0
2017-02-03,8.6815,8.6912,8.6241,8.6624,37984,0
2017-02-06,8.672,8.672,8.6241,8.6337,49374,0
2017-02-07,8.6624,8.7676,8.6241,8.6529,125628,0
2017-02-08,8.7102,8.7197,8.6815,8.7197,101284,0
2017-02-09,8.7197,8.7197,8.6624,8.672,75670,0
2017-02-10,8.6912,8.7006,8.6337,8.6815,46764,0
2017-02-13,8.672,8.672,8.6337,8.6337,50280,0
2017-02-14,8.6912,8.6912,8.5381,8.5953,84701,0
2017-02-15,8.5762,8.5762,8.4617,8.4808,141994,0
2017-02-16,8.5285,8.5571,8.452,8.5,39934,0
2017-02-17,8.5094,8.5381,8.4711,8.5381,41300,0
2017-02-21,8.5199,8.5199,8.4623,8.4623,32226,0
2017-02-22,8.5199,8.5487,8.4718,8.5008,41707,0
2017-02-23,8.5487,8.6064,8.5101,8.5966,36388,0
2017-02-24,8.6351,8.6736,8.6086,8.6639,43529,0
2017-02-27,8.6544,8.6736,8.6447,8.6736,46430,0
2017-02-28,8.7215,8.7312,8.6832,8.7312,52034,0
2017-03-01,8.6736,8.7023,8.6544,8.6639,89146,0
2017-03-02,8.6447,8.6832,8.6064,8.6183,43644,0
2017-03-03,8.6255,8.6832,8.5966,8.6255,31449,0
2017-03-06,8.6255,8.6255,8.5774,8.6014,16953,0
2017-03-07,8.6255,8.6351,8.5487,8.5966,35363,0
2017-03-08,8.5871,8.5871,8.4526,8.4998,60207,0
2017-03-09,8.4824,8.4919,8.3473,8.3473,102857,0
2017-03-10,8.3374,8.3761,8.2989,8.3281,53003,0
2017-03-13,8.3473,8.3473,8.2605,8.3374,99899,0
2017-03-14,8.3374,8.3374,8.2506,8.2989,64573,0
2017-03-15,8.3281,8.4149,8.3088,8.3761,30017,0
2017-03-16,8.3956,8.3956,8.3473,8.3665,56763,0
2017-03-17,8.3568,8.5111,8.3281,8.3473,116750,0
2017-03-20,8.3761,8.4919,8.3761,8.4919,27663,0
2017-03-21,8.5016,8.5305,8.4243,8.4243,32380,0
2017-03-22,8.4341,8.5111,8.4243,8.5111,24413,0
2017-03-23,8.5305,8.5305,8.4243,8.4824,49863,0
2017-03-24,8.4824,8.4919,8.4436,8.4436,18335,0
2017-03-27,8.5111,8.5403,8.4631,8.5403,32888,0
2017-03-28,8.5595,8.5787,8.4727,8.5787,47561,0
2017-03-29,8.5787,8.5885,8.5305,8.5885,23120,0
2017-03-30,8.6271,8.6367,8.5692,8.6367,50379,0
2017-03-31,8.6463,8.656,8.5787,8.6078,24408,0
2017-04-03,8.6367,8.6754,8.5595,8.6656,50371,0
2017-04-04,8.6463,8.685,8.5981,8.5981,41707,0
2017-04-05,8.5981,8.6463,8.5981,8.6367,50685,0
2017-04-06,8.6656,8.7718,8.656,8.7718,62102,0
2017-04-07,8.7621,8.7815,8.7428,8.7815,15903,0
2017-04-10,8.7815,8.8296,8.7526,8.7526,49885,0
2017-04-11,8.7631,8.8213,8.7438,8.7825,45035,0
2017-04-12,8.7729,8.8019,8.7438,8.7825,27002,0
2017-04-13,8.7825,8.831,8.7535,8.831,20979,0
2017-04-17,8.831,8.831,8.6759,8.6856,68235,0
2017-04-18,8.7244,8.7522,8.7002,8.7244,40241,0
2017-04-19,8.7438,8.7631,8.7146,8.7631,34529,0
2017-04-20,8.7146,8.7195,8.6856,8.6953,16739,0
2017-04-21,8.7729,8.7729,8.6856,8.7438,31016,0
2017-04-24,8.6953,8.7051,8.6759,8.6856,30392,0
2017-04-25,8.6856,8.6953,8.5887,8.5887,27305,0
2017-04-26,8.5887,8.6662,8.5887,8.6662,53847,0
2017-04-27,8.6275,8.7051,8.6177,8.6565,46125,0
2017-04-28,8.6468,8.7051,8.6275,8.6953,37387,0
2017-05-01,8.6662,8.7438,8.6565,8.7438,51136,0
2017-05-02,8.7244,8.7341,8.6759,8.7146,36762,0
2017-05-03,8.7341,8.7631,8.7146,8.7631,22829,0
2017-05-04,8.7535,8.7535,8.6856,8.6953,30442,0
2017-05-05,8.7051,8.7341,8.6759,8.6856,58728,0
2017-05-08,8.6953,8.7244,8.6468,8.7244,37334,0
2017-05-09,8.7156,8.7351,8.6669,8.6669,62199,0
2017-05-10,8.7059,8.7449,8.628,8.7449,79086,0
2017-05-11,8.7156,8.7837,8.7156,8.7449,64724,0
2017-05-12,8.7741,8.8422,8.7643,8.7643,49357,0
2017-05-15,8.7643,8.8131,8.7156,8.7643,27911,0
2017-05-16,8.7254,8.7643,8.7254,8.7351,22039,0
2017-05-17,8.8131,8.8519,8.7546,8.7741,22707,0
2017-05-18,8.7837,8.8131,8.6962,8.7546,31157,0
2017-05-19,8.7546,8.7741,8.7351,8.7643,11973,0
2017-05-22,8.7643,8.766,8.7351,8.7351,15065,0
