Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,57.846,58.133,57.38,57.588,606251,0
2017-01-04,57.885,58.034,57.311,57.598,670771,0
2017-01-05,57.588,58.182,57.4,57.875,599158,0
2017-01-06,57.687,58.39,57.509,58.351,418033,0
2017-01-09,58.4,58.4,57.37,57.42,565143,0
2017-01-10,57.49,57.994,57.212,57.559,458296,0
2017-01-11,57.331,58.261,57.331,58.054,737946,0
2017-01-12,57.994,58.301,57.856,58.133,514223,0
2017-01-13,58.281,58.984,57.628,58.805,546625,0
2017-01-17,58.4,59.439,58.4,59.122,1274610,0
2017-01-18,59.339,59.339,58.598,58.648,684429,0
2017-01-19,58.648,58.8,58.518,58.717,345398,0
2017-01-20,58.578,58.895,58.251,58.498,723872,0
2017-01-23,58.261,58.518,58.103,58.39,507719,0
2017-01-24,58.251,58.439,58.123,58.211,733177,0
2017-01-25,58.182,58.648,58.024,58.538,652429,0
2017-01-26,58.538,58.628,57.707,57.944,624133,0
2017-01-27,57.895,58.039,57.44,57.885,300113,0
2017-01-30,57.568,57.86,57.098,57.717,589926,0
2017-01-31,57.707,58.261,56.936,58.103,533782,0
2017-02-01,58.162,58.371,57.4,58.113,580232,0
2017-02-02,56.945,59.404,56.48,58.568,957928,0
2017-02-03,58.4,58.795,55.523,58.677,661243,0
2017-02-06,58.588,58.865,58.004,58.4,600299,0
2017-02-07,58.361,58.741,57.925,58.221,580491,0
2017-02-08,57.984,58.251,57.687,57.964,559964,0
2017-02-09,58.093,58.785,57.91,58.488,627679,0
2017-02-10,58.717,59.319,58.281,59.281,763875,0
2017-02-13,59.172,59.499,58.885,58.895,406774,0
2017-02-14,58.598,58.687,58.321,58.608,386917,0
2017-02-15,58.638,58.9,58.321,58.746,549975,0
2017-02-16,58.835,59.251,58.331,59.162,553127,0
2017-02-17,59.261,59.379,58.727,59.359,575164,0
2017-02-21,59.261,59.329,58.478,59.192,649264,0
2017-02-22,59.301,59.696,59.172,59.646,668723,0
2017-02-23,59.746,60.003,59.548,59.786,715004,0
2017-02-24,59.736,60.2,58.687,60.132,708780,0
2017-02-27,60.003,60.597,59.578,60.19,697533,0
2017-02-28,60.21,60.467,59.923,60.033,848282,0
2017-03-01,60.4,60.774,60.18,60.697,623322,0
2017-03-02,60.41,61.309,60.37,61.022,683310,0
2017-03-03,60.964,61.251,60.627,61.003,589647,0
2017-03-06,61.131,61.131,60.37,60.438,928111,0
2017-03-07,60.497,60.959,60.429,60.537,499060,0
2017-03-08,60.497,61.309,60.41,61.091,753277,0
2017-03-09,61.231,61.338,60.547,60.547,583662,0
2017-03-10,60.834,60.844,60.3,60.517,719319,0
2017-03-13,60.547,60.854,60.385,60.667,378139,0
2017-03-14,60.745,61.091,60.472,60.884,425049,0
2017-03-15,60.984,61.131,60.567,60.974,343733,0
2017-03-16,61.201,61.261,60.764,61.151,446219,0
2017-03-17,61.061,61.458,60.794,61.191,865710,0
2017-03-20,61.022,61.548,60.944,61.418,830568,0
2017-03-21,61.508,61.765,61.378,61.596,979728,0
2017-03-22,61.557,61.795,61.161,61.498,732841,0
2017-03-23,61.488,61.774,61.309,61.606,547169,0
2017-03-24,61.596,62.002,61.538,61.874,717774,0
2017-03-27,61.438,61.745,61.329,61.508,507538,0
2017-03-28,61.478,61.606,61.358,61.408,640089,0
2017-03-29,61.508,61.578,61.036,61.24,625723,0
2017-03-30,61.07,61.398,60.962,61.19,636548,0
2017-03-31,61.368,61.368,60.554,60.574,861810,0
2017-04-03,60.564,60.664,60.276,60.584,595106,0
2017-04-04,60.376,61.021,60.306,60.356,708890,0
2017-04-05,60.594,61.08,60.376,60.733,622007,0
2017-04-06,60.733,60.832,60.088,60.246,644408,0
2017-04-07,60.157,60.792,60.108,60.634,482926,0
2017-04-10,60.782,60.842,60.406,60.674,299923,0
2017-04-11,60.425,61.16,60.386,60.753,313123,0
2017-04-12,60.872,61.15,60.664,60.782,395131,0
2017-04-13,60.733,60.882,59.998,60.028,494758,0
2017-04-17,59.968,60.792,59.968,60.157,560552,0
2017-04-18,60.137,60.474,59.958,60.326,873842,0
2017-04-19,60.474,60.952,60.157,60.256,690553,0
2017-04-20,60.326,60.406,59.888,60.186,478260,0
2017-04-21,60.177,60.425,60.063,60.296,330116,0
2017-04-24,60.614,61.002,60.465,60.792,311111,0
2017-04-25,60.912,61.14,60.644,60.822,319330,0
2017-04-26,61.041,61.27,60.743,61.05,398362,0
2017-04-27,61.09,61.309,60.932,61.08,314823,0
2017-04-28,61.299,61.299,60.534,60.822,559721,0
2017-05-01,61.031,61.12,60.634,61.031,439793,0
2017-05-02,61.22,61.428,60.654,60.704,362633,0
2017-05-03,60.912,61.011,60.435,60.972,413761,0
2017-05-04,61.07,61.876,61.07,61.766,586468,0
2017-05-05,61.826,61.934,61.16,61.646,585938,0
2017-05-08,61.646,61.964,61.538,61.627,561135,0
2017-05-09,61.905,61.905,60.952,61.398,868400,0
2017-05-10,62.322,63.882,61.617,63.186,1101186,0
2017-05-11,63.038,63.574,62.402,63.156,880930,0
2017-05-12,63.096,63.156,62.58,62.818,467377,0
2017-05-15,62.73,63.176,62.72,63.038,529462,0
2017-05-16,63.038,63.399,62.675,62.769,659502,0
2017-05-17,62.491,63.043,60.406,62.56,653963,0
2017-05-18,62.5,63.206,62.169,62.878,799106,0
2017-05-19,62.978,63.643,62.918,63.534,666053,0
2017-05-22,63.454,64.04,63.316,63.544,710676,0
2017-05-23,63.782,63.782,63.316,63.653,625567,0
2017-05-24,63.634,63.931,63.186,63.464,775085,0
2017-05-25,63.067,64.22,61.711,63.802,678648,0
2017-05-26,63.772,63.99,63.584,63.912,451313,0
2017-05-30,63.842,64.04,63.434,63.95,303898,0
2017-05-31,64.08,64.408,63.887,64.338,690155,0
2017-06-01,64.556,65.52,64.368,65.47,822187,0
2017-06-02,65.56,66.026,65.392,65.67,577959,0
2017-06-05,65.4,65.908,65.272,65.282,541344,0
2017-06-06,65.252,65.372,64.904,65.103,431080,0
2017-06-07,65.4,65.4,64.616,64.964,1052103,0
2017-06-08,65.014,65.182,64.463,64.766,609811,0
2017-06-09,64.756,64.874,64.368,64.646,371634,0
2017-06-12,64.368,64.586,63.852,64.06,665369,0
2017-06-13,63.772,64.616,63.653,64.418,866041,0
2017-06-14,64.736,64.874,64.22,64.636,697250,0
2017-06-15,64.288,64.686,63.892,64.636,567414,0
2017-06-16,64.686,64.824,63.931,64.308,797769,0
2017-06-19,64.488,64.834,64.358,64.796,511769,0
2017-06-20,64.736,64.834,64.308,64.418,438943,0
2017-06-21,64.478,64.596,64.12,64.278,380535,0
2017-06-22,64.418,64.438,63.712,63.931,819289,0
2017-06-23,64.06,64.428,63.692,64.13,1378283,0
2017-06-26,64.458,64.854,64.16,64.338,518861,0
2017-06-27,64.328,64.626,63.782,63.802,454172,0
2017-06-28,63.961,64.37,63.653,64.23,600003,0
2017-06-29,64.35,64.38,63.403,63.722,385799,0
2017-06-30,63.722,64.455,63.682,64.24,579806,0
2017-07-03,64.33,64.789,64.101,64.131,263615,0
2017-07-05,64.171,64.749,64.081,64.45,530064,0
2017-07-06,64.35,64.36,63.573,63.702,585886,0
2017-07-07,63.782,64.38,63.633,64.31,344241,0
2017-07-10,64.3,64.654,64.201,64.23,358996,0
2017-07-11,64.26,64.679,64.021,64.569,416734,0
2017-07-12,64.729,65.227,64.101,64.978,518190,0
2017-07-13,64.908,65.357,64.908,65.008,395547,0
2017-07-14,65.287,65.606,64.759,64.769,375691,0
2017-07-17,64.888,65.212,64.704,65.107,446859,0
2017-07-18,65.207,65.207,64.729,64.908,328942,0
2017-07-19,65.117,65.197,64.629,64.968,451324,0
2017-07-20,64.948,65.342,64.799,65.247,455788,0
2017-07-21,64.978,65.536,64.908,65.456,423469,0
2017-07-24,65.526,65.905,65.088,65.805,340071,0
2017-07-25,65.775,66.244,65.646,66.094,419940,0
2017-07-26,66.293,67.25,66.234,67.131,697261,0
2017-07-27,67.19,67.28,66.513,66.861,836693,0
2017-07-28,66.692,67.011,66.662,66.861,300423,0
2017-07-31,66.852,67.22,66.802,66.941,337861,0
2017-08-01,67.34,67.39,66.812,67.32,566791,0
2017-08-02,67.37,67.689,66.822,66.911,640001,0
2017-08-03,67.748,67.748,64.928,65.945,1515585,0
2017-08-04,65.994,66.333,65.686,66.044,473488,0
2017-08-07,66.214,66.214,65.606,65.735,706241,0
2017-08-08,65.681,65.765,65.177,65.277,528430,0
2017-08-09,65.127,65.446,65.008,65.287,607871,0
2017-08-10,64.998,65.083,63.792,63.882,664922,0
2017-08-11,63.872,64.111,63.184,63.423,808786,0
2017-08-14,63.702,63.817,62.975,63.025,1133128,0
2017-08-15,63.094,63.249,62.257,62.646,1581228,0
2017-08-16,62.596,63.353,62.382,63.045,712050,0
2017-08-17,63.124,63.184,62.247,62.317,655182,0
2017-08-18,62.327,62.536,62.078,62.148,349313,0
2017-08-21,62.207,62.566,61.918,62.546,442112,0
2017-08-22,62.686,63.114,62.496,63.094,486082,0
2017-08-23,62.895,63.054,62.636,62.905,403443,0
2017-08-24,62.905,63.254,62.895,63.054,326173,0
2017-08-25,63.254,63.613,63.005,63.244,505442,0
2017-08-28,63.184,63.722,63.144,63.513,780349,0
2017-08-29,63.194,63.697,63.194,63.692,619395,0
2017-08-30,63.692,64.101,63.573,63.961,811004,0
2017-08-31,63.961,64.659,63.961,64.569,507390,0
2017-09-01,64.779,64.828,64.46,64.719,592965,0
2017-09-05,64.669,64.669,63.453,63.613,854317,0
2017-09-06,63.633,63.842,63.393,63.603,711510,0
2017-09-07,63.543,63.603,63.015,63.393,730590,0
2017-09-08,63.214,63.812,63.035,63.533,694168,0
2017-09-11,63.652,63.832,63.483,63.782,893479,0
2017-09-12,63.892,64.031,63.433,63.662,756736,0
2017-09-13,63.463,63.642,63.244,63.433,661884,0
2017-09-14,63.104,63.403,63.025,63.194,606117,0
2017-09-15,63.064,63.144,62.247,62.277,5156112,0
2017-09-18,62.636,64.031,62.177,63.912,1452938,0
2017-09-19,63.922,64.5,63.742,63.782,849147,0
2017-09-20,63.603,63.872,62.875,63.453,584645,0
2017-09-21,63.254,63.493,62.895,63.483,575144,0
2017-09-22,63.473,64.111,63.373,63.941,483340,0
2017-09-25,63.762,64.42,63.762,64.131,633804,0
2017-09-26,64.221,64.609,63.842,64.151,716003,0
2017-09-27,64.49,64.649,64.121,64.37,785230,0
2017-09-28,64.31,64.35,64.1,64.17,327256,0
2017-09-29,64.06,64.61,64.06,64.32,435901,0
2017-10-02,64.32,64.77,64.1501,64.64,358653,0
2017-10-03,64.6,65.25,64.6,65.2,730651,0
2017-10-04,65.23,65.46,64.8928,65.39,662934,0
2017-10-05,65.28,65.72,65.045,65.54,598036,0
2017-10-06,65.49,65.63,65.085,65.17,592117,0
2017-10-09,65.07,65.4,64.74,65.04,392329,0
2017-10-10,65.12,65.56,64.99,65.29,375017,0
2017-10-11,65.31,65.445,65.13,65.33,327981,0
2017-10-12,65.18,65.99,65.16,65.64,510667,0
2017-10-13,65.76,65.81,65.46,65.64,320482,0
2017-10-16,65.46,65.83,65.39,65.61,355098,0
2017-10-17,65.72,66.12,65.54,66.1,396311,0
2017-10-18,66.13,66.26,65.8,65.81,672491,0
2017-10-19,65.81,66.29,65.58,66.03,433021,0
2017-10-20,66.14,66.295,66,66.07,511536,0
2017-10-23,66.04,66.35,65.87,65.94,359371,0
2017-10-24,65.94,65.99,65.62,65.85,459586,0
2017-10-25,65.85,66.07,65.48,65.74,414207,0
2017-10-26,65.78,65.82,65.39,65.41,527190,0
2017-10-27,65.91,65.91,65.24,65.38,486610,0
2017-10-30,65.38,65.43,64.81,64.96,489090,0
2017-10-31,65.03,65.37,64.87,65.1,1014282,0
2017-11-01,65.2,66.985,64.19,64.37,936911,0
2017-11-02,64.4,64.56,63.17,63.25,3492706,0
2017-11-03,63.39,63.82,63.17,63.55,2127554,0
2017-11-06,63.74,63.79,63.14,63.2,1519503,0
2017-11-07,63.2,63.2,62.73,62.95,2184757,0
