Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.6243,7.6527,7.6084,7.6527,112967,0
2017-01-04,7.6812,7.7097,7.6622,7.7097,181661,0
2017-01-05,7.7476,7.7476,7.6812,7.7191,283271,0
2017-01-06,7.7476,7.7476,7.6812,7.7287,117556,0
2017-01-09,7.7476,7.8518,7.7191,7.7666,129365,0
2017-01-10,7.795,7.795,7.7476,7.776,168739,0
2017-01-11,7.8156,7.8347,7.7678,7.806,103673,0
2017-01-12,7.8347,7.8537,7.825,7.8537,104492,0
2017-01-13,7.8632,7.8632,7.806,7.8347,82860,0
2017-01-17,7.8537,7.8727,7.806,7.8156,113483,0
2017-01-18,7.844,7.844,7.7966,7.8156,116997,0
2017-01-19,7.8156,7.8156,7.7775,7.806,86197,0
2017-01-20,7.825,7.825,7.7678,7.7775,77466,0
2017-01-23,7.7775,7.8537,7.7775,7.8537,78241,0
2017-01-24,7.8632,7.8727,7.7966,7.825,152636,0
2017-01-25,7.825,7.844,7.7966,7.825,112735,0
2017-01-26,7.844,7.8537,7.7966,7.806,91096,0
2017-01-27,7.8347,7.8823,7.8156,7.8823,94374,0
2017-01-30,7.8823,7.9108,7.8823,7.9013,90529,0
2017-01-31,7.9298,7.9775,7.9204,7.9775,125312,0
2017-02-01,7.9775,7.9966,7.9488,7.9775,102231,0
2017-02-02,8.0061,8.0061,7.9488,7.9606,80632,0
2017-02-03,8.0061,8.0061,7.9585,7.9775,88028,0
2017-02-06,8.0157,8.0157,7.9681,7.9681,50280,0
2017-02-07,7.9871,8.0157,7.9775,8.0157,74869,0
2017-02-08,8.0347,8.0347,7.9871,8.0061,82814,0
2017-02-09,8.0061,8.0253,7.9775,7.9966,112486,0
2017-02-10,7.9966,8.0157,7.9966,7.9966,83072,0
2017-02-13,7.9871,8.0157,7.9488,7.9681,126856,0
2017-02-14,7.9871,7.9871,7.9108,7.9298,137166,0
2017-02-15,7.9013,7.9395,7.872,7.9204,205427,0
2017-02-16,7.9013,7.9295,7.8823,7.9013,95910,0
2017-02-17,7.9395,7.9585,7.8917,7.9298,100278,0
2017-02-21,7.941,7.9601,7.912,7.9312,75049,0
2017-02-22,7.9695,7.9983,7.9601,7.9889,46731,0
2017-02-23,8.0271,8.0751,8.0127,8.0751,133441,0
2017-02-24,8.0943,8.1134,8.0751,8.1134,76724,0
2017-02-27,8.1134,8.1134,8.0751,8.0847,33469,0
2017-02-28,8.1134,8.1276,8.0943,8.1038,77686,0
2017-03-01,8.0654,8.0847,8.0175,8.0366,97801,0
2017-03-02,8.0366,8.0558,7.9889,8.0558,84444,0
2017-03-03,8.0654,8.0654,8.008,8.008,66329,0
2017-03-06,8.0366,8.0751,7.9983,8.0175,42939,0
2017-03-07,7.9983,8.0175,7.9695,7.9983,81931,0
2017-03-08,7.9695,7.9792,7.9503,7.9601,78322,0
2017-03-09,7.9423,7.9518,7.8267,7.8364,144779,0
2017-03-10,7.846,7.8846,7.8267,7.8267,110926,0
2017-03-13,7.846,7.8557,7.8172,7.8172,50789,0
2017-03-14,7.8172,7.8557,7.7882,7.846,82065,0
2017-03-15,7.846,7.9423,7.8364,7.9423,88676,0
2017-03-16,7.9518,7.9518,7.8846,7.9231,83396,0
2017-03-17,7.9423,7.9553,7.9039,7.9133,70620,0
2017-03-20,7.9231,7.9423,7.9133,7.9423,52044,0
2017-03-21,7.9518,7.9518,7.9133,7.9133,46472,0
2017-03-22,7.9326,7.9616,7.9039,7.9039,125087,0
2017-03-23,7.9326,7.9423,7.9039,7.9133,76671,0
2017-03-24,7.9133,7.9616,7.8941,7.9616,103457,0
2017-03-27,7.971,8,7.9616,7.9905,99054,0
2017-03-28,8.0097,8.0192,7.9518,7.9905,98198,0
2017-03-29,8.0097,8.0097,7.971,7.9905,50367,0
2017-03-30,8.0097,8.0192,7.971,8,99175,0
2017-03-31,8.0192,8.0289,7.9616,7.971,87958,0
2017-04-03,8,8.0674,8,8.0481,122909,0
2017-04-04,8.0481,8.0763,8.0348,8.0577,46921,0
2017-04-05,8.0577,8.0674,8.0481,8.0577,52414,0
2017-04-06,8.077,8.1156,8.077,8.1058,82794,0
2017-04-07,8.0963,8.1058,8.077,8.0963,119651,0
2017-04-10,8.0963,8.1734,8.0963,8.1734,66712,0
2017-04-11,8.2135,8.2135,8.107,8.1456,99216,0
2017-04-12,8.1554,8.1554,8.1361,8.1361,24666,0
2017-04-13,8.1361,8.1554,8.1263,8.1554,43755,0
2017-04-17,8.1554,8.165,8.1263,8.1456,50773,0
2017-04-18,8.165,8.165,8.1554,8.1554,24601,0
2017-04-19,8.165,8.2038,8.0973,8.1456,113624,0
2017-04-20,8.1263,8.165,8.107,8.107,87454,0
2017-04-21,8.1456,8.165,8.107,8.1263,95312,0
2017-04-24,8.107,8.1167,8.0877,8.0877,134184,0
2017-04-25,8.0779,8.0877,8.0297,8.0392,120795,0
2017-04-26,8.0297,8.0973,8.0297,8.0973,85976,0
2017-04-27,8.0973,8.1348,8.0795,8.0973,80788,0
2017-04-28,8.0877,8.1554,8.0877,8.1167,79709,0
2017-05-01,8.107,8.165,8.0973,8.0973,94790,0
2017-05-02,8.1167,8.1844,8.107,8.1844,77069,0
2017-05-03,8.1747,8.2232,8.165,8.2038,102347,0
2017-05-04,8.1747,8.2328,8.1747,8.2135,61205,0
2017-05-05,8.2135,8.2425,8.1942,8.2135,49428,0
2017-05-08,8.2232,8.2233,8.1747,8.1844,79855,0
2017-05-09,8.1858,8.2247,8.1762,8.1956,82724,0
2017-05-10,8.1956,8.2247,8.1663,8.1858,60646,0
2017-05-11,8.1762,8.2151,8.1762,8.1956,82013,0
2017-05-12,8.1956,8.2832,8.1956,8.2539,54457,0
2017-05-15,8.2733,8.2832,8.2549,8.2637,79048,0
2017-05-16,8.2637,8.2685,8.2247,8.2442,89209,0
2017-05-17,8.2637,8.2733,8.2345,8.2442,50092,0
2017-05-18,8.2637,8.2637,8.2247,8.2442,57877,0
2017-05-19,8.2442,8.2442,8.1858,8.2053,56137,0
2017-05-22,8.1858,8.2247,8.1858,8.2247,35690,0
2017-05-23,8.2539,8.2637,8.2151,8.2345,50032,0
2017-05-24,8.2345,8.2637,8.2053,8.2151,75438,0
2017-05-25,8.2151,8.2539,8.1762,8.2345,142711,0
2017-05-26,8.2442,8.2442,8.1762,8.2247,191434,0
2017-05-30,8.2151,8.2247,8.1179,8.1663,201365,0
2017-05-31,8.1762,8.2247,8.1762,8.2247,85626,0
2017-06-01,8.2151,8.2637,8.2072,8.2345,223950,0
2017-06-02,8.2442,8.2733,8.2247,8.2345,89907,0
2017-06-05,8.2151,8.2442,8.1956,8.2247,82616,0
2017-06-06,8.2442,8.2637,8.2247,8.2247,129459,0
2017-06-07,8.2151,8.2733,8.2151,8.2539,50045,0
2017-06-08,8.2637,8.2832,8.2637,8.2832,65704,0
2017-06-09,8.2928,8.2928,8.2539,8.2539,103783,0
2017-06-12,8.2554,8.2944,8.1571,8.1591,268738,0
2017-06-13,8.1674,8.2164,8.1674,8.1869,130309,0
2017-06-14,8.2261,8.2554,8.2066,8.2359,106258,0
2017-06-15,8.2359,8.2652,8.2066,8.2554,68596,0
2017-06-16,8.2554,8.2749,8.2359,8.2652,44670,0
2017-06-19,8.2554,8.2944,8.2164,8.2749,111693,0
2017-06-20,8.2554,8.2944,8.2554,8.2944,53235,0
2017-06-21,8.3043,8.3043,8.2749,8.3043,46540,0
2017-06-22,8.3043,8.3336,8.2847,8.2944,74031,0
2017-06-23,8.2652,8.3238,8.2652,8.2944,61749,0
2017-06-26,8.2944,8.3426,8.2944,8.3336,73046,0
