Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,21.653,21.74,20.451,20.47,4044651,0
2017-01-04,20.597,21.299,20.587,21.119,3122033,0
2017-01-05,20.664,20.712,19.589,20.19,3719383,0
2017-01-06,20.267,20.267,19.782,19.811,1757285,0
2017-01-09,19.831,20.088,19.656,19.946,1267731,0
2017-01-10,19.918,20.31,19.879,19.946,1316341,0
2017-01-11,19.966,19.966,19.627,19.753,782887,0
2017-01-12,19.734,20.227,19.006,20.15,2579103,0
2017-01-13,20.16,20.441,20.16,20.324,1278034,0
2017-01-17,20.354,21.119,20.354,20.848,2317058,0
2017-01-18,20.809,20.888,20.354,20.635,1388688,0
2017-01-19,20.635,20.791,19.753,19.937,1202485,0
2017-01-20,19.956,20.107,19.685,20.025,1557540,0
2017-01-23,19.859,20.005,19.549,19.637,1457821,0
2017-01-24,19.685,19.961,19.569,19.869,1984011,0
2017-01-25,19.908,20.155,19.831,20.073,1194457,0
2017-01-26,20.16,20.383,19.966,20.237,1504550,0
2017-01-27,20.208,20.208,19.559,19.714,1736815,0
2017-01-30,19.676,20.015,19.482,19.889,881940,0
2017-01-31,19.676,20.548,19.549,20.509,1314856,0
2017-02-01,20.518,20.567,20.14,20.237,1097342,0
2017-02-02,20.208,20.421,19.908,19.918,1576026,0
2017-02-03,19.937,20.112,19.821,19.869,2279686,0
2017-02-06,19.918,20.441,19.879,20.393,1420467,0
2017-02-07,20.49,20.5,20.257,20.364,1250352,0
2017-02-08,20.305,20.669,20.02,20.597,1157781,0
2017-02-09,20.577,21.081,20.5,20.994,1030133,0
2017-02-10,21.168,21.576,20.95,21.313,1515115,0
2017-02-13,21.372,21.488,20.813,20.848,1043795,0
2017-02-14,20.761,21.255,20.722,20.915,1440336,0
2017-02-15,20.858,21.197,20.823,21.139,792781,0
2017-02-16,21.091,21.216,20.48,20.606,1459403,0
2017-02-17,20.606,20.935,20.451,20.801,1783338,0
2017-02-21,20.975,21.541,20.888,21.488,2392569,0
2017-02-22,21.516,21.556,21.149,21.391,2018404,0
2017-02-23,21.275,21.372,20.334,20.344,2337024,0
2017-02-24,20.227,21.062,20.068,20.906,2313469,0
2017-02-27,20.315,20.809,20.112,20.654,2952732,0
2017-02-28,20.48,20.606,20.155,20.383,2795951,0
2017-03-01,20.412,20.538,19.743,20.083,2339873,0
2017-03-02,20.17,20.741,20.033,20.538,1785938,0
2017-03-03,20.615,20.741,19.792,20.063,2921628,0
2017-03-06,19.946,20.107,19.666,20.025,1884516,0
2017-03-07,20.053,20.277,19.748,19.811,1354779,0
2017-03-08,19.821,20.083,19.695,19.976,2163469,0
2017-03-09,19.589,19.85,19.268,19.763,2812247,0
2017-03-10,19.928,20.287,19.734,20.073,3382003,0
2017-03-13,20.025,20.093,19.191,19.22,5403294,0
2017-03-14,20.227,20.383,19.336,19.394,7053526,0
2017-03-15,19.257,19.933,19.14,19.825,4614845,0
2017-03-16,19.727,20.206,19.727,20.188,1668275,0
2017-03-17,20.276,20.393,19.776,19.972,1969689,0
2017-03-20,19.923,19.923,19.14,19.169,1940172,0
2017-03-21,19.267,19.277,18.357,18.621,2064447,0
2017-03-22,18.611,18.65,18.161,18.543,2321184,0
2017-03-23,18.689,18.904,18.474,18.738,3673985,0
2017-03-24,18.719,18.895,18.533,18.866,1109846,0
2017-03-27,19.669,19.815,19.296,19.599,6029655,0
2017-03-28,19.287,19.889,19.287,19.825,12742017,0
2017-03-29,19.805,20.314,19.757,20.1,2352176,0
2017-03-30,20.001,20.422,19.933,20.383,1598819,0
2017-03-31,20.334,20.481,20.153,20.246,1342544,0
2017-04-03,20.216,20.226,19.599,19.707,2148222,0
2017-04-04,19.571,19.669,18.944,19.032,2220711,0
2017-04-05,19.072,19.15,18.591,18.689,1874881,0
2017-04-06,18.866,19.267,18.768,18.788,1381416,0
2017-04-07,18.758,19.062,18.65,18.944,1322117,0
2017-04-10,18.964,19.531,18.964,19.277,1681452,0
2017-04-11,19.277,19.571,19.091,19.531,1850617,0
2017-04-12,19.414,19.551,19.277,19.394,1126644,0
2017-04-13,19.365,19.414,19.11,19.169,1259035,0
2017-04-17,19.267,19.326,19.091,19.316,1037421,0
2017-04-18,19.423,19.664,19.197,19.649,1235378,0
2017-04-19,19.669,19.85,19.604,19.629,1476144,0
2017-04-20,19.815,20.549,19.815,20.491,2039843,0
2017-04-21,20.462,20.603,20.251,20.354,1675374,0
2017-04-24,20.687,20.706,20.143,20.383,2074755,0
2017-04-25,20.462,20.672,20.198,20.432,1890526,0
2017-04-26,20.549,20.75,20.417,20.52,2076360,0
2017-04-27,20.52,20.569,20.304,20.491,1354355,0
2017-04-28,20.481,20.559,19.913,20.188,1662834,0
2017-05-01,20.216,20.216,19.688,19.825,1325437,0
2017-05-02,19.796,20.559,19.796,20.452,1782888,0
2017-05-03,20.432,20.432,19.952,20.295,2026338,0
2017-05-04,20.412,20.53,19.805,19.845,1352118,0
2017-05-05,19.992,20.559,19.913,20.559,2198883,0
2017-05-08,20.608,20.765,20.462,20.471,1426153,0
2017-05-09,19.923,20.785,19.923,20.481,3232733,0
2017-05-10,20.569,21.259,20.481,21.166,2234099,0
2017-05-11,20.873,20.873,19.11,19.483,4478464,0
2017-05-12,19.335,19.355,18.763,18.797,2327692,0
2017-05-15,18.778,18.895,18.415,18.464,2544454,0
2017-05-16,18.357,18.435,17.945,18.259,2660951,0
2017-05-17,17.926,18.053,17.583,17.652,3018433,0
2017-05-18,17.74,17.867,17.294,17.309,2447394,0
2017-05-19,17.329,17.574,16.907,17.113,2626475,0
2017-05-22,17.074,17.334,16.878,17.279,4211494,0
2017-05-23,17.828,17.906,15.64,15.869,8151517,0
2017-05-24,16.007,16.448,15.674,16.242,4439601,0
2017-05-25,16.3,16.541,16.173,16.438,3082083,0
2017-05-26,16.467,16.467,16.115,16.378,1610539,0
2017-05-30,16.388,16.481,16.193,16.36,1839011,0
2017-05-31,16.34,16.486,16.149,16.476,1154776,0
2017-06-01,16.565,16.839,16.271,16.751,1482369,0
2017-06-02,16.761,16.902,16.438,16.448,1337709,0
2017-06-05,16.496,16.574,16.34,16.438,1045518,0
2017-06-06,16.35,16.428,16.046,16.134,1234483,0
2017-06-07,16.222,16.35,16.056,16.291,1068393,0
2017-06-08,16.536,16.869,16.203,16.536,1815296,0
2017-06-09,16.594,17.211,16.398,17.153,1802395,0
2017-06-12,17.143,17.75,17.133,17.378,2260950,0
2017-06-13,17.348,17.546,16.981,17.279,1025536,0
2017-06-14,17.269,17.457,16.991,17.407,1055078,0
2017-06-15,17.179,17.467,17.061,17.348,855664,0
2017-06-16,17.15,17.219,16.833,17.209,1478578,0
2017-06-19,17.269,17.298,16.882,17.13,1215190,0
2017-06-20,17.12,17.12,16.585,16.734,933171,0
2017-06-21,16.556,16.902,16.259,16.368,1358868,0
2017-06-22,16.417,16.585,16.08,16.427,1764448,0
2017-06-23,16.387,16.991,16.358,16.972,1105880,0
2017-06-26,17.061,17.496,16.991,17.239,956681,0
2017-06-27,17.219,17.744,17.219,17.496,1216144,0
2017-06-28,17.585,17.982,17.506,17.585,1656298,0
2017-06-29,17.675,18.204,17.675,17.982,1173365,0
2017-06-30,18.051,18.13,17.486,17.526,1677746,0
2017-07-03,17.655,18.14,17.605,18.001,533939,0
2017-07-05,17.922,17.962,17.566,17.605,1240348,0
2017-07-06,17.536,17.576,17.011,17.15,1507176,0
2017-07-07,17.199,17.387,16.981,17.318,1010046,0
2017-07-10,17.199,17.199,16.674,16.694,1137337,0
2017-07-11,16.694,16.793,16.437,16.536,1753362,0
2017-07-12,16.526,16.803,16.526,16.575,2896416,0
2017-07-13,16.694,17.313,16.635,17.17,1459830,0
2017-07-14,17.279,17.368,16.833,16.853,952387,0
2017-07-17,16.922,17.338,16.843,17.17,960310,0
2017-07-18,17.12,17.179,16.526,16.556,1276233,0
2017-07-19,16.605,16.833,16.506,16.714,972825,0
2017-07-20,16.724,17.12,16.635,16.952,696137,0
2017-07-21,17.11,17.13,16.684,16.892,678211,0
2017-07-24,16.734,16.843,16.219,16.318,1091226,0
2017-07-25,16.863,17.704,16.744,17.486,2155084,0
2017-07-26,18.021,18.061,17.298,17.665,2525366,0
2017-07-27,17.774,18.595,17.595,18.536,1723780,0
2017-07-28,18.546,18.546,17.843,18.051,1015160,0
2017-07-31,17.982,18.14,17.689,17.863,2205497,0
2017-08-01,17.942,18.269,17.605,18.199,1408213,0
2017-08-02,18.209,18.269,17.823,17.932,1216410,0
2017-08-03,17.803,18.308,17.635,17.744,1020150,0
2017-08-04,17.813,18.279,17.813,18.209,971518,0
2017-08-07,18.14,18.496,17.892,18.269,1293696,0
2017-08-08,18.457,19.204,18.457,18.774,2682103,0
2017-08-09,18.566,18.625,17.764,18.021,4143969,0
2017-08-10,17.843,17.843,16.774,16.803,2136770,0
2017-08-11,16.665,17.155,16.595,17.1,1381984,0
2017-08-14,17.239,17.239,16.635,16.793,1249171,0
2017-08-15,16.585,16.585,15.744,15.922,2312023,0
2017-08-16,16.199,16.506,16.17,16.209,1643281,0
2017-08-17,16.09,16.526,15.813,16.249,1216222,0
2017-08-18,15.952,16.11,15.506,15.684,3035404,0
2017-08-21,15.704,15.724,14.991,15.536,4379653,0
2017-08-22,18.665,19.199,17.932,18.249,16174285,0
2017-08-23,18.516,19.011,18.14,18.803,4805741,0
2017-08-24,19.289,19.675,18.848,18.932,3523972,0
2017-08-25,18.962,20.051,18.962,19.853,4753458,0
2017-08-28,19.863,19.863,18.665,18.853,3478530,0
2017-08-29,18.595,18.868,18.496,18.744,2392776,0
2017-08-30,18.694,18.848,18.269,18.615,1678930,0
2017-08-31,18.566,18.922,18.333,18.348,3984898,0
2017-09-01,18.496,18.734,18.249,18.536,3737906,0
2017-09-05,18.586,18.863,18.071,18.249,2865533,0
2017-09-06,18.298,18.655,18.209,18.328,1904672,0
2017-09-07,18.417,18.774,18.209,18.615,2232355,0
2017-09-08,18.724,19.011,18.472,18.793,2157138,0
2017-09-11,18.883,19.115,18.675,18.922,1994648,0
2017-09-12,19.001,19.546,19.001,19.279,1677240,0
2017-09-13,19.477,19.893,19.358,19.526,1255091,0
2017-09-14,19.506,19.898,19.298,19.813,2417074,0
2017-09-15,19.843,20.294,19.794,20.15,3952124,0
2017-09-18,20.18,20.325,20.025,20.19,1744399,0
2017-09-19,20.25,20.54,20.135,20.19,2101621,0
2017-09-20,20.05,20.25,19.85,20.17,1428055,0
2017-09-21,20.23,20.3,19.83,19.83,1103614,0
2017-09-22,19.71,20.57,19.54,20.5,1715790,0
2017-09-25,20.42,21.33,20.4,21.08,2315498,0
2017-09-26,21.26,21.27,20.69,21.19,1231049,0
2017-09-27,21.45,21.58,20.93,21.5,1131090,0
2017-09-28,21.5,21.71,21.125,21.38,1122154,0
2017-09-29,21.42,21.55,21.23,21.48,1081133,0
2017-10-02,21.6,21.83,21.09,21.77,1586533,0
2017-10-03,21.77,21.84,21.16,21.32,1178356,0
2017-10-04,21.31,21.66,20.97,21.08,1608357,0
2017-10-05,21.07,21.34,20.86,21.26,1272658,0
2017-10-06,21.06,21.24,20.97,21,1132991,0
2017-10-09,21,21.15,20.18,20.39,1295623,0
2017-10-10,20.59,21.01,20.41,20.75,1299611,0
2017-10-11,20.76,20.82,19.775,19.96,1963483,0
2017-10-12,19.92,19.93,19.07,19.22,2382491,0
2017-10-13,19.32,19.36,18.815,18.86,1887335,0
2017-10-16,18.75,18.82,18.44,18.77,1772407,0
2017-10-17,18.81,19.09,18.68,18.81,1561430,0
2017-10-18,19.09,19.67,19.09,19.61,2087724,0
2017-10-19,19.5,19.82,19.34,19.72,1264461,0
2017-10-20,20,20.98,19.92,20.4,2868273,0
2017-10-23,20.57,20.97,20.45,20.7,2937848,0
2017-10-24,20.74,21.13,20.72,20.95,1692368,0
2017-10-25,21.05,21.07,20.66,20.97,2002231,0
2017-10-26,20.96,21.425,20.9,21.29,2182947,0
2017-10-27,21.14,21.26,20.77,21.05,1603489,0
2017-10-30,20.95,20.95,19.93,20.16,1471350,0
2017-10-31,19.89,20.23,19.115,19.15,3112944,0
2017-11-01,18.61,18.85,17.7501,18.6,5016430,0
2017-11-02,17.9,18.965,17.89,18.87,3939685,0
2017-11-03,18.85,18.98,18.39,18.89,1790278,0
2017-11-06,19,19.17,18.685,18.74,1254306,0
2017-11-07,18.8,18.98,18.37,18.6,1138531,0
2017-11-08,18.44,18.895,18.26,18.86,1117367,0
2017-11-09,18.78,19.675,18.78,19.4,1660513,0
2017-11-10,19.36,20.37,19.36,19.71,2113111,0
