Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,78.645,78.645,77.5292,77.96,1121,0
2017-01-04,78.29,78.96,78.29,78.9432,578,0
2017-01-05,78.328,78.3653,78.328,78.3653,265,0
2017-01-06,78.5001,78.7981,78.5001,78.7619,1821,0
2017-01-09,78.28,78.7101,78.28,78.7101,320,0
2017-01-10,79.64,79.64,79.64,79.64,100,0
2017-01-11,79.6,79.6,79.4748,79.4748,359,0
2017-01-13,80.02,80.12,79.93,79.96,916,0
2017-01-17,79.5147,79.5147,79.07,79.07,420,0
2017-01-18,79.4047,79.4047,79.4047,79.4047,100,0
2017-01-19,79.1,79.1,79.1,79.1,127,0
2017-01-20,79.48,79.48,79.2401,79.37,1477,0
2017-01-23,78.92,78.93,78.9171,78.9171,711,0
2017-01-24,79.98,80.2901,79.98,80.2901,1167,0
2017-01-25,81.21,81.364,81.21,81.364,372,0
2017-01-26,81.4677,81.4677,81.4677,81.4677,781,0
2017-01-27,81.9,81.9,81.5074,81.5608,785,0
2017-01-31,81.3594,81.3594,81.3594,81.3594,100,0
2017-02-02,81.64,81.64,81.34,81.52,882,0
2017-02-03,82.1,82.3324,82,82.3323,2742,0
2017-02-06,81.8599,81.8599,81.8599,81.8599,201,0
2017-02-09,82.9699,83.4401,82.9699,83.4401,326,0
2017-02-10,83.7818,84.0634,83.7818,84.0634,774,0
2017-02-13,84.07,84.07,83.7982,83.7982,1535,0
2017-02-14,83.5101,83.9599,83.5101,83.7582,4013,0
2017-02-15,84.4466,84.4466,84.4466,84.4466,118,0
2017-02-16,84.66,84.66,83.9801,83.9801,294,0
2017-02-17,84.1,84.36,84,84.36,1853,0
2017-02-21,85.08,85.08,84.8408,84.876,867,0
2017-02-22,84.5258,84.5258,84.5258,84.5258,160,0
2017-02-23,84.58,84.58,83.1019,83.6086,935,0
2017-02-24,83.06,83.8399,83.06,83.8399,1176,0
2017-02-27,84.3642,84.3642,84.3642,84.3642,180,0
2017-02-28,84.385,84.385,84.0299,84.0299,299,0
2017-03-01,84.85,85.2684,84.85,85.2684,279,0
2017-03-02,85.0801,85.0801,84.72,84.72,442,0
2017-03-06,84.2,84.4096,84.2,84.3301,539,0
2017-03-07,83.99,84.1601,83.99,84.1601,535,0
2017-03-08,84.2536,84.2536,84.215,84.215,898,0
2017-03-09,84.09,84.09,84.09,84.09,287,0
2017-03-10,83.955,83.955,83.66,83.91,2564,0
2017-03-13,84.3599,84.3599,84.2101,84.2101,364,0
2017-03-14,83.8,84.04,83.8,84.03,5111,0
2017-03-15,84.57,85.0699,84.57,84.902,1000,0
2017-03-16,85.47,85.47,85.47,85.47,161,0
2017-03-17,85.39,85.39,85.26,85.26,905,0
2017-03-20,84.9123,84.9123,84.9123,84.9123,354,0
2017-03-21,85.56,85.56,82.6,82.6,890,0
2017-03-22,82.7566,82.7566,82.7566,82.7566,225,0
2017-03-23,82.9801,82.9801,82.9801,82.9801,228,0
2017-03-24,83.562,83.8199,82.9201,82.9201,987,0
2017-03-27,82.35,82.4145,82.35,82.4145,200,0
2017-03-28,83.8568,83.8568,83.8568,83.8568,287,0
2017-03-29,83.59,83.59,83.59,83.59,663,0
2017-03-31,84.1425,84.1425,84.1425,84.1425,214,0
2017-04-03,84,84,84,84,400,0
2017-04-04,83.5159,83.5167,83.5159,83.5167,497,0
2017-04-05,84.0432,84.0432,84.0432,84.0432,420,0
2017-04-06,83.24,83.24,82.84,82.8961,814,0
2017-04-07,83.0199,83.1999,82.8807,83.1999,800,0
2017-04-12,83.0037,83.0037,82.4848,82.4848,2818,0
2017-04-13,82.2499,82.2499,81.771,81.771,233,0
2017-04-17,82.1287,82.43,82.12,82.43,2374,0
2017-04-18,82.314,82.71,82.314,82.64,1162,0
2017-04-20,83.6424,83.89,83.57,83.89,1083,0
2017-04-21,84.18,84.18,84.0514,84.0514,560,0
2017-04-24,85.06,85.07,85.06,85.07,550,0
2017-04-25,86.07,86.1799,85.789,85.952,1342,0
2017-04-26,86.18,86.18,86.18,86.18,233,0
2017-04-27,86.6637,86.6637,86.6637,86.6637,460,0
2017-05-01,86.5,87.2799,86.5,87.2799,1073,0
2017-05-02,86.8693,86.8693,86.7896,86.7896,447,0
2017-05-03,86.4799,86.4799,86.4799,86.4799,323,0
2017-05-05,86.4799,86.4799,86.4799,86.4799,268,0
2017-05-08,86.76,87.06,86.76,87.05,819,0
2017-05-09,87.105,87.105,87.105,87.105,169,0
2017-05-10,87.1281,87.1281,87.1281,87.1281,349,0
2017-05-11,87.4099,87.4099,87.2929,87.2929,1426,0
2017-05-12,87.1015,87.1015,87.1015,87.1015,249,0
2017-05-15,87.41,87.8168,87.41,87.7933,855,0
2017-05-17,85.425,85.5524,85.425,85.5524,495,0
2017-05-19,86.6134,86.6134,86.6134,86.6134,235,0
2017-05-22,86.55,86.55,86.55,86.55,622,0
2017-05-23,87.5045,87.5045,87.5045,87.5045,195,0
2017-05-24,87.24,88.1601,87.24,88.09,1685,0
2017-05-25,88.84,88.84,88.84,88.84,200,0
2017-05-26,88.3985,88.3985,88.3985,88.3985,201,0
2017-05-30,88.3434,88.3434,88.3434,88.3434,157,0
2017-05-31,88.3209,88.3209,87.98,88.251,612,0
2017-06-01,89.185,89.5,89.185,89.5,1239,0
2017-06-02,89.75,89.944,89.75,89.944,559,0
2017-06-06,90.32,90.32,90.14,90.14,907,0
2017-06-07,90.3,90.3,90.3,90.3,201,0
2017-06-08,90.82,91.1184,90.81,91.1184,16065,0
2017-06-09,91.11,91.11,89.22,89.22,1215,0
2017-06-12,88.58,89.13,88.58,88.975,25877,0
2017-06-13,89.7091,89.7091,89.7091,89.7091,251,0
2017-06-14,89.12,89.12,89.12,89.12,100,0
2017-06-15,88.8876,88.888,88.85,88.85,400,0
2017-06-20,91.07,91.07,90.26,90.26,300,0
2017-06-21,90.2301,90.2301,90.2301,90.2301,256,0
2017-06-22,90.63,90.6399,90.5617,90.5617,640,0
2017-06-23,90.7659,90.7659,90.72,90.72,560,0
2017-06-26,91.0523,91.0523,90.2182,91.0499,1033,0
2017-06-27,90.4799,90.4799,90.4799,90.4799,155,0
2017-06-28,91.32,91.33,91.32,91.33,400,0
2017-06-29,90.19,90.19,89.796,89.796,263,0
2017-06-30,90.0001,90.2799,90.0001,90.21,1223,0
2017-07-03,90.39,90.39,89.91,90.08,486,0
2017-07-05,89.91,90.08,89.9029,90.08,1480,0
2017-07-07,89.13,90.45,89.13,90.45,1024,0
2017-07-10,90.32,90.76,90.32,90.73,1165,0
2017-07-11,90.97,91.17,90.65,90.89,957,0
2017-07-12,91.99,92.12,91.975,92.12,398,0
2017-07-13,91.6447,92,91.6447,91.985,6966,0
2017-07-14,92.4999,92.667,92.301,92.63,2704,0
2017-07-17,92.4,92.489,92.4,92.489,1217,0
2017-07-18,92.6404,92.6404,92.6021,92.6021,369,0
2017-07-19,93.5897,93.7299,93.5897,93.7299,377,0
2017-07-20,93.87,93.9399,93.8348,93.8348,621,0
2017-07-24,94.16,94.61,93.7901,94.61,911,0
2017-07-26,95.1019,95.1019,94.7818,94.7818,956,0
2017-07-27,94.045,94.045,93.66,93.924,1234,0
2017-07-28,93.92,94.5221,93.92,94.42,629,0
2017-07-31,94.6,94.6,93.5626,93.7899,880,0
2017-08-01,94.43,94.43,93.676,93.85,1019,0
2017-08-02,93.85,93.85,93,93.31,2007,0
2017-08-03,93.3301,93.5918,93.3,93.5918,1078,0
2017-08-04,94.2226,94.2226,93.9141,93.9141,720,0
2017-08-07,94.675,94.936,94.675,94.8178,2171,0
2017-08-08,94.8,95.3,94.69,95.02,1642,0
2017-08-09,94.27,94.475,93.8727,93.971,2256,0
2017-08-10,93.5,93.5,92.11,92.11,1656,0
2017-08-11,91.53,91.53,91.53,91.53,258,0
2017-08-14,93.4665,93.75,93.4665,93.75,1185,0
2017-08-15,93.9599,94.075,93.82,93.82,489,0
2017-08-16,94.29,94.3741,94.29,94.335,555,0
2017-08-17,93.641,93.641,93.641,93.641,242,0
2017-08-18,92.295,92.4276,92.295,92.4276,613,0
2017-08-22,93.3,93.3099,93.15,93.1899,525,0
2017-08-23,93.76,93.76,93.68,93.68,1114,0
2017-08-24,93.27,93.27,93.27,93.27,237,0
2017-08-25,93.76,93.76,92.82,92.842,775,0
2017-08-29,92.4,93.25,92.4,93.2045,1167,0
2017-08-30,94.298,94.3441,94.09,94.3441,8013,0
2017-08-31,95.05,95.63,95.05,95.63,6220,0
2017-09-01,95.76,95.76,95.7,95.7,2707,0
2017-09-05,95.8164,95.8164,94.6527,94.6527,711,0
2017-09-06,95.086,95.086,95.038,95.0577,918,0
2017-09-07,94.69,94.91,94.69,94.91,2348,0
2017-09-08,94.7101,94.8435,94.6806,94.6806,664,0
2017-09-11,95.87,95.87,95.78,95.7899,742,0
2017-09-12,95.88,95.88,95.88,95.88,2684,0
2017-09-13,96.3,96.3,96.08,96.11,414,0
2017-09-14,95.82,95.83,95.71,95.82,500,0
2017-09-15,95.75,96.02,95.75,96.02,372,0
2017-09-18,96.99,96.99,96.7,96.99,460,0
2017-09-19,97.045,97.0873,97.045,97.0873,937,0
2017-09-20,96.95,96.95,96.95,96.95,236,0
2017-09-21,96.86,96.86,96.5,96.53,1193,0
2017-09-22,96.31,96.462,96.31,96.3609,1196,0
2017-09-25,96.08,96.24,94.8879,94.8879,2508,0
2017-09-26,95.45,95.46,95.19,95.19,2196,0
2017-09-27,95.94,97.11,95.94,97.09,1286,0
2017-09-28,97.13,97.2354,97.12,97.2354,1454,0
2017-09-29,97.8302,98.169,97.8302,98.169,2292,0
2017-10-02,98.575,98.595,98.575,98.595,295,0
2017-10-03,99.05,99.3,99.05,99.3,1033,0
2017-10-04,99.46,99.46,99.46,99.46,285,0
2017-10-06,99.946,99.946,99.946,99.946,127,0
2017-10-09,100.361,100.48,99.788,99.788,3541,0
2017-10-10,100.52,100.52,99.54,99.76,1447,0
2017-10-11,100.25,100.31,100.083,100.304,26983,0
2017-10-12,100.06,100.38,100.06,100.368,59642,0
2017-10-13,99.903,100.237,99.903,100.237,813,0
2017-10-16,100.46,100.745,100.46,100.606,1299,0
2017-10-17,100.79,100.79,100.37,100.37,1029,0
2017-10-19,99.9,100.16,99.751,100.149,1639,0
2017-10-20,100.48,101.08,100.48,100.98,2464,0
2017-10-23,100.942,100.942,100.799,100.816,757,0
