Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.25,4.3,4.1,4.15,71110,0
2017-01-04,4.15,4.25,4.1,4.15,49272,0
2017-01-05,4.15,4.15,3.85,3.9,78240,0
2017-01-06,3.95,3.95,3.7161,3.8,92308,0
2017-01-09,3.5,3.5,3.15,3.25,441980,0
2017-01-10,3.25,3.5,3.25,3.5,111067,0
2017-01-11,3.425,3.75,3.425,3.55,117265,0
2017-01-12,3.575,3.65,3.55,3.6,74522,0
2017-01-13,3.65,3.85,3.55,3.7,308517,0
2017-01-17,3.75,3.75,3.5,3.55,140490,0
2017-01-18,3.6,3.6,3.4,3.45,139542,0
2017-01-19,3.4,3.5,3.35,3.4,65347,0
2017-01-20,3.35,3.4,3.35,3.35,63695,0
2017-01-23,3.35,3.4,3.25,3.3,217595,0
2017-01-24,3.3,3.325,3.15,3.25,109767,0
2017-01-25,3.25,3.35,3.2,3.3,168291,0
2017-01-26,3.3,3.35,3.2,3.3,65464,0
2017-01-27,3.395,3.395,3.25,3.3,20521,0
2017-01-30,3.3,3.3,3.25,3.25,42789,0
2017-01-31,3.25,3.7,3.175,3.55,349196,0
2017-02-01,3.6,3.6,3.2,3.2,97370,0
2017-02-02,3.2,3.25,3.1,3.2,95417,0
2017-02-03,3.25,3.25,3.05,3.25,117848,0
2017-02-06,3.25,3.35,3.05,3.1,164625,0
2017-02-07,3.1,3.1,3.025,3.05,43338,0
2017-02-08,3,3.1,2.9,3,179293,0
2017-02-09,3,3.2,3,3.15,74081,0
2017-02-10,3.15,3.3,3.15,3.3,68088,0
2017-02-13,3.3,3.3,3.15,3.25,77685,0
2017-02-14,3.25,3.25,3.05,3.15,118524,0
2017-02-15,3.15,3.15,3.05,3.15,44614,0
2017-02-16,3.1,3.3,3.025,3.25,93594,0
2017-02-17,3.25,3.4,3.123,3.35,166355,0
2017-02-21,3.35,3.4,3.25,3.3,50168,0
2017-02-22,3.25,3.3,3.05,3.2,51105,0
2017-02-23,3.2,3.225,3.05,3.1,59077,0
2017-02-24,3.05,3.125,3,3.05,80312,0
2017-02-27,3,3.15,3,3.1,74392,0
2017-02-28,3.2,3.2,2.825,3,234650,0
2017-03-01,3.1,3.1,2.9,2.9,205560,0
2017-03-02,2.9,2.95,2.8,2.85,400243,0
2017-03-03,2.9,2.9,2.6,2.7,158666,0
2017-03-06,2.65,2.7,2.6,2.65,70217,0
2017-03-07,2.6,2.6,2.5,2.55,119128,0
2017-03-08,2.6,2.7,2.55,2.55,81369,0
2017-03-09,2.55,2.6,2.45,2.5,64676,0
2017-03-10,2.5,2.6,2.5,2.5,75729,0
2017-03-13,2.45,2.95,2.45,2.7,94224,0
2017-03-14,2.75,2.9,2.55,2.8,390439,0
2017-03-15,2.85,2.875,2.7,2.8,79284,0
2017-03-16,2.85,2.85,2.7,2.75,102599,0
2017-03-17,2.7,2.8,2.35,2.4,289300,0
2017-03-20,2.2,2.4,2.1,2.35,420704,0
2017-03-21,2.35,2.55,2.15,2.5,364523,0
2017-03-22,2.55,2.7,2.3,2.45,287145,0
2017-03-23,2.4,2.65,2.4,2.55,183928,0
2017-03-24,2.6,2.85,2.55,2.6,410300,0
2017-03-27,2.55,2.6,2.35,2.4,456088,0
2017-03-28,2.4,2.5,2.35,2.5,404615,0
2017-03-29,2.45,2.8,2.45,2.65,255000,0
2017-03-30,2.65,2.85,2.6,2.85,242247,0
2017-03-31,2.9,2.95,2.75,2.85,385327,0
2017-04-03,2.85,3,2.65,2.7,363473,0
2017-04-04,2.7,2.85,2.6,2.85,270017,0
2017-04-05,2.85,2.85,2.65,2.65,194988,0
2017-04-06,2.65,2.7,2.6,2.65,145454,0
2017-04-07,2.6,2.8,2.6,2.75,242080,0
2017-04-10,2.7,2.8,2.65,2.65,186981,0
2017-04-11,2.65,2.8,2.6,2.75,136285,0
2017-04-12,2.75,2.8,2.6,2.7,92040,0
2017-04-13,2.65,2.7,2.6,2.6,87802,0
2017-04-17,2.65,2.65,2.5,2.55,74944,0
2017-04-18,2.55,2.65,2.45,2.6,65434,0
2017-04-19,2.6,2.7,2.55,2.55,75165,0
2017-04-20,2.6,2.75,2.55,2.75,132492,0
2017-04-21,2.75,2.8,2.65,2.65,159072,0
2017-04-24,2.75,2.8,2.65,2.7,126399,0
2017-04-25,2.7,2.8,2.65,2.65,139295,0
2017-04-26,2.7,2.8,2.65,2.75,145999,0
2017-04-27,2.75,2.85,2.7,2.75,127223,0
2017-04-28,2.8,2.8,2.5,2.55,230077,0
2017-05-01,2.475,2.65,2.475,2.55,123800,0
2017-05-02,2.5,2.575,2.45,2.45,144370,0
2017-05-03,2.45,2.5,2.4,2.45,100894,0
2017-05-04,2.45,2.45,2.3,2.3,345065,0
2017-05-05,2.325,2.35,2.25,2.25,289022,0
2017-05-08,2.25,2.325,2.25,2.3,186090,0
2017-05-09,2.3,2.35,2.15,2.2,308180,0
2017-05-10,2.2,2.4,2.15,2.3,408237,0
2017-05-11,2.25,2.3427,2.175,2.25,257235,0
2017-05-12,2.2,2.275,2.15,2.15,215479,0
2017-05-15,2.2,2.35,1.95,2,825595,0
2017-05-16,2.05,2.3,2,2.25,551881,0
2017-05-17,2.3,2.375,2.2,2.2,233273,0
