Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,35.38,36.89,34.85,35.77,173132,0
2017-01-04,35.89,36.03,35.57,35.97,133224,0
2017-01-05,35.73,36.005,34.2,35.32,95331,0
2017-01-06,35.79,36.74,35.01,36.22,155269,0
2017-01-09,36.02,36.02,35.08,35.7,124316,0
2017-01-10,35.98,36.87,35.37,36.84,131307,0
2017-01-11,37.02,38.88,36.59,38.85,106990,0
2017-01-12,38.84,38.84,36.8,37.95,88383,0
2017-01-13,38.13,38.7311,37.69,37.95,84929,0
2017-01-17,37.83,37.83,36.74,37,229267,0
2017-01-18,37.18,37.84,36.88,37.33,177118,0
2017-01-19,37.49,37.989,37.3,37.5,108491,0
2017-01-20,37.59,38.57,37.27,38.29,131334,0
2017-01-23,38.18,38.7613,37.49,37.87,107278,0
2017-01-24,38.01,39.43,37.94,39.25,165328,0
2017-01-25,39.75,40.77,39.302,39.94,143979,0
2017-01-26,40.05,40.55,39.28,39.67,69502,0
2017-01-27,39.65,39.66,38.73,39.39,53391,0
2017-01-30,38.78,38.78,37.07,37.89,100572,0
2017-01-31,37.87,38.96,37.041,37.81,88285,0
2017-02-01,38.1,39.76,37.73,38.72,191596,0
2017-02-02,38.62,38.9737,37.51,37.64,74461,0
2017-02-03,38.13,38.67,37.84,38.5,35295,0
2017-02-06,38.3,38.3,37.56,37.84,47759,0
2017-02-07,37.84,37.98,36.8,37.39,64308,0
2017-02-08,37.32,37.32,36,36.58,81612,0
2017-02-09,36.77,37.33,36.26,37.19,78818,0
2017-02-10,37.47,38.58,37.31,38.45,68031,0
2017-02-13,38.53,39.06,37.61,37.76,81046,0
2017-02-14,37.38,38.1,37.26,37.88,127974,0
2017-02-15,37.95,38.2238,36.93,37.95,99895,0
2017-02-16,37.89,38.33,37.07,37.63,63017,0
2017-02-17,37.64,37.64,36.83,37.1,81866,0
2017-02-21,37.07,37.78,37.02,37.23,104726,0
2017-02-22,36.98,37.14,36.44,36.71,74887,0
2017-02-23,36.81,36.81,34.54,34.93,86910,0
2017-02-24,33.56,34.86,33.39,34.46,116151,0
2017-02-27,34.29,37.025,34.29,36.35,273971,0
2017-02-28,36.03,36.26,34.81,35,182192,0
2017-03-01,35.73,38.035,34.53,36.38,143426,0
2017-03-02,36.08,36.2,34.74,34.84,54616,0
2017-03-03,34.95,35.28,34.63,35.12,61766,0
2017-03-06,34.67,34.89,33.4011,34.51,54700,0
2017-03-07,34.51,34.54,33.44,33.46,45769,0
2017-03-08,33.72,33.92,32.51,32.58,57602,0
2017-03-09,32.64,32.765,31.15,31.37,82094,0
2017-03-10,31.77,31.78,30.7599,31.24,99659,0
