Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.8138,6.827,6.7292,6.7292,174201,0
2017-01-04,6.7573,6.8327,6.7573,6.7949,300043,0
2017-01-05,6.8232,6.8609,6.8138,6.8232,403779,0
2017-01-06,6.8609,6.8797,6.842,6.8609,236712,0
2017-01-09,6.8797,6.8985,6.8515,6.8797,266109,0
2017-01-10,6.9079,6.9267,6.8797,6.9173,254487,0
2017-01-11,6.9361,6.9361,6.8609,6.8985,283384,0
2017-01-12,6.9079,6.9173,6.8609,6.889,403225,0
2017-01-13,6.8985,7.002,6.8797,6.9926,374784,0
2017-01-17,7.0114,7.0396,6.9832,6.9926,304416,0
2017-01-18,6.9738,7.0121,6.9455,6.9455,251767,0
2017-01-19,6.9455,6.9738,6.9361,6.9455,288347,0
2017-01-20,6.9549,6.9644,6.9079,6.9455,200524,0
2017-01-23,6.9644,7.0209,6.9644,6.9926,195310,0
2017-01-24,7.0209,7.0867,6.9926,6.9926,231264,0
2017-01-25,6.9926,7.0773,6.9926,7.0585,307777,0
2017-01-26,7.0585,7.0585,6.9455,6.9644,328245,0
2017-01-27,6.9361,7.002,6.9361,6.9549,332143,0
2017-01-30,6.9267,6.9926,6.9267,6.9738,268767,0
2017-01-31,6.9926,7.0773,6.9644,7.0773,506757,0
2017-02-01,7.0773,7.1526,7.0303,7.0867,873696,0
2017-02-02,7.0773,7.115,7.049,7.0679,248871,0
2017-02-03,7.1056,7.1855,7.0867,7.1808,227480,0
2017-02-06,7.1808,7.2467,7.1808,7.2091,232081,0
2017-02-07,7.2185,7.2561,7.2091,7.2561,142955,0
2017-02-08,7.2561,7.2561,7.1761,7.1902,260832,0
2017-02-09,7.2185,7.2185,7.1056,7.1337,257396,0
2017-02-10,7.1337,7.2373,7.1337,7.2373,228880,0
2017-02-13,7.2185,7.242,7.1996,7.228,250042,0
2017-02-14,7.2373,7.2844,7.1808,7.2373,295879,0
2017-02-15,7.2373,7.3032,7.228,7.3032,211894,0
2017-02-16,7.275,7.3126,7.275,7.2937,255579,0
2017-02-17,7.3032,7.3032,7.228,7.2467,189517,0
2017-02-21,7.2656,7.275,7.1996,7.2561,339190,0
2017-02-22,7.275,7.275,7.2409,7.2561,244327,0
2017-02-23,7.322,7.3691,7.3032,7.3408,433872,0
2017-02-24,7.3314,7.3314,7.2843,7.3314,311632,0
2017-02-27,7.322,7.322,7.2665,7.2843,197428,0
2017-02-28,7.3032,7.3032,7.2185,7.275,271575,0
2017-03-01,7.3032,7.3032,7.1337,7.228,398352,0
2017-03-02,7.1902,7.2091,7.0773,7.115,388538,0
2017-03-03,7.1432,7.1902,7.0895,7.1902,182778,0
2017-03-06,7.1714,7.2467,7.1714,7.228,153007,0
2017-03-07,7.2091,7.2373,7.1476,7.2185,181076,0
2017-03-08,7.2091,7.2091,7.1056,7.1432,124646,0
2017-03-09,7.115,7.115,6.9079,6.9549,530479,0
2017-03-10,6.9926,7.0773,6.9926,7.0679,329995,0
2017-03-13,7.0867,7.1429,7.0679,7.0961,186025,0
2017-03-14,7.0679,7.0867,7.0303,7.0773,157387,0
2017-03-15,7.0961,7.275,7.0961,7.275,271291,0
2017-03-16,7.3032,7.3032,7.1996,7.2561,328686,0
2017-03-17,7.275,7.3032,7.2656,7.3032,152995,0
2017-03-20,7.2937,7.3503,7.275,7.3503,161058,0
2017-03-21,7.3503,7.3772,7.2937,7.2937,269567,0
2017-03-22,7.2656,7.2937,7.2185,7.2373,840289,0
2017-03-23,7.2561,7.3126,7.2561,7.275,354799,0
2017-03-24,7.275,7.3408,7.2656,7.3408,424588,0
2017-03-27,7.3126,7.3408,7.2656,7.3032,430733,0
2017-03-28,7.3032,7.322,7.275,7.3032,319886,0
2017-03-29,7.332,7.3609,7.2935,7.3224,293332,0
2017-03-30,7.3032,7.3898,7.3032,7.3705,534487,0
2017-03-31,7.3416,7.3705,7.2935,7.2935,231008,0
2017-04-03,7.3416,7.3609,7.2934,7.3416,172159,0
2017-04-04,7.3224,7.4091,7.2935,7.3224,304065,0
2017-04-05,7.332,7.4187,7.3314,7.3609,475174,0
2017-04-06,7.3512,7.3621,7.3032,7.332,227007,0
2017-04-07,7.3416,7.3512,7.3128,7.3512,210065,0
2017-04-10,7.3224,7.4091,7.3224,7.4091,162118,0
2017-04-11,7.4091,7.4091,7.3032,7.3416,402081,0
2017-04-12,7.3609,7.4091,7.3224,7.4091,419116,0
2017-04-13,7.3994,7.4956,7.3994,7.4668,317686,0
2017-04-17,7.486,7.5437,7.4572,7.486,381003,0
2017-04-18,7.486,7.5822,7.486,7.5822,245520,0
