Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,9.1639,9.1834,9.1187,9.136,179157,0
2017-01-04,9.1187,9.2018,9.1187,9.1922,600905,0
2017-01-05,9.1,9.2018,9.1,9.1734,154293,0
2017-01-06,9.1263,9.2115,9.1263,9.2115,157451,0
2017-01-09,9.1922,9.2308,9.1541,9.2212,173671,0
2017-01-10,9.2572,9.2572,9.2212,9.2395,84836,0
2017-01-11,9.2395,9.2476,9.2212,9.2395,134957,0
2017-01-12,9.2308,9.266,9.2115,9.2115,147198,0
2017-01-13,9.2308,9.2748,9.2308,9.2748,81146,0
2017-01-17,9.2395,9.2943,9.2308,9.2943,148219,0
2017-01-18,9.3139,9.3326,9.2845,9.3228,132232,0
2017-01-19,9.2943,9.3423,9.2845,9.3228,199923,0
2017-01-20,9.3139,9.3228,9.2748,9.2845,81079,0
2017-01-23,9.3228,9.3228,9.2894,9.3228,127262,0
2017-01-24,9.3423,9.361,9.3326,9.3423,175691,0
2017-01-25,9.3512,9.3886,9.3473,9.3886,235346,0
2017-01-26,9.3697,9.3975,9.3512,9.3512,137704,0
2017-01-27,9.3512,9.4172,9.3512,9.4172,262209,0
2017-01-30,9.3697,9.435,9.3697,9.4074,149899,0
2017-01-31,9.3886,9.4446,9.3886,9.4172,242781,0
2017-02-01,9.4635,9.4635,9.4262,9.435,126499,0
2017-02-02,9.4074,9.4734,9.4074,9.4734,438816,0
2017-02-03,9.4734,9.51,9.4635,9.51,260720,0
2017-02-06,9.4834,9.519,9.4536,9.4923,126436,0
2017-02-07,9.519,9.529,9.501,9.519,133799,0
2017-02-08,9.529,9.539,9.4923,9.539,103036,0
2017-02-09,9.558,9.558,9.4536,9.501,183502,0
2017-02-10,9.529,9.558,9.4794,9.558,81851,0
2017-02-13,9.567,9.613,9.557,9.613,103863,0
2017-02-14,9.567,9.67,9.567,9.67,360063,0
2017-02-15,9.69,9.69,9.594,9.613,210534,0
2017-02-16,9.604,9.604,9.501,9.548,239081,0
2017-02-17,9.557,9.557,9.4054,9.4714,393242,0
2017-02-21,9.4516,9.509,9.4516,9.509,244700,0
2017-02-22,9.5,9.548,9.4814,9.548,193969,0
2017-02-23,9.566,9.594,9.528,9.584,211993,0
2017-02-24,9.575,9.613,9.509,9.584,137857,0
2017-02-27,9.594,9.632,9.594,9.632,141540,0
2017-02-28,9.613,9.66,9.613,9.64,134348,0
2017-03-01,9.69,9.699,9.65,9.67,263129,0
2017-03-02,9.67,9.67,9.575,9.594,128664,0
