Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,11.797,11.797,11.557,11.751,43158,0
2017-01-04,11.722,11.816,11.702,11.761,43435,0
2017-01-05,11.741,11.825,11.741,11.825,18134,0
2017-01-06,11.771,11.825,11.692,11.751,35640,0
2017-01-09,11.78,11.844,11.78,11.834,28890,0
2017-01-10,11.844,11.882,11.844,11.872,16075,0
2017-01-11,11.834,11.921,11.825,11.825,14254,0
2017-01-12,11.872,11.902,11.853,11.892,61796,0
2017-01-13,11.863,11.892,11.788,11.892,76462,0
2017-01-17,11.902,11.951,11.902,11.921,45519,0
2017-01-18,11.921,11.921,11.892,11.911,8580,0
2017-01-19,11.882,11.882,11.771,11.816,47133,0
2017-01-20,11.797,11.825,11.76,11.825,24640,0
2017-01-23,11.834,11.872,11.815,11.834,29378,0
2017-01-24,11.825,11.834,11.77,11.77,21355,0
2017-01-25,11.77,11.77,11.701,11.75,58858,0
2017-01-26,11.721,11.78,11.721,11.75,50412,0
2017-01-27,11.73,11.825,11.73,11.78,47717,0
2017-01-30,11.807,11.853,11.788,11.853,23479,0
2017-01-31,11.863,11.961,11.825,11.941,46580,0
2017-02-01,11.902,12.01,11.858,12.01,46275,0
2017-02-02,11.941,12,11.941,12,11144,0
2017-02-03,11.991,12.056,11.961,11.961,11213,0
2017-02-06,11.991,12.034,11.951,12.02,21684,0
2017-02-07,12.03,12.035,11.951,12,26145,0
2017-02-08,12.047,12.075,11.961,12.01,25225,0
2017-02-09,12.01,12.038,11.902,11.961,29158,0
2017-02-10,11.961,11.961,11.911,11.921,33801,0
2017-02-13,11.911,11.961,11.863,11.863,26503,0
2017-02-14,11.863,11.921,11.816,11.902,51394,0
2017-02-15,11.825,11.931,11.825,11.892,32425,0
2017-02-16,11.892,11.902,11.824,11.824,34542,0
2017-02-17,11.853,11.853,11.779,11.787,39823,0
2017-02-21,11.779,11.833,11.769,11.806,24109,0
2017-02-22,11.787,11.843,11.787,11.787,33953,0
2017-02-23,11.853,11.853,11.779,11.824,26105,0
2017-02-24,11.824,11.911,11.824,11.853,55990,0
2017-02-27,11.824,11.882,11.815,11.824,43270,0
2017-02-28,11.863,11.863,11.806,11.824,37116,0
2017-03-01,11.779,11.787,11.739,11.787,53959,0
2017-03-02,11.7,11.776,11.68,11.68,56799,0
2017-03-03,11.68,11.729,11.621,11.621,82298,0
2017-03-06,11.7,11.7,11.612,11.66,39928,0
2017-03-07,11.612,11.651,11.593,11.593,28435,0
2017-03-08,11.583,11.631,11.554,11.602,43577,0
2017-03-09,11.583,11.583,11.459,11.554,25122,0
2017-03-10,11.554,11.554,11.488,11.518,18168,0
2017-03-13,11.508,11.542,11.488,11.488,34361,0
2017-03-14,11.488,11.537,11.488,11.537,21484,0
2017-03-15,11.508,11.641,11.508,11.631,33837,0
2017-03-16,11.621,11.621,11.537,11.583,14544,0
2017-03-17,11.593,11.631,11.583,11.631,25726,0
2017-03-20,11.631,11.66,11.583,11.66,40760,0
2017-03-21,11.66,11.66,11.612,11.641,39055,0
2017-03-22,11.66,11.71,11.651,11.69,21579,0
2017-03-23,11.7,11.71,11.641,11.71,43237,0
2017-03-24,11.71,11.72,11.68,11.7,29588,0
2017-03-27,11.72,11.787,11.72,11.779,13596,0
2017-03-28,11.806,11.806,11.729,11.796,37988,0
2017-03-29,11.787,11.844,11.787,11.844,19713,0
2017-03-30,11.873,11.903,11.787,11.824,29292,0
2017-03-31,11.815,11.903,11.787,11.903,25522,0
2017-04-03,11.912,11.912,11.844,11.873,18224,0
2017-04-04,11.883,11.883,11.844,11.854,10303,0
2017-04-05,11.844,11.864,11.824,11.844,17334,0
2017-04-06,11.864,11.893,11.864,11.893,9152,0
2017-04-07,11.922,11.942,11.912,11.932,11196,0
2017-04-10,11.962,12.03,11.932,12.03,9623,0
2017-04-11,11.982,12.039,11.982,11.992,24105,0
2017-04-12,12.011,12.067,11.992,12.067,28182,0
2017-04-13,12.039,12.096,12.021,12.021,28176,0
2017-04-17,12.039,12.135,12.021,12.115,36029,0
2017-04-18,12.106,12.164,12.076,12.076,32745,0
2017-04-19,12.115,12.145,12.058,12.145,35631,0
2017-04-20,12.067,12.125,12.058,12.058,31630,0
2017-04-21,12.115,12.115,12.048,12.086,21687,0
2017-04-24,12.03,12.039,11.981,11.981,30047,0
2017-04-25,11.951,11.971,11.872,11.882,25619,0
2017-04-26,11.941,11.991,11.941,11.991,8492,0
2017-04-27,11.971,12.058,11.971,11.991,21212,0
2017-04-28,12.039,12.273,12,12.076,26153,0
2017-05-01,12.067,12.076,12.02,12.053,10592,0
2017-05-02,12.01,12.048,12,12.048,18348,0
2017-05-03,12.02,12.145,12.02,12.084,13277,0
2017-05-04,12.02,12.067,11.971,11.971,24378,0
2017-05-05,11.971,12.01,11.971,11.981,13246,0
2017-05-08,11.961,11.981,11.921,11.921,20950,0
2017-05-09,11.921,11.951,11.882,11.882,44536,0
2017-05-10,11.941,11.951,11.872,11.921,33667,0
2017-05-11,11.902,11.941,11.863,11.863,71500,0
2017-05-12,11.931,11.981,11.911,11.981,39487,0
2017-05-15,11.951,12.02,11.951,12.01,26071,0
2017-05-16,12.01,12.048,12.01,12.048,15918,0
2017-05-17,12.048,12.106,12.048,12.096,12000,0
2017-05-18,12.106,12.115,11.941,12.03,69329,0
2017-05-19,12.02,12.033,11.981,12.03,37270,0
2017-05-22,12.028,12.084,12.028,12.084,54327,0
2017-05-23,12.056,12.133,12.056,12.104,16565,0
2017-05-24,12.133,12.163,12.089,12.153,114988,0
2017-05-25,12.104,12.153,12.104,12.114,22661,0
2017-05-26,12.123,12.173,12.123,12.173,13844,0
2017-05-30,12.163,12.253,12.163,12.203,52886,0
2017-05-31,12.223,12.262,12.21,12.262,20830,0
2017-06-01,12.262,12.262,12.213,12.253,24775,0
2017-06-02,12.262,12.262,12.213,12.223,15978,0
2017-06-05,12.213,12.213,12.143,12.143,20059,0
2017-06-06,12.173,12.233,12.153,12.233,30250,0
2017-06-07,12.143,12.229,12.143,12.153,109026,0
2017-06-08,12.213,12.243,12.153,12.203,31300,0
2017-06-09,12.193,12.203,12.163,12.183,11850,0
2017-06-12,12.262,12.32,12.203,12.32,112842,0
2017-06-13,12.367,12.377,12.262,12.377,56545,0
2017-06-14,12.367,12.407,12.338,12.338,31626,0
2017-06-15,12.358,12.447,12.358,12.447,39938,0
2017-06-16,12.554,12.554,12.3,12.3,100547,0
2017-06-19,12.487,12.487,12.417,12.418,51028,0
2017-06-20,12.467,12.487,12.447,12.457,30072,0
2017-06-21,12.65,12.65,12.475,12.475,8735,0
2017-06-22,12.485,12.505,12.455,12.475,25620,0
2017-06-23,12.485,12.485,12.455,12.485,11359,0
2017-06-26,12.495,12.495,12.455,12.465,9344,0
2017-06-27,12.465,12.485,12.425,12.455,75473,0
2017-06-28,12.495,12.495,12.46,12.495,11738,0
2017-06-29,12.485,12.485,12.336,12.385,265063,0
2017-06-30,12.435,12.435,12.356,12.415,14761,0
2017-07-03,12.365,12.475,12.365,12.385,28398,0
2017-07-05,12.405,12.425,12.32,12.356,44426,0
2017-07-06,12.356,12.37,12.302,12.321,23299,0
2017-07-07,12.297,12.356,12.297,12.327,17395,0
2017-07-10,12.307,12.425,12.307,12.356,34320,0
2017-07-11,12.375,12.405,12.375,12.385,20397,0
2017-07-12,12.395,12.435,12.327,12.375,106564,0
2017-07-13,12.385,12.415,12.336,12.385,51502,0
2017-07-14,12.395,12.434,12.385,12.415,51179,0
2017-07-17,12.455,12.455,12.356,12.356,40945,0
2017-07-18,12.405,12.415,12.365,12.415,26499,0
2017-07-19,12.445,12.445,12.375,12.415,41152,0
2017-07-20,12.425,12.455,12.401,12.455,12995,0
2017-07-21,12.445,12.465,12.435,12.465,18636,0
2017-07-24,12.415,12.415,12.317,12.317,37851,0
2017-07-25,12.356,12.356,12.268,12.278,39106,0
2017-07-26,12.336,12.365,12.288,12.365,10930,0
2017-07-27,12.445,12.445,12.375,12.385,17060,0
2017-07-28,12.395,12.543,12.297,12.485,71584,0
2017-07-31,12.543,12.543,12.445,12.505,17391,0
2017-08-01,12.455,12.534,12.455,12.524,14131,0
2017-08-02,12.515,12.553,12.515,12.543,3811,0
2017-08-03,12.534,12.583,12.534,12.583,8547,0
2017-08-04,12.563,12.563,12.495,12.495,18745,0
2017-08-07,12.515,12.536,12.475,12.475,16415,0
2017-08-08,12.455,12.534,12.455,12.465,19963,0
2017-08-09,12.505,12.505,12.385,12.395,32029,0
2017-08-10,12.395,12.435,12.346,12.395,64148,0
2017-08-11,12.651,12.651,12.395,12.524,43844,0
2017-08-14,12.602,12.671,12.478,12.602,53666,0
2017-08-15,12.573,12.661,12.534,12.621,53465,0
2017-08-16,12.592,12.641,12.583,12.641,74006,0
2017-08-17,12.612,12.681,12.612,12.651,54891,0
2017-08-18,12.621,12.721,12.612,12.651,96016,0
2017-08-21,12.602,12.741,12.602,12.711,37309,0
2017-08-22,12.691,12.751,12.671,12.741,37292,0
2017-08-23,12.79,12.79,12.711,12.771,6852,0
2017-08-24,12.751,12.78,12.711,12.741,12879,0
2017-08-25,12.731,12.741,12.701,12.701,3857,0
2017-08-28,12.681,12.701,12.651,12.675,20945,0
2017-08-29,12.721,12.721,12.701,12.721,55067,0
2017-08-30,12.731,12.731,12.681,12.681,7565,0
2017-08-31,12.711,12.799,12.671,12.799,13428,0
2017-09-01,12.721,12.761,12.681,12.691,13701,0
2017-09-05,12.691,12.697,12.582,12.631,49086,0
2017-09-06,12.671,12.671,12.562,12.651,15764,0
2017-09-07,12.651,12.691,12.626,12.651,16433,0
2017-09-08,12.649,12.848,12.649,12.749,37315,0
2017-09-11,12.749,12.769,12.746,12.749,14428,0
2017-09-12,12.749,12.769,12.709,12.715,13870,0
2017-09-13,12.719,12.769,12.719,12.729,6610,0
2017-09-14,12.739,12.739,12.689,12.719,15100,0
2017-09-15,12.689,12.749,12.689,12.689,29957,0
2017-09-18,12.739,12.748,12.659,12.679,15422,0
2017-09-19,12.679,12.749,12.679,12.689,13584,0
2017-09-20,12.699,12.704,12.669,12.669,4958,0
2017-09-21,12.659,12.659,12.6,12.6,13208,0
2017-09-22,12.629,12.629,12.56,12.56,16199,0
2017-09-25,12.61,12.635,12.58,12.59,11855,0
2017-09-26,12.58,12.649,12.58,12.59,10805,0
2017-09-27,12.58,12.6,12.491,12.56,13118,0
2017-09-28,12.49,12.53,12.46,12.5,26105,0
2017-09-29,12.5,12.54,12.476,12.5,22554,0
2017-10-02,12.54,12.56,12.47,12.52,12459,0
2017-10-03,12.55,12.58,12.52,12.58,9119,0
2017-10-04,12.55,12.55,12.435,12.48,10823,0
2017-10-05,12.48,12.5,12.48,12.48,16160,0
2017-10-06,12.47,12.5,12.43,12.43,15495,0
2017-10-09,12.43,12.45,12.39,12.4,29295,0
2017-10-10,12.38,12.52,12.38,12.44,23289,0
2017-10-11,12.47,12.499,12.41,12.45,16028,0
2017-10-12,12.46,12.507,12.45,12.507,5306,0
2017-10-13,12.49,12.55,12.412,12.55,5989,0
2017-10-16,12.51,12.56,12.44,12.56,23761,0
2017-10-17,12.51,12.54,12.492,12.54,8524,0
2017-10-18,12.52,12.53,12.4,12.47,24649,0
2017-10-19,12.45,12.5,12.44,12.5,8384,0
2017-10-20,12.46,12.49,12.46,12.49,9311,0
2017-10-23,12.48,12.5073,12.4201,12.45,36174,0
2017-10-24,12.42,12.47,12.38,12.38,10464,0
2017-10-25,12.38,12.39,12.302,12.32,16836,0
2017-10-26,12.28,12.3,12.2,12.2,37932,0
2017-10-27,12.26,12.26,12.15,12.18,16363,0
2017-10-30,12.12,12.2601,12.12,12.26,70653,0
2017-10-31,12.23,12.23,12.12,12.17,39075,0
2017-11-01,12.17,12.3,12.17,12.3,23773,0
2017-11-02,12.2,12.37,12.18,12.37,11420,0
2017-11-03,12.24,12.28,12.2,12.25,20643,0
2017-11-06,12.26,12.34,12.24,12.26,14098,0
2017-11-07,12.24,12.28,12.24,12.28,31458,0
2017-11-08,12.27,12.33,12.25,12.25,15137,0
2017-11-09,12.28,12.31,12.21,12.3,19414,0
2017-11-10,12.27,12.37,12.22,12.37,27258,0
