Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,70.78,71.223,69.769,70.093,346762,0
2017-01-04,70.339,71.204,69.936,70.79,433911,0
2017-01-05,70.427,72.058,70.231,71.96,509906,0
2017-01-06,71.763,72.599,71.537,72.539,433071,0
2017-01-09,72.794,72.794,71.527,71.754,408381,0
2017-01-10,71.704,71.704,70.86,70.89,377776,0
2017-01-11,70.82,71.144,70.103,70.466,433442,0
2017-01-12,70.349,71.341,69.759,71.243,238578,0
2017-01-13,71.085,71.729,70.967,71.321,288235,0
2017-01-17,71.567,71.861,71.194,71.832,535383,0
2017-01-18,71.95,72.098,71.449,71.636,341025,0
2017-01-19,71.301,71.616,70.918,71.429,291366,0
2017-01-20,71.469,72.313,71.11,72.255,483911,0
2017-01-23,72.609,73.836,72.215,73.659,695950,0
2017-01-24,72.923,74.514,72.47,73.964,732643,0
2017-01-25,74.023,74.338,72.549,72.766,481832,0
2017-01-26,72.873,73.325,72.5,72.667,182312,0
2017-01-27,73.031,73.031,72.156,72.706,270964,0
2017-01-30,72.539,72.834,72.058,72.451,267873,0
2017-01-31,72.52,73.772,72.225,72.637,294059,0
2017-02-01,72.265,72.932,70.977,71.331,463257,0
2017-02-02,71.508,72.786,71.316,72.432,313900,0
2017-02-03,73.07,73.718,72.5,72.589,258332,0
2017-02-06,72.559,72.637,71.861,72.539,315285,0
2017-02-07,72.687,73.266,72.589,72.736,276145,0
2017-02-08,72.981,74.023,72.814,73.964,313430,0
2017-02-09,74.023,74.318,73.443,74.111,298065,0
2017-02-10,73.846,74.396,73.846,74.298,122288,0
2017-02-13,74.485,74.533,73.57,74.523,195177,0
2017-02-14,74.494,74.494,73.423,74.328,298638,0
2017-02-15,73.718,74.661,73.364,74.346,340052,0
2017-02-16,74.356,75.388,74.328,74.79,417958,0
2017-02-17,74.504,75.339,74.386,75.152,336134,0
2017-02-21,74.867,75.918,74.77,75.771,275415,0
2017-02-22,76.017,76.175,74.799,75.88,278456,0
2017-02-23,76.057,76.99,75.654,76.97,327222,0
2017-02-24,77.176,78.031,76.41,78.021,505452,0
2017-02-27,77.991,78.365,77.844,78.247,410273,0
2017-02-28,77.991,78.502,77.461,78.218,705826,0
2017-03-01,77.737,78.507,76.98,77.894,394016,0
2017-03-02,77.707,78.355,77.432,78.286,341938,0
2017-03-03,77.824,78.198,76.823,78.071,645284,0
2017-03-06,77.776,78.267,77.51,78.061,526663,0
2017-03-07,77.717,78.257,77.098,77.461,365568,0
2017-03-08,76.666,77.068,76.017,76.135,241839,0
2017-03-09,76.135,76.596,74.497,75.221,384608,0
2017-03-10,75.781,76.272,74.268,74.632,221052,0
2017-03-13,74.622,75.575,74.328,74.877,318247,0
2017-03-14,74.651,75.182,74.563,74.937,170532,0
2017-03-15,75.094,76.596,74.799,76.115,351068,0
2017-03-16,75.958,76.626,75.746,76.075,223693,0
2017-03-17,76.362,76.872,75.928,76.214,478292,0
2017-03-20,76.175,76.332,75.732,76.282,203982,0
2017-03-21,76.419,76.567,75.88,76.037,265592,0
2017-03-22,76.419,76.577,75.29,76.479,270017,0
2017-03-23,76.352,78.081,76.185,77.697,466496,0
2017-03-24,77.794,78.041,76.793,76.842,262868,0
2017-03-27,76.783,77.255,75.831,76.223,220973,0
2017-03-28,76.185,76.489,75.339,76.214,226395,0
2017-03-29,76.33,76.488,75.193,75.895,378024,0
2017-03-30,75.885,76.023,75.044,75.924,238963,0
2017-03-31,75.796,76.528,75.524,76.182,296699,0
2017-04-03,76.448,77.052,76.013,76.932,250655,0
2017-04-04,76.962,77.605,76.745,77.437,350516,0
2017-04-05,77.456,78.307,77.22,77.862,358193,0
2017-04-06,77.832,78.569,77.288,78.544,338513,0
2017-04-07,78.584,78.85,78.278,78.633,427344,0
2017-04-10,78.614,79.058,78.153,79.028,241342,0
2017-04-11,79.326,79.326,78.534,78.742,240650,0
2017-04-12,78.604,79.181,78.109,78.722,315665,0
2017-04-13,78.821,78.821,77.951,78.446,202819,0
2017-04-17,78.584,79.078,78.509,78.98,376096,0
2017-04-18,78.84,81.134,78.84,80.768,575288,0
2017-04-19,80.768,80.996,79.958,80.264,351859,0
2017-04-20,80.344,80.492,79.69,80.482,210129,0
2017-04-21,80.254,80.62,80.219,80.56,213705,0
2017-04-24,80.728,80.897,78.633,79.71,291813,0
2017-04-25,79.622,80.946,79.513,80.936,283550,0
2017-04-26,80.63,80.858,79.73,79.78,435655,0
2017-04-27,79.888,80.62,79.78,80.234,194233,0
2017-04-28,80.027,80.294,79.542,79.988,217099,0
2017-05-01,80.176,80.788,79.484,80.364,266886,0
2017-05-02,80.462,80.67,79.82,80.224,341721,0
2017-05-03,80.63,80.67,79.504,79.73,235157,0
2017-05-04,78.97,81.164,78.802,80.848,564397,0
2017-05-05,81.094,81.421,80.542,81.144,204374,0
2017-05-08,81.272,81.617,79.978,80.906,427910,0
2017-05-09,80.916,81.031,80.018,80.59,225347,0
2017-05-10,80.62,81.846,80.472,81.618,306933,0
2017-05-11,81.362,82.004,80.848,81.372,332882,0
2017-05-12,81.52,81.628,80.956,81.252,210586,0
2017-05-15,81.382,82.31,81.036,81.204,275161,0
2017-05-16,81.243,81.292,80.71,80.748,262356,0
2017-05-17,80.946,81.994,80.402,81.47,442308,0
2017-05-18,81.421,82.834,80.976,82.786,387182,0
2017-05-19,83.18,83.714,81.816,82.588,368026,0
2017-05-22,82.766,83.358,82.252,83.22,292844,0
2017-05-23,83.358,84.525,83.358,84.169,267180,0
2017-05-24,84.406,85.069,84.169,84.911,250048,0
2017-05-25,85.108,85.108,83.794,84.001,573017,0
2017-05-26,84.011,84.51,83.17,83.21,467754,0
2017-05-30,83.21,83.586,83.002,83.092,369062,0
2017-05-31,83.368,83.992,83.141,83.438,485601,0
2017-06-01,83.388,83.714,82.478,83.477,517633,0
2017-06-02,83.952,85.474,83.754,85.306,454677,0
2017-06-05,85.198,85.563,84.832,85.356,355895,0
2017-06-06,85.87,85.87,84.199,84.298,324942,0
2017-06-07,84.436,85.266,84.248,84.911,422170,0
2017-06-08,85.02,85.02,83.29,83.646,387953,0
2017-06-09,83.972,84.14,83.368,83.754,376451,0
2017-06-12,83.507,83.942,83.042,83.932,301864,0
2017-06-13,83.616,84.218,83.616,84.179,214458,0
2017-06-14,84.871,85.148,83.982,84.238,389236,0
2017-06-15,83.794,85.257,83.608,84.881,336068,0
2017-06-16,85.029,85.573,84.644,85.276,697887,0
2017-06-19,85.178,85.899,85.079,85.87,269235,0
2017-06-20,85.909,86.087,85.207,86.048,427365,0
2017-06-21,85.929,86.216,85.02,85.87,396811,0
2017-06-22,85.672,85.889,85.108,85.425,297349,0
2017-06-23,85.622,86.621,85.563,86.186,1021488,0
2017-06-26,86.245,86.759,85.118,85.534,414302,0
2017-06-27,85.138,85.435,84.703,85.088,416186,0
2017-06-28,85.196,85.593,84.798,85.225,311097,0
2017-06-29,84.818,85.384,83.571,85.146,453154,0
2017-06-30,85.305,86.14,84.957,85.842,465789,0
2017-07-03,85.842,85.941,84.509,85.524,238584,0
2017-07-05,85.643,86.12,84.887,85.772,512133,0
