Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,12.21,12.33,12.195,12.33,79425,0
2017-01-04,12.5,12.51,12.35,12.4614,59620,0
2017-01-05,12.46,12.56,12.46,12.55,36408,0
2017-01-06,12.51,12.54,12.49,12.52,16277,0
2017-01-09,12.51,12.54,12.45,12.47,34686,0
2017-01-10,12.53,12.62,12.53,12.59,58798,0
2017-01-11,12.59,12.69,12.57,12.67,28309,0
2017-01-12,12.78,12.78,12.69,12.77,38227,0
2017-01-13,12.68,12.77,12.68,12.73,32665,0
2017-01-17,12.63,12.73,12.63,12.69,25913,0
2017-01-18,12.7,12.72,12.53,12.5592,64317,0
2017-01-19,12.53,12.6447,12.51,12.53,24919,0
2017-01-20,12.57,12.58,12.52,12.54,37199,0
2017-01-23,12.65,12.72,12.62,12.7,41180,0
2017-01-24,12.72,12.8351,12.72,12.8,42748,0
2017-01-25,12.89,12.89,12.84,12.85,61764,0
2017-01-26,12.89,12.89,12.83,12.87,46880,0
2017-01-27,12.86,12.93,12.83,12.92,64654,0
2017-01-30,12.86,12.885,12.81,12.83,123497,0
2017-01-31,12.79,12.869,12.79,12.85,33074,0
2017-02-01,12.94,12.94,12.85,12.9,42517,0
2017-02-02,12.93,12.95,12.73,12.93,36042,0
2017-02-03,12.95,13.06,12.94,13.02,69481,0
2017-02-06,13.05,13.0746,12.95,13.01,66162,0
2017-02-07,12.99,13.06,12.99,13.01,31906,0
2017-02-08,13.02,13.1,13,13.1,64842,0
2017-02-09,13.1,13.18,13.08,13.15,37183,0
2017-02-10,13.16,13.25,13.14,13.2,62746,0
2017-02-13,13.23,13.38,13.23,13.38,35522,0
2017-02-14,13.31,13.36,13.2411,13.3301,51141,0
2017-02-15,13.33,13.39,13.28,13.3796,48421,0
2017-02-16,13.41,13.429,13.33,13.42,63879,0
2017-02-17,13.33,13.41,13.3,13.41,51593,0
2017-02-21,13.49,13.53,13.45,13.53,45035,0
2017-02-22,13.54,13.65,13.5135,13.63,46014,0
2017-02-23,13.72,13.72,13.6093,13.6349,35610,0
2017-02-24,13.49,13.57,13.49,13.55,24491,0
2017-02-27,13.52,13.55,13.47,13.51,42468,0
2017-02-28,13.49,13.5,13.4,13.43,18165,0
2017-03-01,13.43,13.5476,13.43,13.54,79815,0
2017-03-02,13.42,13.44,13.28,13.28,44471,0
2017-03-03,13.33,13.37,13.32,13.3418,38672,0
2017-03-06,13.38,13.38,13.3366,13.36,79633,0
2017-03-07,13.38,13.4377,13.3542,13.43,34648,0
2017-03-08,13.38,13.4,13.34,13.34,69776,0
2017-03-09,13.29,13.29,13.16,13.24,54539,0
2017-03-10,13.3,13.34,13.2871,13.32,20831,0
2017-03-13,13.44,13.56,13.43,13.53,55570,0
2017-03-14,13.49,13.54,13.45,13.49,61180,0
2017-03-15,13.54,13.99,13.44,13.95,102912,0
2017-03-16,14.01,14.01,13.85,13.86,66945,0
2017-03-17,13.9,13.99,13.85,13.92,51249,0
2017-03-20,13.99,14.13,13.97,14.04,74414,0
2017-03-21,14.1,14.15,13.9205,13.94,83341,0
2017-03-22,13.91,14.02,13.88,14.0008,49964,0
2017-03-23,14,14.02,13.93,14.02,70200,0
2017-03-24,14.01,14.03,13.93,13.93,54838,0
2017-03-27,13.93,13.99,13.85,13.92,51093,0
2017-03-28,13.91,14.05,13.91,14.05,57635,0
2017-03-29,14.02,14.09,14.02,14.07,44838,0
2017-03-30,14.02,14.11,14.02,14.08,59279,0
2017-03-31,13.95,14.05,13.95,14.02,33284,0
2017-04-03,14.06,14.19,14.03,14.16,37815,0
2017-04-04,14.15,14.19,14.0521,14.19,46518,0
2017-04-05,14.2,14.3,14.1999,14.2,56348,0
2017-04-06,14.19,14.3,14.161,14.27,63266,0
2017-04-07,14.31,14.31,14.15,14.25,68558,0
2017-04-10,14.2,14.2,14.12,14.17,25230,0
2017-04-11,14.16,14.1899,14.0506,14.14,51301,0
2017-04-12,14.18,14.18,14.05,14.09,39040,0
2017-04-13,14.09,14.18,14.08,14.08,102583,0
2017-04-17,14.14,14.17,14.09,14.15,170316,0
2017-04-18,14.15,14.15,13.97,14.04,139111,0
2017-04-19,14.03,14.0979,13.89,13.89,156626,0
2017-04-20,14,14.04,13.96,14.03,199207,0
2017-04-21,14.08,14.08,14,14.07,93484,0
2017-04-24,14.21,14.28,14.2,14.24,187013,0
2017-04-25,14.28,14.3099,14.27,14.27,90036,0
2017-04-26,14.29,14.32,14.28,14.31,67464,0
2017-04-27,14.33,14.33,14.28,14.32,42209,0
2017-04-28,14.37,14.38,14.3201,14.36,34581,0
2017-05-01,14.46,14.47,14.37,14.46,85519,0
2017-05-02,14.49,14.53,14.44,14.53,45987,0
2017-05-03,14.52,14.52,14.42,14.46,36604,0
2017-05-04,14.41,14.43,14.32,14.36,35197,0
2017-05-05,14.42,14.46,14.36,14.43,64972,0
2017-05-08,14.5,14.528,14.47,14.5,40234,0
2017-05-09,14.58,14.69,14.58,14.66,94177,0
