Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,101.93,103.9,101.13,102.82,4179695,0
2017-01-04,103.52,103.74,102.27,102.9,2432312,0
2017-01-05,102.91,104.12,102.7,103.46,3106288,0
2017-01-06,103.88,104.97,103,104.48,2431157,0
2017-01-09,103.59,103.85,102.12,102.32,3406044,0
2017-01-10,102.52,103.67,102.17,102.68,2934047,0
2017-01-11,102.84,104.31,102.03,104.19,3567549,0
2017-01-12,104.95,105.94,104.28,104.81,4696765,0
2017-01-13,104.28,105.51,103.71,104.83,2594398,0
2017-01-17,105.38,106.19,104.89,104.92,3901920,0
2017-01-18,104.78,105.14,104.17,104.84,2541452,0
2017-01-19,104.94,105.64,103.9,104.63,2438404,0
2017-01-20,105.66,106.22,104.74,104.91,2501459,0
2017-01-23,104.16,104.54,102.79,102.91,3055339,0
2017-01-24,103.93,104.06,102.37,103.13,2694692,0
2017-01-25,103.08,103.83,102.69,103.35,2813085,0
2017-01-26,103.54,104.7,103.35,103.83,2787496,0
2017-01-27,103.6,103.6,102.23,102.36,2356179,0
2017-01-30,101.65,102.22,99.039,100.66,2990077,0
2017-01-31,100.81,101.08,99.56,101.04,2456967,0
2017-02-01,101.65,102.09,99.51,100.46,3044760,0
2017-02-02,100.6,100.94,98.414,99.178,5091500,0
2017-02-03,99.148,101.64,98.681,100.4,3539742,0
2017-02-06,100.46,100.51,98.901,99.168,1812076,0
2017-02-07,98.721,98.971,94.762,96.673,5184987,0
2017-02-08,96.086,97.965,94.772,97.617,3463873,0
2017-02-09,98.572,99.75,97.926,99.278,2942682,0
2017-02-10,100.69,101.49,100.03,100.9,3105512,0
2017-02-13,100.37,100.84,99.6,99.81,1955530,0
2017-02-14,99.79,100.94,98.492,100.69,3882640,0
2017-02-15,100.37,100.93,99.81,100.21,2105057,0
2017-02-16,100.52,100.94,99.308,99.63,3170335,0
2017-02-17,99.375,99.485,97.906,98.502,3039404,0
2017-02-21,99.87,100.31,98.901,98.941,2750356,0
2017-02-22,98.234,98.671,96.94,97.01,2610354,0
2017-02-23,98.661,98.661,96.036,97.05,3229413,0
2017-02-24,96.006,96.98,95.14,95.787,3609534,0
2017-02-27,96.265,97.707,95.787,97.389,5183891,0
2017-02-28,98.971,99.019,94.782,96.473,6403372,0
2017-03-01,97.727,99.88,97.487,99.51,3795380,0
2017-03-02,98.651,99.178,97.712,97.945,3066018,0
2017-03-03,97.975,98.776,97.596,98.045,2086466,0
2017-03-06,98.094,99.84,97.28,99.53,3122721,0
2017-03-07,99.86,100,98.871,99,3399898,0
2017-03-08,98.284,98.831,93.986,94.325,4850692,0
2017-03-09,93.271,95.509,92.565,95.19,5018094,0
2017-03-10,95.986,95.986,93.509,94.285,3812788,0
2017-03-13,93.986,94.842,93.017,94.445,4720500,0
2017-03-14,93.429,94.484,92.415,94.086,5118856,0
2017-03-15,95.032,96.87,94.176,96.543,4206846,0
2017-03-16,96.643,96.733,95.23,95.319,3199383,0
2017-03-17,96.026,96.453,95.14,95.916,7016010,0
