Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,352.14,355.28,350.06,353.55,408264,0
2017-01-04,353.36,362,351.96,360.58,608555,0
2017-01-05,360.93,364.67,357.94,364.42,476723,0
2017-01-06,364.61,367.71,362.59,365.15,432533,0
2017-01-09,365.15,369.74,362.86,367.81,533524,0
2017-01-10,368.13,368.13,362.7,364.7,441211,0
2017-01-11,363.86,369.39,363.37,366.23,542913,0
2017-01-12,366.07,369.34,363.48,368.76,455394,0
2017-01-13,368.26,371.76,366.83,369.54,249533,0
2017-01-17,369.36,373.44,368.75,370.71,361569,0
2017-01-18,371.68,373.43,369.64,371.29,343641,0
2017-01-19,371.29,376.45,369.92,375.65,626434,0
2017-01-20,376.48,377.93,375.08,377.74,365677,0
2017-01-23,377.13,381.81,375.91,379.79,535036,0
2017-01-24,380.93,384.34,378.52,384.08,367336,0
2017-01-25,383.7,384.89,377.6,378.89,581373,0
2017-01-26,377.76,381.74,377.04,378.67,505663,0
2017-01-27,379.71,379.95,376.49,377.44,351285,0
2017-01-30,376.38,380.87,375.38,380.8,309067,0
2017-01-31,380.88,382.32,378.17,379.44,325098,0
2017-02-01,379.46,381.22,375.38,375.8,434887,0
2017-02-02,376.41,379.81,374.84,377.55,337736,0
2017-02-03,379.83,380.83,378.55,379.28,290354,0
2017-02-06,379.71,380.13,375.76,376.17,372700,0
2017-02-07,376.36,378.02,374.84,375.16,357926,0
2017-02-08,376.13,378.88,374.93,378.43,463359,0
2017-02-09,378.89,381.56,377.01,380.27,446813,0
2017-02-10,381.28,381.89,378.8,380.88,312016,0
2017-02-13,382.7,382.7,379.27,381.12,328195,0
2017-02-14,381.33,381.33,374.66,377.13,321677,0
2017-02-15,374.32,378.07,373.28,375.27,452986,0
2017-02-16,369.59,378.57,364.33,367.8,1230374,0
2017-02-17,368.47,373.15,366.25,368.88,605934,0
2017-02-21,367.66,371.56,363.29,365.99,693781,0
2017-02-22,365.82,368.4,365.22,367.94,508846,0
2017-02-23,369.93,371.58,365.21,367.48,546308,0
2017-02-24,367.81,376.34,366.62,376.18,594517,0
2017-02-27,376.41,377.78,373.4,373.8,333902,0
2017-02-28,373.62,377.02,372.17,372.64,351157,0
2017-03-01,372.56,377.72,370.04,374.55,423750,0
2017-03-02,374.56,374.77,369.21,369.32,536799,0
2017-03-03,367.8,372.39,367.5,372.27,324824,0
2017-03-06,368.17,375.14,368.17,374.11,345726,0
2017-03-07,374.14,374.92,370.62,371.82,248678,0
2017-03-08,372.01,372.01,358.6,360.12,785441,0
2017-03-09,360.68,373.06,360.68,372.59,3214215,0
2017-03-10,374.36,377.05,370.25,375.7,1247325,0
2017-03-13,380.3,382.26,375.75,376.86,1237506,0
2017-03-14,377.03,381.64,375.73,377.9,825247,0
2017-03-15,378.19,381.97,375.68,380.28,669143,0
2017-03-16,380.37,380.52,373.11,374.73,749967,0
2017-03-17,375.07,375.35,371.36,372.22,1109574,0
2017-03-20,373.29,381.85,372.68,380.07,973484,0
2017-03-21,382.33,387.83,379.05,379.91,841092,0
2017-03-22,380.11,384.89,379.67,383.94,556167,0
2017-03-23,383.43,389.34,382.27,384.51,724811,0
2017-03-24,387.1,388.85,380.58,384.55,1439899,0
2017-03-27,381.5,382.92,378.18,380.5,646205,0
2017-03-28,380.72,383.25,379.76,381.36,397123,0
2017-03-29,382.53,390.88,381.24,390.41,588815,0
2017-03-30,389.5,394.37,388.23,393.52,480941,0
2017-03-31,392.4,399.94,391.88,396.72,901148,0
2017-04-03,397.29,399.66,393.61,398.8,542763,0
2017-04-04,398.96,398.96,394.68,396.34,415559,0
2017-04-05,395.47,400.85,394.54,396.4,400201,0
2017-04-06,395.78,399.32,394.89,398.52,305382,0
2017-04-07,399.21,400.4,397.6,398.08,428574,0
2017-04-10,397.83,398.83,395.43,397.28,392244,0
2017-04-11,396.59,397.97,393.5,396.2,454283,0
2017-04-12,395.21,396.88,393.32,396.12,484003,0
2017-04-13,396.65,398.34,394.92,395.47,344690,0
2017-04-17,395.33,399.35,395.33,399.34,380479,0
2017-04-18,398.56,400.56,397.61,399.28,270575,0
2017-04-19,399.58,400.93,397.49,400.28,316028,0
2017-04-20,400.97,403.84,398.1,401.44,457326,0
2017-04-21,401.72,401.89,397.64,398.18,458974,0
2017-04-24,401.43,402.76,394.98,400.35,544532,0
2017-04-25,400.62,403.15,399.53,402.84,461674,0
2017-04-26,403.57,406.14,400.86,403.63,560988,0
2017-04-27,410.62,411.03,399.33,407.26,625464,0
2017-04-28,406.91,414.31,405.45,413.89,573654,0
2017-05-01,413.88,416.87,412.51,416.35,575139,0
2017-05-02,416.65,419.7,414.35,419.01,483520,0
2017-05-03,420.22,421.1,416.35,419.33,510825,0
2017-05-04,419.08,421.47,414.82,420.41,580183,0
2017-05-05,420.67,422.56,417.9,422.36,466402,0
2017-05-08,422.77,423.8,418.28,422.75,603628,0
2017-05-09,423.75,423.92,420.55,422.03,326900,0
2017-05-10,422.2,423.4,419.87,421.18,354055,0
2017-05-11,420.48,425.41,419.06,424.86,360247,0
2017-05-12,423.88,427.36,422.73,427.14,537631,0
2017-05-15,426.95,429.82,425.15,425.9,510305,0
2017-05-16,425.89,427.45,420.78,423.75,372058,0
2017-05-17,422.71,426.22,422.28,423.08,418407,0
2017-05-18,421.63,422.67,417.13,421.88,534960,0
2017-05-19,422.8,425.88,420.11,422.85,370266,0
2017-05-22,423.42,433.42,423.42,432.75,409109,0
2017-05-23,433.86,437.15,432.42,433.85,342528,0
2017-05-24,433.01,439.76,433.01,438.47,425111,0
