Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.54,10.81,10.42,10.77,367135,0
2017-01-04,10.83,11.41,10.6736,11.38,424267,0
2017-01-05,11.35,11.46,10.87,11.07,336162,0
2017-01-06,11.09,11.12,10.52,10.55,269846,0
2017-01-09,10.57,10.6,10.29,10.33,260025,0
2017-01-10,10.39,10.77,10.39,10.73,172375,0
2017-01-11,11.01,11.02,10.5,10.68,236457,0
2017-01-12,10.66,10.68,10.24,10.48,216356,0
2017-01-13,10.54,10.97,10.54,10.64,227345,0
2017-01-17,10.56,10.56,10.23,10.42,275475,0
2017-01-18,10.44,10.545,10.31,10.33,193077,0
2017-01-19,10.39,10.423,10.21,10.37,250169,0
2017-01-20,10.42,10.56,9.94,9.99,401190,0
2017-01-23,9.9,10.14,9.31,9.36,487416,0
2017-01-24,9.37,9.74,9.24,9.6,343821,0
2017-01-25,9.74,10.325,9.65,10.27,377903,0
2017-01-26,10.28,10.31,9.91,10.07,178833,0
2017-01-27,10.09,10.23,10,10.21,125813,0
2017-01-30,10.13,10.21,9.85,10.11,277455,0
2017-01-31,10.06,10.25,9.91,10.25,241650,0
2017-02-01,10.3,10.55,10.2,10.36,266556,0
2017-02-02,10.32,10.43,10.17,10.19,203955,0
2017-02-03,10.25,10.69,10.15,10.66,355568,0
2017-02-06,10.65,10.65,10.26,10.43,203391,0
2017-02-07,10.44,10.52,9.97,10,359458,0
2017-02-08,9.95,10.04,9.55,9.65,436680,0
2017-02-09,9.67,9.96,9.63,9.75,267320,0
2017-02-10,9.89,9.95,9.77,9.9,271944,0
2017-02-13,9.99,10.025,9.74,9.79,169703,0
2017-02-14,9.68,9.72,9.55,9.61,203760,0
2017-02-15,9.54,9.65,9.315,9.33,346488,0
2017-02-16,9.33,9.3824,9.01,9.29,402098,0
2017-02-17,9.27,9.33,9.05,9.25,281943,0
2017-02-21,9.28,9.37,9.01,9.05,295606,0
2017-02-22,9.03,9.085,8.55,8.7,553569,0
2017-02-23,8.78,8.78,8.35,8.4,474519,0
2017-02-24,8.27,8.5,8.15,8.42,283473,0
2017-02-27,8.39,8.71,8.3,8.66,266908,0
2017-02-28,8.65,8.75,8.34,8.41,398367,0
2017-03-01,8.66,9.4,8.6327,9.32,708741,0
2017-03-02,9.4,9.41,8.71,8.73,572065,0
2017-03-03,8.72,8.87,8.52,8.74,260915,0
2017-03-06,8.7,8.9037,8.5,8.68,505113,0
2017-03-07,8.63,8.86,8.56,8.74,441953,0
2017-03-08,8.85,8.94,8.56,8.6,718785,0
2017-03-09,9,9.07,7.86,8.11,1454998,0
2017-03-10,8.22,8.5453,7.76,8.11,802494,0
2017-03-13,7.93,8.15,7.77,7.83,658973,0
2017-03-14,7.72,7.75,7.22,7.63,641182,0
2017-03-15,7.76,8.4,7.75,8.18,885224,0
2017-03-16,8.25,8.61,8.03,8.44,831330,0
2017-03-17,8.43,8.48,8.12,8.34,1482389,0
2017-03-20,8.36,8.5,8.17,8.46,441259,0
2017-03-21,8.48,8.612,7.9,7.9,661795,0
2017-03-22,7.9,7.9,7.265,7.46,1048198,0
