Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.642,19.838,19.573,19.809,1363761,0
2017-01-04,19.838,20.061,19.662,19.967,994080,0
2017-01-05,19.938,20.372,19.898,20.303,864061,0
2017-01-06,20.146,20.372,20.087,20.235,669889,0
2017-01-09,20.421,20.531,20.176,20.501,902545,0
2017-01-10,20.788,20.808,20.126,20.362,1063545,0
2017-01-11,20.215,20.798,20.156,20.778,962886,0
2017-01-12,20.56,20.639,20.362,20.441,1077473,0
2017-01-13,20.669,20.818,20.531,20.63,670038,0
2017-01-17,21.084,21.646,21.005,21.5,2069270,0
2017-01-18,21.51,21.746,21.336,21.381,1515958,0
2017-01-19,21.696,21.855,21.192,21.765,1346856,0
2017-01-20,22.003,22.398,21.974,22.368,1032031,0
2017-01-23,22.715,23.005,22.546,22.842,1622133,0
2017-01-24,22.695,23.396,22.685,23.317,1156707,0
2017-01-25,23.464,23.722,22.99,23.445,1481581,0
2017-01-26,23.249,23.337,22.862,22.941,1252898,0
2017-01-27,22.822,23.244,22.822,22.882,779538,0
2017-01-30,22.626,22.822,22.29,22.388,998629,0
2017-01-31,22.457,22.675,22.072,22.586,996761,0
2017-02-01,23.01,23.149,22.774,22.911,581014,0
2017-02-02,22.911,22.99,22.521,22.675,978426,0
2017-02-03,22.744,22.862,22.596,22.744,555455,0
2017-02-06,22.428,22.754,22.408,22.606,749235,0
2017-02-07,22.734,22.931,22.641,22.774,465337,0
2017-02-08,22.378,22.388,21.905,22.072,1204626,0
2017-02-09,22.398,22.516,22.136,22.388,1034576,0
2017-02-10,22.358,23.169,22.358,23.05,900884,0
2017-02-13,23.415,23.494,23.189,23.278,494501,0
2017-02-14,23.317,23.524,23.08,23.494,716561,0
2017-02-15,23.514,23.989,23.504,23.623,815592,0
2017-02-16,23.573,23.613,23.02,23.109,1034598,0
2017-02-17,23.109,23.149,23,23.1,627992,0
2017-02-21,23.841,23.85,23.327,23.464,1143469,0
2017-02-22,23.357,23.464,23.307,23.405,570118,0
2017-02-23,23.732,23.762,22.95,22.97,1459834,0
2017-02-24,22.803,22.95,22.556,22.734,987441,0
2017-02-27,22.794,23.095,22.636,22.98,895364,0
2017-02-28,22.911,22.95,22.744,22.813,881484,0
2017-03-01,23.04,23.396,22.799,22.97,857798,0
2017-03-02,22.586,22.67,22.319,22.339,933526,0
2017-03-03,22.546,23.199,22.467,23.1,916158,0
2017-03-06,23.405,23.435,22.872,22.941,631314,0
2017-03-07,23.327,23.396,23.01,23.229,617608,0
2017-03-08,23.02,23.558,22.99,23.474,1669770,0
2017-03-09,24.354,24.651,23.563,23.712,2491486,0
2017-03-10,23.623,23.722,23.396,23.514,1562851,0
2017-03-13,23.722,23.742,23.514,23.673,864164,0
2017-03-14,23.623,23.643,23.119,23.169,692334,0
2017-03-15,22.784,23.357,22.546,23.337,1139224,0
2017-03-16,23.534,23.88,23.504,23.673,1137129,0
2017-03-17,23.899,23.939,23.209,23.494,805037,0
2017-03-20,23.782,24.414,23.752,24.374,1141955,0
2017-03-21,24.283,24.317,22.651,22.739,1721226,0
2017-03-22,22.433,22.843,22.314,22.66,762464,0
2017-03-23,22.383,22.58,22.234,22.472,899458,0
2017-03-24,22.561,22.759,22.482,22.531,521471,0
2017-03-27,22.254,22.502,21.908,22.145,756476,0
2017-03-28,22.056,22.561,22.056,22.314,792737,0
2017-03-29,22.373,22.462,21.997,22.393,1069490,0
2017-03-30,22.224,22.423,21.918,22.066,557583,0
2017-03-31,21.988,22.244,21.759,21.849,923923,0
2017-04-03,21.68,21.7,21.314,21.463,1126987,0
2017-04-04,21.493,22.125,21.454,21.908,734812,0
2017-04-05,22.076,22.155,21.344,21.374,1123134,0
2017-04-06,21.285,21.849,21.047,21.779,1517300,0
2017-04-07,21.799,22.037,21.7,21.74,595937,0
2017-04-10,21.769,21.839,21.359,21.384,710667,0
2017-04-11,21.533,21.533,21.032,21.215,839030,0
2017-04-12,21.235,21.235,20.953,21.047,618391,0
2017-04-13,20.939,20.939,19.702,19.8,1938101,0
2017-04-17,19.839,20.423,19.839,20.404,1189103,0
2017-04-18,20.157,20.226,19.959,20.018,1262983,0
2017-04-19,20.216,20.226,19.78,19.81,931417,0
2017-04-20,19.819,19.959,19.623,19.702,1225694,0
2017-04-21,19.761,19.879,19.469,19.484,1164454,0
