Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.05,6.05,5.8,5.96,129164,0
2017-01-04,6.01,6.24,5.98,6.22,137211,0
2017-01-05,6.2,6.2,5.92,6.1,83162,0
2017-01-06,6.09,6.15,5.97,6.1,47714,0
2017-01-09,6.05,6.11,5.945,6.03,61867,0
2017-01-10,6.1,6.46,6.05,6.41,175454,0
2017-01-11,6.4,6.56,6.38,6.51,107859,0
2017-01-12,6.5,6.5,6.37,6.41,69358,0
2017-01-13,6.45,6.5,6.4,6.46,158003,0
2017-01-17,6.4,6.5,6.38,6.41,249160,0
2017-01-18,6.43,6.43,6.32,6.4,103371,0
2017-01-19,6.39,6.414,6.24,6.27,100863,0
2017-01-20,6.26,6.33,6.25,6.29,130872,0
2017-01-23,6.25,6.27,6.11,6.14,78834,0
2017-01-24,6.15,6.28,6.15,6.22,98261,0
2017-01-25,6.27,6.3,6.2,6.25,60007,0
2017-01-26,6.27,6.27,6.15,6.2,48752,0
2017-01-27,6.17,6.31,6.16,6.27,48950,0
2017-01-30,6.2,6.43,6.1,6.4,151739,0
2017-01-31,6.35,6.6,6.3,6.57,187698,0
2017-02-01,6.64,6.75,6.53,6.57,235994,0
2017-02-02,6.95,7.17,6.76,6.91,538664,0
2017-02-03,6.95,6.95,6.8201,6.89,129857,0
2017-02-06,6.87,6.87,6.75,6.8,141923,0
2017-02-07,6.92,6.92,6.45,6.51,167431,0
2017-02-08,6.52,6.64,6.28,6.63,143183,0
2017-02-09,6.67,6.73,6.52,6.68,82661,0
2017-02-10,6.95,7.15,6.93,7.11,238419,0
2017-02-13,7.11,7.12,6.87,6.96,289874,0
2017-02-14,6.95,6.97,6.71,6.76,93199,0
2017-02-15,6.7,6.87,6.7,6.81,96070,0
2017-02-16,6.8,6.82,6.66,6.71,82603,0
2017-02-17,6.69,6.79,6.65,6.78,104642,0
2017-02-21,6.77,6.85,6.63,6.68,65918,0
2017-02-22,6.72,6.74,6.62,6.63,43156,0
2017-02-23,6.64,6.64,6.5,6.55,48209,0
2017-02-24,6.5,6.71,6.5,6.69,96422,0
2017-02-27,6.67,7.03,6.67,7,167853,0
2017-02-28,7,7,6.63,6.7,96162,0
2017-03-01,6.8,6.9299,6.69,6.89,55026,0
2017-03-02,6.86,6.88,6.66,6.69,67211,0
2017-03-03,6.7,6.79,6.6378,6.73,139684,0
2017-03-06,6.71,6.77,6.665,6.75,53153,0
2017-03-07,6.75,6.96,6.73,6.84,82795,0
2017-03-08,6.85,6.96,6.7,6.7,54899,0
2017-03-09,6.67,6.81,6.64,6.7,58842,0
2017-03-10,6.72,6.75,6.56,6.57,73026,0
2017-03-13,6.67,6.71,6.57,6.63,40553,0
2017-03-14,6.59,6.65,6.52,6.53,59641,0
2017-03-15,6.55,6.89,6.5,6.81,68363,0
2017-03-16,6.8,6.84,6.65,6.7,56455,0
2017-03-17,6.66,6.89,6.5,6.54,397809,0
2017-03-20,6.53,6.63,6.53,6.63,109745,0
2017-03-21,6.68,6.75,6.55,6.57,80716,0
