Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.25,7.25,7.06,7.2,75492,0
2017-01-04,7.3,7.4,7.2077,7.3,44416,0
2017-01-05,7.35,7.44,7.3,7.35,8937,0
2017-01-06,7.45,7.45,7.35,7.4326,5743,0
2017-01-09,7.36,7.4,7.3,7.35,16328,0
2017-01-10,7.3,7.305,7.2,7.2,25222,0
2017-01-11,7.2,7.35,7.15,7.2,3543,0
2017-01-12,7.3,7.3,7.15,7.2,7838,0
2017-01-13,7.1,7.25,7.005,7.25,14167,0
2017-01-17,7.25,7.25,7,7.15,20173,0
2017-01-18,7.1,7.3,7.1,7.2,11483,0
2017-01-19,7.3,7.35,7.275,7.3,13162,0
2017-01-20,7.26,7.418,7.25,7.4,5345,0
2017-01-23,7.391,7.4,7.35,7.4,3877,0
2017-01-24,7.4,7.45,7.3,7.45,11099,0
2017-01-25,7.45,7.5,7.4,7.45,18214,0
2017-01-26,7.45,7.6,7.081,7.55,39814,0
2017-01-27,7.55,7.65,7.35,7.4,21340,0
2017-01-30,7.45,7.55,7.25,7.5,8346,0
2017-01-31,7.55,7.55,7.35,7.45,16476,0
2017-02-01,7.5,7.5,7.3,7.5,22190,0
2017-02-02,7.453,7.56,7.4,7.55,23349,0
2017-02-03,7.65,7.7,7.5773,7.6,25132,0
2017-02-06,7.7,7.75,7.6672,7.75,19678,0
2017-02-07,7.8,7.85,7.75,7.85,53915,0
2017-02-08,7.75,7.8,7.65,7.8,182535,0
2017-02-09,7.8,7.95,7.7,7.8,66803,0
2017-02-10,7.85,8.1,7.825,8.05,19418,0
2017-02-13,8.2,8.2,8,8.1,39863,0
2017-02-14,8.15,8.15,8.06,8.1,28669,0
2017-02-15,8.15,8.15,8,8.05,23122,0
2017-02-16,8.05,8.05,7.85,7.85,13545,0
2017-02-17,7.9,8,7.9,8,15543,0
2017-02-21,7.95,8.028,7.8,8,19007,0
2017-02-22,8.05,8.05,7.95,8,31787,0
2017-02-23,8,8,7.9219,8,8488,0
2017-02-24,8,8,7.9,8,7556,0
2017-02-27,8.05,8.05,7.95,8.05,15324,0
2017-02-28,8.05,8.05,7.71,7.95,27147,0
2017-03-01,8.05,8.05,7.95,8,19704,0
2017-03-02,8.05,8.05,7.85,7.95,18535,0
2017-03-03,7.9,8,7.775,7.975,27708,0
2017-03-06,7.95,8.1,7.9,8.05,55337,0
2017-03-07,8.05,8.1,8,8.05,15980,0
2017-03-08,8.05,8.15,7.981,8.1,36822,0
2017-03-09,8.15,8.25,8.0165,8.05,81428,0
2017-03-10,8.15,8.2,8.1,8.2,32096,0
2017-03-13,8.15,8.25,8.1,8.15,30714,0
2017-03-14,8.2,8.2,8.05,8.05,47171,0
2017-03-15,8.15,8.2,8.05,8.05,24691,0
2017-03-16,8.0779,8.1,8,8.1,17194,0
2017-03-17,8.1279,8.5,8.1279,8.45,190635,0
2017-03-20,8.4,8.4,8.1,8.1,28436,0
2017-03-21,8.2,8.2,7.9,8.1,57051,0
2017-03-22,8.1,8.15,8,8,28026,0
2017-03-23,8.05,8.1,7.95,8.1,28190,0
2017-03-24,8.05,8.2,7.95,8.1,22306,0
2017-03-27,7.85,8.2,7.85,8.15,43677,0
2017-03-28,8.2,8.2,7.8217,8,53926,0
2017-03-29,7.95,8.25,7.95,8.1,115041,0
2017-03-30,8.15,8.2,7.95,7.95,100923,0
2017-03-31,8,8.075,7.705,8,48138,0
2017-04-03,8.1,8.1,7.8,7.95,24032,0
2017-04-04,7.95,8.05,7.85,8,25086,0
2017-04-05,7.75,8,7.65,7.65,26518,0
2017-04-06,7.7,7.9,7.4,7.85,62057,0
2017-04-07,7.7717,8,7.7717,7.95,81814,0
2017-04-10,8,8,7.85,7.85,13370,0
2017-04-11,7.85,8,7.717,7.9,10403,0
2017-04-12,7.9,8,7.85,7.9,17222,0
2017-04-13,7.9,8,7.8,7.85,42719,0
2017-04-17,7.85,7.85,7.6,7.75,10188,0
2017-04-18,7.4,7.725,6.95,7.6,49708,0
2017-04-19,7.375,7.7,7.35,7.55,12666,0
2017-04-20,7.6,7.7,7.4,7.55,32343,0
2017-04-21,7.65,7.7,7.6,7.7,9604,0
2017-04-24,7.65,7.9,7.65,7.85,46383,0
2017-04-25,8,8,7.75,7.75,43470,0
2017-04-26,7.85,7.9,7.8,7.85,49389,0
2017-04-27,7.8,7.9,7.75,7.85,70468,0
2017-04-28,7.8,7.95,7.8,7.95,40587,0
2017-05-01,7.9,8.05,7.85,8,42814,0
2017-05-02,8.05,8.1,8,8,47706,0
2017-05-03,8,8.1,8,8.05,19301,0
2017-05-04,7.95,8.15,7.95,8.15,52942,0
2017-05-05,8.1,8.2,8,8.15,31618,0
2017-05-08,8.15,8.175,8,8.1,24372,0
2017-05-09,8.1,8.15,8.05,8.05,25052,0
2017-05-10,8.05,8.15,8.05,8.1,15043,0
2017-05-11,8.1,8.15,8.05,8.1,28671,0
2017-05-12,8.095,8.1,8,8.05,18178,0
2017-05-15,7.95,8.1,7.8,8.05,48295,0
2017-05-16,7.95,8.15,7.95,8.1,33204,0
2017-05-17,8.05,8.1,7.85,7.85,45961,0
2017-05-18,7.895,8.15,7.895,8.1,31370,0
2017-05-19,8.1,8.2,7.75,7.85,47768,0
2017-05-22,8,8.2,7.75,8.15,69081,0
2017-05-23,8.2,8.2,8,8.1,49055,0
2017-05-24,8.15,8.15,8.05,8.1,28297,0
2017-05-25,8.15,8.2,8.05,8.2,55887,0
2017-05-26,8.15,8.2,8.15,8.2,24704,0
2017-05-30,8.1,8.25,7.8,8,102368,0
2017-05-31,8.05,8.275,7.85,8.2,86236,0
2017-06-01,8.2,8.25,8.1,8.1,46268,0
2017-06-02,8.15,8.2,8,8.15,60970,0
2017-06-05,8.2,8.25,8.05,8.1,54439,0
2017-06-06,8.15,8.2,8.1,8.1,23596,0
2017-06-07,8.15,8.2,8.1,8.1,34362,0
2017-06-08,8.2,8.25,8.1,8.15,63207,0
2017-06-09,8.15,8.25,8.15,8.15,65021,0
2017-06-12,8.2,8.25,8.05,8.2,54400,0
2017-06-13,8.225,8.3,8.15,8.25,103400,0
2017-06-14,8.25,8.3,8.1,8.1,69822,0
2017-06-15,8.1,8.25,8.1,8.2,45376,0
2017-06-16,8.2,8.25,8.15,8.15,73925,0
2017-06-19,8.15,8.25,7.95,7.95,69947,0
2017-06-20,7.95,8.2,7.95,8.2,51723,0
2017-06-21,8.2,8.25,8.1,8.2,58405,0
2017-06-22,8.2,8.2,7.95,7.95,70685,0
2017-06-23,7.95,8.1,7.65,7.85,2431956,0
2017-06-26,7.9,8.2,7.9,8.15,136163,0
2017-06-27,8.2,8.3,8.15,8.3,106162,0
2017-06-28,8.3,8.3,8.025,8.2,185190,0
2017-06-29,8.25,8.3,8.15,8.25,88585,0
2017-06-30,8.25,8.3,8.1,8.2,38249,0
2017-07-03,8.2,8.3,8.1,8.25,32947,0
2017-07-05,8.25,8.3,8.2,8.3,51180,0
2017-07-06,8.25,8.325,8.15,8.3,99870,0
2017-07-07,8.3,8.35,8.2,8.3,45015,0
2017-07-10,8.25,8.3,8.2223,8.25,116912,0
2017-07-11,8.25,8.55,8.2,8.55,79255,0
2017-07-12,8.45,9,8.45,8.9,127317,0
2017-07-13,8.85,8.95,8.6,8.9,102109,0
2017-07-14,8.85,8.9,8.75,8.9,52193,0
2017-07-17,8.85,9,8.725,8.9,107290,0
2017-07-18,8.9,8.9,8.625,8.75,66883,0
2017-07-19,8.75,8.75,8.55,8.6,50364,0
2017-07-20,8.6,8.7,8.35,8.6,79111,0
2017-07-21,8.65,8.7,8.5,8.6,186357,0
2017-07-24,8.6,8.6,8.5,8.6,23740,0
2017-07-25,8.6,8.65,8.55,8.625,61697,0
2017-07-26,8.6,8.6,8.4,8.55,82848,0
2017-07-27,8.55,8.65,8.45,8.6,136831,0
2017-07-28,8.6,8.65,8.3,8.3,25783,0
2017-07-31,8.3,8.6,8.25,8.6,57701,0
2017-08-01,8.6,8.65,8.5,8.55,32405,0
2017-08-02,8.6,8.6,8.4,8.45,16794,0
2017-08-03,8.5,8.55,8.4,8.5,24701,0
2017-08-04,8.5,8.55,8.45,8.5,17080,0
2017-08-07,8.6,8.6,8.45,8.5,39284,0
2017-08-08,8.5,8.55,8.4,8.45,18799,0
2017-08-09,8.35,8.85,8.2,8.7,81037,0
2017-08-10,8.7,8.7,8.3,8.35,36281,0
2017-08-11,8.4,8.45,8.2,8.3,20349,0
2017-08-14,8.33,8.55,8.305,8.5,30200,0
2017-08-15,8.55,8.55,8.35,8.35,26035,0
2017-08-16,8.4,8.55,8.4,8.45,22535,0
2017-08-17,8.45,8.55,8.3,8.35,31639,0
2017-08-18,8.2,8.45,8.2,8.4,48562,0
2017-08-21,8.35,8.4,8.15,8.35,24359,0
2017-08-22,8.35,8.5,8.15,8.5,36820,0
2017-08-23,8.4,8.5,8.3,8.3,29071,0
2017-08-24,8.2223,8.5,8.2223,8.5,31684,0
2017-08-25,8.5,8.5,8.1,8.25,34552,0
2017-08-28,8.25,8.3,8.05,8.3,22687,0
2017-08-29,8.2,8.4,8.05,8.3,13846,0
2017-08-30,8.25,8.5,8.1,8.35,24205,0
2017-08-31,8.2,8.5,8.2,8.4,23913,0
2017-09-01,8.4,8.5,8.35,8.45,65342,0
2017-09-05,8.35,8.9,8.3,8.8,93248,0
2017-09-06,8.7,8.75,8.65,8.7,65733,0
2017-09-07,8.85,8.85,8.3,8.6,129238,0
2017-09-08,8.55,8.8,8.55,8.8,59029,0
2017-09-11,8.75,8.9,8.7,8.85,80601,0
2017-09-12,8.75,8.9,8.75,8.9,46432,0
2017-09-13,8.9,9.1,8.9,8.9,191899,0
2017-09-14,8.95,9.1,8.45,8.5,133782,0
2017-09-15,8.55,8.65,8.25,8.35,195176,0
2017-09-18,8.45,8.95,8.35,8.65,117124,0
2017-09-19,8.7,8.9,8.55,8.65,69969,0
2017-09-20,8.75,8.9,8.75,8.8,25327,0
2017-09-21,8.8,8.9,8.75,8.8,21871,0
2017-09-22,8.85,8.9,8.825,8.85,18865,0
2017-09-25,8.85,8.9,8.8,8.85,17718,0
2017-09-26,8.9,8.95,8.85,8.9,28546,0
2017-09-27,8.9,9.2,8.9,9,84925,0
2017-09-28,9.05,9.2,9,9.1,75196,0
2017-09-29,9.1,9.25,9.05,9.2,30711,0
2017-10-02,9.2,9.25,9.05,9.15,42860,0
2017-10-03,9.2,9.2,9.1,9.1,27710,0
2017-10-04,8.95,9.05,8.85,9,274690,0
2017-10-05,9.05,9.25,8.975,9.25,29201,0
2017-10-06,9.25,9.25,9.125,9.25,45973,0
2017-10-09,9.2,9.275,9.2,9.25,30637,0
2017-10-10,9.25,9.3,9.2,9.25,96040,0
2017-10-11,9.25,9.3,9.2,9.25,37413,0
2017-10-12,9.3,9.35,9.25,9.25,16863,0
2017-10-13,9.3,9.35,9.1,9.1,23753,0
2017-10-16,9.1,9.3,9.1,9.15,91251,0
2017-10-17,9.25,9.25,9,9.05,12373,0
2017-10-18,9.15,9.2,9.05,9.15,13481,0
2017-10-19,9.1,9.2,9,9.1,19692,0
2017-10-20,9.2,9.25,9.1,9.15,29944,0
2017-10-23,9.2,9.2,9.1,9.1,21609,0
2017-10-24,9.15,9.15,9.1,9.1,11139,0
2017-10-25,9.05,9.25,8.9779,9.15,27605,0
2017-10-26,9.1,9.1,8.75,8.95,51389,0
2017-10-27,8.85,8.95,8.8,8.95,29607,0
2017-10-30,8.8741,8.9,8.8,8.85,27042,0
2017-10-31,8.8,8.85,8.6,8.65,80727,0
2017-11-01,8.65,8.75,8.525,8.7,57887,0
2017-11-02,8.65,8.8,8.65,8.8,39932,0
2017-11-03,8.8,8.85,8.6,8.65,51662,0
2017-11-06,8.7,8.7,8.35,8.45,18149,0
2017-11-07,8.5,8.5,8,8.2,114711,0
2017-11-08,8.2,8.4,8.15,8.35,39497,0
2017-11-09,8.3,8.35,8.15,8.25,16444,0
2017-11-10,8.25,8.4,8.15,8.15,11246,0
