Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.042,13.274,13.033,13.215,22954,0
2017-01-04,13.284,13.609,13.157,13.34,2882,0
2017-01-05,13.317,13.484,13.317,13.464,4453,0
2017-01-06,13.543,13.543,13.225,13.245,12161,0
2017-01-09,13.132,13.514,13.132,13.514,4483,0
2017-01-11,13.525,13.546,13.497,13.546,3583,0
2017-01-12,13.562,13.61,13.495,13.495,4244,0
2017-01-13,13.495,13.5,13.495,13.495,6183,0
2017-01-17,13.525,13.61,13.495,13.495,4067,0
2017-01-18,13.639,13.959,13.639,13.959,664,0
2017-01-19,13.795,13.795,13.785,13.795,797,0
2017-01-20,13.832,13.85,13.706,13.824,4844,0
2017-01-23,13.939,14.395,13.69,14.074,5363,0
2017-01-24,14.164,14.169,13.976,13.976,2320,0
2017-01-25,13.929,13.929,13.745,13.755,5987,0
2017-01-26,13.88,13.88,13.571,13.571,3403,0
2017-01-27,13.571,13.597,13.475,13.475,2076,0
2017-01-30,13.505,13.58,13.495,13.58,2362,0
2017-02-01,13.515,13.515,13.515,13.515,731,0
2017-02-02,13.785,13.785,13.659,13.694,5094,0
2017-02-03,13.649,13.706,13.534,13.649,1529,0
2017-02-07,13.716,13.716,13.639,13.639,620,0
2017-02-08,13.515,13.679,13.515,13.679,7078,0
2017-02-09,13.62,13.635,13.548,13.548,1397,0
2017-02-10,13.525,13.562,13.525,13.544,1341,0
2017-02-13,13.534,13.534,13.478,13.534,1112,0
2017-02-14,13.479,13.479,13.331,13.437,3328,0
2017-02-15,13.354,13.427,13.354,13.389,958,0
2017-02-16,13.348,13.348,13.348,13.348,518,0
2017-02-17,13.311,13.389,13.292,13.389,6559,0
2017-02-21,13.369,13.427,13.288,13.427,3811,0
2017-02-22,13.412,13.52,13.412,13.52,3074,0
2017-02-23,13.411,13.542,13.411,13.542,210,0
2017-02-24,13.354,13.433,13.354,13.433,1496,0
2017-02-27,13.441,13.48,13.441,13.456,2418,0
2017-02-28,13.461,13.461,13.422,13.422,1813,0
2017-03-01,13.341,13.391,13.089,13.391,9633,0
2017-03-02,13.34,13.34,13.34,13.34,373,0
2017-03-03,13.194,13.34,13.194,13.301,8240,0
2017-03-06,13.379,13.379,13.254,13.254,482,0
2017-03-07,13.244,13.254,13.234,13.234,1312,0
2017-03-08,13.128,13.224,13.128,13.164,3449,0
2017-03-09,13.129,13.129,13.012,13.012,2945,0
2017-03-10,13.04,13.04,13.002,13.002,3520,0
2017-03-13,13.002,13.002,12.915,12.923,16002,0
2017-03-14,12.933,13.012,12.933,12.993,7816,0
2017-03-15,13.012,13.079,12.963,13.079,3254,0
2017-03-16,12.967,13.012,12.963,12.983,2664,0
2017-03-17,12.963,13.079,12.963,13.079,1425,0
2017-03-20,13.099,13.099,12.807,12.973,10914,0
2017-03-21,13.089,13.089,13.012,13.04,3347,0
2017-03-22,13.07,13.07,13.07,13.07,221,0
2017-03-23,13.07,13.089,13.021,13.021,2989,0
2017-03-24,13.04,13.089,13.04,13.089,2789,0
2017-03-27,13.099,13.177,13.079,13.139,5664,0
2017-03-28,13.089,13.235,13.079,13.235,1143,0
2017-03-29,13.235,13.284,13.186,13.284,1983,0
2017-03-30,13.195,13.225,13.079,13.139,7134,0
2017-03-31,13.205,13.205,13.175,13.175,395,0
2017-04-03,13.245,13.255,13.235,13.235,2284,0
2017-04-04,13.225,13.322,13.209,13.245,7653,0
2017-04-05,13.259,13.259,13.225,13.225,893,0
2017-04-06,13.255,13.298,13.255,13.298,2679,0
2017-04-10,13.265,13.29,13.265,13.284,2885,0
2017-04-11,13.362,13.382,13.318,13.382,3797,0
2017-04-12,13.367,13.367,13.343,13.343,1028,0
2017-04-17,13.489,13.489,13.424,13.424,753,0
2017-04-18,13.45,13.45,13.45,13.45,2256,0
2017-04-19,13.42,13.46,13.42,13.46,931,0
2017-04-20,13.596,13.596,13.329,13.402,2967,0
2017-04-21,13.489,13.489,13.362,13.408,939,0
2017-04-24,13.244,13.402,13.244,13.372,1453,0
2017-04-25,13.313,13.313,13.216,13.216,1808,0
2017-04-26,13.332,13.333,13.294,13.333,699,0
2017-04-27,13.333,13.412,13.333,13.412,6098,0
2017-04-28,13.397,13.41,13.382,13.41,1385,0
2017-05-01,13.402,13.44,13.402,13.44,967,0
2017-05-02,13.43,13.44,13.412,13.44,1840,0
2017-05-04,13.431,13.431,13.409,13.409,1574,0
2017-05-05,13.285,13.457,13.275,13.303,4911,0
2017-05-08,13.362,13.406,13.352,13.406,1378,0
2017-05-09,13.383,13.393,13.363,13.363,3893,0
2017-05-10,13.48,13.48,13.403,13.431,3048,0
2017-05-11,13.363,13.363,13.315,13.353,5597,0
2017-05-12,13.423,13.441,13.413,13.431,2471,0
2017-05-15,13.578,13.578,13.434,13.47,1979,0
2017-05-16,13.451,13.451,13.448,13.448,1232,0
2017-05-17,13.513,13.553,13.461,13.539,9220,0
2017-05-18,13.744,13.744,13.47,13.47,8039,0
2017-05-19,13.492,13.492,13.441,13.47,964,0
2017-05-22,13.53,13.53,13.47,13.48,3275,0
2017-05-23,13.695,13.695,13.473,13.473,2509,0
2017-05-24,13.461,13.461,13.461,13.461,784,0
2017-05-25,13.5,13.5,13.461,13.461,3511,0
2017-05-26,13.461,13.461,13.413,13.447,5830,0
2017-05-30,13.442,13.451,13.431,13.451,953,0
2017-05-31,13.478,13.487,13.461,13.481,3339,0
2017-06-01,13.744,13.744,13.48,13.578,4292,0
2017-06-02,13.695,13.735,13.558,13.667,15507,0
