Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.4,5,4.4,4.6,179233,0
2017-01-04,4.65,4.95,4.55,4.7,90693,0
2017-01-05,4.85,4.85,4.6,4.8,63038,0
2017-01-06,4.85,4.85,4.633,4.75,32431,0
2017-01-09,4.7,4.95,4.6,4.7,87329,0
2017-01-10,4.6,4.8,4.55,4.6,144159,0
2017-01-11,4.8,4.85,4.6,4.7,85129,0
2017-01-12,4.6,4.8,4.55,4.55,38017,0
2017-01-13,4.65,4.7,4.55,4.6,19089,0
2017-01-17,4.7,5.15,4.7,5.1,403746,0
2017-01-18,5.1,5.15,5,5.15,143699,0
2017-01-19,5.2,5.25,4.85,4.9,116250,0
2017-01-20,5,5.1,4.755,5.05,106890,0
2017-01-23,5.2,5.25,5.05,5.1,283917,0
2017-01-24,5.2,5.3,5.15,5.3,71123,0
2017-01-25,5.25,5.35,5.23,5.3,82062,0
2017-01-26,5.25,5.45,5.25,5.4,120930,0
2017-01-27,5.45,5.5,5.1,5.2643,183104,0
2017-01-30,5.45,5.65,5.2375,5.65,211651,0
2017-01-31,5.7,6,5.65,5.9,262096,0
2017-02-01,6,6,5.8,5.85,99215,0
2017-02-02,5.8,5.95,5.8,5.85,106964,0
2017-02-03,5.75,5.9,5.7,5.7,133905,0
2017-02-06,5.7,5.9,5.7,5.85,358507,0
2017-02-07,5.85,5.9,5.75,5.8,131418,0
2017-02-08,5.85,5.85,5.45,5.6,131021,0
2017-02-09,5.65,5.8,5.55,5.6,88220,0
2017-02-10,5.7,5.725,5.5,5.65,166211,0
2017-02-13,5.3,5.6,5.15,5.5,420668,0
2017-02-14,5.35,5.65,5.35,5.475,124902,0
2017-02-15,5.55,5.55,5.4234,5.55,40219,0
2017-02-16,5.45,5.55,5.2,5.35,126154,0
2017-02-17,5.25,5.35,5.25,5.3,55432,0
2017-02-21,5.3,5.5,5.3,5.45,138706,0
2017-02-22,5.35,5.55,5.35,5.55,113020,0
2017-02-23,5.55,5.55,5.35,5.4,134992,0
2017-02-24,5.35,5.5,5.35,5.4,48341,0
2017-02-27,5.4,5.5,5.3,5.45,90412,0
2017-02-28,5.1,5.45,5.1,5.2,87823,0
2017-03-01,5.2,5.25,5.15,5.2,83200,0
2017-03-02,5.2,5.35,5.2,5.25,82992,0
2017-03-03,5.25,5.55,5.205,5.45,76896,0
2017-03-06,5.4,5.5,5.25,5.4,59524,0
2017-03-07,5.45,5.5,5.4,5.45,29199,0
2017-03-08,5.5,5.65,5.45,5.65,118656,0
2017-03-09,5.65,5.9,5.625,5.85,101030,0
