Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,60.077,60.226,58.691,59.185,95100,0
2017-01-04,59.285,59.532,58.938,59.385,112094,0
2017-01-05,59.235,59.532,58.345,58.543,105891,0
2017-01-06,58.641,58.641,57.85,58.147,65162,0
2017-01-09,57.801,58.394,57.652,57.899,188408,0
2017-01-10,57.899,58.592,57.602,58.246,202529,0
2017-01-11,58.246,58.444,57.602,58.147,120156,0
2017-01-12,58.048,58.335,57.157,57.999,73692,0
2017-01-13,58.246,58.494,58.048,58.197,59916,0
2017-01-17,58.048,58.197,56.662,57.207,101355,0
2017-01-18,57.257,58.048,56.712,57.257,65359,0
2017-01-19,57.207,57.305,55.771,55.92,86675,0
2017-01-20,55.871,56.415,55.327,56.415,109612,0
2017-01-23,56.365,56.662,55.177,56.514,106937,0
2017-01-24,55.92,57.652,55.92,57.405,49996,0
2017-01-25,57.702,57.949,57.257,57.801,80492,0
2017-01-26,57.652,57.801,57.008,57.454,44845,0
2017-01-27,57.652,57.652,57.008,57.157,38024,0
2017-01-30,56.91,57.008,56.118,56.464,64997,0
2017-01-31,56.564,57.652,56.514,57.454,166961,0
2017-02-01,57.652,58.097,55.871,56.018,124644,0
2017-02-02,55.177,58.691,55.177,55.673,269206,0
2017-02-03,56.118,58.543,55.871,57.85,216059,0
2017-02-06,57.454,57.702,56.959,57.454,74939,0
2017-02-07,57.553,57.553,57.058,57.157,132308,0
2017-02-08,57.058,57.058,56.168,56.415,58322,0
2017-02-09,56.415,57.355,55.766,57.058,104073,0
2017-02-10,57.355,57.553,56.662,57.355,46338,0
2017-02-13,57.702,57.825,57.157,57.157,85563,0
2017-02-14,56.91,57.405,56.761,57.108,72133,0
2017-02-15,56.91,57.602,56.91,57.355,99905,0
2017-02-16,57.454,57.652,57.008,57.504,110906,0
2017-02-17,57.652,57.801,55.851,57.702,147035,0
2017-02-21,57.702,57.801,57.305,57.602,143165,0
2017-02-22,57.504,58.246,57.157,57.899,97264,0
2017-02-23,57.999,58.048,57.157,57.726,174745,0
2017-02-24,57.305,58.236,57.305,57.504,73370,0
2017-02-27,57.454,57.924,57.207,57.405,282852,0
2017-02-28,57.405,57.405,56.811,56.86,72468,0
2017-03-01,57.516,58.758,57.466,58.708,210411,0
2017-03-02,58.51,58.51,57.615,58.162,63787,0
2017-03-03,58.062,58.41,57.864,58.112,82415,0
2017-03-06,57.913,57.913,57.367,57.417,58274,0
2017-03-07,57.267,57.516,57.168,57.317,65098,0
2017-03-08,57.466,57.714,57.168,57.417,57458,0
2017-03-09,57.317,57.516,57.019,57.317,85117,0
