Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,29.792,29.792,29.002,29.383,25704,0
2017-01-04,29.5,29.676,29.187,29.383,52049,0
2017-01-05,29.216,29.387,28.357,28.798,16158,0
2017-01-06,28.874,29.06,28.528,28.894,16114,0
2017-01-09,28.642,28.818,28.31,28.592,22885,0
2017-01-10,28.523,29.158,28.523,28.874,28099,0
2017-01-11,28.974,29.49,28.319,29.177,30054,0
2017-01-12,28.689,29.14,27.811,28.904,39759,0
2017-01-13,29.168,29.773,28.708,28.894,40384,0
2017-01-17,28.582,29.236,27.899,28.172,34807,0
2017-01-18,28.456,28.582,28.055,28.426,15455,0
2017-01-19,28.328,28.328,27.783,28.065,20530,0
2017-01-20,28.319,29.158,28.114,28.319,21865,0
2017-01-23,28.476,28.788,28.25,28.495,20946,0
2017-01-24,28.426,29.568,28.406,29.422,22292,0
2017-01-25,29.988,30.124,29.14,29.91,78370,0
2017-01-26,29.881,29.881,29.286,29.402,46385,0
2017-01-27,29.549,29.676,29.236,29.422,22108,0
2017-01-30,29.286,29.383,28.818,28.828,31457,0
2017-01-31,28.944,29.168,28.328,28.406,47969,0
2017-02-01,28.024,28.75,27.759,27.876,21241,0
2017-02-02,27.965,27.965,26.973,27.14,23106,0
2017-02-03,27.474,27.632,27.091,27.572,28165,0
2017-02-06,27.248,27.474,26.482,26.591,27298,0
2017-02-07,26.738,27.271,26.128,26.502,35500,0
2017-02-08,26.238,26.315,25.668,26.041,20080,0
2017-02-09,26.031,26.395,25.776,26.12,15383,0
2017-02-10,26.238,26.944,26.158,26.767,15144,0
2017-02-13,26.856,27.455,26.659,26.876,13083,0
2017-02-14,27.042,27.248,26.795,27.14,12882,0
2017-02-15,27.17,27.346,26.915,27.317,10525,0
2017-02-16,27.366,27.533,26.777,27.405,27107,0
2017-02-17,27.356,27.474,26.796,27.15,31905,0
2017-02-21,27.14,27.484,26.669,27.229,17579,0
2017-02-22,27.14,27.435,27.043,27.219,9670,0
2017-02-23,27.14,27.396,26.846,27.258,7071,0
2017-02-24,26.924,27.273,26.629,26.963,12537,0
2017-02-27,27.023,27.278,26.806,26.885,13368,0
2017-02-28,26.856,26.934,26.502,26.522,27226,0
2017-03-01,27.15,27.632,26.924,27.298,16827,0
2017-03-02,27.052,27.288,26.895,26.954,19831,0
2017-03-03,26.836,27.131,26.502,27.091,21765,0
2017-03-06,26.796,26.944,26.649,26.699,15381,0
2017-03-07,26.552,26.552,25.57,25.963,36695,0
2017-03-08,26.208,26.325,25.418,25.423,23299,0
2017-03-09,25.226,26.051,24.898,25.207,45069,0
2017-03-10,25.265,25.614,24.746,25.06,26059,0
2017-03-13,25.05,25.373,24.833,25.05,28193,0
2017-03-14,24.868,25.177,23.95,24.854,42649,0
2017-03-15,25.275,25.373,24.921,25.04,30794,0
2017-03-16,24.981,25.011,24.746,24.981,34950,0
2017-03-17,24.931,24.931,24.249,24.402,79519,0
2017-03-20,24.421,24.687,23.97,24.107,37349,0
2017-03-21,24.186,24.264,23.106,23.4,85419,0
2017-03-22,23.4,23.596,22.801,23.057,63181,0
2017-03-23,22.91,24.166,22.801,23.92,27314,0
2017-03-24,24.147,24.392,23.91,24.186,66901,0
2017-03-27,23.94,24.392,23.666,23.734,66932,0
2017-03-28,23.499,24.598,23.499,24.46,35073,0
2017-03-29,24.206,24.54,24.009,24.431,44691,0
2017-03-30,24.834,25.192,24.382,24.794,63357,0
2017-03-31,24.637,24.784,24.343,24.51,34378,0
2017-04-03,24.657,24.921,24.274,24.667,42728,0
2017-04-04,24.647,25.118,24.47,24.637,69934,0
2017-04-05,24.794,25.393,24.097,24.176,68749,0
2017-04-06,24.137,24.465,23.96,24.264,29790,0
2017-04-07,24.077,24.637,23.98,24.137,16975,0
2017-04-10,24.097,24.49,23.901,24.117,25164,0
2017-04-11,24.087,24.392,23.98,24.284,29738,0
