Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.638,19.806,19.144,19.411,40930,0
2017-01-04,19.261,19.658,19.221,19.469,62123,0
2017-01-05,19.449,19.686,19.074,19.212,96673,0
2017-01-06,19.251,19.618,18.827,19.134,139464,0
2017-01-09,19.134,19.168,18.392,18.896,67988,0
2017-01-10,19.144,19.203,18.807,19.114,23908,0
2017-01-11,18.827,19.044,18.659,19.004,26251,0
2017-01-12,18.966,19.193,18.442,18.956,67876,0
2017-01-13,18.926,19.431,18.866,18.994,51328,0
2017-01-17,18.994,18.994,18.482,18.669,81476,0
2017-01-18,18.62,19.508,18.392,18.966,112556,0
2017-01-19,18.985,19.163,18.709,18.777,46975,0
2017-01-20,18.797,19.044,18.749,18.985,22409,0
2017-01-23,18.985,19.064,18.525,18.719,22192,0
2017-01-24,18.836,19.231,18.284,19.054,30913,0
2017-01-25,19.044,19.231,18.787,18.946,21394,0
2017-01-26,18.956,19.558,18.758,19.558,29239,0
2017-01-27,19.667,20.764,19.104,20.685,71952,0
2017-01-30,20.882,20.882,20.131,20.497,64539,0
2017-01-31,20.507,20.665,20.113,20.507,99527,0
2017-02-01,20.665,21.04,20.27,20.29,38197,0
2017-02-02,20.26,20.26,19.83,19.913,45904,0
2017-02-03,19.913,20.448,19.746,20.368,69905,0
2017-02-06,20.418,20.605,19.526,20.21,34391,0
2017-02-07,20.131,20.495,20.103,20.103,47309,0
2017-02-08,20.16,20.16,19.667,19.796,27881,0
2017-02-09,19.766,20.21,19.608,19.726,116012,0
2017-02-10,19.766,19.796,19.36,19.648,84501,0
2017-02-13,19.766,19.963,19.548,19.796,45045,0
2017-02-14,19.431,20.093,19.431,20.043,90836,0
2017-02-15,20.15,20.32,19.776,20.16,66845,0
2017-02-16,20.053,20.33,19.953,20.31,67037,0
2017-02-17,20.32,20.33,19.993,20.32,48588,0
2017-02-21,20.31,20.398,20.113,20.27,35515,0
2017-02-22,20.22,20.547,20.22,20.358,72943,0
2017-02-23,20.408,20.557,20.24,20.517,36330,0
2017-02-24,20.467,20.705,20.25,20.448,109619,0
2017-02-27,20.527,20.715,20.448,20.595,49249,0
2017-02-28,20.477,20.547,20.103,20.113,23163,0
2017-03-01,20.507,20.725,20.467,20.635,26822,0
2017-03-02,20.557,20.64,19.983,20.053,34268,0
2017-03-03,19.993,20.386,19.953,20.003,28167,0
2017-03-06,20.21,20.21,19.568,19.667,27026,0
2017-03-07,19.538,19.963,19.538,19.648,17747,0
2017-03-08,19.836,20.014,19.608,19.716,28204,0
2017-03-09,19.806,20.142,19.658,19.895,25547,0
2017-03-10,19.934,20.094,19.518,19.608,29142,0
2017-03-13,19.488,19.994,19.458,19.498,27184,0
2017-03-14,19.478,19.786,19.183,19.578,25930,0
2017-03-15,19.468,19.716,19.37,19.458,16281,0
2017-03-16,19.37,19.654,19.33,19.4,30550,0
2017-03-17,19.3,19.528,19.132,19.23,67428,0
2017-03-20,19.25,19.29,18.756,18.784,41480,0
2017-03-21,19.082,19.082,17.992,18.002,43807,0
2017-03-22,17.942,17.952,17.576,17.714,26000,0
2017-03-23,17.714,18.14,17.714,17.824,25478,0
2017-03-24,17.843,17.962,17.644,17.694,24031,0
2017-03-27,17.536,17.872,17.223,17.644,22234,0
2017-03-28,17.634,17.922,17.629,17.814,19942,0
2017-03-29,17.724,17.872,17.596,17.625,14412,0
2017-03-30,17.576,17.853,17.416,17.615,20093,0
2017-03-31,17.466,17.634,17.388,17.516,37572,0
2017-04-03,17.466,17.526,16.932,16.98,36764,0
2017-04-04,16.872,17.12,16.802,16.95,21487,0
2017-04-05,17.05,17.08,16.772,16.842,48218,0
2017-04-06,16.752,17.348,16.713,17.308,25879,0
2017-04-07,17.16,17.486,17.16,17.358,23591,0
2017-04-10,16.634,17.253,16.634,16.762,25586,0
2017-04-11,16.694,17.397,16.694,17.16,12899,0
2017-04-12,17.14,17.15,16.722,16.762,17429,0
2017-04-13,16.832,16.832,16.504,16.604,17939,0
