Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,24.055,24.203,23.75,24.09,1646292,0
2017-01-04,24.197,24.395,24.119,24.338,1741955,0
2017-01-05,24.254,24.558,24.182,24.416,2702358,0
2017-01-06,24.382,24.467,24.182,24.423,945095,0
2017-01-09,24.438,24.448,24.012,24.247,1478679,0
2017-01-10,24.211,24.26,24.062,24.14,2249203,0
2017-01-11,24.211,24.211,23.984,24.176,1407298,0
2017-01-12,24.147,24.147,23.778,23.95,1746115,0
2017-01-13,23.998,24.163,23.842,23.863,1086782,0
2017-01-17,24.012,24.233,23.881,24.012,2613004,0
2017-01-18,24.241,24.534,24.218,24.452,2696694,0
2017-01-19,24.53,24.565,24.055,24.247,2034293,0
2017-01-20,24.346,24.452,24.083,24.119,1580253,0
2017-01-23,24.14,24.332,24.112,24.147,2580942,0
2017-01-24,24.168,24.303,24.03,24.233,2255968,0
2017-01-25,24.303,24.446,24.069,24.382,2086566,0
2017-01-26,24.467,24.6,24.353,24.587,1271023,0
2017-01-27,24.509,24.768,24.346,24.638,1633862,0
2017-01-30,24.509,24.708,24.438,24.672,1211889,0
2017-01-31,24.7,25.083,24.581,25.075,2056496,0
2017-02-01,24.864,25.339,24.864,25.246,2470031,0
2017-02-02,25.58,26.055,25.147,25.459,2466776,0
2017-02-03,25.814,26.006,25.658,25.928,1627628,0
2017-02-06,25.884,25.976,25.729,25.892,1215972,0
2017-02-07,25.949,26.076,25.77,25.843,1997487,0
2017-02-08,25.763,26.352,25.671,26.338,2689732,0
2017-02-09,26.253,26.461,26.247,26.282,1365907,0
2017-02-10,26.36,26.424,26.19,26.289,1545385,0
2017-02-13,26.352,26.481,26.247,26.473,1966564,0
2017-02-14,26.36,26.544,26.295,26.5,1166393,0
2017-02-15,26.487,26.565,26.382,26.538,558162,0
2017-02-16,26.595,26.65,26.452,26.601,1562588,0
2017-02-17,26.565,26.756,26.46,26.694,1529837,0
2017-02-21,26.665,26.941,26.665,26.927,2794766,0
2017-02-22,26.835,27.032,26.835,27.019,685349,0
2017-02-23,27.019,27.289,26.905,27.26,1039825,0
2017-02-24,27.245,27.374,27.154,27.296,876349,0
2017-02-27,27.281,27.332,26.998,27.019,863314,0
2017-02-28,26.905,27.211,26.673,27.182,1598829,0
2017-03-01,27.161,27.374,27.019,27.047,1668514,0
2017-03-02,26.983,27.047,26.814,26.97,1158115,0
2017-03-03,26.977,27.013,26.707,26.878,666935,0
2017-03-06,26.7,26.857,26.621,26.778,815699,0
2017-03-07,26.728,26.884,26.65,26.764,830885,0
2017-03-08,26.764,26.814,26.523,26.544,637179,0
2017-03-09,26.515,26.658,26.373,26.559,831050,0
2017-03-10,26.679,26.85,26.544,26.673,912084,0
2017-03-13,26.595,26.673,26.403,26.538,917765,0
2017-03-14,26.466,26.494,26.268,26.338,1602531,0
2017-03-15,26.495,26.839,26.495,26.774,1605024,0
2017-03-16,26.845,27.281,26.767,27.275,2214670,0
2017-03-17,27.252,27.593,27.167,27.546,2131623,0
2017-03-20,27.532,27.634,27.416,27.431,1217846,0
2017-03-21,27.551,27.751,27.284,27.323,2214889,0
2017-03-22,27.296,27.724,27.26,27.616,1753124,0
2017-03-23,27.567,27.816,27.437,27.467,1612236,0
2017-03-24,27.58,27.852,27.467,27.524,2061445,0
2017-03-27,27.323,27.759,27.218,27.546,1518853,0
2017-03-28,27.452,27.859,27.452,27.781,1515522,0
2017-03-29,27.745,27.963,27.73,27.894,1880276,0
2017-03-30,27.917,28.195,27.867,27.953,1240007,0
2017-03-31,27.966,28.016,27.766,27.803,1528610,0
2017-04-03,27.824,27.863,27.332,27.567,1995424,0
2017-04-04,27.532,27.816,27.488,27.703,1726457,0
2017-04-05,27.745,27.816,27.385,27.467,1751834,0
2017-04-06,27.481,27.602,27.328,27.367,1554768,0
2017-04-07,27.317,27.517,27.245,27.288,1435836,0
2017-04-10,27.353,27.602,27.332,27.424,971452,0
2017-04-11,27.367,27.574,27.224,27.559,1018104,0
2017-04-12,27.631,27.716,27.437,27.509,796392,0
2017-04-13,27.41,27.538,27.38,27.403,955170,0
2017-04-17,27.467,27.824,27.467,27.824,807882,0
2017-04-18,27.73,28.067,27.681,28.052,861417,0
2017-04-19,28.073,28.217,27.995,28.088,1210452,0
2017-04-20,28.151,28.303,28.081,28.217,1302721,0
2017-04-21,28.281,28.459,28.103,28.345,1665371,0
2017-04-24,28.379,28.631,28.379,28.587,1336371,0
2017-04-25,28.573,29.084,28.509,28.917,1989593,0
2017-04-26,28.88,29.259,28.88,29.201,2469993,0
2017-04-27,29.194,29.738,29.194,29.529,2214617,0
2017-04-28,29.487,29.487,29.167,29.237,1511189,0
2017-05-01,29.288,29.288,29.002,29.053,1067796,0
2017-05-02,29.053,29.207,28.716,28.836,1199167,0
2017-05-03,28.774,29.027,28.623,29.015,1402102,0
2017-05-04,28.95,29.445,28.766,29.445,1508808,0
2017-05-05,29.616,29.83,29.272,29.659,1977116,0
2017-05-08,29.808,29.987,29.123,29.451,1773170,0
2017-05-09,29.48,29.594,28.68,28.815,3082930,0
2017-05-10,28.845,29.08,28.836,28.937,4578653,0
2017-05-11,28.888,28.995,28.61,28.895,1354504,0
2017-05-12,28.88,29.009,28.83,28.836,1113241,0
2017-05-15,28.823,29.277,28.823,29.245,2132800,0
2017-05-16,29.194,29.623,29.116,29.394,2084941,0
2017-05-17,29.137,29.551,29.053,29.424,2621731,0
2017-05-18,29.402,29.701,29.323,29.559,1637988,0
2017-05-19,29.523,29.801,29.366,29.402,2004209,0
2017-05-22,29.437,29.881,29.437,29.786,2105541,0
2017-05-23,29.816,29.966,29.586,29.723,3303933,0
2017-05-24,29.751,29.824,29.687,29.716,2007622,0
2017-05-25,29.759,30.073,29.759,29.881,2379959,0
2017-05-26,29.816,30.337,29.816,30.287,2007907,0
2017-05-30,30.165,30.237,29.987,30.065,2015595,0
2017-05-31,30.058,30.597,30.058,30.423,3704951,0
2017-06-01,30.472,31.051,30.415,30.68,3211623,0
2017-06-02,30.687,31.222,30.687,31.116,2829736,0
2017-06-05,31.087,31.407,30.915,30.915,3205790,0
2017-06-06,30.858,31.036,30.594,30.63,2273003,0
2017-06-07,30.893,30.901,30.594,30.665,2302267,0
2017-06-08,30.644,30.751,30.43,30.572,979922,0
2017-06-09,30.594,30.729,30.387,30.48,783589,0
2017-06-12,30.38,30.529,30.223,30.423,1330924,0
2017-06-13,30.408,30.601,30.322,30.587,1312402,0
2017-06-14,30.601,30.874,30.515,30.81,1274691,0
2017-06-15,30.623,31.104,30.565,30.939,874372,0
2017-06-16,30.946,31.255,30.867,31.241,1613307,0
2017-06-19,31.434,31.614,31.334,31.599,1212236,0
2017-06-20,31.521,31.65,31.427,31.485,946407,0
2017-06-21,31.585,31.84,31.485,31.521,785630,0
2017-06-22,31.506,31.851,31.506,31.707,916711,0
2017-06-23,31.75,32.037,31.729,32.016,2487413,0
2017-06-26,32.023,32.403,31.915,32.081,2040993,0
2017-06-27,31.908,32.145,31.757,31.973,2127090,0
2017-06-28,32.109,32.325,32.001,32.138,1477653,0
2017-06-29,32.131,32.174,31.851,32.059,1031046,0
2017-06-30,32.281,32.447,32.059,32.196,1543160,0
2017-07-03,32.289,32.318,31.93,31.965,1034187,0
2017-07-05,31.944,32.131,31.843,32.094,1727490,0
2017-07-06,31.937,31.994,31.7,31.814,958761,0
2017-07-07,31.836,32.152,31.822,32.023,1040534,0
2017-07-10,31.965,32.087,31.721,32.074,1884796,0
2017-07-11,32.081,32.318,31.98,32.009,1634411,0
2017-07-12,32.188,32.325,31.98,32.152,1432657,0
2017-07-13,32.26,32.367,32.045,32.354,1033168,0
2017-07-14,32.389,32.928,32.346,32.705,1246707,0
2017-07-17,32.705,33.036,32.647,32.892,1123795,0
2017-07-18,32.842,32.949,32.64,32.907,749701,0
2017-07-19,32.92,33.143,32.824,33.093,1146913,0
2017-07-20,33.358,33.789,32.885,32.907,1494869,0
2017-07-21,32.964,34.192,32.899,34.163,1885890,0
2017-07-24,34.163,34.264,33.725,33.876,2030164,0
2017-07-25,33.897,33.948,33.582,33.761,2851375,0
2017-07-26,33.819,34.084,33.746,34.055,1283645,0
2017-07-27,34.041,34.314,33.941,34.127,1323539,0
2017-07-28,34.127,34.77,34.127,34.73,1650276,0
2017-07-31,34.766,35.091,34.73,35.091,1398889,0
2017-08-01,35.24,35.457,34.551,34.644,1310560,0
2017-08-02,34.616,34.788,34.364,34.687,1411341,0
2017-08-03,34.687,34.824,34.561,34.644,1015456,0
2017-08-04,34.603,34.726,34.464,34.708,895040,0
2017-08-07,34.717,34.764,34.616,34.708,800918,0
2017-08-08,34.708,35.068,34.705,34.946,1833309,0
2017-08-09,35.039,35.053,34.601,34.616,1690588,0
2017-08-10,34.579,34.601,33.948,34.026,1816488,0
2017-08-11,34.12,34.12,33.671,33.797,1427280,0
2017-08-14,33.969,34.127,33.782,33.976,1860205,0
2017-08-15,33.789,34.335,33.789,34.292,1460791,0
2017-08-16,34.328,34.809,34.185,34.773,989941,0
2017-08-17,34.66,34.752,34.127,34.17,981925,0
2017-08-18,34.192,34.206,33.876,34.005,917754,0
2017-08-21,33.985,34.142,33.869,34.041,890799,0
2017-08-22,34.084,34.386,33.991,34.364,685089,0
2017-08-23,34.285,34.479,34.135,34.4,662869,0
2017-08-24,34.479,34.651,34.257,34.314,710538,0
2017-08-25,34.335,34.701,34.335,34.508,753655,0
2017-08-28,34.407,34.494,34.019,34.07,663689,0
2017-08-29,34.048,34.177,33.711,34.084,881528,0
2017-08-30,34.055,34.314,33.991,34.213,494606,0
2017-08-31,34.271,34.651,34.242,34.644,1707148,0
2017-09-01,34.701,34.806,34.508,34.558,671259,0
2017-09-05,34.436,34.464,33.255,33.33,1187326,0
2017-09-06,33.373,33.42,32.824,32.871,1670178,0
2017-09-07,32.885,32.985,32.497,32.763,1124352,0
2017-09-08,32.784,33.84,32.59,33.775,1096101,0
2017-09-11,33.933,34.508,33.933,34.314,1134426,0
2017-09-12,34.372,34.529,34.098,34.522,758949,0
2017-09-13,34.486,34.486,33.933,34.351,827781,0
2017-09-14,34.328,34.455,34.014,34.133,1150138,0
2017-09-15,34.104,34.653,33.945,34.647,1798193,0
2017-09-18,34.647,35.057,34.573,34.739,1209140,0
2017-09-19,34.689,35.109,34.534,34.963,1375360,0
2017-09-20,35.028,35.252,34.804,34.869,1131337,0
2017-09-21,34.747,34.913,34.155,34.212,1375698,0
2017-09-22,34.198,34.422,34.097,34.407,2701631,0
2017-09-25,34.378,34.481,34.039,34.076,1199541,0
2017-09-26,34.076,34.256,33.967,34.025,1317941,0
2017-09-27,34.039,34.307,33.714,33.889,829637,0
2017-09-28,33.823,34.011,33.729,33.96,1270444,0
2017-09-29,33.954,34.407,33.954,34.263,2049368,0
2017-10-02,35.02,35.02,33.99,34.4,2396013,0
2017-10-03,34.43,35.05,34.27,34.87,3413251,0
2017-10-04,35.04,35.2,34.37,34.41,2038719,0
2017-10-05,34.36,34.635,34.16,34.6,1922030,0
2017-10-06,34.6,34.63,34.11,34.4,2155497,0
2017-10-09,34.43,34.51,34.12,34.17,1901366,0
2017-10-10,34.27,34.65,34.18,34.44,3810481,0
2017-10-11,34.58,34.58,33.91,34.2,2565509,0
2017-10-12,34.16,34.3,34.08,34.15,1618037,0
2017-10-13,34.19,34.23,34.05,34.07,1291177,0
2017-10-16,34,34.63,34,34.61,1804938,0
2017-10-17,34.4,34.59,34.37,34.4,1499595,0
2017-10-18,34.59,35.1,34.52,35.02,1592297,0
2017-10-19,34.84,35.69,34.795,35.59,2950285,0
2017-10-20,35.7,35.975,35.67,35.7,1992237,0
2017-10-23,35.64,35.7725,35.43,35.46,1799678,0
2017-10-24,35.48,35.51,35.38,35.4,1917577,0
2017-10-25,35.33,35.4,35.02,35.35,1209751,0
2017-10-26,35.43,36.565,35.09,36.44,3606805,0
2017-10-27,36.46,37.015,36.25,36.84,1565483,0
2017-10-30,36.69,37.25,36.6183,37.15,1854567,0
2017-10-31,37.22,37.55,37.17,37.42,1181992,0
2017-11-01,37.62,38.04,37.59,37.78,1308856,0
2017-11-02,37.95,38.07,37.29,37.74,1614238,0
2017-11-03,37.77,38.16,37.67,37.98,1542698,0
2017-11-06,37.8,38.48,37.8,38.18,1066483,0
2017-11-07,38.21,38.549,37.65,37.82,1444629,0
2017-11-08,37.89,37.89,37.56,37.65,1035364,0
2017-11-09,37.71,38.76,37.6,38.76,3131730,0
2017-11-10,38.61,38.68,38.36,38.55,1112581,0
