Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,39.62,39.958,39.62,39.958,1048,0
2017-01-05,42.335,42.465,41.321,41.321,1199,0
2017-01-06,40.525,42.243,40.525,42.243,1130,0
2017-01-09,41.132,41.132,40.884,41.092,517,0
2017-01-10,40.575,40.575,38.795,39.292,4406,0
2017-01-11,39.352,39.352,39.352,39.352,336,0
2017-01-13,38.974,39.68,38.974,39.68,609,0
2017-01-17,38.606,38.606,38.576,38.576,548,0
2017-01-18,38.586,39.362,38.586,39.362,668,0
2017-01-19,38.357,38.357,37.592,38.009,1077,0
2017-01-23,37.184,37.184,36.199,36.61,1324,0
2017-01-24,36.846,38.387,36.846,37.592,3015,0
2017-01-25,37.82,37.82,37.82,37.82,1722,0
2017-01-31,39.282,39.282,38.487,38.785,1410,0
2017-02-01,38.487,38.536,38.487,38.536,537,0
2017-02-02,38.984,38.984,38.984,38.984,101,0
2017-02-07,39.364,39.364,39.364,39.364,302,0
2017-02-10,39.531,39.63,39.531,39.63,503,0
2017-02-14,39.153,39.153,39.103,39.103,1006,0
2017-02-16,41.689,41.689,41.689,41.689,362,0
2017-02-17,42.465,42.465,41.49,41.49,454,0
2017-02-22,41.868,42.266,41.495,41.722,2673,0
2017-02-23,41.868,42.365,41.868,42.365,402,0
2017-02-27,41.42,42.253,41.42,42.253,302,0
2017-02-28,40.306,40.306,39.383,39.571,988,0
2017-03-03,40.774,40.774,40.287,40.287,604,0
2017-03-06,40.068,40.903,40.068,40.903,815,0
2017-03-07,40.774,40.774,40.774,40.774,1588,0
2017-03-09,41.579,41.579,41.579,41.579,209,0
2017-03-13,38.785,38.785,38.785,38.785,101,0
2017-03-20,41.697,41.697,41.697,41.697,279,0
2017-03-29,39.105,39.105,39.105,39.105,106,0
2017-04-04,39.103,39.103,39.103,39.103,245,0
2017-04-05,38.208,38.208,38.208,38.208,302,0
2017-04-06,39.511,39.511,39.511,39.511,295,0
2017-04-10,39.978,40.774,39.978,40.774,372,0
2017-04-11,40.078,40.376,40.078,40.157,1553,0
2017-04-17,41.54,41.54,41.54,41.54,127,0
2017-04-18,39.68,39.68,39.332,39.419,513,0
2017-04-19,38.188,39.183,38.188,39.183,712,0
2017-04-25,41.569,41.569,39.581,39.581,1352,0
2017-04-26,39.332,39.332,39.332,39.332,234,0
2017-04-27,38.666,38.666,38.666,38.666,257,0
2017-04-28,38.288,38.288,38.288,38.288,1102,0
2017-05-03,38.357,38.367,38.347,38.347,405,0
2017-05-04,38.785,38.785,38.785,38.785,1220,0
2017-05-08,39.292,41.768,39.292,41.768,756,0
2017-05-09,41.261,41.261,40.674,40.794,1119,0
2017-05-10,40.575,41.767,40.575,41.629,2390,0
2017-05-12,42.823,42.823,42.081,42.081,352,0
2017-05-15,41.967,41.967,41.967,41.967,409,0
2017-05-16,43.061,43.956,43.061,43.956,1311,0
2017-05-17,42.663,42.663,41.868,41.868,651,0
2017-05-18,40.873,41.023,40.873,41.023,544,0
2017-05-19,39.958,39.958,39.958,39.958,125,0
2017-05-22,40.963,40.963,40.963,40.963,205,0
2017-05-23,42.653,42.663,42.447,42.455,1194,0
2017-05-24,41.47,41.47,40.923,40.923,824,0
2017-05-25,41.918,43.36,41.918,42.033,1611,0
2017-05-26,41.172,41.172,41.172,41.172,302,0
2017-05-31,41.47,41.47,41.47,41.47,807,0
2017-06-01,41.47,41.48,41.47,41.47,1574,0
2017-06-02,41.768,41.768,40.973,40.973,516,0
2017-06-05,39.978,39.978,39.978,39.978,110,0
2017-06-06,39.581,39.581,38.487,38.487,540,0
2017-06-09,38.188,38.188,38.188,38.188,904,0
2017-06-13,38.487,38.487,38.337,38.337,1691,0
2017-06-14,40.724,41.868,39.282,39.779,4376,0
2017-06-16,39.68,39.68,38.785,38.884,1215,0
2017-06-19,39.113,40.645,39.113,40.645,298,0
2017-06-20,40.476,40.476,40.476,40.476,199,0
2017-06-21,40.277,40.376,40.177,40.177,808,0
2017-06-29,36.458,36.478,36.1,36.333,10801,0
2017-06-30,36.667,36.667,36.667,36.667,114,0
2017-07-03,37.124,37.91,37.124,37.91,2797,0
2017-07-06,37.78,37.78,37.78,37.78,108,0
2017-07-10,39.695,39.695,39.695,39.695,101,0
2017-07-11,38.974,38.974,38.974,38.974,385,0
2017-07-13,38.288,38.785,38.288,38.785,954,0
2017-07-14,39.68,39.68,38.785,38.785,939,0
2017-07-18,38.387,38.387,38.387,38.387,335,0
2017-07-19,37.79,37.79,37.79,37.79,2011,0
2017-07-26,37.442,37.884,37.442,37.884,505,0
2017-07-27,38.248,38.248,38.248,38.248,127,0
2017-07-31,37.124,37.124,36.796,36.796,260,0
2017-08-01,37.293,37.293,37.293,37.293,195,0
2017-08-02,36.299,36.299,35.533,35.533,3097,0
2017-08-03,36.577,36.597,36.577,36.597,449,0
2017-08-07,35.553,36.796,35.553,35.669,2084,0
2017-08-08,36.746,36.746,35.324,35.324,291,0
2017-08-14,36,36.742,35.801,36.742,1163,0
2017-08-15,35.561,36.456,35.561,36.095,807,0
2017-08-16,36.468,36.761,36.448,36.552,853,0
2017-08-22,37.246,37.246,37.246,37.246,202,0
2017-08-23,36.895,36.895,36.895,36.895,110,0
2017-08-24,37.393,37.393,37.393,37.393,101,0
2017-08-30,38.119,38.119,38.119,38.119,174,0
2017-08-31,38.288,39.083,38.188,38.188,946,0
2017-09-01,38.188,38.188,38.188,38.188,101,0
2017-09-05,40.277,40.277,40.277,40.277,150,0
2017-09-06,39.382,39.382,39.382,39.382,202,0
2017-09-11,40.326,40.973,40.277,40.277,1576,0
