Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,18.308,18.564,17.896,17.975,1043989,0
2017-01-04,18.122,18.495,18.003,18.447,793577,0
2017-01-05,18.192,18.22,17.562,17.63,1076078,0
2017-01-06,18.083,18.092,17.159,17.905,2164846,0
2017-01-09,17.877,18.132,17.63,18.033,899331,0
2017-01-10,17.886,17.91,17.325,17.513,1639896,0
2017-01-11,17.935,18.259,16.515,16.638,2465156,0
2017-01-12,16.559,16.638,16.185,16.422,1577416,0
2017-01-13,16.55,16.873,16.363,16.373,839677,0
2017-01-17,16.264,16.707,15.969,16.009,901458,0
2017-01-18,16.058,16.422,15.783,16.344,770009,0
2017-01-19,16.344,16.397,15.626,15.871,1556039,0
2017-01-20,15.833,16.128,13.89,15.321,6220104,0
2017-01-23,15.134,15.159,14.496,14.741,2321047,0
2017-01-24,14.711,15.134,14.398,14.879,1957529,0
2017-01-25,14.781,14.958,14.525,14.594,1737948,0
2017-01-26,14.711,14.819,14.102,14.2,1042642,0
2017-01-27,14.181,15.124,13.011,13.867,4080155,0
2017-01-30,14.711,14.958,14.044,14.044,1518719,0
2017-01-31,14.181,14.348,13.769,14.319,934644,0
2017-02-01,14.23,14.319,13.759,13.808,806858,0
2017-02-02,13.759,14.064,13.67,13.857,622868,0
2017-02-03,13.847,13.985,13.719,13.867,887862,0
2017-02-06,13.867,13.92,13.709,13.867,633830,0
2017-02-07,13.955,14.899,13.876,14.368,1547182,0
2017-02-08,14.348,14.839,14.151,14.829,893624,0
2017-02-09,14.889,15.439,14.742,15.164,838999,0
2017-02-10,15.144,15.469,14.416,15.194,811571,0
2017-02-13,15.321,15.33,14.889,15.164,674549,0
2017-02-14,15.144,15.852,15.144,15.734,686335,0
2017-02-15,15.724,16.972,15.665,16.775,1333981,0
2017-02-16,16.903,17.434,16.765,17.287,1227691,0
2017-02-17,17.325,17.394,16.903,17.374,819025,0
2017-02-21,17.542,17.67,17.159,17.434,819096,0
2017-02-22,17.424,17.787,17.188,17.542,597773,0
2017-02-23,17.601,17.601,16.815,16.903,777857,0
2017-02-24,16.923,17.935,16.737,17.464,606739,0
2017-02-27,17.542,18.242,17.513,17.818,667524,0
2017-02-28,17.7,17.7,17.227,17.483,603036,0
2017-03-01,17.73,18.874,17.73,18.361,1483972,0
2017-03-02,18.341,18.548,17.887,18.065,948692,0
2017-03-03,17.808,17.813,15.59,16.073,2572102,0
2017-03-06,16.063,16.162,15.639,15.797,1041604,0
2017-03-07,15.728,15.954,15.047,15.235,972360,0
2017-03-08,15.284,15.284,14.732,14.86,922589,0
2017-03-09,15.097,15.121,14.328,14.466,937106,0
2017-03-10,14.555,15.087,14.299,14.949,690256,0
2017-03-13,14.84,15.009,14.555,14.574,709024,0
2017-03-14,14.574,15.511,14.284,15.097,922694,0
2017-03-15,15.037,15.231,14.545,15.087,861338,0
2017-03-16,15.017,15.876,15.017,15.59,695201,0
2017-03-17,15.59,15.994,14.811,14.989,1995757,0
2017-03-20,14.979,15.017,14.337,14.456,858645,0
2017-03-21,14.515,14.592,13.519,13.549,1086471,0
2017-03-22,13.598,14.367,13.302,13.47,807618,0
2017-03-23,13.45,13.983,13.312,13.559,719809,0
2017-03-24,13.579,13.756,13.352,13.638,538188,0
2017-03-27,13.479,13.766,13.273,13.401,497019,0
2017-03-28,13.372,13.539,12.868,12.938,951369,0
2017-03-29,12.898,13.677,12.789,13.391,752925,0
2017-03-30,13.391,13.598,13.223,13.381,590179,0
2017-03-31,13.342,13.342,12.829,12.918,1053196,0
2017-04-03,12.996,12.996,12.523,12.553,826119,0
2017-04-04,12.523,12.622,12.198,12.562,794047,0
2017-04-05,12.681,13.263,12.248,12.375,1800838,0
2017-04-06,13.746,14.791,13.243,14.092,2763187,0
2017-04-07,14.1,14.53,13.913,14.279,1603948,0
2017-04-10,14.347,15.6,14.347,15.254,1302122,0
2017-04-11,15.037,15.56,14.801,15.403,674183,0
2017-04-12,15.403,15.511,14.782,14.85,705297,0
2017-04-13,14.811,15.432,14.633,14.82,696241,0
2017-04-17,14.86,15.097,14.633,14.929,592106,0
2017-04-18,14.919,14.984,14.574,14.84,371917,0
2017-04-19,14.919,15.097,13.43,13.479,1781581,0
2017-04-20,13.529,13.943,12.918,13.213,1323644,0
2017-04-21,13.312,13.312,12.849,13.095,788047,0
2017-04-24,13.273,13.766,13.006,13.638,831375,0
2017-04-25,13.677,14.318,13.677,14.269,902784,0
2017-04-26,14.17,15.017,14.17,14.84,749656,0
2017-04-27,14.86,15.035,14.397,14.643,475302,0
2017-04-28,14.673,15.432,14.328,14.515,1153274,0
2017-05-01,14.456,15.206,14.19,15.009,913612,0
