Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.15,1.24,1.15,1.2,15224,0
2017-01-04,1.21,1.29,1.2,1.2111,10631,0
2017-01-05,1.24,1.26,1.17,1.2,27396,0
2017-01-06,1.19,1.24,1.1701,1.19,17269,0
2017-01-09,1.22,1.22,1.13,1.16,76346,0
2017-01-10,1.16,1.16,1.13,1.15,23490,0
2017-01-11,1.16,1.19,1.15,1.16,154397,0
2017-01-12,1.15,1.17,1.13,1.13,37850,0
2017-01-13,1.1512,1.1512,1.13,1.13,30103,0
2017-01-17,1.13,1.31,1.13,1.23,237843,0
2017-01-18,1.25,1.2802,1.23,1.2599,20949,0
2017-01-19,1.26,1.28,1.2,1.21,13472,0
2017-01-20,1.2,1.25,1.2,1.23,15965,0
2017-01-23,1.22,1.2299,1.17,1.2042,51354,0
2017-01-24,1.17,1.22,1.17,1.2199,30172,0
2017-01-25,1.19,1.3,1.17,1.25,116718,0
2017-01-26,1.24,1.28,1.2146,1.24,21230,0
2017-01-27,1.2101,1.28,1.21,1.22,19031,0
2017-01-30,1.25,1.28,1.21,1.28,57463,0
2017-01-31,1.26,1.29,1.23,1.28,17774,0
2017-02-01,1.29,1.29,1.2463,1.2499,19477,0
2017-02-02,1.23,1.3,1.22,1.27,10630,0
2017-02-03,1.28,1.3,1.24,1.28,39873,0
2017-02-06,1.3,1.3,1.27,1.2799,14652,0
2017-02-07,1.29,1.3,1.26,1.2645,34110,0
2017-02-08,1.27,1.27,1.22,1.23,56740,0
2017-02-09,1.23,1.3,1.23,1.28,16954,0
2017-02-10,1.28,1.28,1.22,1.26,22216,0
2017-02-13,1.24,1.26,1.21,1.24,28117,0
2017-02-14,1.2401,1.25,1.21,1.22,46603,0
2017-02-15,1.23,1.26,1.21,1.23,44098,0
2017-02-16,1.25,1.25,1.21,1.21,19250,0
2017-02-17,1.2,1.236,1.19,1.23,27922,0
2017-02-21,1.22,1.22,1.16,1.17,54531,0
2017-02-22,1.16,1.2152,1.13,1.16,87317,0
2017-02-23,1.14,1.2,1.14,1.18,20045,0
2017-02-24,1.17,1.1801,1.13,1.17,32932,0
2017-02-27,1.17,1.19,1.13,1.16,41246,0
2017-02-28,1.19,1.19,1.02,1.11,59475,0
2017-03-01,1.11,1.11,1.085,1.1,22714,0
2017-03-02,1.08,1.11,1.0666,1.07,12845,0
2017-03-03,1.06,1.1,1.06,1.09,14244,0
2017-03-06,1.1,1.15,1.07,1.15,41486,0
2017-03-07,1.11,1.1793,1.084,1.14,78866,0
2017-03-08,1.13,1.17,1.11,1.11,13983,0
2017-03-09,1.14,1.19,1.116,1.17,48176,0
2017-03-10,1.17,1.18,1.12,1.15,24226,0
2017-03-13,1.17,1.24,1.14,1.17,104414,0
2017-03-14,1.2,1.22,1.15,1.2,48337,0
2017-03-15,1.15,1.19,1.11,1.14,139816,0
2017-03-16,1.13,1.19,1.13,1.16,40043,0
2017-03-17,1.14,1.18,1.14,1.15,44428,0
2017-03-20,1.15,1.15,1.12,1.12,26941,0
2017-03-21,1.13,1.13,1.01,1.03,61387,0
2017-03-22,1.05,1.09,1.02,1.02,54900,0
2017-03-23,1.02,1.08,1.02,1.0516,8995,0
2017-03-24,1.04,1.1,1.02,1.079,14038,0
2017-03-27,1.07,1.08,1.0403,1.0599,8693,0
2017-03-28,1.06,1.08,1.04,1.04,19048,0
2017-03-29,1.04,1.08,1.04,1.04,28223,0
2017-03-30,1.04,1.0549,1.01,1.05,14205,0
2017-03-31,1.03,1.05,1.01,1.02,25333,0
2017-04-03,1,1.04,0.97,0.97,65490,0
2017-04-04,0.97,0.99,0.95,0.95,257136,0
2017-04-05,0.98,0.98,0.95,0.95,132922,0
2017-04-06,0.95,0.99,0.95,0.98,31218,0
2017-04-07,1,1,0.94,0.9499,38084,0
2017-04-10,0.95,0.99,0.9125,0.93,30662,0
2017-04-11,0.94,0.98,0.92,0.9201,38494,0
2017-04-12,0.94,0.98,0.94,0.97,19665,0
2017-04-13,0.99,0.99,0.95,0.9889,18621,0
2017-04-17,0.95,0.99,0.921,0.96,21203,0
2017-04-18,0.94,0.96,0.921,0.921,8053,0
2017-04-19,0.94,0.94,0.9083,0.92,47277,0
2017-04-20,0.96,0.96,0.88,0.9,60893,0
2017-04-21,0.8905,0.9268,0.88,0.91,37753,0
2017-04-24,0.89,0.95,0.8801,0.91,55409,0
2017-04-25,0.95,0.95,0.9214,0.948,43227,0
2017-04-26,0.95,0.95,0.884,0.892,33248,0
2017-04-27,0.8921,0.95,0.8921,0.8924,12904,0
2017-04-28,0.9061,0.93,0.852,0.87,56086,0
2017-05-01,0.865,0.94,0.85,0.8506,68722,0
2017-05-02,0.8268,0.92,0.8268,0.84,45358,0
2017-05-03,0.82,0.88,0.7601,0.8021,103298,0
2017-05-04,0.7806,0.91,0.7751,0.82,60377,0
2017-05-05,0.8152,0.828,0.8,0.8,37132,0
2017-05-08,0.8,0.82,0.7601,0.7702,85270,0
2017-05-09,0.7601,0.773,0.7601,0.7601,42279,0
2017-05-10,0.76,0.85,0.75,0.76,79652,0
2017-05-11,0.9,0.9,0.753,0.85,109870,0
2017-05-12,0.771,0.85,0.771,0.8052,98635,0
2017-05-15,0.83,0.89,0.8,0.88,97082,0
2017-05-16,0.89,0.91,0.8,0.825,114563,0
2017-05-17,0.802,0.89,0.8,0.82,50967,0
2017-05-18,0.81,0.83,0.8,0.828,48278,0
2017-05-19,0.83,0.89,0.83,0.88,11331,0
2017-05-22,0.87,0.89,0.85,0.87,12838,0
2017-05-23,0.87,0.9,0.87,0.89,30357,0
2017-05-24,0.9186,0.92,0.87,0.918,9502,0
2017-05-25,0.918,0.918,0.87,0.88,19947,0
2017-05-26,0.88,0.9,0.87,0.9,45637,0
2017-05-30,0.88,0.9,0.875,0.8958,9416,0
2017-05-31,0.91,0.91,0.875,0.88,19882,0
2017-06-01,0.88,0.9,0.875,0.875,26138,0
2017-06-02,0.89,0.89,0.871,0.871,11976,0
2017-06-05,0.871,0.89,0.825,0.83,41092,0
2017-06-06,0.85,0.88,0.825,0.855,23646,0
2017-06-07,0.84,0.88,0.84,0.855,28260,0
2017-06-08,0.86,0.88,0.855,0.855,25210,0
2017-06-09,0.855,0.88,0.85,0.855,13074,0
2017-06-12,0.86,0.88,0.849,0.87,5509,0
2017-06-13,0.855,0.88,0.8531,0.86,7374,0
2017-06-14,0.865,0.88,0.855,0.87,30877,0
2017-06-15,0.856,0.88,0.849,0.86,11655,0
2017-06-16,0.849,0.918,0.849,0.918,16359,0
2017-06-19,0.9,0.9,0.86,0.88,3506,0
2017-06-20,0.859,0.87,0.845,0.845,7948,0
2017-06-21,0.86,0.86,0.841,0.86,3425,0
2017-06-22,0.87,0.87,0.85,0.87,11712,0
2017-06-23,0.87,0.87,0.822,0.822,57561,0
2017-06-26,0.822,0.84,0.822,0.8282,4432,0
2017-06-27,0.84,0.84,0.821,0.8305,8831,0
2017-06-28,0.833,0.84,0.821,0.827,7648,0
2017-06-29,0.8333,0.86,0.82,0.86,24182,0
2017-06-30,0.8291,0.84,0.7901,0.7901,219703,0
2017-07-03,0.84,0.84,0.82,0.82,6755,0
2017-07-05,0.8319,0.87,0.75,0.8,76854,0
2017-07-06,0.79,0.81,0.7716,0.8015,35098,0
2017-07-07,0.7851,0.832,0.785,0.7911,93104,0
2017-07-10,0.8299,0.84,0.79,0.84,24033,0
2017-07-11,0.85,0.87,0.79,0.807,55396,0
2017-07-12,0.8344,0.86,0.8214,0.825,41917,0
2017-07-13,0.825,0.84,0.82,0.84,55125,0
2017-07-14,0.825,0.87,0.825,0.85,37268,0
2017-07-17,0.8616,0.87,0.8362,0.87,5835,0
2017-07-18,0.85,0.88,0.85,0.8554,7264,0
2017-07-19,0.88,0.88,0.86,0.86,37368,0
2017-07-20,0.8721,0.88,0.86,0.88,19035,0
2017-07-21,0.88,0.88,0.86,0.87,10998,0
2017-07-24,0.88,0.88,0.86,0.86,4120,0
2017-07-25,0.8749,0.9,0.86,0.875,30034,0
2017-07-26,0.86,0.88,0.849,0.86,10239,0
2017-07-27,0.86,0.88,0.86,0.865,13425,0
2017-07-28,0.86,0.8699,0.8301,0.84,42084,0
2017-07-31,0.86,0.88,0.84,0.86,43077,0
2017-08-01,0.8628,0.88,0.8301,0.84,39055,0
2017-08-02,0.83,0.87,0.83,0.85,3928,0
2017-08-03,0.831,0.87,0.831,0.86,21777,0
2017-08-04,0.85,0.88,0.8,0.88,45403,0
2017-08-07,0.87,0.88,0.81,0.8291,13760,0
2017-08-08,0.83,0.87,0.822,0.87,8768,0
2017-08-09,0.82,0.88,0.8051,0.8051,7932,0
2017-08-10,0.805,0.87,0.805,0.8203,32298,0
2017-08-11,0.87,0.87,0.82,0.85,11041,0
2017-08-14,0.8417,0.87,0.8051,0.87,16614,0
2017-08-15,0.8328,0.88,0.82,0.87,24568,0
2017-08-16,0.8663,0.874,0.84,0.855,19353,0
2017-08-17,0.8597,0.86,0.82,0.85,46803,0
2017-08-18,0.87,0.88,0.83,0.88,13009,0
2017-08-21,0.85,0.86,0.84,0.85,17718,0
2017-08-22,0.83,0.8599,0.8201,0.8501,19599,0
2017-08-23,0.8588,0.86,0.84,0.86,6846,0
2017-08-24,0.83,0.86,0.83,0.86,12468,0
2017-08-25,0.86,0.86,0.8301,0.835,29369,0
2017-08-28,0.8599,0.86,0.833,0.86,13317,0
