Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,45.386,48.055,45.252,47.789,2560358,0
2017-01-04,48.055,48.991,47.789,48.991,1827442,0
2017-01-05,49.258,50.192,48.858,49.791,2817503,0
2017-01-06,50.058,50.993,48.724,50.058,4123724,0
2017-01-09,50.192,50.594,48.322,49.125,2366312,0
2017-01-10,49.258,49.524,48.189,48.456,1369716,0
2017-01-11,48.456,49.391,47.389,48.189,1070665,0
2017-01-12,48.189,48.255,46.721,47.122,1236652,0
2017-01-13,47.122,47.656,46.988,47.389,567231,0
2017-01-17,47.389,47.656,46.855,47.389,708263,0
2017-01-18,47.656,47.922,46.855,47.255,663555,0
2017-01-19,46.988,47.255,45.519,46.453,1377638,0
2017-01-20,46.588,47.122,45.519,46.588,1356387,0
2017-01-23,46.588,47.389,46.053,47.255,769212,0
2017-01-24,47.656,47.789,46.187,46.32,1116407,0
2017-01-25,46.721,46.988,45.386,45.92,1323327,0
2017-01-26,45.653,46.721,45.653,46.721,844279,0
2017-01-27,46.855,47.255,46.32,47.122,760713,0
2017-01-30,46.855,47.122,45.92,46.588,1321546,0
2017-01-31,46.32,46.855,45.92,46.588,1158707,0
2017-02-01,45.92,46.721,44.985,45.519,1638384,0
2017-02-02,45.519,45.653,44.451,44.985,1139209,0
2017-02-03,44.985,45.92,44.985,45.653,1133812,0
2017-02-06,45.92,46.453,43.917,44.451,1909396,0
2017-02-07,44.451,44.719,43.516,43.65,1526754,0
2017-02-08,43.783,44.05,43.384,44.05,1306156,0
2017-02-09,44.184,44.586,43.516,43.783,1600700,0
2017-02-10,43.783,44.317,43.65,44.184,1674579,0
2017-02-13,44.184,44.451,43.516,43.717,1519374,0
2017-02-14,43.783,44.719,43.65,44.586,1052381,0
2017-02-15,44.586,44.719,43.65,44.05,1210437,0
2017-02-16,44.586,45.252,43.516,43.917,1742384,0
2017-02-17,43.917,44.05,43.118,43.917,1934205,0
2017-02-21,44.05,44.451,43.25,44.317,1970205,0
2017-02-22,44.451,45.252,44.184,44.719,1326230,0
2017-02-23,45.119,45.386,44.451,45.252,1268219,0
2017-02-24,45.386,45.653,44.985,44.985,1257707,0
