Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,62.374,62.489,61.044,61.218,218557,0
2017-01-04,61.189,61.801,60.996,61.43,252677,0
2017-01-05,61.469,62.335,61.275,61.873,99928,0
2017-01-06,62.171,62.489,61.873,62.027,76578,0
2017-01-09,62.402,62.402,61.208,61.449,141361,0
2017-01-10,61.41,61.651,61.015,61.073,62732,0
2017-01-11,60.852,60.987,60.582,60.591,57960,0
2017-01-12,60.495,60.842,60.303,60.716,61409,0
2017-01-13,60.784,61.352,60.784,61.044,62216,0
2017-01-17,61.092,61.208,60.775,61.092,82664,0
2017-01-18,61.382,62.857,60.911,61.748,109494,0
2017-01-19,61.998,62.461,61.237,61.613,88772,0
2017-01-20,61.497,61.757,61.315,61.623,79028,0
2017-01-23,61.738,61.892,61.121,61.352,75972,0
2017-01-24,61.43,61.854,61.295,61.526,107457,0
2017-01-25,61.671,62.153,60.919,61.189,96950,0
2017-01-26,61.478,62.112,61.285,61.641,117033,0
2017-01-27,61.844,61.844,60.716,60.793,100942,0
2017-01-30,60.707,61.034,60.032,60.803,193478,0
2017-01-31,60.495,60.698,60.149,60.254,100604,0
2017-02-01,60.485,61.102,60.235,60.572,79445,0
2017-02-02,60.196,60.698,59.963,60.331,65721,0
2017-02-03,60.475,60.775,59.744,59.927,169493,0
2017-02-06,59.753,61.015,59.753,60.303,151415,0
2017-02-07,60.418,61.179,59.966,60.823,136961,0
2017-02-08,61.564,61.7,60.871,61.546,138102,0
2017-02-09,61.95,61.95,60.948,61.044,90557,0
2017-02-10,61.4,61.478,60.485,60.813,141376,0
2017-02-13,61.42,61.854,60.878,61.613,152549,0
2017-02-14,61.574,62.114,61.43,61.623,151697,0
2017-02-15,62.104,63.559,61.7,63.55,228023,0
2017-02-16,63.597,64.272,63.406,64.166,116093,0
2017-02-17,63.897,64.262,63.356,64.079,93951,0
2017-02-21,64.58,65.207,64.089,64.947,227011,0
2017-02-22,64.793,65.198,64.707,65.043,116339,0
2017-02-23,65.207,66.18,64.99,65.804,277529,0
2017-02-24,66.007,66.142,65.554,65.901,349802,0
2017-02-27,66.199,67.269,65.901,66.142,279469,0
2017-02-28,66.316,66.768,65.757,65.988,353731,0
2017-03-01,66.529,66.812,65.407,65.621,289264,0
2017-03-02,65.621,66.031,65.241,65.719,133217,0
2017-03-03,66.119,66.295,65.377,65.661,81643,0
2017-03-06,65.797,66.021,65.231,65.827,91236,0
2017-03-07,65.455,66.119,65.419,65.699,165814,0
2017-03-08,65.719,66.031,65.437,65.865,61083,0
2017-03-09,65.865,66.334,65.583,66.012,80807,0
2017-03-10,66.353,66.715,66.285,66.471,121538,0
2017-03-13,66.724,67.066,66.255,66.519,130737,0
2017-03-14,66.461,66.578,65.963,66.139,76146,0
2017-03-15,66.529,66.675,65.827,66.637,213797,0
2017-03-16,66.978,67.124,66.109,66.315,221467,0
2017-03-17,66.031,66.461,65.865,66.441,62624,0
2017-03-20,66.656,66.666,66.16,66.481,66609,0
2017-03-21,66.549,66.646,66.178,66.481,94524,0
2017-03-22,66.237,66.431,65.697,66.275,89349,0
2017-03-23,66.237,66.451,65.895,66.295,97144,0
2017-03-24,66.695,66.71,66.247,66.451,62931,0
2017-03-27,65.69,66.395,65.455,66.363,81961,0
2017-03-28,66.373,66.373,65.729,66.09,65855,0
2017-03-29,65.768,66.168,65.72,66.09,51598,0
2017-03-30,66.178,66.353,65.865,66.353,52661,0
2017-03-31,66.841,66.841,66.099,66.168,199177,0
2017-04-03,66.168,66.871,66.081,66.802,91382,0
2017-04-04,66.568,67.173,66.49,66.978,81510,0
2017-04-05,67.241,67.29,66.195,66.393,80983,0
2017-04-06,67.066,67.661,66.822,67.183,80953,0
2017-04-07,67.173,67.173,66.666,67.017,65126,0
2017-04-10,67.378,67.378,66.753,66.988,116399,0
2017-04-11,66.9,66.978,66.031,66.773,100151,0
2017-04-12,66.549,66.812,66.353,66.597,66083,0
2017-04-13,66.383,67.212,66.373,66.695,61538,0
2017-04-17,67.134,67.612,66.49,66.831,144676,0
2017-04-18,66.753,67.563,66.753,67.339,68382,0
2017-04-19,67.524,67.616,67.082,67.407,154955,0
2017-04-20,67.466,67.739,66.978,67.534,77993,0
2017-04-21,67.866,69.495,67.764,69.261,198788,0
2017-04-24,69.759,69.876,68.768,68.978,111970,0
2017-04-25,69.056,69.697,68.686,69.174,141151,0
2017-04-26,68.793,70.14,68.617,69.876,84363,0
2017-04-27,69.73,70.173,69.31,69.74,81124,0
2017-04-28,69.964,70.188,69.027,69.934,104568,0
2017-05-01,70.012,70.803,69.865,70.54,92179,0
2017-05-02,70.696,70.794,70.286,70.472,103580,0
2017-05-03,68.217,70.256,68.061,69.408,213717,0
2017-05-04,69.593,69.753,68.061,68.178,170854,0
2017-05-05,68.559,69.027,68.344,68.608,212716,0
2017-05-08,68.988,68.988,67.876,68.305,196574,0
2017-05-09,68.334,69.008,68.315,68.764,247150,0
2017-05-10,68.783,69.12,68.364,68.774,107947,0
2017-05-11,68.608,68.705,67.848,67.895,188898,0
2017-05-12,67.69,68.282,67.524,68.022,211736,0
2017-05-15,68.022,69.505,68.022,69.408,137324,0
2017-05-16,69.73,69.73,68.012,68.451,163791,0
2017-05-17,68.422,68.471,67.778,67.954,71658,0
2017-05-18,67.817,68.485,67.612,68.003,286885,0
2017-05-19,68.422,69.027,68.389,68.832,64639,0
2017-05-22,69.154,69.476,68.598,68.608,81895,0
2017-05-23,68.646,68.991,68.394,68.93,43963,0
2017-05-24,69.174,69.603,68.992,69.574,134127,0
2017-05-25,69.71,70.128,69.34,69.466,78480,0
2017-05-26,69.378,69.574,68.393,69.046,111432,0
2017-05-30,69.046,69.281,68.627,68.89,88499,0
2017-05-31,68.939,69.34,68.676,69.3,126933,0
2017-06-01,69.69,70.273,69.69,70.273,102821,0
2017-06-02,70.125,70.402,69.789,70.165,138446,0
2017-06-05,69.928,70.066,69.503,69.621,126810,0
2017-06-06,69.621,70.052,69.384,69.631,57062,0
2017-06-07,69.631,70.076,69.631,69.868,101455,0
2017-06-08,70.007,70.095,69.399,69.602,60516,0
2017-06-09,69.542,69.918,69.236,69.236,84876,0
2017-06-12,69.434,70.056,69.187,69.779,66594,0
2017-06-13,69.868,70.372,69.503,70.105,111186,0
2017-06-14,69.868,71.587,69.868,71.063,117044,0
2017-06-15,70.629,70.866,69.638,70.49,151722,0
2017-06-16,70.816,70.816,69.631,69.809,104786,0
2017-06-19,70.816,71.478,70.194,70.619,153938,0
2017-06-20,70.579,70.984,69.73,70.5,80885,0
2017-06-21,70.54,70.767,70.125,70.688,122241,0
2017-06-22,70.777,70.777,69.849,69.908,182883,0
2017-06-23,69.72,70.125,69.631,69.928,95641,0
2017-06-26,69.928,69.952,69.325,69.671,121932,0
2017-06-27,69.532,69.837,69.374,69.523,142968,0
2017-06-28,69.641,70.174,69.206,69.977,131042,0
2017-06-29,69.918,70.663,69.631,70.609,113512,0
2017-06-30,70.816,71.231,70.321,71.211,100447,0
2017-07-03,71.32,71.32,70.481,70.915,91769,0
2017-07-05,70.905,70.905,69.197,70.125,177977,0
2017-07-06,69.266,70.313,68.437,69.858,272146,0
2017-07-07,69.73,69.73,68.693,69.039,199527,0
2017-07-10,68.762,69.236,68.276,68.466,290225,0
2017-07-11,68.1,69.236,67.419,68.969,470942,0
2017-07-12,68.96,69.681,68.732,69.681,131249,0
2017-07-13,69.878,70.965,69.088,70.767,264206,0
2017-07-14,70.392,70.649,69.325,69.997,220267,0
2017-07-17,70.234,70.244,69.631,70.145,168550,0
2017-07-18,69.888,69.888,68.89,69.335,348293,0
2017-07-19,69.147,69.335,68.574,68.94,464713,0
2017-07-20,69.019,69.101,68.11,68.495,101340,0
2017-07-21,68.466,68.648,68.002,68.327,67358,0
2017-07-24,68.634,69.048,68.347,68.644,94442,0
2017-07-25,68.634,68.783,68.179,68.377,78768,0
2017-07-26,68.15,69.384,68.13,68.614,83600,0
2017-07-27,68.92,68.92,67.932,68.13,71416,0
2017-07-28,67.913,68.683,67.913,68.565,43461,0
2017-07-31,68.693,68.893,68.357,68.584,53625,0
2017-08-01,68.693,68.989,67.972,68.229,116728,0
2017-08-02,67.063,67.152,64.713,65.048,1297777,0
2017-08-03,65.187,65.611,63.359,64.446,267332,0
2017-08-04,64.456,65.888,64.199,65.641,130196,0
2017-08-07,65.799,66.214,65.048,65.404,215038,0
2017-08-08,65.266,65.68,64.805,65.127,103311,0
2017-08-09,64.94,64.95,64.317,64.466,156448,0
2017-08-10,64.347,64.638,63.369,63.458,103690,0
2017-08-11,62.994,64.159,62.411,63.587,176208,0
2017-08-14,63.705,64.732,63.557,64.485,81037,0
2017-08-15,64.574,65.118,64.248,65.098,80974,0
2017-08-16,65.118,67.093,64.732,66.935,267145,0
2017-08-17,66.481,66.977,65.295,65.532,85860,0
2017-08-18,65.532,65.873,65.379,65.582,84191,0
2017-08-21,65.552,65.932,65.187,65.443,99657,0
2017-08-22,65.542,65.947,65.493,65.69,119596,0
2017-08-23,65.483,65.552,65.216,65.483,168756,0
2017-08-24,65.68,66.392,65.68,66.273,130925,0
2017-08-25,66.362,67.076,66.362,66.974,75088,0
2017-08-28,67.024,67.429,66.441,67.419,103580,0
2017-08-29,67.162,67.409,66.935,67.004,165414,0
2017-08-30,67.113,67.365,66.747,67.073,53304,0
2017-08-31,67.132,68.742,67.132,68.525,114695,0
2017-09-01,68.07,69,66.65,66.8,165298,0
2017-09-05,66.76,66.8,64.882,65.5,87640,0
2017-09-06,65.58,65.77,65.21,65.35,54168,0
2017-09-07,65.27,65.6157,63.141,63.41,186212,0
2017-09-08,63.31,63.8273,62.62,63.32,167728,0
2017-09-11,63.71,65.38,63.57,64.67,90576,0
