Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.112,19.246,19.093,19.15,193178,0
2017-01-04,19.246,19.388,19.246,19.312,195004,0
2017-01-05,19.15,19.33,19.15,19.246,268727,0
2017-01-06,19.322,19.512,19.322,19.398,234575,0
2017-01-09,19.446,19.483,19.36,19.388,218292,0
2017-01-10,19.388,19.437,19.282,19.282,171638,0
2017-01-11,19.35,19.502,19.311,19.453,177371,0
2017-01-12,19.428,19.53,19.329,19.359,273613,0
2017-01-13,19.388,19.502,19.382,19.453,113230,0
2017-01-17,19.446,19.457,19.291,19.321,199920,0
2017-01-18,19.339,19.398,19.272,19.329,166478,0
2017-01-19,19.321,19.335,19.138,19.178,246886,0
2017-01-20,19.272,19.291,19.158,19.245,209196,0
2017-01-23,19.245,19.259,19.13,19.208,327676,0
2017-01-24,19.263,19.281,19.131,19.272,410671,0
2017-01-25,19.379,19.482,19.321,19.428,218755,0
2017-01-26,19.472,19.521,19.408,19.521,182157,0
2017-01-27,19.502,19.521,19.435,19.482,164943,0
2017-01-30,19.472,19.521,19.291,19.521,145547,0
2017-01-31,19.418,19.482,19.329,19.388,173472,0
2017-02-01,19.453,19.53,19.388,19.453,140712,0
2017-02-02,19.388,19.472,19.325,19.446,181338,0
2017-02-03,19.521,19.629,19.502,19.609,143450,0
2017-02-06,19.628,19.721,19.628,19.703,169154,0
2017-02-07,19.731,19.77,19.619,19.637,165655,0
2017-02-08,19.654,19.673,19.54,19.654,136605,0
2017-02-09,19.693,19.791,19.693,19.741,145236,0
2017-02-10,19.791,19.809,19.703,19.791,207608,0
2017-02-13,19.828,19.885,19.82,19.875,216158,0
2017-02-14,19.875,20.02,19.856,20.003,225650,0
2017-02-15,20.003,20.145,19.993,20.115,255418,0
2017-02-16,20.115,20.155,19.894,20.003,217311,0
2017-02-17,19.914,20.02,19.903,20.02,176266,0
2017-02-21,20.039,20.175,20.029,20.165,275450,0
2017-02-22,20.135,20.222,20.116,20.193,240005,0
2017-02-23,20.278,20.278,20.086,20.145,191150,0
2017-02-24,20.096,20.125,20.03,20.077,143209,0
2017-02-27,20.096,20.135,20.077,20.115,160049,0
2017-02-28,20.067,20.125,20.03,20.096,156276,0
2017-03-01,20.288,20.404,20.145,20.308,210617,0
2017-03-02,20.317,20.351,20.24,20.27,173451,0
2017-03-03,20.25,20.278,20.175,20.232,145163,0
2017-03-06,20.222,20.222,20.106,20.175,150661,0
2017-03-07,20.125,20.175,20.086,20.096,171499,0
2017-03-08,20.096,20.165,19.993,19.993,178318,0
2017-03-09,20.02,20.077,19.856,19.885,206335,0
2017-03-10,20.011,20.115,19.894,20.03,154094,0
2017-03-13,19.993,20.115,19.993,20.058,149642,0
2017-03-14,20.011,20.03,19.856,19.914,198819,0
2017-03-15,20.003,20.116,19.933,20.107,150211,0
2017-03-16,20.146,20.224,20.116,20.186,171490,0
2017-03-17,20.224,20.252,20.158,20.234,147869,0
2017-03-20,20.234,20.252,20.087,20.146,140474,0
2017-03-21,20.195,20.251,19.963,19.963,188094,0
2017-03-22,19.914,19.953,19.838,19.875,164307,0
2017-03-23,19.885,20.059,19.846,20.04,306246,0
2017-03-24,20.059,20.087,19.914,19.993,160223,0
2017-03-27,19.875,19.963,19.79,19.923,190162,0
2017-03-28,19.923,20.186,19.876,20.176,274916,0
2017-03-29,20.116,20.195,20.107,20.156,198716,0
2017-03-30,20.176,20.28,20.156,20.214,198760,0
2017-03-31,20.242,20.262,20.107,20.136,155918,0
2017-04-03,20.186,20.205,19.948,19.983,216796,0
2017-04-04,19.914,19.988,19.885,19.963,254611,0
2017-04-05,20.068,20.205,19.993,20.031,280020,0
2017-04-06,20.097,20.166,20.031,20.031,163458,0
2017-04-07,20.04,20.214,20.04,20.116,160027,0
2017-04-10,20.186,20.365,20.186,20.28,163487,0
2017-04-11,20.242,20.319,20.185,20.214,142350,0
2017-04-12,20.252,20.289,20.214,20.214,134640,0
2017-04-13,20.224,20.309,20.106,20.106,148468,0
2017-04-17,20.135,20.234,20.086,20.145,153438,0
2017-04-18,20.165,20.339,20.145,20.339,199549,0
2017-04-19,20.349,20.428,20.234,20.29,126758,0
2017-04-20,20.309,20.456,20.28,20.456,139629,0
2017-04-21,20.475,20.64,20.456,20.475,208731,0
2017-04-24,20.64,20.747,20.523,20.707,207695,0
2017-04-25,20.777,20.863,20.766,20.834,185035,0
2017-04-26,20.834,21.019,20.834,20.873,156703,0
2017-04-27,20.863,20.911,20.837,20.892,154335,0
2017-04-28,20.931,20.939,20.816,20.844,138128,0
2017-05-01,20.911,20.961,20.816,20.863,157234,0
2017-05-02,20.921,20.931,20.767,20.853,151650,0
2017-05-03,20.834,20.892,20.787,20.825,114826,0
2017-05-04,20.825,20.897,20.787,20.825,141991,0
2017-05-05,20.892,20.921,20.834,20.883,122733,0
2017-05-08,20.901,20.99,20.892,20.951,140564,0
2017-05-09,21,21.037,20.961,20.99,157497,0
2017-05-10,20.961,21.037,20.941,20.961,153780,0
2017-05-11,20.971,20.977,20.901,20.941,138003,0
2017-05-12,20.941,20.951,20.824,20.941,106039,0
