Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,14.241,14.834,14.122,14.716,46451,0
2017-01-04,15.428,15.428,14.834,15.309,115738,0
2017-01-05,15.428,15.979,15.309,15.902,73265,0
2017-01-06,15.546,15.546,15.19,15.546,72789,0
2017-01-09,15.546,16.14,15.546,16.021,17591,0
2017-01-10,15.783,15.783,15.368,15.546,14230,0
2017-01-11,14.716,16.259,14.478,16.259,81042,0
2017-01-12,16.614,16.852,16.14,16.614,58280,0
2017-01-13,16.852,17.221,16.495,17.089,56614,0
2017-01-17,17.801,18.037,17.326,17.683,70376,0
2017-01-18,17.801,18.869,17.326,17.683,130211,0
2017-01-19,17.801,17.801,16.971,17.089,55187,0
2017-01-20,17.683,18.276,17.683,18.157,43439,0
2017-01-23,18.157,18.75,18.038,18.75,27712,0
2017-01-24,18.988,18.988,18.157,18.513,45749,0
2017-01-25,18.75,18.988,18.396,18.869,27532,0
2017-01-26,18.869,18.988,18.038,18.395,33598,0
2017-01-27,18.276,18.869,18.038,18.395,50896,0
2017-01-30,17.683,18.157,17.445,17.564,21942,0
2017-01-31,18.276,18.395,17.919,18.157,19611,0
2017-02-01,18.513,19.581,18.395,19.581,37926,0
2017-02-02,19.581,19.817,19.166,19.225,27500,0
2017-02-03,19.7,19.7,19.107,19.581,34152,0
2017-02-06,19.462,20.255,19.225,19.462,41857,0
2017-02-07,19.107,19.267,18.644,18.75,52360,0
2017-02-08,18.869,19.581,18.822,19.581,28017,0
2017-02-09,19.462,19.7,18.988,19.107,23819,0
2017-02-10,19.462,19.878,19.344,19.462,52914,0
2017-02-13,19.7,19.937,19.285,19.344,28274,0
2017-02-14,19.344,19.344,18.631,19.107,25972,0
2017-02-15,19.107,19.819,18.869,19.225,39099,0
2017-02-16,19.581,19.602,18.989,19.225,13593,0
2017-02-17,18.988,19.344,18.869,18.988,25288,0
2017-02-21,18.75,19.166,18.631,19.107,32164,0
2017-02-22,18.631,18.988,18.395,18.513,48424,0
2017-02-23,18.513,18.513,17.445,17.801,23751,0
2017-02-24,17.207,17.801,16.852,16.852,23315,0
2017-02-27,16.614,17.326,16.614,17.326,6358,0
2017-02-28,17.445,17.86,16.614,16.614,7963,0
2017-03-01,16.733,17.86,16.614,17.564,16715,0
2017-03-02,17.564,17.683,16.732,16.971,25094,0
2017-03-03,17.089,17.445,16.852,17.445,17716,0
2017-03-06,17.326,17.86,17.207,17.445,17702,0
2017-03-07,17.801,17.919,17.445,17.683,19347,0
2017-03-08,16.971,17.089,16.614,16.733,10491,0
2017-03-09,16.614,17.326,16.614,17.089,15385,0
2017-03-10,17.564,17.565,17.267,17.326,20009,0
2017-03-13,17.326,18.276,17.207,18.157,45716,0
2017-03-14,18.276,18.631,17.683,18.276,42236,0
2017-03-15,18.276,19.107,17.919,18.75,28894,0
2017-03-16,18.631,18.631,17.919,18.631,39138,0
2017-03-17,18.395,19.344,18.157,19.107,112385,0
2017-03-20,18.631,19.937,17.919,19.107,119727,0
2017-03-21,19.107,19.41,18.395,18.988,38470,0
2017-03-22,18.75,18.75,17.683,18.038,68405,0
2017-03-23,18.276,18.276,16.852,16.852,31988,0
2017-03-24,17.326,17.564,15.783,16.614,36375,0
2017-03-27,16.259,16.852,16.021,16.495,16114,0
2017-03-28,16.063,18.123,15.35,17.199,85988,0
2017-03-29,17.436,18.045,17.419,17.639,69586,0
2017-03-30,17.559,17.612,17.322,17.515,22075,0
2017-03-31,17.313,17.564,17.216,17.542,21016,0
2017-04-03,17.471,17.603,17.269,17.375,46953,0
2017-04-04,17.348,17.595,17.26,17.507,57429,0
2017-04-05,18,18,17.27,17.35,88112,0
2017-04-06,17.33,17.48,17.15,17.23,46658,0
2017-04-07,16.98,16.98,16.48,16.55,234084,0
2017-04-10,16.54,16.54,15.83,16.14,69157,0
2017-04-11,16.2,16.34,16.02,16.07,79523,0
2017-04-12,15.89,16.22,15.89,16.05,49235,0
2017-04-13,16.05,16.41,15.98,16.07,46441,0
2017-04-17,16.33,17.13,16.29,17.02,42497,0
2017-04-18,16.94,17.07,16.45,16.63,54420,0
2017-04-19,17.06,17.06,16.59,16.62,41037,0
2017-04-20,17.03,17.16,16.7,16.71,39965,0
2017-04-21,16.66,16.9599,16.54,16.61,34975,0
2017-04-24,16.72,16.89,16.52,16.56,51135,0
2017-04-25,14.74,15.6,9.75,11.43,1491356,0
2017-04-26,11.43,11.4799,10.85,11.16,193804,0
2017-04-27,11,11.37,10.8,10.88,84211,0
2017-04-28,10.82,11.41,10.69,11.38,124842,0
2017-05-01,11.5,11.64,10.69,11.58,100099,0
2017-05-02,11.61,11.77,11.28,11.53,165288,0
2017-05-03,11.69,11.71,11.41,11.41,50732,0
2017-05-04,10.99,11.23,10.6,10.9,233646,0
2017-05-05,10.76,11.01,10.55,10.59,115326,0
2017-05-08,10.26,10.28,8.2,9.73,236569,0
2017-05-09,9.74,9.83,9.29,9.47,172273,0
2017-05-10,8.96,9.03,8.64,8.81,252401,0
2017-05-11,8.95,8.95,8.48,8.54,228730,0
2017-05-12,8.55,8.89,8.451,8.65,182618,0
2017-05-15,8.75,9.07,8.6,8.98,237338,0
2017-05-16,9.14,9.18,8.9,9.05,125754,0
2017-05-17,9.21,9.23,8.67,8.75,98147,0
2017-05-18,8.5,8.51,7.12,7.2,290311,0
2017-05-19,7.48,7.62,7.42,7.57,105485,0
2017-05-22,7.44,7.44,6.86,6.95,200780,0
2017-05-23,7.02,7.22,6.8,6.9,187353,0
2017-05-24,6.96,7.15,6.92,7.02,121438,0
2017-05-25,7.05,7.19,6.85,6.94,112572,0
2017-05-26,6.94,7,6.86,6.91,71748,0
2017-05-30,6.9,7.03,6.9,6.9,31317,0
2017-05-31,6.9,6.97,6.58,6.59,93809,0
2017-06-01,6.65,7.01,6.58,6.77,120017,0
2017-06-02,6.8,6.96,6.71,6.8,85425,0
2017-06-05,6.75,6.78,6.51,6.52,42243,0
2017-06-06,6.57,6.63,6.29,6.41,74582,0
