Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,23.22,24.244,23.18,23.489,1481432,0
2017-01-04,23.578,24.115,23.29,24.095,833625,0
2017-01-05,24.352,25.039,24.085,24.332,1247684,0
2017-01-06,24.432,24.929,24.165,24.682,1072703,0
2017-01-09,24.402,24.769,24.095,24.224,833999,0
2017-01-10,24.234,24.482,24.005,24.125,566701,0
2017-01-11,24.254,25.108,24.095,24.989,1056271,0
2017-01-12,25.237,25.237,24.442,24.662,501714,0
2017-01-13,24.741,25.521,24.692,25.386,1462084,0
2017-01-17,25.446,25.476,24.929,25.207,921195,0
2017-01-18,24.959,25.396,24.884,25.326,974005,0
2017-01-19,25.406,26.131,25.267,25.496,904112,0
2017-01-20,25.754,27.035,25.734,26.598,2494044,0
2017-01-23,26.39,26.568,25.943,26.291,1349970,0
2017-01-24,26.429,27.145,26.231,26.758,1092754,0
2017-01-25,26.877,27.597,26.484,27.454,5151953,0
2017-01-26,27.642,28.238,26.549,27.651,2691150,0
2017-01-27,26.966,27.532,26.827,26.986,3048931,0
2017-01-30,26.827,26.847,25.446,25.605,2026014,0
2017-01-31,25.744,25.903,24.979,25.694,1190353,0
2017-02-01,26.131,26.638,26.032,26.549,1083735,0
2017-02-02,26.559,26.559,25.973,26.271,727263,0
2017-02-03,26.361,27.215,26.271,27.085,1097236,0
2017-02-06,27.225,27.254,26.39,26.499,799253,0
2017-02-07,26.311,26.748,25.585,26.211,1174987,0
2017-02-08,25.953,26.758,25.575,26.271,985718,0
2017-02-09,26.469,27.612,26.419,26.976,1501900,0
2017-02-10,27.364,28.387,27.364,28.298,1571323,0
2017-02-13,28.218,28.457,27.582,27.741,877625,0
2017-02-14,26.529,27.97,26.529,27.851,7181775,0
2017-02-15,27.741,27.771,26.941,27.125,1918184,0
2017-02-16,27.125,27.324,26.419,26.578,1269614,0
2017-02-17,26.311,26.728,26.102,26.4,1383087,0
2017-02-21,26.887,27.771,26.818,26.996,2235734,0
2017-02-22,26.698,26.728,26.131,26.166,886628,0
2017-02-23,26.598,27.145,26.549,27.025,1821101,0
2017-02-24,26.479,26.668,26.042,26.102,1438706,0
2017-02-27,26.002,26.768,25.953,26.728,1582457,0
2017-02-28,25.883,27.761,25.873,27.135,2422268,0
2017-03-01,27.444,28.178,27.225,27.98,1740301,0
2017-03-02,27.811,27.96,26.867,26.877,1457101,0
2017-03-03,26.917,27.661,26.813,27.612,1071706,0
2017-03-06,27.264,28.168,27.055,28.088,1128909,0
2017-03-07,28,28.655,27.851,28.585,1821716,0
2017-03-08,28.378,28.993,27.482,27.487,1659507,0
2017-03-09,27.175,27.464,26.469,27.135,1247109,0
2017-03-10,27.482,27.592,26.877,27.205,881568,0
2017-03-13,27.374,27.751,27.135,27.215,606918,0
2017-03-14,26.886,26.946,26,26.309,1077458,0
2017-03-15,26.597,26.941,26.299,26.856,874600,0
2017-03-16,27.006,27.215,26.468,26.846,730064,0
2017-03-17,26.936,27.971,26.936,27.095,1324972,0
2017-03-20,26.996,27.643,26.916,27.533,780134,0
2017-03-21,27.702,27.991,26.717,27.035,946061,0
2017-03-22,26.737,27.035,26.249,26.408,1171918,0
2017-03-23,26.309,27.314,26.269,27.045,800467,0
2017-03-24,27.105,27.553,26.996,27.135,446176,0
2017-03-27,26.567,26.896,26.139,26.707,1428208,0
2017-03-28,26.767,27.503,26.617,27.434,1179212,0
2017-03-29,27.444,28.469,27.434,28.1,1930693,0
2017-03-30,28.34,28.508,27.772,28.13,1270948,0
2017-03-31,27.842,28.061,27.414,27.802,1222404,0
2017-04-03,27.822,28.15,27.444,27.662,871234,0
2017-04-04,27.682,27.931,27.344,27.712,585863,0
2017-04-05,27.892,28.37,26.916,26.926,838036,0
2017-04-06,27.155,27.633,26.996,27.424,584670,0
2017-04-07,27.533,27.702,27.244,27.314,507683,0
2017-04-10,27.563,28.3,27.434,28.15,677933,0
2017-04-11,28.17,28.35,27.922,28.07,629334,0
2017-04-12,28.051,28.21,27.225,27.434,1136620,0
2017-04-13,27.414,27.623,26.508,26.548,725244,0
2017-04-17,26.627,26.762,26,26.577,1033235,0
2017-04-18,26.279,26.846,25.99,26.757,691057,0
2017-04-19,26.807,27.175,25.771,25.931,1204451,0
2017-04-20,25.971,26.408,25.731,25.781,906872,0
