Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,27.658,27.658,26.97,27.264,733015,0
2017-01-04,27.313,27.411,26.233,26.281,1158033,0
2017-01-05,26.281,26.723,25.496,25.74,1411110,0
2017-01-06,25.74,26.258,25.446,26.036,735667,0
2017-01-09,25.937,26.478,25.446,26.036,1041502,0
2017-01-10,26.183,26.503,25.693,26.134,686298,0
2017-01-11,26.036,26.036,24.488,24.562,1174931,0
2017-01-12,24.611,24.808,23.482,23.825,1386162,0
2017-01-13,23.825,23.875,23.285,23.384,887858,0
2017-01-17,23.531,23.678,22.867,23.188,941244,0
2017-01-18,23.088,23.775,22.892,23.285,1046612,0
2017-01-19,23.285,23.335,22.499,22.598,1065024,0
2017-01-20,22.745,23.138,22.45,23.039,803718,0
2017-01-23,22.892,23.235,22.327,22.45,615829,0
2017-01-24,22.695,22.77,21.86,21.91,1348975,0
2017-01-25,21.86,22.303,21.566,22.106,1189018,0
2017-01-26,22.106,22.278,21.517,21.91,804126,0
2017-01-27,21.86,22.106,21.664,21.664,425936,0
2017-01-30,21.615,21.615,21.173,21.37,637398,0
2017-01-31,21.467,22.253,21.144,22.106,877800,0
2017-02-01,22.303,22.499,21.664,22.303,1024778,0
2017-02-02,22.303,22.695,22.106,22.598,974354,0
2017-02-03,22.598,22.598,22.008,22.352,491166,0
2017-02-06,22.352,22.352,21.812,22.057,665474,0
2017-02-07,22.008,23.384,21.86,22.795,1393959,0
2017-02-08,22.745,24.096,22.352,24.022,2281568,0
2017-02-09,24.66,25.593,24.66,25.348,2153034,0
2017-02-10,25.446,25.545,24.169,24.465,983275,0
2017-02-13,24.415,24.857,24.12,24.293,550079,0
2017-02-14,24.317,24.317,23.384,23.579,729059,0
2017-02-15,23.432,23.579,22.745,23.285,1175841,0
2017-02-16,23.335,23.579,22.941,23.335,771216,0
2017-02-17,23.335,23.531,22.991,23.384,576015,0
2017-02-21,23.579,23.728,23.359,23.482,483402,0
2017-02-22,23.304,23.847,23.304,23.402,641625,0
2017-02-23,23.699,23.847,23.304,23.6,495744,0
2017-02-24,23.452,23.749,23.057,23.106,414840,0
2017-02-27,23.206,23.749,22.909,23.699,624986,0
2017-02-28,23.699,25.18,23.501,24.736,2182148,0
2017-03-01,24.983,25.377,24.736,25.328,1268556,0
2017-03-02,25.131,25.18,23.995,23.995,760201,0
2017-03-03,24.045,24.143,23.106,23.254,905462,0
2017-03-06,23.057,23.106,22.218,22.662,1249181,0
2017-03-07,22.711,22.711,22.119,22.366,780655,0
2017-03-08,22.218,22.958,21.822,21.922,1202276,0
2017-03-09,21.872,21.995,21.576,21.922,743197,0
2017-03-10,22.07,22.81,21.922,22.711,579295,0
2017-03-13,22.958,23.452,22.563,23.353,790973,0
2017-03-14,23.206,23.206,21.993,22.958,541184,0
2017-03-15,23.156,23.402,22.711,23.353,497061,0
2017-03-16,23.452,23.772,23.206,23.353,442156,0
2017-03-17,23.254,23.749,23.057,23.206,1181097,0
2017-03-20,23.008,23.649,22.761,23.649,997739,0
2017-03-21,23.699,23.797,22.366,22.415,598829,0
2017-03-22,22.366,22.909,22.218,22.81,516281,0
2017-03-23,22.859,22.958,22.465,22.514,400580,0
2017-03-24,22.613,22.909,22.415,22.563,334624,0
2017-03-27,22.119,22.761,22.119,22.415,580240,0
2017-03-28,22.415,23.206,22.366,23.106,410344,0
2017-03-29,23.206,24.143,22.465,24.143,890746,0
2017-03-30,24.34,24.44,23.649,23.699,717878,0
2017-03-31,23.649,24.588,23.649,24.44,827547,0
2017-04-03,24.488,24.538,23.995,24.44,701808,0
2017-04-04,24.44,24.736,23.897,24.143,962126,0
2017-04-05,24.34,24.612,22.761,22.859,916928,0
2017-04-06,22.909,23.749,22.81,23.551,598732,0
2017-04-07,23.6,23.6,23.206,23.254,485775,0
2017-04-10,23.551,23.749,23.206,23.452,349101,0
2017-04-11,23.402,23.897,23.156,23.847,604882,0
2017-04-12,23.797,23.995,23.254,23.304,564568,0
2017-04-13,23.304,23.329,22.267,22.366,812127,0
2017-04-17,22.465,22.711,22.267,22.662,740495,0
2017-04-18,22.563,23.353,22.316,23.254,726568,0
2017-04-19,23.353,23.353,22.859,22.909,671433,0
2017-04-20,23.008,23.106,22.465,22.563,780412,0
2017-04-21,22.613,22.859,22.415,22.613,518725,0
2017-04-24,22.761,22.859,22.119,22.514,782489,0
2017-04-25,22.613,23.452,22.415,23.304,614912,0
2017-04-26,23.797,23.897,23.106,23.206,992422,0
2017-04-27,23.008,23.551,22.761,23.501,713599,0
2017-04-28,23.6,23.6,22.613,22.711,1361382,0
2017-05-01,22.613,22.736,21.897,22.366,1184037,0
2017-05-02,24.588,25.081,23.304,25.031,3175531,0
2017-05-03,25.081,25.18,24.44,24.44,1026742,0
2017-05-04,24.34,24.538,23.699,24.34,842614,0
2017-05-05,24.34,25.723,24.34,25.427,1441954,0
2017-05-08,25.279,25.377,24.884,25.328,1149004,0
2017-05-09,25.328,25.476,24.661,24.933,1042912,0
2017-05-10,25.18,25.377,25.031,25.131,1203871,0
