Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.95,29.2,28.65,29.15,15652,0
2017-01-04,29.35,29.649,28.7,29.35,61475,0
2017-01-05,29.25,29.65,28.6,28.65,47292,0
2017-01-06,28.75,28.75,27.9,28,47029,0
2017-01-09,28.05,28.55,27.7,28.05,19633,0
2017-01-10,28.05,29.25,27.6,29.1,45615,0
2017-01-11,29,29.15,28.45,29.05,20447,0
2017-01-12,29.2,29.2,27.8,28.05,21325,0
2017-01-13,28.2,28.45,28.1,28.3,9469,0
2017-01-17,28.15,28.15,26.9,26.95,19820,0
2017-01-18,27.15,27.15,26.15,26.75,41301,0
2017-01-19,26.65,27,26.1,26.45,34756,0
2017-01-20,26.5,26.55,25.1,25.6,199004,0
2017-01-23,25.7,26.2,25.65,26,51321,0
2017-01-24,26,26.5,26,26.4,29316,0
2017-01-25,26.65,26.95,26.4775,26.6,19576,0
2017-01-26,26.55,26.55,26,26.2,14915,0
2017-01-27,26.1,26.25,26,26.15,11916,0
2017-01-30,25.75,26.15,25.55,25.7,23640,0
2017-01-31,25.45,25.9,24.8,25.7,30482,0
2017-02-01,25.8,26.05,25.7,26,22015,0
2017-02-02,26.05,26.1,25.75,26,38603,0
2017-02-03,26.15,26.45,26.1,26.2,16219,0
2017-02-06,26.1,26.15,25.95,26,30016,0
2017-02-07,26,26.1,25.55,25.65,22114,0
2017-02-08,25.55,25.55,25.05,25.1,30975,0
2017-02-09,25,25.75,25,25.5,21259,0
2017-02-10,25.55,25.85,25.4501,25.8,24445,0
2017-02-13,25.85,26.05,25.6501,26,14883,0
2017-02-14,25.9,26.15,25.9,25.9,28331,0
2017-02-15,25.85,26.3,25.65,26,11075,0
2017-02-16,26.05,26.1,25.4,25.75,19850,0
2017-02-17,25.9,26,25.25,25.45,26396,0
2017-02-21,25.5,25.6,25.2,25.3,16070,0
2017-02-22,25.15,25.6,24.85,24.95,30458,0
2017-02-23,25.15,25.475,24.95,25.25,20864,0
2017-02-24,24.95,25.4,24.95,25.35,25416,0
2017-02-27,25.2,25.7,25,25.25,57833,0
2017-02-28,26.93,26.93,22.7,24.65,96170,0
2017-03-01,25.1,25.15,24.65,24.8,22822,0
2017-03-02,24.75,25.05,24.2,24.85,26041,0
2017-03-03,24.8,24.95,24.05,24.25,27899,0
2017-03-06,23.85,24.25,23.85,24.05,19322,0
2017-03-07,23.8,24.2,23.5,23.6,29072,0
2017-03-08,23.6,23.7,23.4,23.45,29334,0
2017-03-09,23.45,23.6,22.85,23.05,27317,0
2017-03-10,23.1,23.35,22.95,23,48392,0
2017-03-13,22.95,23.55,22.95,23.15,26058,0
2017-03-14,22.9,23.15,22.85,23.05,17121,0
2017-03-15,23.15,23.8,23,23.75,34762,0
2017-03-16,23.75,24.3,23.7,24.3,22627,0
2017-03-17,24.3,25.25,24.3,25.15,47460,0
2017-03-20,25.3,25.3,24.55,24.95,39468,0
2017-03-21,25,25.15,24.25,24.4,29873,0
2017-03-22,24.4,24.5,23.7,23.9,35214,0
2017-03-23,24.1,24.2128,23.65,23.75,21308,0
2017-03-24,23.95,24.05,23.65,23.65,11990,0
2017-03-27,23.35,23.975,23.25,23.8,14839,0
2017-03-28,23.7,24.7,23.7,24.65,19521,0
2017-03-29,24.55,24.95,24.1,24.7,24554,0
2017-03-30,24.75,25.7,24.7,25.05,35924,0
2017-03-31,25.15,25.5,24.75,25.3,58391,0
2017-04-03,25.25,25.25,24.9,25,31447,0
2017-04-04,24.95,25.05,24.2,24.45,37653,0
2017-04-05,24.75,24.85,23.65,23.65,23180,0
2017-04-06,23.8,23.85,23.35,23.5,27942,0
2017-04-07,23.4,24.5,23.3,24.3,30438,0
2017-04-10,24.6,25.2,24.4,25.1,29267,0
2017-04-11,25,25.6,25,25.5,19882,0
2017-04-12,25.5,25.6,24.6501,25.15,20399,0
2017-04-13,25,25,24.6,24.8,22773,0
2017-04-17,24.9,25.6,24.9,25.4,16146,0
2017-04-18,25.2,25.65,24.85,25.5,17973,0
2017-04-19,25.45,25.7,25.1,25.25,22908,0
2017-04-20,25.338,25.7,25.05,25.6,25494,0
2017-04-21,25.5,25.9,25.5,25.75,25219,0
2017-04-24,26.15,26.5,26.05,26.45,17480,0
2017-04-25,26.85,27.3,26.7,27.1,34686,0
2017-04-26,27.1,28.25,26.85,28.1,33144,0
2017-04-27,28.15,28.35,27.05,27.35,30791,0
2017-04-28,27.4,27.45,27,27.1,23272,0
2017-05-01,27.05,27.1,26.85,27.05,13276,0
2017-05-02,27.1,27.35,26.45,26.55,16258,0
2017-05-03,26.5,26.5,25.55,26.25,22724,0
2017-05-04,26.25,26.25,25.4501,26.05,29912,0
2017-05-05,26,26.05,25,26,26119,0
2017-05-08,26.05,26.1,25.6,25.65,20943,0
2017-05-09,25.55,25.95,25.25,25.75,24536,0
2017-05-10,25.45,26.05,25.45,25.8,20715,0
2017-05-11,25.85,26.65,25.45,26.25,40024,0
2017-05-12,26.15,26.35,25.7,25.7,13551,0
2017-05-15,25.75,26.15,25.75,25.85,9416,0
2017-05-16,25.65,25.65,25.05,25.1,16947,0
2017-05-17,24.75,24.95,24.4,24.55,35817,0
2017-05-18,24.45,24.5,23.7,23.8,29502,0
2017-05-19,23.8,24.1,23.45,23.6,31793,0
2017-05-22,23.7,23.7,23,23.05,27530,0
2017-05-23,23.2,23.7,23.04,23.7,35022,0
2017-05-24,23.8,24.65,23.8,24.6,13739,0
2017-05-25,24.6,24.85,24.05,24.65,23343,0
2017-05-26,24.65,25.25,24.3,24.95,27864,0
2017-05-30,24.95,25.4,24.9,25.25,18894,0
2017-05-31,25.25,25.4,24.45,24.55,30095,0
2017-06-01,24.6,24.925,24.4001,24.6,22260,0
2017-06-02,24.75,26.1,24.75,25.4,28301,0
2017-06-05,25.2,25.35,24.5,24.6,45266,0
2017-06-06,24.45,24.9,24.45,24.75,36552,0
2017-06-07,24.85,24.9618,24.6,24.75,29847,0
2017-06-08,24.85,25.2,24.7,24.9,18324,0
2017-06-09,25.05,25.25,24.85,25.1,162196,0
2017-06-12,25.1,25.7,25.1,25.5,31621,0
2017-06-13,25.55,25.55,24.9375,25,24681,0
2017-06-14,24.7561,25.7,24.7561,25.7,33283,0
2017-06-15,25.4,25.75,25,25.7,14789,0
2017-06-16,25.25,25.9,25.2,25.7,44412,0
2017-06-19,25.7,26,25.5,26,18432,0
2017-06-20,25.95,26.2,25.575,26,21955,0
2017-06-21,26.2,26.2,25.6,25.85,19865,0
2017-06-22,25.9,26,25.6,25.65,16507,0
2017-06-23,25.6,26.15,25.5,26.1,150268,0
2017-06-26,26.15,26.15,25.35,25.85,87775,0
2017-06-27,25.85,26.25,25.65,26,26739,0
2017-06-28,26.3864,27.25,26,27.05,44557,0
2017-06-29,27.15,27.15,26.65,27.1,23522,0
2017-06-30,27,27,26.35,26.4,28210,0
2017-07-03,26.35,26.8,26.35,26.7,9594,0
2017-07-05,26.7,26.8,26.051,26.55,18938,0
2017-07-06,26.3,26.65,26.1,26.45,29211,0
2017-07-07,26.6,26.75,26.35,26.7,18344,0
2017-07-10,26.5,26.9,25.95,26.75,39880,0
2017-07-11,26.7,27.15,26.5,27.05,20063,0
2017-07-12,27.15,27.45,26.7,27.1,20819,0
2017-07-13,27.1,27.3,26.725,27.25,20792,0
2017-07-14,27.1,27.1,26.9,27,7509,0
2017-07-17,26.9,27.1,26.9,27.05,20385,0
2017-07-18,26.95,27.5,26.95,27.2,15046,0
2017-07-19,27.45,27.45,26.95,27,19620,0
2017-07-20,27,27.6507,26.8,27.55,49232,0
2017-07-21,27.95,27.95,27,27.15,84315,0
2017-07-24,27.15,27.4,26.9,27,32573,0
2017-07-25,27.05,27.6,26.9,27.3,22838,0
2017-07-26,27,28.05,26.95,28,60493,0
2017-07-27,27.95,28.325,26.75,26.95,30271,0
2017-07-28,27.35,27.8,26.75,27.6,34698,0
2017-07-31,27.6,28.9,27.35,28.65,46000,0
2017-08-01,28.5,28.85,28.5,28.75,23035,0
2017-08-02,28.55,29,28.45,28.75,21505,0
2017-08-03,28.65,29,28.65,28.9,25584,0
2017-08-04,28.8,29.1999,28.7,29,25886,0
2017-08-07,29.05,29.3915,28.3,28.35,18837,0
2017-08-08,28.3,28.85,27.9,27.95,24826,0
2017-08-09,27.75,27.95,27.4,27.6,37784,0
2017-08-10,27.2,27.75,27.2,27.55,35231,0
2017-08-11,27.7,27.825,27.45,27.5,47866,0
2017-08-14,27.65,28.1,27.55,28.05,42797,0
2017-08-15,28,28.4,27.7,28.25,21502,0
2017-08-16,28.8,28.8,28.25,28.45,31086,0
2017-08-17,28.4,28.7,28.15,28.35,26167,0
2017-08-18,28.15,28.4,28,28.25,33837,0
2017-08-21,28.35,28.45,27.85,28.1,18084,0
2017-08-22,28.1,28.9,28.1,28.6,16491,0
2017-08-23,28.45,28.45,27.85,28.1,45191,0
2017-08-24,28.1,28.2875,27.7,28.2,33678,0
2017-08-25,28.25,28.5,27.95,28.25,26306,0
2017-08-28,28.25,28.5,28,28.4,46349,0
2017-08-29,28.3,28.65,28.15,28.55,19094,0
2017-08-30,28.5,28.8,28.2,28.2,26222,0
2017-08-31,28.25,28.9,28.25,28.6,40273,0
2017-09-01,28.7,28.7743,28.15,28.65,22999,0
2017-09-05,28.65,28.65,27.9,28.3,41263,0
2017-09-06,28.4,28.7569,28.35,28.65,24854,0
2017-09-07,28.6,28.8,28.2,28.45,13691,0
2017-09-08,28.45,28.5,28.1,28.3,16166,0
2017-09-11,28.4,28.6,28.3,28.45,16274,0
2017-09-12,28.4,28.8,28.3052,28.5,32393,0
2017-09-13,28.4,28.65,28.15,28.5,42320,0
2017-09-14,28.2,28.45,28.05,28.35,18057,0
2017-09-15,28.4,29.05,28,28.9,63907,0
2017-09-18,28.9,29.6,28.78,29.15,31584,0
2017-09-19,29.2,29.6,28.9,29.15,32462,0
2017-09-20,29.2,29.85,29.2,29.65,16220,0
2017-09-21,29.45,29.75,29.35,29.5,16603,0
2017-09-22,29.2886,29.9,29.2886,29.8,23577,0
2017-09-25,29.6501,30.35,29.6501,30.2,30551,0
2017-09-26,30.3,30.45,29.85,29.85,56504,0
2017-09-27,30.2,30.25,29.95,30,76948,0
2017-09-28,30.05,30.85,30,30.7,24775,0
2017-09-29,30.75,31.05,30.4,30.85,23933,0
2017-10-02,30.9,31.2,30.85,31.05,33115,0
2017-10-03,31,31.25,30.75,30.95,35658,0
2017-10-04,30.85,31.05,30.65,30.7,21833,0
2017-10-05,30.7,30.9,30.4,30.45,30285,0
2017-10-06,30.45,30.7,30.35,30.35,37047,0
2017-10-09,30.5,30.85,30.5,30.8,21407,0
2017-10-10,30.9,31,30.35,30.65,29151,0
2017-10-11,30.7,30.85,30.55,30.65,16689,0
2017-10-12,30.65,30.65,30.35,30.4,18898,0
2017-10-13,30.45,30.725,30.35,30.5,13499,0
2017-10-16,30.65,30.75,30.05,30.5,24880,0
2017-10-17,30.4,30.55,30.15,30.25,26112,0
2017-10-18,30.3,30.35,29.95,30.15,15747,0
2017-10-19,29.85,30.05,29.6,29.75,19314,0
2017-10-20,30,30.075,29.5605,29.75,32693,0
2017-10-23,29.65,29.75,28.75,28.9,11022,0
2017-10-24,28.95,29.2,28.65,28.8,13843,0
2017-10-25,28.75,29.25,28.4,29.15,17734,0
2017-10-26,29.2,29.3,28.9,29.3,34775,0
2017-10-27,29.45,30.35,29.2,30.35,16904,0
2017-10-30,29.8499,29.8499,28.65,28.8,20262,0
2017-10-31,28.7,29.2,28.55,29.05,23319,0
2017-11-01,29.3,29.3,28.15,28.5,13915,0
2017-11-02,28.4,28.5,27.8,28.3,22602,0
2017-11-03,28.1,28.1,27.1,27.25,21188,0
2017-11-06,27.4,27.4,26.1,26.15,24181,0
2017-11-07,26.2,26.2,24.95,25.15,30090,0
2017-11-08,24.9,25.55,24.85,25.4,36040,0
2017-11-09,25,25.7489,24.825,25.45,24965,0
2017-11-10,25.6,25.6,25.05,25.05,22906,0
