Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.25,10.25,9.85,9.95,59289,0
2017-01-04,10.05,10.35,9.75,10.3,28302,0
2017-01-05,10.2,10.3,9.85,10.05,35199,0
2017-01-06,10.2,10.8482,9.8,9.9,53863,0
2017-01-09,9.8,9.8,9.45,9.55,46466,0
2017-01-10,9.55,10,9.55,10,25498,0
2017-01-11,10.05,10.05,9.75,9.95,28763,0
2017-01-12,9.8,9.85,9.55,9.7,31154,0
2017-01-13,9.8,10,9.75,9.95,32103,0
2017-01-17,9.85,9.85,9.6154,9.65,37515,0
2017-01-18,9.7,9.8,9.4,9.55,93812,0
2017-01-19,9.5,9.5252,9.3,9.35,54025,0
2017-01-20,9.35,9.6,9.25,9.4,69285,0
2017-01-23,9.35,9.5,9.25,9.3,42911,0
2017-01-24,9.35,10,9.25,9.6,57766,0
2017-01-25,9.7,10.05,9.7,9.85,75661,0
2017-01-26,9.8,9.9,9.65,9.8,24345,0
2017-01-27,9.75,9.95,9.5,9.9,21788,0
2017-01-30,9.85,9.85,9.45,9.45,30699,0
2017-01-31,9.5,9.6,9.4,9.6,37771,0
2017-02-01,9.7,9.975,9.65,9.65,29463,0
2017-02-02,9.65,9.65,9.45,9.45,47445,0
2017-02-03,9.55,9.65,9.3999,9.55,52646,0
2017-02-06,9.45,9.575,9.45,9.5,25226,0
2017-02-07,9.55,9.71,9.45,9.45,51715,0
2017-02-08,9.45,9.65,9.2501,9.4,26385,0
2017-02-09,9.5,9.65,9.2649,9.6,36115,0
2017-02-10,9.7,9.9,9.55,9.85,28142,0
2017-02-13,9.95,9.975,9.5,9.6,63242,0
2017-02-14,9.55,9.55,9.425,9.45,27143,0
2017-02-15,9.45,9.75,9.45,9.6,35717,0
2017-02-16,9.65,9.875,9.5,9.8,39067,0
2017-02-17,9.8,9.8,9.6,9.7,30595,0
2017-02-21,9.65,9.6502,9.45,9.55,25536,0
2017-02-22,9.45,9.75,9.45,9.7,37937,0
2017-02-23,9.7,9.8,9.45,9.45,28812,0
2017-02-24,9.45,9.7,9.2286,9.7,42994,0
2017-02-27,9.7,9.8,9.6,9.75,20738,0
2017-02-28,9.7,9.75,9.45,9.45,24348,0
2017-03-01,9.6,9.9,9.45,9.75,44079,0
2017-03-02,9.65,9.8,9.3,9.5,58351,0
2017-03-03,9.45,9.5,9,9.25,116816,0
2017-03-06,9.1,9.45,9.05,9.4,27190,0
2017-03-07,9.35,9.5,9.2,9.3,26219,0
2017-03-08,9.4,9.45,9,9.05,49309,0
2017-03-09,9,9.2,8.8,8.9,43973,0
2017-03-10,8.95,9.25,8.65,9.1,52331,0
2017-03-13,9,9.15,8,9.1,32327,0
2017-03-14,9.3,9.55,9,9.25,49988,0
2017-03-15,9.35,9.4151,9.1,9.35,52996,0
2017-03-16,9.35,9.7,9.345,9.7,61253,0
2017-03-17,9.6,9.8,9.5,9.55,145156,0
2017-03-20,9.55,9.8,9.45,9.65,33488,0
2017-03-21,9.75,9.75,9.4,9.45,62296,0
2017-03-22,9.45,9.5,9.25,9.45,37820,0
2017-03-23,9.5,9.85,9.5,9.8,44089,0
2017-03-24,9.85,10,9.8,9.8,49811,0
2017-03-27,9.8,10,9.6,9.95,37333,0
2017-03-28,9.9,10,9.85,10,27906,0
2017-03-29,10,10.1,9.9,10.05,51134,0
2017-03-30,10.05,10.054,9.899,10,25050,0
2017-03-31,9.95,10.15,9.85,9.95,41057,0
2017-04-03,10,10,9.65,9.8,46667,0
2017-04-04,9.75,10,9.65,9.85,25813,0
2017-04-05,9.9375,10,9.8,9.8,45567,0
2017-04-06,9.8,10,9.7301,9.95,20009,0
2017-04-07,9.9,10.05,9.9,10,37782,0
2017-04-10,10,10.058,9.6,9.85,48028,0
2017-04-11,9.85,10,9.7705,10,26439,0
2017-04-12,9.95,10.05,9.9,10,51348,0
2017-04-13,9.95,10.5414,9.95,10.2,106913,0
2017-04-17,10.25,10.4,9.9,10.2,43297,0
2017-04-18,10.15,10.25,9.9,10.1,90949,0
2017-04-19,10.1788,10.1788,9.7,9.85,35947,0
2017-04-20,9.85,10,9.35,9.7,48500,0
2017-04-21,9.7,10.05,8.201,9.95,42498,0
2017-04-24,10.2,10.25,9.9,10.2,24657,0
2017-04-25,10.25,10.55,10.0611,10.3,58480,0
2017-04-26,10.25,10.6,10.25,10.55,80827,0
2017-04-27,10.55,10.6,10.4001,10.5,47665,0
2017-04-28,10.45,10.45,10.1,10.3,32084,0
2017-05-01,10.35,10.5,10.3,10.5,26860,0
2017-05-02,10.5,10.85,10.427,10.75,66596,0
2017-05-03,10.65,10.8,10.45,10.65,33028,0
2017-05-04,10.7,10.7,10.1,10.2,40675,0
2017-05-05,10.204,10.55,10.1,10.2,53654,0
2017-05-08,10.15,10.55,10.05,10.2,40945,0
2017-05-09,10.2,10.4,9.95,10.25,84312,0
2017-05-10,10.2,10.3,10.15,10.25,24823,0
