Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.18,31.85,30,31.78,1307,0
2017-01-04,30.45,31.96,27.57,30.9,5265,0
2017-01-05,30.8,31.65,30.7,30.7,3463,0
2017-01-06,30.86,31.21,30.5,30.82,9175,0
2017-01-09,30.72,31.21,30.625,31.05,4362,0
2017-01-10,31.45,31.45,30.23,30.94,4119,0
2017-01-11,30.89,30.9,30.7,30.71,2509,0
2017-01-12,30.77,31.08,30.1,30.66,6947,0
2017-01-13,30.67,31.05,30.67,31.05,1969,0
2017-01-17,30.81,30.81,30.81,30.81,264,0
2017-01-18,30.94,31.1,30.1051,31.1,2787,0
2017-01-19,30.4,31.47,30.3,30.75,6563,0
2017-01-20,30.88,31.435,30.75,31.05,7652,0
2017-01-23,30.73,31.25,30.25,31.25,1400,0
2017-01-24,31,31.16,30.9,31.16,20855,0
2017-01-25,31,31.7,31,31.16,1191,0
2017-01-26,31.1,31.425,31,31,4080,0
2017-01-27,31.2741,31.5,31.1,31.4075,2315,0
2017-01-30,31.67,31.67,31.06,31.06,518,0
2017-01-31,30.97,31.43,30.97,31.43,5113,0
2017-02-01,31.28,31.365,31,31.14,1379,0
2017-02-02,31,31.71,31,31.71,1848,0
2017-02-03,31.39,31.39,30.9314,30.9314,1584,0
2017-02-06,31.32,31.33,31.24,31.26,1229,0
2017-02-07,31.64,31.64,31.64,31.64,215,0
2017-02-08,31.03,31.17,31,31.17,410,0
2017-02-09,31.5473,31.935,31.5,31.66,3471,0
2017-02-10,31.9,32,31.9,31.99,409,0
2017-02-13,32.238,32.2683,32.2,32.2,762,0
2017-02-14,32.16,32.16,31.86,31.86,368,0
2017-02-15,31.61,31.94,31.61,31.94,245,0
2017-02-16,31.6,31.6,31.6,31.6,125,0
2017-02-17,32.1,32.1,31.111,31.68,755,0
2017-02-21,32.15,32.15,31.2068,31.9,2180,0
2017-02-22,31.87,31.9,31.86,31.9,794,0
2017-02-27,31.5,31.5,31.4,31.5,28512,0
2017-02-28,30.86,31.36,30.86,31.05,5776,0
2017-03-01,31.63,31.67,31.59,31.59,1187,0
2017-03-02,31.2,31.2,30.56,30.56,2604,0
2017-03-03,30.78,30.78,29.75,29.76,84316,0
2017-03-06,30.1,30.1,30.05,30.05,1279,0
2017-03-07,30.03,30.15,30.03,30.15,1610,0
2017-03-08,29.6444,30,29.6444,29.66,2308,0
2017-03-09,29.94,30.04,29.9,30.04,6242,0
2017-03-10,30.05,30.05,29.91,29.91,1051,0
2017-03-14,29.95,29.977,29.95,29.977,1514,0
2017-03-15,30.18,30.18,30.18,30.18,439,0
2017-03-16,30.49,30.49,30.49,30.49,761,0
2017-03-17,30.09,30.57,30.09,30.57,2435,0
2017-03-21,31.61,32.02,31.1,31.1,1457,0
2017-03-22,31.18,31.2,30.51,30.9,1216,0
2017-03-23,30.76,30.76,30.76,30.76,275,0
2017-03-27,31.4125,31.4125,31.4125,31.4125,372,0
2017-03-28,31.44,31.44,31.44,31.44,118,0
2017-03-29,30.53,30.8,30.51,30.8,501,0
2017-03-30,30.64,30.64,30.64,30.64,239,0
2017-03-31,30.95,30.95,30.95,30.95,293,0
2017-04-03,31.18,31.18,31.18,31.18,395,0
2017-04-04,32.11,32.11,31.27,31.27,344,0
2017-04-05,31.7,31.7,31.05,31.13,1041,0
2017-04-07,31,31.01,31,31.01,2795,0
2017-04-10,30.77,30.78,30.77,30.77,2556,0
2017-04-11,30.7863,31.4,30.7863,31.4,964,0
2017-04-12,31.47,31.47,31.31,31.35,1565,0
2017-04-13,31.08,31.4,30.16,31.25,3698,0
2017-04-17,31.13,31.5,31.04,31.3,2340,0
2017-04-18,31.25,31.25,31.25,31.25,199,0
2017-04-19,31.78,31.78,31.02,31.56,615,0
2017-04-21,32.21,32.39,32.1,32.13,1321,0
2017-04-24,32.1,32.1,31.4799,31.75,1292,0
2017-04-25,31.26,31.7,31.2468,31.35,4802,0
2017-04-26,31.2,31.4573,30.5,31.11,9713,0
2017-04-27,31,31,30.65,30.67,1792,0
2017-04-28,30.07,30.44,30.06,30.27,1294,0
2017-05-01,30.68,30.68,29.62,29.62,756,0
2017-05-02,27.71,30,27.71,29.95,4643,0
2017-05-03,28.94,30.34,28.94,30.34,6562,0
2017-05-04,29.72,30.38,29.5,30.38,2628,0
2017-05-05,29.4,30.26,29.25,29.8,4124,0
2017-05-08,29.13,30.18,29.13,30.1,6963,0
2017-05-09,30.225,31.05,29.55,30.43,7342,0
2017-05-10,30.14,30.6,30.14,30.45,5371,0
2017-05-11,30.2299,30.9,29.9001,30.25,4676,0
2017-05-12,30.58,30.97,30.0684,30.51,6307,0
2017-05-15,30.42,30.56,30.1,30.1,857,0
2017-05-16,29.32,30.21,29.32,29.98,13142,0
2017-05-17,29.95,29.95,29.95,29.95,504,0
2017-05-18,29.2,30.925,29.2,29.99,7127,0
2017-05-19,30.08,30.5,29.65,30.3,9753,0
2017-05-22,30.46,30.85,30.3,30.47,11091,0
2017-05-23,30.3,30.66,29.73,30.4,26791,0
2017-05-24,30.27,30.65,30.24,30.52,9966,0
2017-05-25,30.55,31.36,30.2,31.09,16807,0
2017-05-26,30.21,31.11,30.19,31.02,2752,0
2017-05-30,30.93,31.47,30.61,31.35,7158,0
2017-05-31,31.35,31.37,30.7301,31.09,7206,0
2017-06-01,31.77,32.14,31.26,32.1,4080,0
2017-06-02,32.2,32.2,31.255,32.14,3094,0
2017-06-05,31.96,32.25,31.41,32.01,3774,0
2017-06-06,31.8,32.2,31.7,32.05,2764,0
2017-06-07,32.02,32.28,32.02,32.15,1476,0
2017-06-08,32.12,32.88,32.12,32.75,12024,0
2017-06-09,32.678,32.82,32.53,32.64,4801,0
2017-06-12,31.8,32.73,30.455,32.07,7382,0
2017-06-13,32.01,32.2,32.01,32.13,3159,0
2017-06-14,32.0877,32.2,31.86,31.91,6176,0
2017-06-15,31.69,32.05,31.66,32.05,887,0
2017-06-16,31.76,31.76,31.41,31.53,23276,0
2017-06-19,31.34,31.94,31.34,31.61,1918,0
2017-06-20,31.6,31.6,31.03,31.19,7593,0
2017-06-21,31.3,31.5,30.95,31.25,1844,0
2017-06-22,28.29,31.41,28.29,31.41,2549,0
2017-06-23,30.79,31.58,29.595,31.58,27815,0
2017-06-26,31.39,31.95,30.32,31.51,2959,0
2017-06-27,30.95,31.935,30.325,31,8779,0
2017-06-28,31.39,31.9999,31,31.9999,2129,0
2017-06-29,31.45,31.47,31.1,31.1,1564,0
2017-06-30,31.2,31.67,30.4575,31.67,1037,0
2017-07-06,31.32,31.4,30.98,30.98,773,0
2017-07-07,31.775,31.9,31.51,31.51,2164,0
2017-07-10,31.75,32.7489,29.7,31.5,2195,0
2017-07-11,31.36,31.36,31.36,31.36,548,0
2017-07-12,31.493,31.5,31.21,31.21,1736,0
2017-07-13,31.4,31.55,31.4,31.55,857,0
2017-07-14,31.4478,31.58,31.33,31.33,1419,0
2017-07-17,31.6536,31.66,31.53,31.53,1602,0
2017-07-18,31.437,31.66,31.4172,31.66,4519,0
2017-07-19,31.65,32.9,31.65,32.8,9123,0
2017-07-20,32.59,32.8,32.5,32.75,2073,0
2017-07-21,32.87,32.87,32.65,32.65,859,0
2017-07-24,32.6,32.6,32.31,32.31,3119,0
2017-07-25,32.7,32.7,32.16,32.22,3075,0
2017-07-26,32.1601,32.2138,31.64,32,32446,0
2017-07-27,32,32,32,32,556,0
2017-07-28,32,32.1685,31.85,31.85,3181,0
2017-07-31,32.21,32.47,31.77,32.19,6529,0
2017-08-01,32.21,32.59,31.95,32.33,4978,0
2017-08-02,32.29,32.29,32.29,32.29,223,0
2017-08-03,32.5,32.58,32.5,32.58,802,0
2017-08-04,32.5,32.51,32.43,32.51,645,0
2017-08-07,32.6,32.6,32.3,32.3,303,0
2017-08-09,32.14,32.14,32.05,32.05,678,0
2017-08-10,32.2,32.2,31.75,31.75,460,0
2017-08-11,31.8,31.93,31.6099,31.93,1348,0
2017-08-14,31.85,32.38,31.85,32.38,1978,0
2017-08-15,32.3704,32.3704,32.23,32.23,602,0
2017-08-16,32.25,32.2999,31.77,32.01,1267,0
2017-08-17,32.1,32.68,31.89,32.68,7077,0
2017-08-18,32.31,32.32,32.26,32.26,876,0
2017-08-22,32.5,33.1,32.5,32.77,4186,0
2017-08-23,32.79,34.09,32.79,33.85,19013,0
2017-08-24,33.6722,33.86,33.5,33.56,2475,0
2017-08-25,33.88,34.4,33.87,34.25,9818,0
2017-08-28,34.3,34.3,33.91,33.91,639,0
2017-08-29,33.99,34.34,33.99,34.32,1883,0
2017-08-30,34.37,34.4,33.76,34.4,3021,0
2017-08-31,34.4,34.5,34.35,34.35,1722,0
2017-09-01,34.5,34.5,34.5,34.5,156,0
2017-09-05,34.325,34.5,34.25,34.5,5830,0
2017-09-06,34.6,35.3,34.55,35.29,17189,0
2017-09-07,34.8999,35.5,34.8999,35.48,6966,0
2017-09-08,35.45,36,35.44,35.85,9373,0
2017-09-11,35.96,36.1,35.45,36.1,5983,0
2017-09-12,35.5,36.3,35.49,36.3,7416,0
2017-09-13,36.28,36.7,35.77,36.18,24986,0
2017-09-14,36.43,36.72,36.07,36.18,14950,0
2017-09-15,36.39,36.53,35.29,36.16,36854,0
2017-09-18,36.4,36.68,35.61,36.12,20670,0
2017-09-19,36.46,36.46,35.48,35.53,7424,0
2017-09-20,35.905,36.1,35.6,36.1,2292,0
2017-09-21,35.78,35.9299,35.33,35.89,2388,0
2017-09-22,35.8,36.46,35.8,36.46,1474,0
2017-09-25,36.38,36.49,36,36.49,2472,0
2017-09-26,36.12,36.12,36.12,36.12,264,0
2017-09-27,35.8399,35.9722,35.3347,35.8,4308,0
2017-09-29,36.14,36.57,36.14,36.35,3619,0
2017-10-02,36.62,36.62,36.62,36.62,349,0
2017-10-03,36.61,36.72,36.51,36.51,6546,0
2017-10-04,36.51,36.8,36.51,36.61,6507,0
2017-10-05,36.54,36.73,36.54,36.6,2301,0
2017-10-06,36.85,36.9,36.7769,36.9,1548,0
2017-10-10,36.7997,37.1,36.7997,37.1,4867,0
2017-10-11,36.9997,37.2,36.81,37,2572,0
2017-10-12,37,37,37,37,609,0
2017-10-17,36.82,36.82,34.58,35.55,16719,0
2017-10-18,35.48,35.48,34.92,34.92,691,0
2017-10-19,34.88,35.91,34.88,35.64,6262,0
2017-10-20,35.78,35.78,35.78,35.78,265,0
2017-10-23,36.16,36.16,36.16,36.16,315,0
2017-10-26,36.245,36.25,35.81,35.81,22715,0
2017-10-27,35.99,36,35.45,35.49,6088,0
2017-10-30,35.5,35.9999,35.39,35.9999,11242,0
2017-10-31,35.98,37.1,35.5,37.1,19086,0
2017-11-01,36.7,36.83,36.1,36.83,5017,0
2017-11-02,36.89,37.16,36.67,36.91,3443,0
2017-11-03,37.16,37.16,37.16,37.16,1725,0
2017-11-06,36.8,37.13,36.298,37.13,1649,0
2017-11-07,36.9,37.1,36.9,37.05,2381,0
2017-11-08,36.73,36.94,36.36,36.94,3758,0
2017-11-09,36.95,36.95,36.95,36.95,642,0
2017-11-10,36.99,36.99,36.55,36.55,343,0
