Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.48,11,10.48,10.63,10645,0
2017-01-04,10.65,11,10.65,10.95,8223,0
2017-01-05,11,11,10.61,10.71,26567,0
2017-01-06,10.71,10.72,10.65,10.65,4711,0
2017-01-09,10.71,10.72,10.63,10.65,7107,0
2017-01-10,10.72,10.82,10.67,10.8,11842,0
2017-01-11,10.82,10.82,10.79,10.82,8135,0
2017-01-12,10.74,10.92,10.67,10.8983,10234,0
2017-01-13,10.92,11.59,10.92,11.36,45324,0
2017-01-17,12,13.62,11.9,13.59,70686,0
2017-01-18,13.7,19.51,13.7,17.025,193248,0
2017-01-19,17.5,22.686,16.649,20.92,111721,0
2017-01-20,21,22,19.0396,20.61,144117,0
2017-01-23,20.51,20.8894,17.8,18.44,45440,0
2017-01-24,18.42,20.5887,18.42,20.1225,30196,0
2017-01-25,21.74,22,20.6,20.6,73259,0
2017-01-26,20.6,20.8957,19.2284,20.3371,22843,0
2017-01-27,19.816,20.6893,19.62,20.15,5024,0
2017-01-30,20.02,20.02,18.54,18.71,17271,0
2017-01-31,18.88,19.5,18.03,18.69,12018,0
2017-02-01,19,20.2,19,19.87,16178,0
2017-02-02,20.5,21.406,20.0234,20.73,35890,0
2017-02-03,21.58,21.59,21.21,21.31,5487,0
2017-02-06,21.8,21.8,21.325,21.5492,8691,0
2017-02-07,21.79,21.79,20.7543,20.9747,7001,0
2017-02-08,21.27,21.27,20.5101,21,2241,0
2017-02-09,21.1138,21.8,21.1138,21.21,14253,0
2017-02-10,21.5,22.5,19.7,20.64,40973,0
2017-02-13,20.9,20.9999,19.8,20.41,22447,0
2017-02-14,20.75,21.5,20.4256,20.84,7799,0
2017-02-15,21.26,22.22,21.26,21.96,7364,0
2017-02-16,22.33,25,22.33,24.52,58622,0
2017-02-17,25,26.5,24.7001,26.02,64910,0
2017-02-21,26.55,29.42,26.55,29.42,65983,0
2017-02-22,30,36.65,30,35.58,95606,0
2017-02-23,35.58,35.58,30.0601,30.5,55955,0
2017-02-24,33,33.88,31.11,33.82,45210,0
2017-02-27,34,38.9999,34,36.025,104623,0
2017-02-28,36.03,36.3,34.01,35.95,37184,0
2017-03-01,35.81,36.5,29,29.32,113368,0
2017-03-02,29,32.4355,27.73,28.4,76431,0
