Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,9.1764,9.263,9.1187,9.2149,66598,0
2017-01-04,9.2245,9.3051,9.2078,9.2924,68751,0
2017-01-05,9.3109,9.3109,9.2438,9.3109,62016,0
2017-01-06,9.3109,9.388,9.2865,9.3402,53006,0
2017-01-09,9.3499,9.3695,9.3402,9.3597,37696,0
2017-01-10,9.3695,9.3979,9.3402,9.3979,79757,0
2017-01-11,9.388,9.4838,9.3499,9.4177,81980,0
2017-01-12,9.388,9.3999,9.3597,9.3783,61276,0
2017-01-13,9.3597,9.4256,9.3597,9.388,35026,0
2017-01-17,9.4177,9.4177,9.3597,9.388,57947,0
2017-01-18,9.388,9.388,9.3207,9.3207,84123,0
2017-01-19,9.2827,9.3597,9.2827,9.3207,45131,0
2017-01-20,9.2827,9.3402,9.2827,9.3109,22363,0
2017-01-23,9.3011,9.3207,9.2438,9.2729,40627,0
2017-01-24,9.1956,9.3011,9.1956,9.2924,42785,0
2017-01-25,9.3109,9.3979,9.3109,9.3305,38833,0
2017-01-26,9.3402,9.3783,9.3305,9.3402,36962,0
2017-01-27,9.3402,9.3499,9.3207,9.3499,26072,0
2017-01-30,9.3402,9.3402,9.2631,9.3011,38279,0
2017-01-31,9.2535,9.388,9.2535,9.388,34244,0
2017-02-01,9.4177,9.4453,9.388,9.4364,45396,0
2017-02-02,9.4266,9.4651,9.395,9.4177,50644,0
2017-02-03,9.4177,9.4848,9.388,9.4364,55374,0
2017-02-06,9.4364,9.4749,9.4078,9.4453,43677,0
2017-02-07,9.4177,9.4937,9.4177,9.4552,29143,0
2017-02-08,9.4651,9.4977,9.4552,9.4749,30127,0
2017-02-09,9.4947,9.562,9.4947,9.562,41747,0
2017-02-10,9.582,9.599,9.532,9.597,97103,0
2017-02-13,9.599,9.686,9.582,9.668,45069,0
2017-02-14,9.639,9.676,9.59,9.659,33250,0
2017-02-15,9.659,9.773,9.659,9.773,58015,0
2017-02-16,9.753,9.783,9.686,9.686,31790,0
2017-02-17,9.629,9.717,9.629,9.639,40327,0
2017-02-21,9.649,9.86,9.649,9.83,137867,0
2017-02-22,9.822,9.86,9.803,9.83,72348,0
2017-02-23,9.899,9.907,9.773,9.822,59472,0
2017-02-24,9.86,9.899,9.822,9.89,61257,0
