Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.55,1.64,1.5475,1.59,2864945,0
2017-01-04,1.58,1.65,1.577,1.62,1801097,0
2017-01-05,1.62,1.63,1.56,1.59,2495029,0
2017-01-06,1.57,1.61,1.54,1.57,1413415,0
2017-01-09,1.55,1.55,1.41,1.52,1144892,0
2017-01-10,1.51,1.58,1.421,1.46,1208686,0
2017-01-11,1.53,1.545,1.43,1.45,1613359,0
2017-01-12,1.44,1.53,1.38,1.51,2576966,0
2017-01-13,1.47,1.52,1.47,1.51,1360964,0
2017-01-17,1.51,1.5186,1.45,1.48,2011832,0
2017-01-18,1.46,1.52,1.46,1.51,1665955,0
2017-01-19,1.51,1.51,1.47,1.5,831551,0
2017-01-20,1.52,1.52,1.46,1.48,1188649,0
2017-01-23,1.45,1.52,1.435,1.45,1638388,0
2017-01-24,1.45,1.65,1.45,1.59,2148825,0
2017-01-25,1.57,1.75,1.54,1.71,2296913,0
2017-01-26,1.73,1.84,1.73,1.79,3740359,0
2017-01-27,1.78,1.79,1.63,1.66,1783743,0
2017-01-30,1.64,1.71,1.59,1.67,1444922,0
2017-01-31,1.68,1.725,1.64,1.7,1917725,0
2017-02-01,1.71,1.71,1.63,1.7,1293437,0
2017-02-02,1.72,1.9,1.65,1.84,3254085,0
2017-02-03,1.84,2,1.83,2,4924557,0
2017-02-06,2,2.05,1.96,2,2442590,0
2017-02-07,2,2.03,1.83,1.94,3211176,0
2017-02-08,1.93,1.93,1.79,1.85,1648850,0
2017-02-09,1.87,1.9,1.81,1.85,476862,0
2017-02-10,1.89,1.94,1.81,1.91,1294106,0
2017-02-13,1.91,1.93,1.87,1.88,530339,0
2017-02-14,1.87,1.91,1.76,1.85,1635172,0
2017-02-15,1.83,1.89,1.83,1.85,914951,0
2017-02-16,1.86,1.87,1.82,1.85,724501,0
2017-02-17,2.03,2.11,1.94,2.01,6893896,0
2017-02-21,2.1,2.19,2.04,2.09,3280055,0
2017-02-22,2.08,2.08,1.99,2.01,1737935,0
2017-02-23,2.05,2.05,1.84,2,3967740,0
2017-02-24,1.96,2.03,1.87,1.9,1349255,0
2017-02-27,1.91,1.97,1.88,1.9,1483181,0
