Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.06,3.1199,2.99,3,1420417,0
2017-01-04,3,3.05,2.99,3.05,1130058,0
2017-01-05,3.05,3.1,3.005,3.03,747130,0
2017-01-06,3.03,3.03,2.97,2.98,729847,0
2017-01-09,2.93,2.97,2.84,2.85,1543580,0
2017-01-10,2.85,2.85,2.75,2.75,1885003,0
2017-01-11,2.78,2.83,2.75,2.8,1170013,0
2017-01-12,2.85,2.855,2.79,2.84,1181539,0
2017-01-13,2.82,2.84,2.795,2.81,989281,0
2017-01-17,2.79,2.83,2.74,2.75,1376272,0
2017-01-18,2.7,2.72,2.59,2.61,1959348,0
2017-01-19,2.62,2.63,2.55,2.61,2851580,0
2017-01-20,2.64,2.68,2.62,2.65,1353235,0
2017-01-23,2.61,2.66,2.53,2.61,1868894,0
2017-01-24,2.6,2.64,2.571,2.62,1997893,0
2017-01-25,2.62,2.75,2.62,2.66,1168122,0
2017-01-26,2.66,2.695,2.57,2.57,1458165,0
2017-01-27,2.56,2.58,2.51,2.54,985722,0
2017-01-30,2.51,2.52,2.4,2.44,3270815,0
2017-01-31,2.48,2.58,2.47,2.58,2443115,0
2017-02-01,2.61,2.71,2.58,2.62,2983060,0
2017-02-02,2.63,2.63,2.58,2.6,2020004,0
2017-02-03,2.6,2.64,2.59,2.62,2437041,0
2017-02-06,2.65,2.69,2.5,2.53,2347022,0
2017-02-07,2.49,2.52,2.47,2.49,2480642,0
2017-02-08,2.48,2.49,2.4,2.47,3515423,0
2017-02-09,2.5,2.57,2.495,2.56,1538989,0
2017-02-10,2.69,2.76,2.64,2.65,2797421,0
2017-02-13,2.7,2.71,2.6,2.66,1787291,0
2017-02-14,2.67,2.68,2.62,2.67,2007117,0
2017-02-15,2.65,2.73,2.63,2.73,1711482,0
2017-02-16,2.73,2.77,2.7,2.73,1953177,0
2017-02-17,2.7,2.75,2.69,2.74,1823951,0
2017-02-21,2.78,2.82,2.76,2.78,1880811,0
2017-02-22,2.76,2.77,2.66,2.68,1564213,0
2017-02-23,2.73,2.745,2.65,2.69,1610567,0
2017-02-24,2.65,2.6529,2.58,2.61,2678108,0
2017-02-27,2.61,2.63,2.58,2.61,861345,0
2017-02-28,2.59,2.68,2.57,2.68,1870604,0
2017-03-01,2.63,2.72,2.57,2.58,3387428,0
2017-03-02,2.6,2.66,2.57,2.57,1654213,0
2017-03-03,2.57,2.65,2.57,2.64,1669403,0
2017-03-06,2.64,2.7,2.61,2.66,1198315,0
2017-03-07,2.68,2.69,2.61,2.62,3426667,0
2017-03-08,2.65,2.67,2.51,2.51,1727359,0
2017-03-09,2.5,2.52,2.45,2.49,1841736,0
2017-03-10,2.49,2.54,2.45,2.47,2447406,0
2017-03-13,2.45,2.615,2.45,2.58,1294965,0
2017-03-14,2.48,2.53,2.45,2.47,1337225,0
2017-03-15,2.54,2.61,2.49,2.61,1142389,0
2017-03-16,2.61,2.64,2.57,2.57,678741,0
2017-03-17,2.6,2.6,2.51,2.51,1504873,0
2017-03-20,2.51,2.53,2.48,2.52,885268,0
2017-03-21,2.52,2.54,2.44,2.44,1261989,0
2017-03-22,2.43,2.5,2.4,2.49,965780,0
