Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.067,3.2038,3.067,3.1614,3471,0
2017-01-04,3.303,3.303,3.1893,3.2085,5129,0
2017-01-05,3.1656,3.2045,3.1142,3.1142,8738,0
2017-01-06,3.1142,3.2085,3.1142,3.2085,6992,0
2017-01-09,3.1614,3.303,3.1144,3.2085,7354,0
2017-01-10,3.2557,3.2557,3.1456,3.2085,4781,0
2017-01-11,3.2557,3.586,3.1142,3.3973,60848,0
2017-01-12,3.3973,3.3973,3.1783,3.2463,5657,0
2017-01-13,3.3501,3.3501,3.303,3.303,1364,0
2017-01-17,3.3501,3.3501,3.1614,3.3501,40670,0
2017-01-18,3.3501,3.5549,3.303,3.4445,98172,0
2017-01-19,3.3973,3.4917,3.303,3.303,5727,0
2017-01-20,3.3051,3.3501,3.2085,3.2085,5247,0
2017-01-23,3.2557,3.3973,3.2557,3.303,4131,0
2017-01-24,3.38,3.38,3.2557,3.286,3334,0
2017-01-25,3.3501,3.3501,3.2557,3.3029,3583,0
2017-01-26,3.2557,3.3009,3.2085,3.2242,8433,0
2017-01-27,3.2195,3.2557,3.2085,3.2557,9326,0
2017-01-30,3.3501,3.3501,3.2557,3.3501,14331,0
2017-01-31,3.3973,3.4445,3.3501,3.3973,14200,0
2017-02-01,3.4917,3.4917,3.3501,3.4917,14477,0
2017-02-02,3.586,3.586,3.4445,3.586,15664,0
2017-02-03,3.4445,3.586,3.4445,3.5389,11810,0
2017-02-06,3.5389,3.586,3.3973,3.3973,17023,0
2017-02-07,3.3973,3.3973,3.3501,3.3501,8642,0
2017-02-08,3.4564,3.4564,3.3501,3.3501,4241,0
2017-02-09,3.3501,3.4842,3.3501,3.3774,2601,0
2017-02-10,3.3973,3.3973,3.3264,3.3973,4950,0
2017-02-13,3.3973,3.3973,3.2557,3.3311,49782,0
2017-02-14,3.3973,3.3973,3.3501,3.3501,6030,0
2017-02-15,3.3501,3.3973,3.3501,3.3801,7424,0
2017-02-16,3.3973,3.3973,3.3744,3.3779,7093,0
2017-02-17,3.303,3.4445,3.303,3.4445,12246,0
2017-02-21,3.5389,3.5389,3.4445,3.4917,5702,0
2017-02-22,3.3973,3.5389,3.3973,3.5389,9459,0
2017-02-23,3.4918,3.5389,3.4917,3.5389,12011,0
2017-02-24,3.5293,3.586,3.5293,3.586,6414,0
2017-02-27,3.586,3.6332,3.5389,3.6332,12963,0
2017-02-28,3.6332,3.7276,3.6332,3.7276,10122,0
2017-03-01,3.7276,3.7748,3.6804,3.7748,15553,0
2017-03-02,3.7276,3.8692,3.7276,3.822,18578,0
2017-03-03,3.7276,4.0578,3.7276,3.9921,28199,0
2017-03-06,3.8692,4.0578,3.7748,4.0578,12633,0
2017-03-07,4.0107,4.1051,3.7748,3.9482,20938,0
2017-03-08,4.0107,4.0107,3.8692,3.8692,6335,0
2017-03-09,3.822,3.9636,3.7748,3.822,14541,0
2017-03-10,3.8692,4.1051,3.7748,3.7748,23201,0
2017-03-13,3.8658,4.0107,3.8658,3.9635,8917,0
2017-03-14,3.8388,4.0307,3.8388,3.8868,7018,0
2017-03-15,3.9348,4.1267,3.8388,4.0307,22895,0
2017-03-16,3.9827,4.0787,3.9348,3.9349,9290,0
2017-03-17,3.9827,3.9827,3.8388,3.8868,21513,0
2017-03-20,3.8388,4.1267,3.8388,4.0307,63262,0
2017-03-21,4.0787,4.0787,3.6468,3.9827,70021,0
2017-03-22,3.9827,3.9827,3.8863,3.8863,10347,0
2017-03-23,3.8388,3.8868,3.7908,3.8867,11203,0
2017-03-24,3.8868,3.8868,3.8388,3.8868,4867,0
2017-03-27,3.8388,3.8388,3.7774,3.8321,2110,0
2017-03-28,3.7908,3.8388,3.7428,3.8388,15895,0
2017-03-29,3.7434,3.8388,3.7428,3.8388,635,0
2017-03-30,3.8868,3.8868,3.7428,3.7908,9953,0
2017-03-31,3.7908,3.8388,3.7428,3.7428,5524,0
2017-04-03,3.7908,3.7908,3.7428,3.7428,4650,0
2017-04-04,3.7428,3.8388,3.7428,3.7429,9956,0
2017-04-05,3.7428,3.7908,3.7428,3.7908,8289,0
2017-04-06,3.6948,3.7363,3.6948,3.7363,3346,0
2017-04-07,3.7428,3.7908,3.6709,3.6947,5860,0
2017-04-10,3.8388,3.8388,3.6948,3.6948,7894,0
2017-04-11,3.7428,3.8388,3.7428,3.8388,21455,0
2017-04-12,3.8388,3.8388,3.6948,3.6948,9859,0
