Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.0168,6.1336,5.9389,6.0558,3150670,0
2017-01-04,6.085,6.2213,6.085,6.1482,2259723,0
2017-01-05,6.2213,6.2217,6.1142,6.1434,1500868,0
2017-01-06,6.1628,6.2018,5.8416,5.8902,4244028,0
2017-01-09,5.8416,5.9584,5.7637,5.9194,5089139,0
2017-01-10,5.8902,5.9389,5.7831,5.9097,7007953,0
2017-01-11,5.8416,5.8805,5.7734,5.8416,4105117,0
2017-01-12,5.8124,5.8562,5.5495,5.715,5599703,0
2017-01-13,5.6761,5.7247,5.5495,5.6176,4133923,0
2017-01-17,5.5982,5.7637,5.569,5.6468,3071307,0
2017-01-18,5.5008,5.569,5.4521,5.5495,3310158,0
2017-01-19,5.53,5.569,5.2379,5.3158,6101560,0
2017-01-20,5.4034,5.4034,5.2866,5.3061,2276395,0
2017-01-23,5.3353,5.3937,5.1795,5.3353,2633984,0
2017-01-24,5.3742,5.4034,5.2866,5.3548,2200182,0
2017-01-25,5.4034,5.4132,5.2087,5.2671,3848947,0
2017-01-26,5.2963,5.6079,5.1893,5.3256,4793726,0
2017-01-27,5.3061,5.3061,5.199,5.2671,2849852,0
2017-01-30,5.1893,5.2185,4.868,4.9945,6712866,0
2017-01-31,4.9653,5.0578,4.9556,5.0335,2622038,0
2017-02-01,5.0822,5.2039,5.0335,5.1406,2359404,0
2017-02-02,5.1016,5.2671,5.0627,5.1795,2272708,0
2017-02-03,5.2282,5.2671,5.0335,5.1016,3216565,0
2017-02-06,5.1406,5.2379,4.9556,5.0043,5261012,0
2017-02-07,4.9361,4.9848,4.8777,4.9264,3042706,0
2017-02-08,4.9459,4.9945,4.7706,4.9361,2768217,0
2017-02-09,4.9653,4.9653,4.8096,4.829,2702006,0
2017-02-10,4.7998,4.9653,4.7511,4.9264,2894501,0
2017-02-13,5.0237,5.2963,5.014,5.2282,4110576,0
2017-02-14,5.2769,5.9097,5.2087,5.8902,11709794,0
2017-02-15,5.9584,6.2213,5.4911,6.2018,14258291,0
2017-02-16,6.6302,6.7859,6.3381,6.5815,15153800,0
2017-02-17,6.5133,6.8638,6.4939,6.7567,7437846,0
2017-02-21,6.8152,7.3506,6.7957,7.2143,8500100,0
2017-02-22,7.2046,7.409,6.7275,6.8152,10575358,0
2017-02-23,6.7957,7.0293,6.7889,6.8833,5035859,0
2017-02-24,6.8541,6.9118,6.6983,6.8054,2515000,0
2017-02-27,7.0099,7.0195,6.7178,6.747,2981698,0
2017-02-28,6.8541,6.8541,6.5523,6.601,2644028,0
2017-03-01,6.8249,7.0099,6.6594,6.9709,5093905,0
2017-03-02,6.9612,7.0196,6.8541,6.9612,2781459,0
2017-03-03,6.9807,7.0975,6.8541,7.0196,2856878,0
2017-03-06,7.0488,7.0488,6.8249,6.9612,2354232,0
2017-03-07,6.9612,7.0245,6.8541,6.893,1512276,0
2017-03-08,7.0586,7.7401,7.0099,7.4577,9655610,0
2017-03-09,7.6427,7.779,7.2727,7.3896,5320522,0
2017-03-10,7.5356,7.7401,7.4967,7.5454,3006355,0
2017-03-13,7.633,7.7401,7.4577,7.633,2235259,0
2017-03-14,7.594,7.818,7.5161,7.7109,3813058,0
2017-03-15,7.7109,8.0711,7.7109,7.964,5980765,0
2017-03-16,7.964,8.0419,7.9056,7.9445,2545421,0
2017-03-17,8.1295,8.4216,8.0711,8.3729,6661456,0
2017-03-20,8.4313,8.6942,8.407,8.6163,7221092,0
2017-03-21,8.7137,9.0155,8.4508,8.48,9406083,0
2017-03-22,8.5092,8.8889,8.4727,8.8208,5786357,0
2017-03-23,8.8208,9.0447,8.7818,8.8402,3421914,0
2017-03-24,8.9473,9.4244,8.9279,9.0349,5974794,0
2017-03-27,9.1031,9.2005,8.6845,9.1907,4893619,0
2017-03-28,9.2491,9.3368,9.1135,9.181,3185943,0
2017-03-29,9.2005,9.2394,8.7331,9.0349,5223203,0
2017-03-30,9.0155,9.0349,8.3632,8.48,8336440,0
