Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,27.704,28.04,27.042,27.199,661473,0
2017-01-04,27.348,27.937,27.308,27.872,690308,0
2017-01-05,27.822,27.842,26.795,27.121,473912,0
2017-01-06,27.209,27.615,27.17,27.348,294896,0
2017-01-09,27.101,27.101,26.715,26.825,806371,0
2017-01-10,26.715,27.219,26.577,27.16,642217,0
2017-01-11,27.259,27.505,26.972,27.288,686114,0
2017-01-12,27.16,27.16,26.32,26.665,331345,0
2017-01-13,26.883,27.595,26.785,27.002,438145,0
2017-01-17,26.745,26.815,25.856,25.905,480215,0
2017-01-18,26.182,26.182,25.747,25.993,689528,0
2017-01-19,26.825,27.042,25.569,25.569,586606,0
2017-01-20,25.638,26.152,25.43,25.885,1055351,0
2017-01-23,25.766,25.953,25.652,25.757,433527,0
2017-01-24,26.201,26.607,25.776,26.488,612403,0
2017-01-25,26.834,26.952,26.498,26.785,697248,0
2017-01-26,26.952,27.219,26.795,27.16,560607,0
2017-01-27,27.061,27.061,26.685,26.853,338074,0
2017-01-30,26.626,26.872,26.103,26.488,446296,0
2017-01-31,26.36,26.712,26.221,26.626,407410,0
2017-02-01,26.903,27.141,26.253,26.36,396400,0
2017-02-02,26.113,26.31,25.826,26.013,337986,0
2017-02-03,26.438,27.022,26.3,26.992,442124,0
2017-02-06,26.804,26.913,26.486,26.546,268603,0
2017-02-07,26.664,26.724,26.208,26.328,346466,0
2017-02-08,26.139,26.555,25.673,25.99,290729,0
2017-02-09,26.05,26.734,26.05,26.674,260356,0
2017-02-10,26.873,26.942,26.635,26.893,296563,0
2017-02-13,26.932,27.544,26.932,27.359,414163,0
2017-02-14,27.329,27.765,27.121,27.745,380355,0
2017-02-15,27.815,27.964,27.604,27.875,301676,0
2017-02-16,27.775,27.934,27.468,27.895,213124,0
2017-02-17,27.706,27.82,27.379,27.775,318426,0
2017-02-21,27.964,28.261,27.785,27.993,301464,0
2017-02-22,27.845,28.242,27.607,28.023,275006,0
2017-02-23,28.043,28.113,27.557,28.073,260804,0
2017-02-24,27.815,27.974,27.587,27.954,238730,0
2017-02-27,27.924,28.43,27.825,28.4,571152,0
2017-02-28,28.182,28.37,27.677,27.895,305247,0
2017-03-01,28.608,29.293,28.387,29.203,786626,0
2017-03-02,29.233,29.401,28.51,28.539,485664,0
2017-03-03,28.588,28.816,28.35,28.698,315674,0
2017-03-06,28.43,29.431,28.063,28.44,429325,0
2017-03-07,28.39,28.608,28.185,28.291,267886,0
2017-03-08,28.648,29.441,27.904,27.934,289249,0
2017-03-09,27.954,28.291,27.837,27.993,331082,0
2017-03-10,28.162,28.172,27.24,27.735,563047,0
2017-03-13,27.646,28.232,27.637,28.023,372753,0
2017-03-14,27.795,27.865,27.389,27.82,289191,0
2017-03-15,27.875,28.25,27.8,27.885,509242,0
2017-03-16,28.132,28.356,27.993,28.301,409059,0
2017-03-17,27.815,28.301,27.497,28.192,1400501,0
2017-03-20,28.103,28.231,27.785,27.845,330494,0
2017-03-21,28.003,28.003,26,26.159,908085,0
2017-03-22,25.931,26.368,25.445,26.01,641157,0
2017-03-23,25.931,26.625,25.901,26.268,350217,0
2017-03-24,26.388,26.694,26.12,26.426,422012,0
2017-03-27,25.812,27.517,25.327,26.606,859996,0
2017-03-28,26.546,26.952,26.348,26.774,1077931,0
2017-03-29,26.655,26.814,26.388,26.486,414069,0
2017-03-30,26.526,27.401,26.526,27.309,889212,0
2017-03-31,27.269,27.409,26.814,26.843,717695,0
2017-04-03,26.893,27.209,26.01,26.149,690044,0
2017-04-04,26.06,26.388,25.931,26.149,538414,0
2017-04-05,26.378,26.496,25.247,25.267,530566,0
2017-04-06,25.247,25.703,25.039,25.623,538969,0
2017-04-07,25.395,25.733,25.207,25.673,562293,0
2017-04-10,25.693,25.921,25.137,25.455,377474,0
2017-04-11,25.317,25.852,25.157,25.842,491822,0
2017-04-12,25.763,26.02,25.227,25.277,372350,0
2017-04-13,25.078,25.317,24.682,24.711,398981,0
2017-04-17,24.781,25.127,24.572,25.069,400913,0
2017-04-18,24.801,25.763,24.513,24.88,358107,0
2017-04-19,25.049,25.465,24.88,25.069,556062,0
2017-04-20,24.216,25.763,24.096,25.743,527238,0
2017-04-21,25.545,25.623,25.019,25.069,593217,0
2017-04-24,25.832,26.11,25.405,25.603,568934,0
2017-04-25,25.802,26.1,25.465,25.515,774367,0
2017-04-26,25.485,26.268,25.485,26.179,1090851,0
2017-04-27,26.208,26.278,25.881,26.08,871171,0
2017-04-28,26.11,26.308,25.217,25.237,558529,0
2017-05-01,25.425,25.763,24.949,25.554,653649,0
2017-05-02,25.574,26.08,25.088,25.277,556911,0
2017-05-03,25.137,25.365,24.999,25.217,603463,0
2017-05-04,25.445,25.971,25.177,25.247,447444,0
2017-05-05,25.355,25.355,24.642,24.929,669770,0
2017-05-08,24.949,25.287,24.801,25.277,450266,0
2017-05-09,25.307,25.485,24.731,24.939,422408,0
2017-05-10,24.82,25.073,24.701,24.939,390264,0
2017-05-11,24.781,24.81,24.096,24.146,632012,0
2017-05-12,23.978,23.988,23.462,23.878,790487,0
2017-05-15,24.495,25.132,24.237,25.113,1246643,0
2017-05-16,25.103,25.103,24.605,24.983,878223,0
2017-05-17,24.257,24.525,23.46,23.888,987881,0
2017-05-18,23.868,24.217,23.786,24.028,661039,0
2017-05-19,24.018,24.356,23.789,23.839,456290,0
2017-05-22,23.998,24.147,23.6,23.958,414392,0
2017-05-23,24.008,24.426,23.719,24.237,437490,0
2017-05-24,24.257,24.296,23.908,24.008,442357,0
2017-05-25,24.097,24.187,23.819,23.908,553195,0
2017-05-26,23.878,23.978,23.669,23.789,280905,0
2017-05-30,23.62,23.681,23.306,23.44,438849,0
2017-05-31,23.689,23.878,23.022,23.301,961596,0
2017-06-01,23.53,23.649,23.052,23.241,21274837,0
2017-06-02,23.5,23.689,23.112,23.331,2002571,0
2017-06-05,23.341,23.56,23.052,23.052,993895,0
2017-06-06,22.823,23.052,22.475,22.714,1239925,0
2017-06-07,22.833,22.983,22.654,22.833,1119871,0
2017-06-08,22.873,24.257,22.783,23.998,1534965,0
